orig_slo,insertion_time,wait_time,prompt_tok,out_tok,total_tok,ttft,execution_time,diff,violation,total_violation,finished_time,success_rate_pct,success_count,processed_count
10.0,1768470270.9381,1.8524,27,32,59,0.0447,3.5324,-4.6152,0.0,0.0,1768470276.8127825,100.0,7,7
15.0,1768470270.8893,2.9578,27,32,59,1.9663,2.5984,-9.4438,0.0,0.0,1768470276.9959981,100.0,7,7
14.0,1768470270.8976,2.7384,27,32,59,2.1771,2.806,-8.4556,0.0,0.0,1768470277.1729856,100.0,8,8
14.0,1768470272.0077,4.4785,27,32,59,0.0275,0.6772,-8.8443,0.0,0.0,1768470277.1745129,100.0,9,9
14.0,1768470272.1723,4.423,27,32,59,0.0296,0.7658,-8.8113,0.0,0.0,1768470277.365406,100.0,10,10
13.0,1768470270.9931,2.3264,27,32,59,0.6023,3.1254,-7.5482,0.0,0.0,1768470277.3676286,100.0,10,10
11.0,1768470271.2672,1.8404,27,32,59,0.8141,3.3339,-5.8256,0.0,0.0,1768470277.5264876,100.0,10,10
10.0,1768470272.2125,0.7896,27,32,59,0.919,3.4437,-5.7666,0.0,0.0,1768470277.7190018,100.0,10,10
13.0,1768470271.5004,2.0304,27,32,59,2.2815,2.913,-8.0566,0.0,0.0,1768470277.9112272,100.0,10,10
16.0,1768470270.9817,6.384,27,32,59,0.1632,3.7272,-5.8889,0.0,0.0,1768470281.09327,100.0,11,11
16.0,1768470271.5276,6.5944,27,32,59,0.6066,3.5921,-5.8135,0.0,0.0,1768470281.715336,100.0,12,12
16.0,1768470271.6849,6.5461,27,32,59,0.4978,3.4867,-5.9672,0.0,0.0,1768470281.7182634,100.0,14,14
16.0,1768470272.6617,6.0042,27,32,59,2.3037,3.0522,-6.9436,0.0,0.0,1768470281.7183404,100.0,14,14
18.0,1768470270.9342,10.8883,27,32,59,0.0234,0.7621,-6.3497,0.0,0.0,1768470282.5855582,100.0,15,15
17.0,1768470271.323,7.1255,9835,210,10045,2.0747,7.9459,-1.9286,0.0,0.0,1768470286.4056077,100.0,16,16
15.0,1768470272.4684,5.5447,3372,267,3639,0.7152,10.3865,0.9311,0.9311,0.9311,1768470288.4020405,94.12,16,17
17.0,1768470272.4458,16.0451,27,1,28,0.0355,0.0609,-0.8941,0.0,0.9311,1768470288.5525022,94.44,17,18
18.0,1768470271.8728,16.7278,27,31,58,0.0325,0.7554,-0.5168,0.0,0.9311,1768470289.3585787,94.74,18,19
18.0,1768470271.9095,17.4569,27,32,59,0.0251,0.7467,0.2036,0.2036,1.1347,1768470290.1149397,90.0,18,20
18.0,1768470272.1625,17.9682,27,32,59,0.0429,0.768,0.7362,0.7362,1.8709,1768470290.8995445,85.71,18,21
18.0,1768470272.2939,18.711,27,32,59,0.0224,0.7479,1.4589,1.4589,3.3299,1768470291.7545757,81.82,18,22
18.0,1768470272.3102,19.4615,27,32,59,0.0401,0.7711,2.2326,2.2326,5.5625,1768470292.5432653,78.26,18,23
18.0,1768470271.3094,11.3886,3490,621,4111,0.4707,16.7543,10.1429,10.1429,15.7053,1768470299.455829,75.0,18,24
19.0,1768470271.8932,27.645,27,32,59,0.0231,0.77,9.415,9.415,25.1204,1768470300.3097932,72.0,18,25
14.0,1768470271.2637,2.4779,9835,976,10811,2.0712,30.5864,19.0643,19.0643,44.1847,1768470304.3376565,69.23,18,26
19.0,1768470272.2317,32.1154,27,32,59,0.0374,0.7283,13.8437,13.8437,58.0284,1768470305.0773983,66.67,18,27
13.0,1768470271.1318,2.2934,3680,1024,4704,2.3872,32.3661,21.6595,21.6595,126.4612,1768470305.7946477,62.07,18,30
11.0,1768470272.7543,0.4592,4513,1023,5536,0.708,32.5771,22.0363,22.0363,126.4612,1768470305.7949877,64.29,18,30
10.0,1768470271.0546,1.8418,3283,1031,4314,0.4339,32.8953,24.7371,24.7371,126.4612,1768470305.7963943,60.0,18,30
21.0,1768470270.9382,35.1482,27,32,59,0.687,1.3671,15.5153,15.5153,157.6568,1768470307.45443,56.25,18,32
