orig_slo,insertion_time,wait_time,prompt_tok,out_tok,total_tok,ttft,execution_time,diff,violation,total_violation,finished_time,success_rate_pct,success_count,processed_count
10.0,1768460409.1296,1.8572,27,32,59,0.0414,3.5239,-4.6189,0.0,0.0,1768460415.066166,100.0,7,7
10.0,1768460410.4049,0.794,27,32,59,0.9201,3.4359,-5.7702,0.0,0.0,1768460415.2340236,100.0,8,8
10.0,1768460409.2466,1.8464,3283,53,3336,0.4345,4.138,-4.0156,0.0,0.0,1768460415.237727,100.0,8,8
14.0,1768460410.3648,4.4277,27,32,59,0.0216,0.7664,-8.8059,0.0,0.0,1768460415.5800338,100.0,10,10
13.0,1768460409.6885,2.0378,27,32,59,2.2748,2.9071,-8.0551,0.0,0.0,1768460415.5805116,100.0,10,10
14.0,1768460410.1974,4.4859,27,32,59,0.0388,0.8798,-8.6343,0.0,0.0,1768460415.5874243,100.0,10,10
15.0,1768460409.0809,2.9613,27,32,59,1.9594,2.5915,-9.4472,0.0,0.0,1768460415.5885391,100.0,10,10
11.0,1768460409.4557,1.8486,27,32,59,0.814,3.3301,-5.8213,0.0,0.0,1768460415.93706,100.0,11,11
14.0,1768460409.0892,2.7422,27,32,59,2.1704,2.801,-8.4568,0.0,0.0,1768460415.9415343,100.0,11,11
13.0,1768460409.1849,2.3303,27,32,59,0.6037,3.1159,-7.5538,0.0,0.0,1768460416.094328,100.0,11,11
14.0,1768460410.424,4.6358,27,32,59,0.1747,0.7107,-8.6535,0.0,0.0,1768460416.1104212,100.0,11,11
16.0,1768460409.1732,6.4143,27,32,59,0.1834,3.6791,-5.9066,0.0,0.0,1768460419.2698503,100.0,12,12
16.0,1768460409.7161,6.6253,27,33,60,0.6123,3.5574,-5.8174,0.0,0.0,1768460419.9009051,100.0,14,14
16.0,1768460409.873,6.5772,27,32,59,0.5039,3.4492,-5.9736,0.0,0.0,1768460419.9019752,100.0,15,15
16.0,1768460410.8545,6.0327,27,32,59,2.2845,3.0146,-6.9528,0.0,0.0,1768460419.9020226,100.0,15,15
18.0,1768460409.1257,10.8096,27,32,59,0.0226,1.1969,-5.9935,0.0,0.0,1768460421.133129,100.0,16,16
13.0,1768460409.324,2.2968,3680,773,4453,2.3805,25.0029,14.2997,14.2997,14.2997,1768460436.627092,94.12,16,17
17.0,1768460410.6363,26.0139,27,32,59,0.035,0.7966,9.8106,9.8106,24.1102,1768460437.4482932,88.89,16,18
