orig_slo,insertion_time,wait_time,prompt_tok,out_tok,total_tok,ttft,execution_time,diff,violation,total_violation,finished_time,success_rate_pct,success_count,processed_count
40.0,1768494708.6571,0.0191,27,32,59,0.0219,0.4952,-39.4857,0.0,0.0,1768494709.5472968,100.0,1,1
158.0,1768494709.6583,0.0186,27,32,59,0.0247,0.4985,-157.4829,0.0,0.0,1768494710.1756427,100.0,2,2
30.0,1768494712.673,0.0385,27,32,59,0.0341,0.569,-29.3925,0.0,0.0,1768494713.2808506,100.0,3,3
121.0,1768494713.6737,0.0311,27,32,59,0.0183,0.5558,-120.4131,0.0,0.0,1768494714.2610216,100.0,4,4
133.0,1768494714.6748,0.0249,27,32,59,0.0225,0.562,-132.4131,0.0,0.0,1768494715.261936,100.0,5,5
139.0,1768494717.6967,0.0395,27,32,59,0.0391,0.6429,-138.3175,0.0,0.0,1768494718.380264,100.0,6,6
44.0,1768494721.7188,0.0575,27,32,59,0.0241,0.6954,-43.2471,0.0,0.0,1768494722.4733553,100.0,7,7
34.0,1768494706.6482,0.0053,3840,1035,4875,0.5608,24.4252,-9.5696,0.0,0.0,1768494731.0826366,100.0,8,8
70.0,1768494707.6558,0.0331,3405,1029,4434,0.4368,24.6281,-45.3387,0.0,0.0,1768494732.3217788,100.0,9,9
30.0,1768494723.7281,8.6091,27,32,59,0.0373,0.7186,-20.6724,0.0,0.0,1768494733.056369,100.0,10,10
129.0,1768494710.6646,0.0084,3087,1028,4115,0.405,26.0404,-102.9512,0.0,0.0,1768494736.7176511,100.0,11,11
20.0,1768494733.7648,2.9776,27,32,59,0.0289,0.7193,-16.3031,0.0,0.0,1768494737.4618545,100.0,12,12
102.0,1768494711.6721,0.0495,4513,1028,5541,0.6008,26.2879,-75.6626,0.0,0.0,1768494738.0166576,100.0,13,13
88.0,1768494724.7288,13.3053,27,32,59,0.0322,0.7153,-73.9794,0.0,0.0,1768494738.7499301,100.0,14,14
152.0,1768494715.6813,0.0138,3526,1028,4554,0.4627,27.0509,-124.9353,0.0,0.0,1768494742.7513912,100.0,15,15
102.0,1768494716.6953,0.051,5583,1033,6616,0.7641,27.2467,-74.7023,0.0,0.0,1768494743.9996057,100.0,16,16
88.0,1768494739.787,4.2295,27,35,62,0.0329,0.6988,-83.0717,0.0,0.0,1768494744.7175846,100.0,17,17
201.0,1768494718.7032,0.0319,3271,1031,4302,0.4236,26.638,-174.3302,0.0,0.0,1768494745.3791075,100.0,18,18
109.0,1768494737.7754,7.0065,27,31,58,0.0313,0.7121,-101.2815,0.0,0.0,1768494745.4951012,100.0,19,19
187.0,1768494719.7115,0.0157,3365,1026,4391,0.4555,26.3054,-160.6789,0.0,0.0,1768494746.0397377,100.0,20,20
45.0,1768494744.8039,0.6273,27,32,59,0.0183,0.698,-43.6747,0.0,0.0,1768494746.1297896,100.0,21,21
127.0,1768494727.7365,17.8113,27,32,59,0.0212,0.6955,-108.4932,0.0,0.0,1768494746.2442493,100.0,22,22
102.0,1768494720.7179,0.0085,3559,1026,4585,0.4575,25.8959,-76.0957,0.0,0.0,1768494746.6261196,100.0,23,23
69.0,1768494745.8047,0.2721,27,31,58,0.0291,0.7004,-68.0275,0.0,0.0,1768494746.7793114,100.0,24,24
131.0,1768494729.7437,16.4524,27,32,59,0.0251,1.0897,-113.4579,0.0,0.0,1768494747.2875721,100.0,25,25
142.0,1768494725.7294,20.5256,27,31,58,0.0215,1.0737,-120.4007,0.0,0.0,1768494747.328985,100.0,26,26
127.0,1768494743.8028,2.8647,27,32,59,0.0277,1.4564,-122.6788,0.0,0.0,1768494748.1260552,100.0,27,27
144.0,1768494742.8024,4.5092,27,32,59,0.0267,1.7182,-137.7726,0.0,0.0,1768494749.032232,100.0,28,28
177.0,1768494722.7274,0.0537,2980,1035,4015,0.3922,27.2622,-149.6841,0.0,0.0,1768494750.0484443,100.0,29,29
19.0,1768494726.7358,4.3745,3276,991,4267,0.4244,26.424,11.7985,11.7985,11.7985,1768494757.5383682,96.67,29,30
17.0,1768494750.8335,6.7293,3245,5,3250,0.4217,0.5319,-9.7387,0.0,11.7985,1768494758.097434,96.77,30,31
41.0,1768494757.8672,0.2776,27,32,59,0.0287,0.7001,-40.0223,0.0,11.7985,1768494758.846392,96.88,31,32
56.0,1768494752.8368,6.0687,27,30,57,0.0372,0.6866,-49.2446,0.0,11.7985,1768494759.5944939,96.97,32,33
52.0,1768494732.7642,0.336,4788,1020,5808,0.6489,27.1329,-24.5312,0.0,11.7985,1768494760.2374609,97.06,33,34
64.0,1768494758.8681,0.7469,27,32,59,0.0336,1.1474,-62.1057,0.0,11.7985,1768494760.764845,97.14,34,35
98.0,1768494751.8364,8.9449,27,32,59,0.0374,0.7047,-88.3504,0.0,11.7985,1768494761.4886563,97.22,35,36
32.0,1768494736.7745,0.7331,3151,1019,4170,0.4098,27.2928,-3.9741,0.0,11.7985,1768494764.8043835,97.3,36,37
58.0,1768494762.8951,1.9457,27,32,59,0.0382,0.7104,-55.3439,0.0,11.7985,1768494765.5535095,97.37,37,38
90.0,1768494738.7838,0.0257,3195,1023,4218,0.4162,26.9099,-63.0643,0.0,11.7985,1768494765.723973,97.44,38,39
122.0,1768494763.9042,1.7023,27,32,59,0.0234,1.0641,-119.2336,0.0,11.7985,1768494766.673146,97.5,39,40
34.0,1768494765.9123,0.8069,3159,8,3167,0.4034,0.5797,-32.6134,0.0,11.7985,1768494767.3023539,97.56,40,41
68.0,1768494740.7942,1.9962,3671,1026,4697,0.4845,27.6838,-38.3199,0.0,11.7985,1768494770.4791245,97.62,41,42
