orig_slo,insertion_time,wait_time,prompt_tok,out_tok,total_tok,ttft,execution_time,diff,violation,total_violation,finished_time,success_rate_pct,success_count,processed_count
34.0,1768819277.4971,0.0051,3840,1022,4862,0.563,0.563,-33.4319,0.0,0.0,1768819292.9500058,100.0,1,1
40.0,1768819297.5062,0.252,27,32,59,0.0252,0.0252,-39.7227,0.0,0.0,1768819298.2334266,100.0,2,2
70.0,1768819287.5047,0.1056,3405,1026,4431,0.437,0.437,-69.4574,0.0,0.0,1768819302.1533186,100.0,3,3
158.0,1768819307.5076,0.1069,27,32,59,0.0214,0.0214,-157.8717,0.0,0.0,1768819308.022457,100.0,4,4
129.0,1768819317.5194,0.0526,3087,1031,4118,0.4096,0.4096,-128.5377,0.0,0.0,1768819332.5043702,100.0,5,5
102.0,1768819327.5263,0.2239,4513,1031,5544,0.601,0.601,-101.1751,0.0,0.0,1768819342.5367534,100.0,7,7
133.0,1768819357.53,0.1963,27,32,59,0.0282,0.0282,-132.7755,0.0,0.0,1768819358.1398823,100.0,9,9
152.0,1768819367.5423,0.1661,3526,1001,4527,0.4687,0.4687,-151.3652,0.0,0.0,1768819383.0017438,100.0,10,10
139.0,1768819387.5577,0.5095,27,32,59,0.0223,0.0223,-138.4682,0.0,0.0,1768819388.5506856,100.0,11,11
102.0,1768819377.553,0.3334,5583,1030,6613,0.7412,0.7412,-100.9254,0.0,0.0,1768819393.05227,100.0,12,12
201.0,1768819397.57,0.3186,3271,1024,4295,0.4429,0.4429,-200.2385,0.0,0.0,1768819412.6881218,100.0,13,13
187.0,1768819407.577,0.4895,3365,1030,4395,0.4434,0.4434,-186.0671,0.0,0.0,1768819423.6678739,100.0,14,14
44.0,1768819427.5856,0.3288,27,32,59,0.0227,0.0227,-43.6485,0.0,0.0,1768819428.3881865,100.0,15,15
102.0,1768819417.5844,0.154,3559,1028,4587,0.4648,0.4648,-101.3812,0.0,0.0,1768819432.473146,100.0,16,16
30.0,1768819447.5986,0.3279,27,32,59,0.0244,0.0244,-29.6477,0.0,0.0,1768819448.3995173,100.0,17,17
177.0,1768819437.5972,0.152,2980,1035,4015,0.396,0.396,-176.452,0.0,0.0,1768819451.5617113,100.0,18,18
88.0,1768819457.6004,0.2022,27,32,59,0.0213,0.0213,-87.7765,0.0,0.0,1768819458.2110183,100.0,19,19
142.0,1768819467.602,0.1311,27,32,59,0.0216,0.0216,-141.8472,0.0,0.0,1768819468.13999,100.0,20,20
19.0,1768819477.6156,0.0372,3276,693,3969,0.44,0.44,-18.5228,0.0,0.0,1768819487.1157377,100.0,21,21
127.0,1768819487.6184,0.2381,27,32,59,0.0208,0.0208,-126.741,0.0,0.0,1768819488.2618468,100.0,22,22
131.0,1768819507.6311,0.3215,27,32,59,0.0221,0.0221,-130.6563,0.0,0.0,1768819508.4232924,100.0,23,23
212.0,1768819497.6302,0.1481,2945,1034,3979,0.4148,0.4148,-211.4371,0.0,0.0,1768819511.5890188,100.0,24,24
148.0,1768819517.6429,0.1662,3202,1024,4226,0.4432,0.4432,-147.3907,0.0,0.0,1768819532.5570989,100.0,25,25
199.0,1768819527.6485,0.3383,3096,1025,4121,0.3999,0.3999,-198.2618,0.0,0.0,1768819543.6431541,100.0,26,26
20.0,1768819547.6601,0.1683,27,32,59,0.0291,0.0291,-19.8027,0.0,0.0,1768819548.3155181,100.0,27,27
52.0,1768819537.6591,0.5032,4788,1028,5816,0.6435,0.6435,-50.8533,0.0,0.0,1768819553.202478,100.0,28,28
180.0,1768819557.6613,0.5087,27,32,59,0.0217,0.0217,-179.4696,0.0,0.0,1768819558.5781708,100.0,29,29
198.0,1768819567.6629,0.4332,27,32,59,0.0209,0.0209,-197.546,0.0,0.0,1768819568.5021822,100.0,30,30
