n_total,n_short,hol_corr,p95_short_q,p99_short_q,hol_frac,success_rate_pct_end,sleep,pushint,file
651,329,0.046700738789362185,799.7300399999997,852.1786079999996,0.9848024316109423,3.28,0.01,0.01,timsort_hol_sleep_0.01_pushint_0.01_20260121_124307.txt.csv
639,320,0.11369074006247812,761.332305,823.166244,0.984375,6.45,0.01,0.05,timsort_hol_sleep_0.01_pushint_0.05_20260121_122307.txt.csv
650,325,-0.003967317443367525,765.08506,839.7434199999998,0.9815384615384616,9.35,0.01,0.1,timsort_hol_sleep_0.01_pushint_0.1_20260121_120307.txt.csv
550,275,-0.015450142801308714,464.38913,489.453402,0.9672727272727273,20.82,0.01,0.5,timsort_hol_sleep_0.01_pushint_0.5_20260121_114518.txt.csv
282,141,0.31825546788901377,153.4889,167.59133999999997,0.7446808510638298,100.0,0.01,1.0,timsort_hol_sleep_0.01_pushint_1.0_20260121_113341.txt.csv
30,15,-0.22759995429406712,50.10983999999999,55.727647999999995,0.26666666666666666,93.33,0.01,10.0,timsort_hol_sleep_0.01_pushint_10.0_20260121_111358.txt.csv
57,29,0.21179214753681574,0.043019999999999996,0.046324,0.0,100.0,0.01,5.0,timsort_hol_sleep_0.01_pushint_5.0_20260121_112345.txt.csv
677,356,0.017504390341707955,814.1393,854.71754,0.9831460674157303,2.98,0.05,0.01,timsort_hol_sleep_0.05_pushint_0.01_20260121_143247.txt.csv
658,336,0.027264739340138705,788.812475,857.77226,0.9851190476190477,7.15,0.05,0.05,timsort_hol_sleep_0.05_pushint_0.05_20260121_141246.txt.csv
648,324,0.057374193067117135,780.3301749999999,842.2663319999995,0.9845679012345679,6.37,0.05,0.1,timsort_hol_sleep_0.05_pushint_0.1_20260121_135244.txt.csv
558,279,0.04659192484416796,481.65482999999995,505.165508,0.96415770609319,20.67,0.05,0.5,timsort_hol_sleep_0.05_pushint_0.5_20260121_133440.txt.csv
281,141,0.2738402839427775,177.5851,191.60423999999998,0.8723404255319149,100.0,0.05,1.0,timsort_hol_sleep_0.05_pushint_1.0_20260121_132250.txt.csv
30,15,-0.22419322582573611,0.08086,0.080972,0.0,100.0,0.05,10.0,timsort_hol_sleep_0.05_pushint_10.0_20260121_130311.txt.csv
58,29,-0.05456079070291337,0.08425999999999999,0.08671599999999999,0.0,100.0,0.05,5.0,timsort_hol_sleep_0.05_pushint_5.0_20260121_131255.txt.csv
689,359,0.12915393920186174,799.11903,851.8616480000004,0.9777158774373259,3.56,0.1,0.01,timsort_hol_sleep_0.1_pushint_0.01_20260121_162141.txt.csv
666,333,-0.028225403028029047,787.18626,854.895316,0.984984984984985,6.29,0.1,0.05,timsort_hol_sleep_0.1_pushint_0.05_20260121_160140.txt.csv
655,328,0.021110256455587527,740.3520199999999,845.3909940000003,0.9878048780487805,7.3,0.1,0.1,timsort_hol_sleep_0.1_pushint_0.1_20260121_154136.txt.csv
558,281,0.04919079803535846,450.0232,473.9533599999999,0.9679715302491103,23.77,0.1,0.5,timsort_hol_sleep_0.1_pushint_0.5_20260121_152408.txt.csv
288,144,0.11595779846865457,164.20853999999997,177.21955499999996,0.8611111111111112,100.0,0.1,1.0,timsort_hol_sleep_0.1_pushint_1.0_20260121_151224.txt.csv
30,15,0.08721397070840746,0.13277,0.134394,0.0,100.0,0.1,10.0,timsort_hol_sleep_0.1_pushint_10.0_20260121_145248.txt.csv
58,29,0.26341616535720264,0.1364,0.138264,0.0,100.0,0.1,5.0,timsort_hol_sleep_0.1_pushint_5.0_20260121_150231.txt.csv
668,348,0.07345308881291712,821.85594,867.0715829999999,0.9885057471264368,3.53,0.5,0.01,timsort_hol_sleep_0.5_pushint_0.01_20260121_181010.txt.csv
655,331,0.041842031687331256,812.8775499999999,870.33283,0.9818731117824774,7.11,0.5,0.05,timsort_hol_sleep_0.5_pushint_0.05_20260121_175007.txt.csv
654,331,0.04880230880900441,785.9863,810.6005799999999,0.9818731117824774,5.35,0.5,0.1,timsort_hol_sleep_0.5_pushint_0.1_20260121_173007.txt.csv
523,263,-0.044749904097336306,414.10519,442.08611,0.9391634980988594,23.53,0.5,0.5,timsort_hol_sleep_0.5_pushint_0.5_20260121_171303.txt.csv
288,144,0.22406147512658947,161.93787,171.72582999999997,0.8263888888888888,100.0,0.5,1.0,timsort_hol_sleep_0.5_pushint_1.0_20260121_170124.txt.csv
29,15,0.540973400471352,0.52393,0.530706,0.0,100.0,0.5,10.0,timsort_hol_sleep_0.5_pushint_10.0_20260121_164146.txt.csv
57,29,0.2263054522852426,0.53148,0.53276,0.0,100.0,0.5,5.0,timsort_hol_sleep_0.5_pushint_5.0_20260121_165130.txt.csv
632,328,0.11569035636994406,822.388915,864.4546050000002,0.9969512195121951,3.55,1.0,0.01,timsort_hol_sleep_1.0_pushint_0.01_20260121_195953.txt.csv
637,319,0.11154742486179262,787.06058,833.8111640000001,0.9937304075235109,4.8,1.0,0.05,timsort_hol_sleep_1.0_pushint_0.05_20260121_193952.txt.csv
612,306,0.19589463994546286,788.75085,845.264025,0.9901960784313726,6.68,1.0,0.1,timsort_hol_sleep_1.0_pushint_0.1_20260121_191952.txt.csv
545,274,0.07948831559305941,503.56643499999996,524.9566859999999,0.9525547445255474,30.55,1.0,0.5,timsort_hol_sleep_1.0_pushint_0.5_20260121_190129.txt.csv
276,138,0.2746958958521731,156.93444,168.45788499999998,0.9130434782608695,100.0,1.0,1.0,timsort_hol_sleep_1.0_pushint_1.0_20260121_184950.txt.csv
30,15,0.052867893797478666,0.88363,0.903846,0.4666666666666667,100.0,1.0,10.0,timsort_hol_sleep_1.0_pushint_10.0_20260121_183012.txt.csv
59,30,-0.10814067796854883,1.002665,1.014331,0.5666666666666667,100.0,1.0,5.0,timsort_hol_sleep_1.0_pushint_5.0_20260121_183955.txt.csv
