orig_slo,insertion_time,wait_time,prompt_tok,out_tok,total_tok,ttft,execution_time,diff,violation,total_violation,finished_time,success_rate_pct,success_count,processed_count
30.0,1769011546.13,0.0335,27,32,59,1.2329,1.2329,-28.7336,0.0,0.0,1769011548.876457,100.0,5,5
121.0,1769011545.5133,0.1704,27,32,59,1.7099,1.7099,-119.1197,0.0,0.0,1769011549.458121,100.0,5,5
44.0,1769011546.0129,0.0301,27,32,59,1.3516,1.3516,-42.6182,0.0,0.0,1769011549.9852726,100.0,5,5
40.0,1769011545.2103,0.1164,27,32,59,1.1861,1.1861,-38.6975,0.0,0.0,1769011551.1249077,100.0,5,5
30.0,1769011545.4625,0.1006,27,32,59,0.9526,0.9526,-28.9468,0.0,0.0,1769011551.1497936,100.0,5,5
20.0,1769011546.7205,4.8008,27,18,45,0.4777,0.4777,-14.7216,0.0,0.0,1769011553.332789,100.0,7,7
34.0,1769011551.4616,0.4483,3159,130,3289,1.0525,1.0525,-32.4992,0.0,0.0,1769011557.743679,100.0,8,8
10.0,1769011556.8861,1.006,27,32,59,0.082,0.082,-8.912,0.0,0.0,1769011558.6640308,100.0,9,9
70.0,1769011545.1444,0.0644,3405,1029,4434,1.3059,1.3059,-68.6297,0.0,0.0,1769011573.8116336,100.0,14,14
34.0,1769011545.074,0.0171,3840,1026,4866,0.5879,0.5879,-33.395,0.0,0.0,1769011573.813051,100.0,14,14
102.0,1769011545.7102,0.0931,5583,1026,6609,1.5922,1.5922,-100.3146,0.0,0.0,1769011573.8174484,100.0,14,14
129.0,1769011545.3426,0.5802,3087,1037,4124,1.4745,1.4745,-126.9452,0.0,0.0,1769011573.8198495,100.0,14,14
102.0,1769011545.4113,0.0326,4513,1026,5539,1.0699,1.0699,-100.8976,0.0,0.0,1769011573.820873,100.0,14,14
10.0,1769011564.7155,9.178,27,32,59,0.0779,0.0779,-0.7442,0.0,0.0,1769011575.5290473,100.0,15,15
22.0,1769011553.288,20.7433,27,32,59,0.0663,0.0663,-1.1904,0.0,0.0,1769011575.6248617,100.0,16,16
24.0,1769011554.3812,20.0528,27,32,59,0.6942,0.6942,-3.253,0.0,0.0,1769011575.7628863,100.0,17,17
19.0,1769011546.3008,5.0869,3276,852,4128,0.6102,0.6102,-13.3029,0.0,0.0,1769011576.5852196,100.0,18,18
25.0,1769011554.5618,21.4236,27,32,59,0.4175,0.4175,-3.159,0.0,0.0,1769011577.4062428,100.0,19,19
19.0,1769011561.6216,15.8873,27,32,59,0.0712,0.0712,-3.0415,0.0,0.0,1769011578.263388,100.0,20,20
11.0,1769011570.2751,8.1249,27,32,59,0.081,0.081,-2.794,0.0,0.0,1769011579.1642919,100.0,21,21
28.0,1769011553.4563,25.9005,27,32,59,0.0698,0.0698,-2.0297,0.0,0.0,1769011580.1169596,100.0,22,22
22.0,1769011547.6931,3.9588,3326,1027,4353,1.3117,1.3117,-16.7295,0.0,0.0,1769011581.210847,100.0,24,24
32.0,1769011546.8879,4.8905,3151,1022,4173,1.1846,1.1846,-25.9249,0.0,0.0,1769011581.2113802,100.0,24,24
14.0,1769011553.0789,0.3721,12339,1027,13366,1.9435,1.9435,-11.6844,0.0,0.0,1769011582.1557975,100.0,25,25
