line_idx,algo,calls,avg_ms,max_ms,vq_id,vq_groups,head_deadline,slack,model,deadlines
27,timsort,1,0.029,0.029,0,1,1769199893.23,34.0,meta-llama/Llama-3.2-1B-Instruct,1769199893.230
31,timsort,109,0.136,0.46,0,189,1769199871.686,6.845,meta-llama/Llama-3.2-1B-Instruct,
37,timsort,195,0.213,0.711,0,353,1769199879.287,9.382,meta-llama/Llama-3.2-1B-Instruct,
43,timsort,269,0.303,0.955,0,496,1769199881.977,7.055,meta-llama/Llama-3.2-1B-Instruct,
46,timsort,342,0.391,1.321,0,612,1769199881.977,2.043,meta-llama/Llama-3.2-1B-Instruct,
49,timsort,417,0.477,1.383,0,761,1769199881.977,-2.967,meta-llama/Llama-3.2-1B-Instruct,
57,timsort,496,0.565,1.967,0,895,1769199883.821,-6.148,meta-llama/Llama-3.2-1B-Instruct,
62,timsort,573,0.651,2.105,0,1047,1769199884.496,-10.497,meta-llama/Llama-3.2-1B-Instruct,
75,timsort,651,0.733,2.236,0,1188,1769199888.506,-11.493,meta-llama/Llama-3.2-1B-Instruct,
78,timsort,717,0.812,2.505,0,1315,1769199888.506,-16.527,meta-llama/Llama-3.2-1B-Instruct,
81,timsort,786,0.9,2.748,0,1454,1769199888.506,-21.566,meta-llama/Llama-3.2-1B-Instruct,
97,timsort,850,0.981,3.557,0,1564,1769199892.094,-23.046,meta-llama/Llama-3.2-1B-Instruct,
103,timsort,934,1.067,3.759,0,1719,1769199894.245,-25.925,meta-llama/Llama-3.2-1B-Instruct,
110,timsort,1005,1.15,3.759,0,1855,1769199895.111,-30.062,meta-llama/Llama-3.2-1B-Instruct,
116,timsort,1080,1.237,3.931,0,1984,1769199895.333,-34.853,meta-llama/Llama-3.2-1B-Instruct,
119,timsort,1148,1.32,3.931,0,2101,1769199895.333,-39.86,meta-llama/Llama-3.2-1B-Instruct,
122,timsort,1213,1.402,3.983,0,2222,1769199895.333,-44.917,meta-llama/Llama-3.2-1B-Instruct,
133,timsort,1297,1.495,5.207,0,2358,1769199897.715,-47.561,meta-llama/Llama-3.2-1B-Instruct,
138,timsort,1378,1.581,5.207,0,2492,1769199898.167,-52.135,meta-llama/Llama-3.2-1B-Instruct,
151,timsort,1450,1.675,6.92,0,2623,1769199901.723,-53.638,meta-llama/Llama-3.2-1B-Instruct,
155,timsort,1526,1.774,11.007,0,2776,1769199902.485,-57.89,meta-llama/Llama-3.2-1B-Instruct,
158,timsort,1597,1.878,11.007,0,2911,1769199902.485,-62.946,meta-llama/Llama-3.2-1B-Instruct,
161,timsort,1658,2.212,366.438,0,3024,1769199902.485,-67.991,meta-llama/Llama-3.2-1B-Instruct,
170,timsort,1735,2.306,366.438,0,3154,1769199904.437,-71.042,meta-llama/Llama-3.2-1B-Instruct,
179,timsort,1823,2.397,366.438,0,3321,1769199905.62,-74.887,meta-llama/Llama-3.2-1B-Instruct,
184,timsort,1892,2.491,366.438,0,3441,1769199905.962,-79.607,meta-llama/Llama-3.2-1B-Instruct,
189,timsort,1969,2.584,366.438,0,3575,1769199906.444,-84.142,meta-llama/Llama-3.2-1B-Instruct,
194,timsort,2033,2.851,366.438,0,3682,1769199906.732,-88.914,meta-llama/Llama-3.2-1B-Instruct,
197,timsort,2102,2.95,366.438,0,3795,1769199906.732,-93.97,meta-llama/Llama-3.2-1B-Instruct,
200,timsort,2166,3.055,366.438,0,3921,1769199906.732,-99.003,meta-llama/Llama-3.2-1B-Instruct,
214,timsort,2242,3.147,366.438,0,4052,1769199909.203,-101.536,meta-llama/Llama-3.2-1B-Instruct,
228,timsort,2308,3.379,366.438,0,4152,1769199910.857,-104.903,meta-llama/Llama-3.2-1B-Instruct,
239,timsort,2378,3.475,366.438,0,4272,1769199912.112,-108.696,meta-llama/Llama-3.2-1B-Instruct,
246,timsort,2444,3.693,366.438,0,4406,1769199912.895,-112.953,meta-llama/Llama-3.2-1B-Instruct,
249,timsort,2509,3.779,366.438,0,4523,1769199912.895,-117.995,meta-llama/Llama-3.2-1B-Instruct,
252,timsort,2568,3.862,366.438,0,4630,1769199912.895,-123.031,meta-llama/Llama-3.2-1B-Instruct,
264,timsort,2629,4.064,366.438,0,4730,1769199914.307,-126.667,meta-llama/Llama-3.2-1B-Instruct,
273,timsort,2705,4.152,366.438,0,4878,1769199915.166,-130.849,meta-llama/Llama-3.2-1B-Instruct,
280,timsort,2768,4.343,366.438,0,5013,1769199915.488,-135.541,meta-llama/Llama-3.2-1B-Instruct,
288,timsort,2838,4.421,366.438,0,5149,1769199916.598,-139.456,meta-llama/Llama-3.2-1B-Instruct,
294,timsort,2904,4.619,366.438,0,5253,1769199917.009,-144.074,meta-llama/Llama-3.2-1B-Instruct,
298,timsort,2963,4.712,366.438,0,5365,1769199917.035,-149.081,meta-llama/Llama-3.2-1B-Instruct,
301,timsort,3027,4.902,366.438,0,5487,1769199917.035,-154.373,meta-llama/Llama-3.2-1B-Instruct,
309,timsort,3095,4.988,366.438,0,5608,1769199917.83,-158.595,meta-llama/Llama-3.2-1B-Instruct,
318,timsort,3159,5.156,366.438,0,5717,1769199918.229,-163.246,meta-llama/Llama-3.2-1B-Instruct,
326,timsort,3220,5.343,366.438,0,5820,1769199918.602,-167.889,meta-llama/Llama-3.2-1B-Instruct,
333,timsort,3282,5.424,366.438,0,5920,1769199919.165,-172.37,meta-llama/Llama-3.2-1B-Instruct,
338,timsort,3341,5.604,366.438,0,6022,1769199919.544,-176.995,meta-llama/Llama-3.2-1B-Instruct,
346,timsort,3399,5.784,371.31,0,6147,1769199920.238,-181.34,meta-llama/Llama-3.2-1B-Instruct,
354,timsort,3458,5.956,371.31,0,6272,1769199921.391,-185.232,meta-llama/Llama-3.2-1B-Instruct,
366,timsort,3522,6.107,371.31,0,6381,1769199922.948,-188.74,meta-llama/Llama-3.2-1B-Instruct,
371,timsort,3593,6.18,371.31,0,6519,1769199923.64,-193.109,meta-llama/Llama-3.2-1B-Instruct,
375,timsort,3653,6.339,371.31,0,6628,1769199923.652,-198.158,meta-llama/Llama-3.2-1B-Instruct,
379,timsort,3709,6.515,394.676,0,6731,1769199923.688,-203.128,meta-llama/Llama-3.2-1B-Instruct,
386,timsort,3764,6.602,394.676,0,6830,1769199924.213,-207.631,meta-llama/Llama-3.2-1B-Instruct,
392,timsort,3827,6.835,394.676,0,6946,1769199924.79,-212.062,meta-llama/Llama-3.2-1B-Instruct,
400,timsort,3884,6.983,394.676,0,7047,1769199925.37,-216.545,meta-llama/Llama-3.2-1B-Instruct,
409,timsort,3947,7.15,414.517,0,7172,1769199926.468,-220.464,meta-llama/Llama-3.2-1B-Instruct,
414,timsort,4005,7.301,414.517,0,7281,1769199926.63,-225.382,meta-llama/Llama-3.2-1B-Instruct,
418,timsort,4060,7.45,414.517,0,7382,1769199926.766,-230.285,meta-llama/Llama-3.2-1B-Instruct,
425,timsort,4122,7.615,414.517,0,7443,1769199927.169,-234.959,meta-llama/Llama-3.2-1B-Instruct,
