line_idx,algo,calls,avg_ms,max_ms,vq_id,vq_groups,head_deadline,slack,model,deadlines
27,timsort,1,0.032,0.032,0,1,1769183210.89,34.0,meta-llama/Llama-3.2-1B-Instruct,1769183210.890
35,timsort,143,0.088,0.226,0,131,1769183191.616,9.704,meta-llama/Llama-3.2-1B-Instruct,"1769183191.616, 1769183194.422, 1769183200.999, 1769183202.476, 1769183203.586"
41,timsort,246,0.162,0.514,0,318,1769183196.571,4.631,meta-llama/Llama-3.2-1B-Instruct,
44,timsort,333,0.236,0.736,0,410,1769183196.571,-0.42,meta-llama/Llama-3.2-1B-Instruct,
47,timsort,424,0.309,0.91,0,498,1769183196.571,-5.431,meta-llama/Llama-3.2-1B-Instruct,
50,timsort,512,0.373,1.168,0,498,1769183196.571,-5.431,meta-llama/Llama-3.2-1B-Instruct,"1769183196.571, 1769183200.999, 1769183201.863, 1769183201.999, 1769183202.476"
58,timsort,599,0.431,1.253,0,579,1769183203.452,-3.586,meta-llama/Llama-3.2-1B-Instruct,"1769183203.452, 1769183203.586, 1769183203.912, 1769183204.153, 1769183204.337"
77,timsort,699,0.495,1.954,0,662,1769183210.252,-1.808,meta-llama/Llama-3.2-1B-Instruct,"1769183210.252, 1769183210.538, 1769183211.997, 1769183212.256, 1769183212.334"
81,timsort,788,0.561,1.967,0,752,1769183211.997,-5.091,meta-llama/Llama-3.2-1B-Instruct,"1769183211.997, 1769183212.256, 1769183212.334, 1769183212.934, 1769183214.424"
85,timsort,864,0.614,1.967,0,828,1769183212.256,-9.85,meta-llama/Llama-3.2-1B-Instruct,"1769183212.256, 1769183212.334, 1769183212.934, 1769183214.424, 1769183214.520"
89,timsort,947,0.673,2.073,0,908,1769183212.334,-14.776,meta-llama/Llama-3.2-1B-Instruct,"1769183212.334, 1769183212.934, 1769183214.424, 1769183214.520, 1769183214.789"
93,timsort,1043,0.736,2.168,0,1004,1769183212.934,-19.206,meta-llama/Llama-3.2-1B-Instruct,"1769183212.934, 1769183214.424, 1769183214.520, 1769183214.789, 1769183215.304"
109,timsort,1132,0.795,2.387,0,1080,1769183217.526,-19.628,meta-llama/Llama-3.2-1B-Instruct,"1769183217.526, 1769183217.790, 1769183219.085, 1769183219.688, 1769183220.275"
118,timsort,1222,0.851,2.614,0,1166,1769183220.989,-21.186,meta-llama/Llama-3.2-1B-Instruct,"1769183220.989, 1769183221.233, 1769183221.329, 1769183221.414, 1769183221.504"
122,timsort,1312,0.917,3.939,0,1253,1769183221.329,-25.864,meta-llama/Llama-3.2-1B-Instruct,"1769183221.329, 1769183221.414, 1769183221.504, 1769183221.790, 1769183222.297"
127,timsort,1405,0.977,3.939,0,1344,1769183221.504,-30.758,meta-llama/Llama-3.2-1B-Instruct,"1769183221.504, 1769183221.790, 1769183222.297, 1769183222.396, 1769183222.786"
131,timsort,1495,1.049,3.939,0,1432,1769183221.79,-35.517,meta-llama/Llama-3.2-1B-Instruct,"1769183221.790, 1769183222.297, 1769183222.396, 1769183222.786, 1769183223.286"
136,timsort,1583,1.111,3.939,0,1519,1769183222.297,-40.05,meta-llama/Llama-3.2-1B-Instruct,"1769183222.297, 1769183222.396, 1769183222.786, 1769183223.286, 1769183223.330"
143,timsort,1687,1.171,3.939,0,1613,1769183223.381,-43.975,meta-llama/Llama-3.2-1B-Instruct,"1769183223.381, 1769183223.915, 1769183224.072, 1769183224.194, 1769183224.590"
152,timsort,1779,1.231,3.939,0,1705,1769183225.25,-47.117,meta-llama/Llama-3.2-1B-Instruct,"1769183225.250, 1769183226.095, 1769183226.143, 1769183226.417, 1769183226.603"
156,timsort,1866,1.296,3.998,0,1789,1769183226.095,-51.293,meta-llama/Llama-3.2-1B-Instruct,"1769183226.095, 1769183226.143, 1769183226.417, 1769183226.603, 1769183227.069"
161,timsort,1961,1.365,4.277,0,1882,1769183226.417,-56.027,meta-llama/Llama-3.2-1B-Instruct,"1769183226.417, 1769183226.603, 1769183227.069, 1769183227.286, 1769183228.270"
165,timsort,2044,1.422,4.608,0,1964,1769183226.603,-60.862,meta-llama/Llama-3.2-1B-Instruct,"1769183226.603, 1769183227.069, 1769183227.286, 1769183228.270, 1769183228.276"
171,timsort,2122,1.484,4.608,0,2039,1769183228.27,-64.199,meta-llama/Llama-3.2-1B-Instruct,"1769183228.270, 1769183228.276, 1769183228.937, 1769183229.166, 1769183229.543"
180,timsort,2225,1.547,6.786,0,2132,1769183229.784,-67.686,meta-llama/Llama-3.2-1B-Instruct,"1769183229.784, 1769183229.837, 1769183229.854, 1769183230.262, 1769183230.338"
188,timsort,2307,1.608,6.786,0,2215,1769183230.262,-72.238,meta-llama/Llama-3.2-1B-Instruct,"1769183230.262, 1769183230.338, 1769183231.172, 1769183231.778, 1769183231.851"
197,timsort,2390,1.672,6.786,0,2289,1769183232.231,-75.36,meta-llama/Llama-3.2-1B-Instruct,"1769183232.231, 1769183233.096, 1769183233.366, 1769183233.933, 1769183233.963"
204,timsort,2467,1.731,6.994,0,2365,1769183233.963,-78.668,meta-llama/Llama-3.2-1B-Instruct,"1769183233.963, 1769183234.041, 1769183234.290, 1769183234.538, 1769183234.994"
210,timsort,2552,1.792,7.5,0,2445,1769183234.994,-82.667,meta-llama/Llama-3.2-1B-Instruct,"1769183234.994, 1769183235.037, 1769183235.366, 1769183235.391, 1769183235.395"
216,timsort,2630,1.872,13.096,0,2521,1769183235.366,-87.306,meta-llama/Llama-3.2-1B-Instruct,"1769183235.366, 1769183235.391, 1769183235.395, 1769183235.697, 1769183235.715"
225,timsort,2722,1.929,13.096,0,2599,1769183236.194,-91.487,meta-llama/Llama-3.2-1B-Instruct,"1769183236.194, 1769183236.202, 1769183236.338, 1769183236.939, 1769183237.392"
