orig_slo,slo_type,insertion_time,wait_time,prompt_tok,out_tok,total_tok,ttft,tbt_p95,tbt_p99,tbt_slo,tbt_violation,tbt_success_rate_pct,ttlt,diff,violation,total_violation,finished_time,success_rate_pct,success_count,processed_count,kv,run_cnt,wait_cnt,swap_cnt,vram_used_gib,vram_total_gib,vq_id,vq_groups,head_deadline,slack,model,deadlines
40.0,0,1769193335.4946,0.121,27,32,59,0.0832,0.0215,0.463,1.0,0.0,100.0,0.7675,-39.7957,0.0,0.0,1769193336.3955398,100.0,2,2,0.013,1,0,0,13.46,15.0,0,1,1769193367.454,34.0,meta-llama/Llama-3.2-1B-Instruct,1769193367.454
70.0,1,1769193334.4822,0.0401,3405,23,3428,0.3817,0.02,0.0207,200.0,0.0,100.0,0.6953,-69.2646,0.0,0.0,1769193336.396808,100.0,2,2,0.012,1,0,0,13.46,15.0,0,1,1769193367.454,34.0,meta-llama/Llama-3.2-1B-Instruct,1769193367.454
158.0,0,1769193336.4953,0.0679,27,32,59,0.0473,0.0209,0.0234,1.0,0.0,100.0,0.4538,-157.8848,0.0,0.0,1769193337.0191278,100.0,3,3,0.013,1,0,0,13.52,15.0,0,1,1769193367.454,34.0,meta-llama/Llama-3.2-1B-Instruct,1769193367.454
30.0,0,1769193339.5342,0.0774,27,0,27,,,,1.0,,,0.0698,-29.8527,0.0,0.0,1769193339.6828227,100.0,4,4,0.038,3,0,0,13.66,15.0,0,1,1769193367.454,34.0,meta-llama/Llama-3.2-1B-Instruct,1769193367.454
121.0,0,1769193340.5437,0.0639,27,32,59,0.0655,0.0244,0.0252,1.0,0.0,100.0,0.522,-120.8706,0.0,0.0,1769193341.1304152,100.0,5,5,0.039,3,0,0,13.66,15.0,0,1,1769193367.454,34.0,meta-llama/Llama-3.2-1B-Instruct,1769193367.454
133.0,0,1769193341.5668,0.0775,27,32,59,0.0671,0.0244,0.025,1.0,0.0,100.0,0.525,-132.8553,0.0,0.0,1769193342.172124,100.0,6,6,0.04,3,0,0,13.66,15.0,0,1,1769193367.454,34.0,meta-llama/Llama-3.2-1B-Instruct,1769193367.454
139.0,0,1769193344.6811,0.0657,27,32,59,0.0783,0.0224,0.0231,1.0,0.0,100.0,0.6107,-138.856,0.0,0.0,1769193345.3614008,100.0,7,7,0.071,5,0,0,13.83,15.0,0,1,1769193367.454,34.0,meta-llama/Llama-3.2-1B-Instruct,1769193367.454
44.0,0,1769193348.813,0.0819,27,32,59,0.0673,0.0299,0.0306,1.0,0.0,100.0,0.6862,-43.8508,0.0,0.0,1769193349.5820322,100.0,8,8,0.107,8,0,0,13.83,15.0,0,1,1769193367.454,34.0,meta-llama/Llama-3.2-1B-Instruct,1769193367.454
30.0,0,1769193350.8414,0.0811,27,32,59,0.0925,0.0282,0.0314,1.0,0.0,100.0,0.735,-29.8265,0.0,0.0,1769193351.6584365,100.0,9,9,0.119,9,0,0,13.83,15.0,0,1,1769193367.454,34.0,meta-llama/Llama-3.2-1B-Instruct,1769193367.454
88.0,0,1769193351.8497,0.0876,27,32,59,0.0688,0.03,0.0323,1.0,0.0,100.0,0.7105,-87.8435,0.0,0.0,1769193352.6487145,100.0,10,10,0.12,9,0,0,13.83,15.0,0,1,1769193367.454,34.0,meta-llama/Llama-3.2-1B-Instruct,1769193367.454
