line_idx,algo,calls,avg_ms,max_ms,vq_id,vq_groups,head_deadline,slack,model,deadlines
27,timsort,1,0.037,0.037,0,1,1769246567.189,200.0,meta-llama/Llama-3.2-1B-Instruct,1769246567.189
37,timsort,22,0.139,0.407,0,135,1769246368.369,-4.92,meta-llama/Llama-3.2-1B-Instruct,
83,timsort,75,0.273,0.569,0,382,1769246369.139,-9.238,meta-llama/Llama-3.2-1B-Instruct,
130,timsort,128,0.425,0.899,0,621,1769246375.423,-7.976,meta-llama/Llama-3.2-1B-Instruct,
180,timsort,180,0.582,1.648,0,876,1769246377.38,-11.042,meta-llama/Llama-3.2-1B-Instruct,
231,timsort,229,0.734,5.036,0,1104,1769246378.556,-14.916,meta-llama/Llama-3.2-1B-Instruct,
282,timsort,280,0.886,5.036,0,1334,1769246380.175,-18.385,meta-llama/Llama-3.2-1B-Instruct,
339,timsort,332,1.035,5.036,0,1559,1769246382.039,-21.573,meta-llama/Llama-3.2-1B-Instruct,
391,timsort,383,1.191,5.036,0,1797,1769246383.765,-24.89,meta-llama/Llama-3.2-1B-Instruct,
444,timsort,432,1.369,10.856,0,2029,1769246385.58,-28.171,meta-llama/Llama-3.2-1B-Instruct,
497,timsort,481,1.563,10.856,0,2258,1769246387.557,-31.249,meta-llama/Llama-3.2-1B-Instruct,
548,timsort,531,1.821,10.856,0,2494,1769246389.002,-34.88,meta-llama/Llama-3.2-1B-Instruct,
601,timsort,580,2.053,10.856,0,2704,1769246390.95,-37.985,meta-llama/Llama-3.2-1B-Instruct,
650,timsort,627,2.909,407.857,0,2886,1769246392.819,-41.202,meta-llama/Llama-3.2-1B-Instruct,
700,timsort,674,3.077,407.857,0,3101,1769246393.992,-45.07,meta-llama/Llama-3.2-1B-Instruct,
753,timsort,724,3.248,407.857,0,3321,1769246395.589,-48.563,meta-llama/Llama-3.2-1B-Instruct,
802,timsort,771,3.438,407.857,0,3526,1769246397.326,-51.85,meta-llama/Llama-3.2-1B-Instruct,
854,timsort,820,3.614,407.857,0,3765,1769246399.162,-55.046,meta-llama/Llama-3.2-1B-Instruct,
903,timsort,864,4.115,407.857,0,3970,1769246401.145,-58.079,meta-llama/Llama-3.2-1B-Instruct,
952,timsort,913,4.259,407.857,0,4206,1769246402.484,-61.762,meta-llama/Llama-3.2-1B-Instruct,
1002,timsort,960,4.428,407.857,0,4397,1769246404.74,-64.515,meta-llama/Llama-3.2-1B-Instruct,
1050,timsort,1004,4.869,407.857,0,4629,1769246406.322,-67.999,meta-llama/Llama-3.2-1B-Instruct,
1100,timsort,1052,5.03,407.857,0,4832,1769246407.678,-71.739,meta-llama/Llama-3.2-1B-Instruct,
1148,timsort,1098,5.179,407.857,0,5056,1769246409.34,-75.086,meta-llama/Llama-3.2-1B-Instruct,
1196,timsort,1143,5.605,407.857,0,5257,1769246411.24,-78.21,meta-llama/Llama-3.2-1B-Instruct,
1245,timsort,1189,5.753,407.857,0,5483,1769246412.249,-82.307,meta-llama/Llama-3.2-1B-Instruct,
1296,timsort,1232,6.125,407.857,0,5685,1769246413.848,-85.745,meta-llama/Llama-3.2-1B-Instruct,
1346,timsort,1279,6.262,407.857,0,5872,1769246415.821,-88.821,meta-llama/Llama-3.2-1B-Instruct,
1391,timsort,1321,6.593,407.857,0,6063,1769246417.44,-92.242,meta-llama/Llama-3.2-1B-Instruct,
1437,timsort,1365,6.919,407.857,0,6262,1769246419.294,-95.425,meta-llama/Llama-3.2-1B-Instruct,
1487,timsort,1412,7.026,407.857,0,6474,1769246420.725,-99.084,meta-llama/Llama-3.2-1B-Instruct,
1531,timsort,1455,7.353,407.857,0,6681,1769246422.32,-102.561,meta-llama/Llama-3.2-1B-Instruct,
1578,timsort,1498,7.694,407.857,0,6876,1769246423.606,-106.341,meta-llama/Llama-3.2-1B-Instruct,
1628,timsort,1543,7.807,407.857,0,7090,1769246425.033,-109.996,meta-llama/Llama-3.2-1B-Instruct,
1673,timsort,1586,8.117,407.857,0,7285,1769246426.987,-113.106,meta-llama/Llama-3.2-1B-Instruct,
1718,timsort,1628,8.414,407.857,0,7459,1769246428.735,-116.389,meta-llama/Llama-3.2-1B-Instruct,
