orig_slo,slo_type,insertion_time,wait_time,prompt_tok,out_tok,total_tok,ttft,tbt_p95,tbt_p99,tbt_slo,tbt_violation,tbt_success_rate_pct,ttlt,diff,violation,total_violation,finished_time,success_rate_pct,success_count,processed_count,kv,run_cnt,wait_cnt,swap_cnt,vram_used_gib,vram_total_gib,vq_id,vq_groups,head_deadline,slack,model,deadlines
1.0,0,1769235013.8356,0.0589,27,32,59,0.5792,0.0243,0.6618,1.0,0.0,100.0,1.7276,-0.3619,0.0,0.2716,1769235016.5301383,100.0,4,7,0.0,0,0,0,12.58,15.0,0,1,1769235213.734,200.0,meta-llama/Llama-3.2-1B-Instruct,1769235213.734
1.0,0,1769235014.272,0.0411,27,32,59,0.8081,0.0256,0.0273,1.0,0.0,100.0,1.3124,-0.1508,0.0,0.2716,1769235018.0088115,100.0,4,7,0.013,3,1,0,13.52,15.0,0,1,1769235213.734,200.0,meta-llama/Llama-3.2-1B-Instruct,1769235213.734
1.0,0,1769235014.0908,0.0495,27,32,59,0.9829,0.0214,0.0287,1.0,0.0,100.0,1.4878,0.0324,0.0324,0.2716,1769235018.0550995,57.14,4,7,0.013,3,1,0,13.52,15.0,0,1,1769235213.734,200.0,meta-llama/Llama-3.2-1B-Instruct,1769235213.734
1.0,0,1769235013.7848,0.0562,27,32,59,0.159,0.0232,1.1402,1.0,0.1402,75.0,1.7817,-0.7848,0.0,0.2716,1769235018.139928,100.0,4,7,0.0,0,0,0,12.58,15.0,0,1,1769235213.734,200.0,meta-llama/Llama-3.2-1B-Instruct,1769235213.734
1.0,0,1769235013.9751,0.0482,27,32,59,1.099,0.0235,0.0255,1.0,0.0,80.0,1.6033,0.1472,0.1472,0.2716,1769235018.7463982,66.67,4,7,0.013,3,1,0,13.52,15.0,0,1,1769235213.734,200.0,meta-llama/Llama-3.2-1B-Instruct,1769235213.734
1.0,0,1769235014.1472,0.0523,27,32,59,0.9206,0.021,0.0232,1.0,0.0,83.33,1.4255,-0.0271,0.0,0.2716,1769235019.2305994,100.0,4,7,0.013,3,1,0,13.52,15.0,0,1,1769235213.734,200.0,meta-llama/Llama-3.2-1B-Instruct,1769235213.734
1.0,0,1769235014.0339,0.0495,27,32,59,1.0425,0.0237,0.0263,1.0,0.0,85.71,1.5427,0.092,0.092,0.2716,1769235019.8181868,80.0,4,7,0.013,3,1,0,13.52,15.0,0,1,1769235213.734,200.0,meta-llama/Llama-3.2-1B-Instruct,1769235213.734
1.0,0,1769235014.9917,5.1757,27,0,27,,,,1.0,,,0.0545,4.2302,4.2302,4.5018,1769235020.2230039,50.0,4,8,0.038,8,0,0,13.84,15.0,0,27,1769235015.734,-4.111,meta-llama/Llama-3.2-1B-Instruct,"1769235015.734, 1769235015.785, 1769235015.836, 1769235015.887, 1769235015.939"
1.0,0,1769235014.7337,5.1757,27,26,53,0.0666,0.0554,0.0567,1.0,0.0,87.5,0.7008,4.2423,4.2423,8.7441,1769235020.6133008,44.44,4,9,0.037,3,1,0,13.84,15.0,0,27,1769235015.734,-4.111,meta-llama/Llama-3.2-1B-Instruct,"1769235015.734, 1769235015.785, 1769235015.836, 1769235015.887, 1769235015.939"
1.0,0,1769235014.6148,5.2407,27,32,59,0.0639,0.054,0.0557,1.0,0.0,88.89,0.8143,4.3046,4.3046,13.0486,1769235020.6756947,40.0,4,10,0.037,3,0,0,13.84,15.0,0,27,1769235015.734,-4.111,meta-llama/Llama-3.2-1B-Instruct,"1769235015.734, 1769235015.785, 1769235015.836, 1769235015.887, 1769235015.939"
1.0,0,1769235014.7849,5.1813,27,32,59,0.0541,0.0513,0.0542,1.0,0.0,90.0,0.7265,4.2354,4.2354,17.284,1769235020.6943786,36.36,4,11,0.038,4,1,0,13.84,15.0,0,27,1769235015.734,-4.111,meta-llama/Llama-3.2-1B-Instruct,"1769235015.734, 1769235015.785, 1769235015.836, 1769235015.887, 1769235015.939"
1.0,0,1769235014.8362,5.1678,27,32,59,0.0699,0.0483,0.0543,1.0,0.0,90.91,0.7051,4.2377,4.2377,21.5217,1769235020.710019,33.33,4,12,0.038,5,0,0,13.84,15.0,0,27,1769235015.734,-4.111,meta-llama/Llama-3.2-1B-Instruct,"1769235015.734, 1769235015.785, 1769235015.836, 1769235015.887, 1769235015.939"
1.0,0,1769235014.8874,5.1789,27,32,59,0.0539,0.0487,0.0538,1.0,0.0,91.67,0.6533,4.2328,4.2328,25.7544,1769235020.720782,30.77,4,13,0.038,6,0,0,13.84,15.0,0,27,1769235015.734,-4.111,meta-llama/Llama-3.2-1B-Instruct,"1769235015.734, 1769235015.785, 1769235015.836, 1769235015.887, 1769235015.939"
