line_idx,algo,calls,avg_ms,max_ms,vq_id,vq_groups,head_deadline,slack,model,deadlines
43,timsort,1,0.03,0.03,0,4,1769248291.91,-1.056,meta-llama/Llama-3.2-1B-Instruct,
46,timsort,35,0.034,0.069,0,14,1769248291.91,-6.083,meta-llama/Llama-3.2-1B-Instruct,
49,timsort,69,0.047,0.084,0,24,1769248291.91,-11.159,meta-llama/Llama-3.2-1B-Instruct,
58,timsort,102,0.055,0.084,0,24,1769248291.91,-11.159,meta-llama/Llama-3.2-1B-Instruct,"1769248291.910, 1769248292.983, 1769248295.576, 1769248296.092, 1769248296.594"
81,timsort,136,0.058,0.084,0,23,1769248303.304,-4.906,meta-llama/Llama-3.2-1B-Instruct,"1769248303.304, 1769248303.818, 1769248305.366, 1769248305.873, 1769248306.402"
93,timsort,172,0.056,0.084,0,16,1769248494.071,180.755,meta-llama/Llama-3.2-1B-Instruct,"1769248494.071, 1769248496.115, 1769248497.170, 1769248497.691, 1769248498.724"
101,timsort,205,0.056,0.084,0,17,1769248319.338,0.954,meta-llama/Llama-3.2-1B-Instruct,"1769248319.338, 1769248500.290, 1769248503.336, 1769248503.862, 1769248507.448"
110,timsort,238,0.058,0.098,0,21,1769248323.989,0.538,meta-llama/Llama-3.2-1B-Instruct,"1769248323.989, 1769248500.290, 1769248503.336, 1769248503.862, 1769248507.448"
119,timsort,269,0.059,0.098,0,25,1769248328.392,-0.191,meta-llama/Llama-3.2-1B-Instruct,"1769248328.392, 1769248500.290, 1769248503.336, 1769248503.862, 1769248507.448"
127,timsort,302,0.062,0.105,0,29,1769248333.142,-0.597,meta-llama/Llama-3.2-1B-Instruct,"1769248333.142, 1769248500.290, 1769248503.336, 1769248503.862, 1769248507.448"
142,timsort,337,0.064,0.108,0,34,1769248338.968,0.17,meta-llama/Llama-3.2-1B-Instruct,"1769248338.968, 1769248339.470, 1769248503.336, 1769248503.862, 1769248507.448"
150,timsort,372,0.066,0.108,0,38,1769248346.764,-2.241,meta-llama/Llama-3.2-1B-Instruct,
155,timsort,405,0.069,0.165,0,38,1769248346.764,-2.241,meta-llama/Llama-3.2-1B-Instruct,"1769248346.764, 1769248347.265, 1769248348.291, 1769248349.310, 1769248349.811"
