line_idx,algo,calls,avg_ms,max_ms,vq_id,vq_groups,head_deadline,slack,model,deadlines
226,timsort,1,0.029,0.029,0,1,1769340617.492,200.0,meta-llama/Llama-3.2-1B-Instruct,1769340617.492
233,timsort,118,0.02,0.031,0,3,1769340467.265,-0.467,meta-llama/Llama-3.2-1B-Instruct,"1769340467.265, 1769340665.251, 1769340667.339"
237,timsort,245,0.021,0.04,0,4,1769340669.383,196.628,meta-llama/Llama-3.2-1B-Instruct,"1769340669.383, 1769340670.406, 1769340671.480, 1769340672.510"
245,timsort,354,0.023,0.042,0,9,1769340474.525,-3.265,meta-llama/Llama-3.2-1B-Instruct,"1769340474.525, 1769340476.575, 1769340478.686, 1769340669.383, 1769340670.406"
255,timsort,478,0.023,0.052,0,5,1769340672.51,189.717,meta-llama/Llama-3.2-1B-Instruct,"1769340672.510, 1769340674.570, 1769340676.667, 1769340679.738, 1769340681.809"
262,timsort,606,0.023,0.068,0,3,1769340681.809,193.978,meta-llama/Llama-3.2-1B-Instruct,"1769340681.809, 1769340682.837, 1769340683.888"
268,timsort,760,0.022,0.068,0,5,1769340682.837,189.983,meta-llama/Llama-3.2-1B-Instruct,"1769340682.837, 1769340683.888, 1769340689.036, 1769340690.073, 1769340691.131"
276,timsort,868,0.023,0.068,0,7,1769340498.359,0.5,meta-llama/Llama-3.2-1B-Instruct,"1769340498.359, 1769340683.888, 1769340689.036, 1769340690.073, 1769340691.131"
286,timsort,987,0.023,0.068,0,5,1769340503.536,0.642,meta-llama/Llama-3.2-1B-Instruct,"1769340503.536, 1769340696.358, 1769340698.412, 1769340699.465, 1769340700.521"
294,timsort,1112,0.023,0.068,0,5,1769340508.833,0.893,meta-llama/Llama-3.2-1B-Instruct,"1769340508.833, 1769340700.521, 1769340703.603, 1769340705.770, 1769340706.823"
305,timsort,1187,0.022,0.068,0,1,1769340711.95,199.002,meta-llama/Llama-3.2-1B-Instruct,1769340711.950
312,timsort,1216,0.022,0.068,0,1,1769340717.115,199.159,meta-llama/Llama-3.2-1B-Instruct,1769340717.115
