line_idx,algo,calls,avg_ms,max_ms,vq_id,vq_groups,head_deadline,slack,model,deadlines
27,timsort,1,0.051,0.051,0,175,1769346591.275,-2.82,meta-llama/Llama-3.2-1B-Instruct,
30,timsort,222,0.132,0.656,0,175,1769346591.275,-2.82,meta-llama/Llama-3.2-1B-Instruct,"1769346591.275, 1769346591.317, 1769346591.331, 1769346591.344, 1769346591.359"
36,timsort,315,0.177,0.664,0,316,1769346591.275,-10.28,meta-llama/Llama-3.2-1B-Instruct,
55,timsort,316,0.177,0.664,0,316,1769346591.317,-18.225,meta-llama/Llama-3.2-1B-Instruct,
76,timsort,407,0.237,0.767,0,366,1769346592.833,-21.741,meta-llama/Llama-3.2-1B-Instruct,
181,timsort,486,0.295,0.876,0,401,1769346594.997,-24.86,meta-llama/Llama-3.2-1B-Instruct,
221,timsort,567,0.345,0.989,0,442,1769346597.212,-27.694,meta-llama/Llama-3.2-1B-Instruct,
264,timsort,645,0.389,1.099,0,478,1769346611.225,-18.699,meta-llama/Llama-3.2-1B-Instruct,
308,timsort,724,0.435,1.213,0,514,1769346615.954,-18.975,meta-llama/Llama-3.2-1B-Instruct,
354,timsort,801,0.475,1.278,0,549,1769346621.56,-18.403,meta-llama/Llama-3.2-1B-Instruct,
402,timsort,878,0.514,1.332,0,582,1769346627.431,-17.54,meta-llama/Llama-3.2-1B-Instruct,
485,timsort,949,0.548,1.408,0,597,1769346634.801,-15.596,meta-llama/Llama-3.2-1B-Instruct,
549,timsort,1026,0.58,1.425,0,597,1769346645.492,-9.961,meta-llama/Llama-3.2-1B-Instruct,
625,timsort,1093,0.603,1.44,0,597,1769346654.008,-6.452,meta-llama/Llama-3.2-1B-Instruct,
702,timsort,1154,0.624,1.478,0,597,1769346663.877,-1.588,meta-llama/Llama-3.2-1B-Instruct,
740,timsort,1259,0.643,1.72,0,640,1769346669.912,-0.564,meta-llama/Llama-3.2-1B-Instruct,
790,timsort,1346,0.665,7.292,0,686,1769346673.127,-2.373,meta-llama/Llama-3.2-1B-Instruct,
846,timsort,1417,0.684,7.292,0,696,1769346681.185,0.645,meta-llama/Llama-3.2-1B-Instruct,
883,timsort,1506,0.712,10.546,0,752,1769346684.261,-1.345,meta-llama/Llama-3.2-1B-Instruct,
