orig_slo,slo_type,insertion_time,wait_time,prompt_tok,out_tok,total_tok,ttft,tbt_p95,tbt_p99,tbt_slo,tbt_violation,tbt_success_rate_pct,ttlt,diff,violation,total_violation,finished_time,success_rate_pct,success_count,processed_count,kv,run_cnt,wait_cnt,swap_cnt,vram_used_gib,vram_total_gib,vq_id,vq_groups,head_deadline,slack,model,deadlines
1.0,0,1769340855.685,0.033,27,32,59,0.1417,0.017,0.0434,1.0,0.0,100.0,0.5784,-0.8253,0.0,0.0,1769340857.1982038,100.0,2,2,0.0,0,0,0,13.46,15.0,0,1,1769341055.174,200.0,meta-llama/Llama-3.2-1B-Instruct,1769341055.174
1.0,0,1769340856.1929,0.0395,27,32,59,0.0728,0.0207,0.0261,1.0,0.0,100.0,0.4765,-0.8877,0.0,0.0,1769340858.0508075,100.0,2,2,0.013,2,0,0,13.52,15.0,0,1,1769341055.174,200.0,meta-llama/Llama-3.2-1B-Instruct,1769341055.174
1.0,0,1769340857.2204,0.0588,27,32,59,0.7039,0.0176,0.0378,1.0,0.0,100.0,0.8259,-0.2373,0.0,0.0,1769340858.1083589,100.0,3,3,0.013,1,0,0,13.52,15.0,0,1,1769341055.174,200.0,meta-llama/Llama-3.2-1B-Instruct,1769341055.174
1.0,0,1769340858.0488,0.0655,27,32,59,0.0537,0.0199,0.0201,1.0,0.0,100.0,0.4918,-0.8807,0.0,0.0,1769340858.6073759,100.0,4,4,0.024,2,0,0,13.52,15.0,0,1,1769341055.174,200.0,meta-llama/Llama-3.2-1B-Instruct,1769341055.174
1.0,0,1769340858.5739,0.0535,27,0,27,,,,1.0,,,0.0638,-0.8827,0.0,0.0,1769340858.693302,100.0,5,5,0.024,2,0,0,13.52,15.0,0,1,1769341055.174,200.0,meta-llama/Llama-3.2-1B-Instruct,1769341055.174
1.0,0,1769340859.1062,0.0576,27,32,59,0.0544,0.0255,0.0261,1.0,0.0,100.0,0.4879,-0.888,0.0,0.0,1769340859.65285,100.0,6,6,0.024,2,0,0,13.52,15.0,0,1,1769341055.174,200.0,meta-llama/Llama-3.2-1B-Instruct,1769341055.174
1.0,0,1769340860.15,0.0594,27,32,59,0.0608,0.0196,0.0221,1.0,0.0,100.0,0.5263,-0.8798,0.0,0.0,1769340860.7364285,100.0,7,7,0.036,3,0,0,13.52,15.0,0,1,1769341055.174,200.0,meta-llama/Llama-3.2-1B-Instruct,1769341055.174
1.0,0,1769340863.8342,0.0515,27,9,36,0.0918,0.0252,0.0252,1.0,0.0,100.0,0.2752,-0.8567,0.0,0.0,1769340864.162585,100.0,8,8,0.102,9,0,0,13.78,15.0,0,1,1769341055.174,200.0,meta-llama/Llama-3.2-1B-Instruct,1769341055.174
1.0,0,1769340862.7842,0.0527,27,32,59,0.314,0.0498,0.5198,1.0,0.0,100.0,1.4443,-0.6333,0.0,0.0,1769340864.2826147,100.0,9,9,0.087,7,0,0,13.78,15.0,0,1,1769341055.174,200.0,meta-llama/Llama-3.2-1B-Instruct,1769341055.174
1.0,0,1769340864.3456,0.0689,27,32,59,0.0691,0.0294,0.0425,1.0,0.0,100.0,0.7189,-0.8621,0.0,0.0,1769340865.1362202,100.0,10,10,0.103,8,0,0,13.78,15.0,0,1,1769341055.174,200.0,meta-llama/Llama-3.2-1B-Instruct,1769341055.174
1.0,0,1769340864.8477,0.0922,27,32,59,0.0716,0.0333,0.0427,1.0,0.0,100.0,0.7234,-0.8362,0.0,0.0,1769340865.664639,100.0,11,11,0.104,9,0,0,13.78,15.0,0,1,1769341055.174,200.0,meta-llama/Llama-3.2-1B-Instruct,1769341055.174
1.0,0,1769340865.393,0.1007,27,28,55,0.0662,0.0378,0.0481,1.0,0.0,100.0,0.6577,-0.8331,0.0,0.0,1769340866.1524785,100.0,12,12,0.104,9,0,0,13.78,15.0,0,1,1769341055.174,200.0,meta-llama/Llama-3.2-1B-Instruct,1769341055.174
1.0,0,1769340865.8981,0.1037,27,32,59,0.0637,0.0441,0.048,1.0,0.0,100.0,0.712,-0.8326,0.0,0.0,1769340866.714775,100.0,13,13,0.105,9,0,0,13.78,15.0,0,1,1769341055.174,200.0,meta-llama/Llama-3.2-1B-Instruct,1769341055.174
1.0,0,1769340866.4176,0.1035,27,32,59,0.0718,0.0506,2.3296,1.0,1.3296,92.31,3.0687,-0.8247,0.0,0.0,1769340869.593502,100.0,14,14,0.106,9,0,0,13.78,15.0,0,1,1769341055.174,200.0,meta-llama/Llama-3.2-1B-Instruct,1769341055.174
1.0,0,1769340869.0692,0.0513,27,32,59,0.3394,0.3565,0.3831,1.0,0.0,92.86,2.218,-0.6093,0.0,0.0,1769340871.349393,100.0,16,16,0.166,13,0,0,14.06,15.0,0,1,1769341055.174,200.0,meta-llama/Llama-3.2-1B-Instruct,1769341055.174
1.0,0,1769340868.0236,0.0508,27,32,59,0.8186,0.3849,0.5948,1.0,0.0,93.33,3.2693,-0.1306,0.0,0.0,1769340871.3520288,100.0,16,16,0.136,10,0,0,14.06,15.0,0,1,1769341055.174,200.0,meta-llama/Llama-3.2-1B-Instruct,1769341055.174
