line_idx,algo,calls,avg_ms,max_ms,vq_id,vq_groups,head_deadline,slack,model,deadlines
29,timsort,1,0.026,0.026,0,120,1769441249.386,-1.541,meta-llama/Llama-3.2-1B-Instruct,
32,timsort,225,0.128,1.069,0,358,1769441249.386,-6.552,meta-llama/Llama-3.2-1B-Instruct,
35,timsort,468,0.211,1.335,0,565,1769441249.386,-11.584,meta-llama/Llama-3.2-1B-Instruct,
76,timsort,586,0.271,1.335,0,587,1769441251.195,-14.804,meta-llama/Llama-3.2-1B-Instruct,
80,timsort,667,0.334,1.335,0,669,1769441251.235,-19.797,meta-llama/Llama-3.2-1B-Instruct,
83,timsort,758,0.398,1.371,0,765,1769441251.235,-24.828,meta-llama/Llama-3.2-1B-Instruct,
86,timsort,855,0.464,1.595,0,867,1769441251.235,-29.84,meta-llama/Llama-3.2-1B-Instruct,
89,timsort,957,0.54,1.936,0,964,1769441251.235,-35.009,meta-llama/Llama-3.2-1B-Instruct,
93,timsort,1053,0.607,2.448,0,1057,1769441251.277,-39.981,meta-llama/Llama-3.2-1B-Instruct,
96,timsort,1146,0.688,11.545,0,1154,1769441251.277,-44.996,meta-llama/Llama-3.2-1B-Instruct,
99,timsort,1245,0.761,11.545,0,1254,1769441251.277,-50.026,meta-llama/Llama-3.2-1B-Instruct,
113,timsort,1439,0.902,11.545,0,1349,1769441251.277,-55.056,meta-llama/Llama-3.2-1B-Instruct,"1769441251.277, 1769441251.389, 1769441251.454, 1769441251.570, 1769441251.636"
117,timsort,1531,0.966,11.545,0,1538,1769441251.454,-64.924,meta-llama/Llama-3.2-1B-Instruct,
120,timsort,1630,1.036,11.545,0,1538,1769441251.454,-64.924,meta-llama/Llama-3.2-1B-Instruct,"1769441251.454, 1769441251.570, 1769441251.636, 1769441251.649, 1769441251.662"
125,timsort,1728,1.105,11.545,0,1639,1769441251.57,-69.833,meta-llama/Llama-3.2-1B-Instruct,"1769441251.570, 1769441251.636, 1769441251.649, 1769441251.662, 1769441251.675"
129,timsort,1826,1.174,11.545,0,1734,1769441251.649,-74.799,meta-llama/Llama-3.2-1B-Instruct,"1769441251.649, 1769441251.662, 1769441251.675, 1769441251.688, 1769441251.701"
154,timsort,1943,1.241,11.545,0,1809,1769441253.04,-78.437,meta-llama/Llama-3.2-1B-Instruct,"1769441253.040, 1769441253.130, 1769441253.144, 1769441253.179, 1769441253.221"
280,timsort,1980,1.297,31.604,0,1885,1769441253.179,-83.331,meta-llama/Llama-3.2-1B-Instruct,"1769441253.179, 1769441253.221, 1769441253.323, 1769441253.338, 1769441253.374"
340,timsort,2038,1.356,31.604,0,1885,1769441255.142,-86.398,meta-llama/Llama-3.2-1B-Instruct,"1769441255.142, 1769441255.156, 1769441255.169, 1769441255.182, 1769441255.223"
402,timsort,2094,1.406,31.604,0,1885,1769441257.294,-89.313,meta-llama/Llama-3.2-1B-Instruct,"1769441257.294, 1769441257.308, 1769441257.377, 1769441257.391, 1769441257.404"
463,timsort,2153,1.456,31.604,0,1885,1769441259.735,-91.902,meta-llama/Llama-3.2-1B-Instruct,"1769441259.735, 1769441259.780, 1769441259.818, 1769441259.893, 1769441259.907"
526,timsort,2208,1.508,31.604,0,1885,1769441265.273,-91.384,meta-llama/Llama-3.2-1B-Instruct,"1769441265.273, 1769441265.336, 1769441265.494, 1769441265.561, 1769441265.756"
591,timsort,2271,1.554,31.604,0,1885,1769441272.647,-89.037,meta-llama/Llama-3.2-1B-Instruct,"1769441272.647, 1769441272.835, 1769441272.977, 1769441273.025, 1769441273.051"
669,timsort,2334,1.604,31.604,0,1885,1769441279.63,-87.144,meta-llama/Llama-3.2-1B-Instruct,"1769441279.630, 1769441279.656, 1769441279.703, 1769441279.750, 1769441279.777"
744,timsort,2406,1.648,31.604,0,1885,1769441286.3,-85.523,meta-llama/Llama-3.2-1B-Instruct,"1769441286.300, 1769441286.331, 1769441286.457, 1769441286.580, 1769441286.622"
816,timsort,2475,1.686,31.604,0,1885,1769441293.763,-83.127,meta-llama/Llama-3.2-1B-Instruct,"1769441293.763, 1769441294.113, 1769441294.161, 1769441294.243, 1769441294.286"
893,timsort,2548,1.724,31.604,0,1885,1769441300.688,-81.231,meta-llama/Llama-3.2-1B-Instruct,"1769441300.688, 1769441300.714, 1769441300.835, 1769441300.945, 1769441301.028"
967,timsort,2620,1.763,31.604,0,1885,1769441308.172,-78.798,meta-llama/Llama-3.2-1B-Instruct,"1769441308.172, 1769441308.202, 1769441308.293, 1769441308.409, 1769441308.457"
1043,timsort,2694,1.798,31.604,0,1885,1769441316.704,-75.276,meta-llama/Llama-3.2-1B-Instruct,"1769441316.704, 1769441316.754, 1769441316.848, 1769441316.893, 1769441316.922"
1120,timsort,2764,1.833,31.604,0,1885,1769441323.974,-73.019,meta-llama/Llama-3.2-1B-Instruct,"1769441323.974, 1769441324.019, 1769441324.105, 1769441324.153, 1769441324.183"
1193,timsort,2836,1.866,31.604,0,1885,1769441331.641,-70.354,meta-llama/Llama-3.2-1B-Instruct,"1769441331.641, 1769441331.675, 1769441331.722, 1769441331.814, 1769441332.015"
1268,timsort,2908,1.897,31.604,0,1885,1769441342.367,-64.665,meta-llama/Llama-3.2-1B-Instruct,"1769441342.367, 1769441342.408, 1769441342.630, 1769441342.714, 1769441342.794"
1344,timsort,2980,1.927,31.604,0,1885,1769441354.43,-57.67,meta-llama/Llama-3.2-1B-Instruct,"1769441354.430, 1769441354.667, 1769441354.861, 1769441354.922, 1769441354.983"
1418,timsort,3053,1.956,31.604,0,1885,1769441364.921,-52.207,meta-llama/Llama-3.2-1B-Instruct,"1769441364.921, 1769441365.128, 1769441365.214, 1769441365.695, 1769441365.768"
1491,timsort,3124,1.984,31.604,0,1885,1769441376.381,-45.778,meta-llama/Llama-3.2-1B-Instruct,"1769441376.381, 1769441376.432, 1769441376.790, 1769441376.867, 1769441377.136"
1567,timsort,3197,2.017,31.604,0,1885,1769441387.172,-39.999,meta-llama/Llama-3.2-1B-Instruct,"1769441387.172, 1769441387.369, 1769441387.477, 1769441387.634, 1769441387.773"
1642,timsort,3267,2.04,31.604,0,1885,1769441396.796,-35.451,meta-llama/Llama-3.2-1B-Instruct,"1769441396.796, 1769441397.110, 1769441397.246, 1769441397.376, 1769441397.543"
1716,timsort,3339,2.062,31.604,0,1885,1769441406.088,-31.195,meta-llama/Llama-3.2-1B-Instruct,"1769441406.088, 1769441406.139, 1769441406.204, 1769441406.428, 1769441406.595"
1789,timsort,3409,2.084,31.604,0,1885,1769441416.151,-26.183,meta-llama/Llama-3.2-1B-Instruct,"1769441416.151, 1769441416.278, 1769441416.364, 1769441416.427, 1769441416.485"
1863,timsort,3479,2.104,31.604,0,1885,1769441426.02,-21.348,meta-llama/Llama-3.2-1B-Instruct,"1769441426.020, 1769441426.234, 1769441426.428, 1769441426.488, 1769441426.611"
1938,timsort,3552,2.127,31.604,0,1885,1769441436.72,-15.665,meta-llama/Llama-3.2-1B-Instruct,"1769441436.720, 1769441436.781, 1769441436.973, 1769441437.029, 1769441437.311"
1990,timsort,3635,2.145,31.604,0,1885,1769441447.095,-10.302,meta-llama/Llama-3.2-1B-Instruct,"1769441447.095, 1769441447.363, 1769441447.418, 1769441447.816, 1769441447.878"
2005,timsort,3746,2.163,31.604,0,2002,1769441451.939,-15.508,meta-llama/Llama-3.2-1B-Instruct,
2008,timsort,3883,2.164,31.604,0,2002,1769441451.939,-15.508,meta-llama/Llama-3.2-1B-Instruct,"1769441451.939, 1769441451.962, 1769441451.986, 1769441452.053, 1769441452.061"
2025,timsort,3982,2.181,31.604,0,2188,1769441452.364,-25.153,meta-llama/Llama-3.2-1B-Instruct,
2028,timsort,4060,2.211,31.604,0,2276,1769441452.364,-30.206,meta-llama/Llama-3.2-1B-Instruct,
2031,timsort,4147,2.241,31.604,0,2276,1769441452.364,-30.206,meta-llama/Llama-3.2-1B-Instruct,"1769441452.364, 1769441452.396, 1769441452.422, 1769441452.424, 1769441452.478"
2035,timsort,4233,2.27,31.604,0,2451,1769441452.396,-40.228,meta-llama/Llama-3.2-1B-Instruct,
2039,timsort,4326,2.302,31.604,0,2540,1769441452.422,-45.23,meta-llama/Llama-3.2-1B-Instruct,
2042,timsort,4415,2.347,31.604,0,2629,1769441452.422,-50.261,meta-llama/Llama-3.2-1B-Instruct,
2045,timsort,4507,2.389,31.604,0,2721,1769441452.422,-55.265,meta-llama/Llama-3.2-1B-Instruct,
2048,timsort,4584,2.541,493.471,0,2721,1769441452.422,-55.265,meta-llama/Llama-3.2-1B-Instruct,"1769441452.422, 1769441452.424, 1769441452.478, 1769441452.506, 1769441452.536"
2053,timsort,4658,2.586,493.471,0,2868,1769441452.478,-65.276,meta-llama/Llama-3.2-1B-Instruct,
2056,timsort,4742,2.643,493.471,0,2948,1769441452.478,-70.307,meta-llama/Llama-3.2-1B-Instruct,
2059,timsort,4826,2.69,493.471,0,3039,1769441452.478,-75.333,meta-llama/Llama-3.2-1B-Instruct,
2062,timsort,4917,2.75,493.471,0,3128,1769441452.478,-80.344,meta-llama/Llama-3.2-1B-Instruct,
2065,timsort,5005,2.804,493.471,0,3218,1769441452.478,-85.4,meta-llama/Llama-3.2-1B-Instruct,
2068,timsort,5091,2.86,493.471,0,3302,1769441452.478,-90.465,meta-llama/Llama-3.2-1B-Instruct,
2090,timsort,5178,2.972,493.471,0,3390,1769441453.114,-94.872,meta-llama/Llama-3.2-1B-Instruct,
2093,timsort,5311,2.997,493.471,0,3523,1769441453.114,-99.887,meta-llama/Llama-3.2-1B-Instruct,
2098,timsort,5432,3.037,493.471,0,3523,1769441453.114,-99.887,meta-llama/Llama-3.2-1B-Instruct,"1769441453.114, 1769441453.171, 1769441453.182, 1769441453.211, 1769441453.272"
2110,timsort,5514,3.088,493.471,0,3613,1769441453.369,-104.668,meta-llama/Llama-3.2-1B-Instruct,"1769441453.369, 1769441453.421, 1769441453.438, 1769441453.475, 1769441453.514"
2116,timsort,5590,3.194,493.471,0,3684,1769441453.514,-109.546,meta-llama/Llama-3.2-1B-Instruct,"1769441453.514, 1769441453.535, 1769441453.562, 1769441453.591, 1769441453.618"
2122,timsort,5681,3.256,493.471,0,3853,1769441453.618,-119.515,meta-llama/Llama-3.2-1B-Instruct,
2127,timsort,5768,3.321,493.471,0,3853,1769441453.618,-119.515,meta-llama/Llama-3.2-1B-Instruct,"1769441453.618, 1769441453.670, 1769441453.708, 1769441453.725, 1769441453.790"
2132,timsort,5845,3.443,493.471,0,4010,1769441453.79,-129.406,meta-llama/Llama-3.2-1B-Instruct,
2135,timsort,5922,3.508,493.471,0,4091,1769441453.79,-134.459,meta-llama/Llama-3.2-1B-Instruct,
2138,timsort,6007,3.576,493.471,0,4091,1769441453.79,-134.459,meta-llama/Llama-3.2-1B-Instruct,"1769441453.790, 1769441453.795, 1769441453.880, 1769441453.905, 1769441453.942"
2142,timsort,6079,3.686,493.471,0,4244,1769441453.795,-144.563,meta-llama/Llama-3.2-1B-Instruct,
2146,timsort,6159,3.755,493.471,0,4244,1769441453.795,-144.563,meta-llama/Llama-3.2-1B-Instruct,"1769441453.795, 1769441453.880, 1769441453.905, 1769441453.942, 1769441453.969"
2150,timsort,6234,3.864,493.471,0,4323,1769441453.905,-149.715,meta-llama/Llama-3.2-1B-Instruct,"1769441453.905, 1769441453.942, 1769441453.969, 1769441453.997, 1769441454.062"
2154,timsort,6315,3.929,493.471,0,4477,1769441453.942,-159.766,meta-llama/Llama-3.2-1B-Instruct,
2158,timsort,6391,4.041,493.471,0,4559,1769441453.969,-164.796,meta-llama/Llama-3.2-1B-Instruct,
2161,timsort,6475,4.089,493.471,0,4642,1769441453.969,-169.816,meta-llama/Llama-3.2-1B-Instruct,
2164,timsort,6557,4.147,493.471,0,4724,1769441453.969,-174.849,meta-llama/Llama-3.2-1B-Instruct,
2182,timsort,6652,4.242,493.471,0,4820,1769441454.475,-179.4,meta-llama/Llama-3.2-1B-Instruct,
2185,timsort,6761,4.323,493.471,0,4820,1769441454.475,-179.4,meta-llama/Llama-3.2-1B-Instruct,"1769441454.475, 1769441454.526, 1769441454.545, 1769441454.556, 1769441454.582"
2198,timsort,6846,4.369,493.471,0,4910,1769441454.655,-184.233,meta-llama/Llama-3.2-1B-Instruct,"1769441454.655, 1769441454.681, 1769441454.696, 1769441454.706, 1769441454.761"
