line_idx,algo,calls,avg_ms,max_ms,vq_id,vq_groups,head_deadline,slack,model,deadlines
29,timsort,1,0.028,0.028,0,120,1769444403.824,-1.524,meta-llama/Llama-3.2-1B-Instruct,
32,timsort,226,0.126,1.089,0,355,1769444403.824,-6.537,meta-llama/Llama-3.2-1B-Instruct,
35,timsort,465,0.213,1.15,0,588,1769444403.824,-11.581,meta-llama/Llama-3.2-1B-Instruct,
70,timsort,602,0.276,2.479,0,588,1769444403.824,-11.581,meta-llama/Llama-3.2-1B-Instruct,"1769444403.824, 1769444403.866, 1769444403.970, 1769444404.040, 1769444404.116"
74,timsort,682,0.343,2.479,0,690,1769444405.65,-20.135,meta-llama/Llama-3.2-1B-Instruct,
78,timsort,771,0.404,2.479,0,787,1769444405.695,-25.092,meta-llama/Llama-3.2-1B-Instruct,
81,timsort,873,0.479,2.479,0,888,1769444405.695,-30.12,meta-llama/Llama-3.2-1B-Instruct,
84,timsort,973,0.552,2.479,0,981,1769444405.695,-35.158,meta-llama/Llama-3.2-1B-Instruct,
87,timsort,1067,0.618,2.479,0,1077,1769444405.695,-40.181,meta-llama/Llama-3.2-1B-Instruct,
90,timsort,1161,0.69,2.479,0,1174,1769444405.695,-45.209,meta-llama/Llama-3.2-1B-Instruct,
93,timsort,1262,0.764,2.592,0,1174,1769444405.695,-45.209,meta-llama/Llama-3.2-1B-Instruct,"1769444405.695, 1769444405.803, 1769444405.866, 1769444405.986, 1769444406.053"
111,timsort,1362,0.835,4.757,0,1370,1769444405.803,-55.167,meta-llama/Llama-3.2-1B-Instruct,
114,timsort,1456,0.903,5.091,0,1463,1769444405.803,-60.17,meta-llama/Llama-3.2-1B-Instruct,
117,timsort,1549,0.973,5.091,0,1563,1769444405.803,-65.217,meta-llama/Llama-3.2-1B-Instruct,
120,timsort,1652,1.047,5.439,0,1662,1769444405.803,-70.28,meta-llama/Llama-3.2-1B-Instruct,
123,timsort,1748,1.114,5.439,0,1765,1769444405.803,-75.302,meta-llama/Llama-3.2-1B-Instruct,
126,timsort,1844,1.179,5.439,0,1765,1769444405.803,-75.302,meta-llama/Llama-3.2-1B-Instruct,"1769444405.803, 1769444405.866, 1769444405.986, 1769444406.053, 1769444406.066"
152,timsort,1973,1.238,5.439,0,1847,1769444407.448,-78.66,meta-llama/Llama-3.2-1B-Instruct,"1769444407.448, 1769444407.461, 1769444407.474, 1769444407.565, 1769444407.579"
249,timsort,2055,1.273,8.89,0,1985,1769444407.448,-83.769,meta-llama/Llama-3.2-1B-Instruct,"1769444407.448, 1769444407.461, 1769444407.474, 1769444407.565, 1769444407.579"
304,timsort,2111,1.33,8.89,0,1985,1769444408.742,-87.544,meta-llama/Llama-3.2-1B-Instruct,"1769444408.742, 1769444408.756, 1769444408.803, 1769444408.817, 1769444408.856"
365,timsort,2168,1.409,26.338,0,1985,1769444410.677,-90.63,meta-llama/Llama-3.2-1B-Instruct,"1769444410.677, 1769444410.690, 1769444410.704, 1769444410.717, 1769444410.731"
428,timsort,2226,1.476,26.338,0,1985,1769444413.022,-93.311,meta-llama/Llama-3.2-1B-Instruct,"1769444413.022, 1769444413.035, 1769444413.048, 1769444413.090, 1769444413.127"
491,timsort,2284,1.527,26.338,0,1985,1769444415.784,-95.559,meta-llama/Llama-3.2-1B-Instruct,"1769444415.784, 1769444415.797, 1769444415.886, 1769444415.899, 1769444415.913"
557,timsort,2342,1.571,26.338,0,1985,1769444423.666,-92.711,meta-llama/Llama-3.2-1B-Instruct,"1769444423.666, 1769444423.709, 1769444423.739, 1769444423.788, 1769444423.868"
630,timsort,2405,1.626,26.338,0,1985,1769444430.71,-90.685,meta-llama/Llama-3.2-1B-Instruct,"1769444430.710, 1769444430.753, 1769444430.784, 1769444430.832, 1769444430.860"
706,timsort,2477,1.675,26.338,0,1985,1769444436.759,-89.699,meta-llama/Llama-3.2-1B-Instruct,"1769444436.759, 1769444436.840, 1769444436.961, 1769444437.008, 1769444437.036"
783,timsort,2550,1.715,26.338,0,1985,1769444445.468,-86.023,meta-llama/Llama-3.2-1B-Instruct,"1769444445.468, 1769444445.550, 1769444445.596, 1769444445.624, 1769444445.671"
862,timsort,2627,1.757,26.338,0,1985,1769444452.004,-84.522,meta-llama/Llama-3.2-1B-Instruct,"1769444452.004, 1769444452.253, 1769444452.392, 1769444452.478, 1769444452.528"
938,timsort,2700,1.799,26.338,0,1985,1769444459.665,-81.889,meta-llama/Llama-3.2-1B-Instruct,"1769444459.665, 1769444459.717, 1769444459.892, 1769444460.105, 1769444460.307"
1015,timsort,2774,1.84,26.338,0,1985,1769444467.877,-78.715,meta-llama/Llama-3.2-1B-Instruct,"1769444467.877, 1769444468.052, 1769444468.083, 1769444468.199, 1769444468.238"
1089,timsort,2846,1.882,26.338,0,1985,1769444474.492,-77.152,meta-llama/Llama-3.2-1B-Instruct,"1769444474.492, 1769444474.544, 1769444474.693, 1769444474.739, 1769444474.767"
1167,timsort,2919,1.918,26.338,0,1985,1769444483.307,-73.384,meta-llama/Llama-3.2-1B-Instruct,"1769444483.307, 1769444483.413, 1769444483.505, 1769444483.967, 1769444484.154"
1242,timsort,2992,1.95,26.338,0,1985,1769444489.244,-72.523,meta-llama/Llama-3.2-1B-Instruct,"1769444489.244, 1769444489.319, 1769444489.347, 1769444489.375, 1769444489.404"
1317,timsort,3065,1.977,26.338,0,1985,1769444500.672,-66.165,meta-llama/Llama-3.2-1B-Instruct,"1769444500.672, 1769444500.997, 1769444501.063, 1769444501.141, 1769444501.177"
1391,timsort,3134,2.009,26.338,0,1985,1769444511.149,-60.734,meta-llama/Llama-3.2-1B-Instruct,"1769444511.149, 1769444511.232, 1769444511.292, 1769444511.453, 1769444511.655"
1466,timsort,3206,2.037,26.338,0,1985,1769444523.204,-53.714,meta-llama/Llama-3.2-1B-Instruct,"1769444523.204, 1769444523.389, 1769444523.469, 1769444523.551, 1769444523.716"
1540,timsort,3278,2.066,26.338,0,1985,1769444534.3,-47.677,meta-llama/Llama-3.2-1B-Instruct,"1769444534.300, 1769444534.440, 1769444534.632, 1769444534.769, 1769444534.848"
1614,timsort,3350,2.092,26.338,0,1985,1769444543.785,-43.226,meta-llama/Llama-3.2-1B-Instruct,"1769444543.785, 1769444543.914, 1769444543.970, 1769444544.101, 1769444544.170"
1688,timsort,3422,2.114,26.338,0,1985,1769444552.975,-39.059,meta-llama/Llama-3.2-1B-Instruct,"1769444552.975, 1769444553.035, 1769444553.307, 1769444553.359, 1769444553.553"
1765,timsort,3495,2.135,26.338,0,1985,1769444562.684,-34.403,meta-llama/Llama-3.2-1B-Instruct,"1769444562.684, 1769444562.910, 1769444562.972, 1769444563.112, 1769444563.245"
1843,timsort,3570,2.162,26.338,0,1985,1769444573.257,-28.859,meta-llama/Llama-3.2-1B-Instruct,"1769444573.257, 1769444573.311, 1769444573.416, 1769444573.593, 1769444573.673"
1922,timsort,3642,2.185,26.338,0,1985,1769444583.35,-23.831,meta-llama/Llama-3.2-1B-Instruct,"1769444583.350, 1769444583.480, 1769444583.921, 1769444584.041, 1769444584.132"
1997,timsort,3715,2.205,26.338,0,1985,1769444594.413,-17.769,meta-llama/Llama-3.2-1B-Instruct,"1769444594.413, 1769444594.881, 1769444594.985, 1769444595.033, 1769444595.091"
2022,timsort,3814,2.229,26.338,0,1985,1769444603.399,-13.802,meta-llama/Llama-3.2-1B-Instruct,"1769444603.399, 1769444603.446, 1769444603.487, 1769444603.556, 1769444603.574"
2031,timsort,3947,2.235,26.338,0,2144,1769444605.702,-21.65,meta-llama/Llama-3.2-1B-Instruct,
2034,timsort,4060,2.243,26.338,0,2144,1769444605.702,-21.65,meta-llama/Llama-3.2-1B-Instruct,"1769444605.702, 1769444605.743, 1769444605.769, 1769444605.791, 1769444605.813"
2060,timsort,4141,2.295,27.917,0,2313,1769444606.601,-30.859,meta-llama/Llama-3.2-1B-Instruct,
2063,timsort,4229,2.324,27.917,0,2405,1769444606.601,-35.876,meta-llama/Llama-3.2-1B-Instruct,
2066,timsort,4322,2.35,27.917,0,2490,1769444606.601,-40.878,meta-llama/Llama-3.2-1B-Instruct,
2069,timsort,4405,2.376,27.917,0,2575,1769444606.601,-45.884,meta-llama/Llama-3.2-1B-Instruct,
2072,timsort,4497,2.416,27.917,0,2670,1769444606.601,-50.944,meta-llama/Llama-3.2-1B-Instruct,
2075,timsort,4582,2.455,27.917,0,2744,1769444606.601,-55.964,meta-llama/Llama-3.2-1B-Instruct,
2078,timsort,4651,2.623,586.131,0,2824,1769444606.601,-61.008,meta-llama/Llama-3.2-1B-Instruct,
2081,timsort,4742,2.667,586.131,0,2908,1769444606.601,-66.062,meta-llama/Llama-3.2-1B-Instruct,
2084,timsort,4825,2.716,586.131,0,2996,1769444606.601,-71.1,meta-llama/Llama-3.2-1B-Instruct,
2087,timsort,4914,2.771,586.131,0,3087,1769444606.601,-76.112,meta-llama/Llama-3.2-1B-Instruct,
2090,timsort,5000,2.819,586.131,0,3171,1769444606.601,-81.132,meta-llama/Llama-3.2-1B-Instruct,
2093,timsort,5087,2.87,586.131,0,3257,1769444606.601,-86.185,meta-llama/Llama-3.2-1B-Instruct,
2096,timsort,5175,2.93,586.131,0,3342,1769444606.601,-91.314,meta-llama/Llama-3.2-1B-Instruct,
2099,timsort,5257,3.038,586.131,0,3342,1769444606.601,-91.314,meta-llama/Llama-3.2-1B-Instruct,"1769444606.601, 1769444606.639, 1769444606.677, 1769444606.712, 1769444606.727"
2127,timsort,5375,3.082,586.131,0,3541,1769444607.255,-100.71,meta-llama/Llama-3.2-1B-Instruct,
2130,timsort,5501,3.116,586.131,0,3665,1769444607.255,-105.739,meta-llama/Llama-3.2-1B-Instruct,
2134,timsort,5620,3.196,586.131,0,3665,1769444607.255,-105.739,meta-llama/Llama-3.2-1B-Instruct,"1769444607.255, 1769444607.310, 1769444607.344, 1769444607.462, 1769444607.490"
2150,timsort,5708,3.252,586.131,0,3766,1769444607.462,-110.559,meta-llama/Llama-3.2-1B-Instruct,"1769444607.462, 1769444607.490, 1769444607.526, 1769444607.534, 1769444607.601"
2158,timsort,5799,3.305,586.131,0,3923,1769444608.044,-120.021,meta-llama/Llama-3.2-1B-Instruct,
2161,timsort,5869,3.421,586.131,0,3993,1769444608.044,-125.054,meta-llama/Llama-3.2-1B-Instruct,
2165,timsort,5954,3.466,586.131,0,4076,1769444608.095,-130.05,meta-llama/Llama-3.2-1B-Instruct,
2168,timsort,6034,3.53,586.131,0,4151,1769444608.095,-135.059,meta-llama/Llama-3.2-1B-Instruct,
2172,timsort,6112,3.643,586.131,0,4233,1769444608.103,-140.102,meta-llama/Llama-3.2-1B-Instruct,
2177,timsort,6203,3.698,586.131,0,4314,1769444608.211,-145.033,meta-llama/Llama-3.2-1B-Instruct,
2181,timsort,6283,3.803,586.131,0,4398,1769444608.302,-149.959,meta-llama/Llama-3.2-1B-Instruct,
2184,timsort,6366,3.865,586.131,0,4398,1769444608.302,-149.959,meta-llama/Llama-3.2-1B-Instruct,"1769444608.302, 1769444608.326, 1769444608.362, 1769444608.389, 1769444608.416"
2188,timsort,6437,3.966,586.131,0,4480,1769444608.326,-154.967,meta-llama/Llama-3.2-1B-Instruct,"1769444608.326, 1769444608.362, 1769444608.389, 1769444608.416, 1769444608.484"
2193,timsort,6520,4.018,586.131,0,4638,1769444608.389,-165.124,meta-llama/Llama-3.2-1B-Instruct,
2196,timsort,6608,4.081,586.131,0,4717,1769444608.389,-170.137,meta-llama/Llama-3.2-1B-Instruct,
2199,timsort,6685,4.192,586.131,0,4800,1769444608.389,-175.281,meta-llama/Llama-3.2-1B-Instruct,
2203,timsort,6762,4.289,586.131,0,4876,1769444608.416,-180.284,meta-llama/Llama-3.2-1B-Instruct,
2207,timsort,6844,4.354,586.131,0,4876,1769444608.416,-180.284,meta-llama/Llama-3.2-1B-Instruct,"1769444608.416, 1769444608.484, 1769444608.492, 1769444608.522, 1769444608.549"
2222,timsort,6942,4.443,586.131,0,5053,1769444608.927,-189.808,meta-llama/Llama-3.2-1B-Instruct,
2227,timsort,7042,4.531,586.131,0,5053,1769444608.927,-189.808,meta-llama/Llama-3.2-1B-Instruct,"1769444608.927, 1769444608.948, 1769444608.985, 1769444609.015, 1769444609.052"
2248,timsort,7126,4.65,586.131,0,5147,1769444609.114,-194.645,meta-llama/Llama-3.2-1B-Instruct,"1769444609.114, 1769444609.140, 1769444609.158, 1769444609.223, 1769444609.243"
2253,timsort,7207,4.704,586.131,0,5278,1769444609.577,-204.224,meta-llama/Llama-3.2-1B-Instruct,
2256,timsort,7284,4.805,586.131,0,5358,1769444609.577,-209.286,meta-llama/Llama-3.2-1B-Instruct,
2259,timsort,7362,4.876,586.131,0,5358,1769444609.577,-209.286,meta-llama/Llama-3.2-1B-Instruct,"1769444609.577, 1769444609.602, 1769444609.607, 1769444609.635, 1769444609.663"
2265,timsort,7441,4.985,586.131,0,5512,1769444609.635,-219.267,meta-llama/Llama-3.2-1B-Instruct,
2268,timsort,7513,5.104,586.131,0,5585,1769444609.635,-224.27,meta-llama/Llama-3.2-1B-Instruct,
2274,timsort,7594,5.211,586.131,0,5663,1769444609.793,-229.139,meta-llama/Llama-3.2-1B-Instruct,
2277,timsort,7668,5.33,586.131,0,5663,1769444609.793,-229.139,meta-llama/Llama-3.2-1B-Instruct,"1769444609.793, 1769444609.799, 1769444609.820, 1769444609.847, 1769444609.863"
