orig_slo,slo_type,insertion_time,wait_time,prompt_tok,out_tok,total_tok,ttft,tbt_p95,tbt_p99,tbt_slo,tbt_violation,tbt_success_rate_pct,ttlt,diff,violation,total_violation,finished_time,success_rate_pct,success_count,processed_count,kv,run_cnt,wait_cnt,swap_cnt,vram_used_gib,vram_total_gib,vq_id,vq_groups,head_deadline,slack,model,deadlines
200.0,1,1769439161.4222,0.0473,3165,6,3171,6.3647,0.0391,0.0391,200.0,0.0,100.0,6.5965,-193.3563,0.0,0.0,1769439168.9039319,100.0,1,1,0.0,0,0,0,6.29,15.0,0,207,1769439162.994,-3.17,meta-llama/Llama-3.2-1B-Instruct,"1769439162.994, 1769439163.006, 1769439163.049, 1769439163.113, 1769439163.177"
1.0,0,1769439161.1694,0.0986,27,32,59,6.568,0.0612,0.5911,1.0,0.0,100.0,7.7397,5.6666,5.6666,6.2345,1769439169.0174594,33.33,1,3,0.0,0,0,0,6.29,15.0,0,207,1769439162.994,-3.17,meta-llama/Llama-3.2-1B-Instruct,"1769439162.994, 1769439163.006, 1769439163.049, 1769439163.113, 1769439163.177"
1.0,0,1769439161.3089,0.0614,27,32,59,6.4574,0.0968,0.5751,1.0,0.0,100.0,7.6605,5.5188,5.5188,38.4261,1769439169.056321,16.67,1,9,0.0,0,0,0,6.29,15.0,0,207,1769439162.994,-3.17,meta-llama/Llama-3.2-1B-Instruct,"1769439162.994, 1769439163.006, 1769439163.049, 1769439163.113, 1769439163.177"
1.0,0,1769439161.6642,0.0319,27,32,59,6.131,0.085,0.5613,1.0,0.0,100.0,7.3293,5.1629,5.1629,43.4857,1769439169.0614018,20.0,1,10,0.0,0,0,0,6.29,15.0,0,207,1769439162.994,-3.17,meta-llama/Llama-3.2-1B-Instruct,"1769439162.994, 1769439163.006, 1769439163.049, 1769439163.113, 1769439163.177"
1.0,0,1769439161.6798,0.0397,27,32,59,6.1024,0.0454,0.5364,1.0,0.0,100.0,7.3228,5.1421,5.1421,58.8035,1769439169.0680177,12.5,1,13,0.0,0,0,0,6.29,15.0,0,207,1769439162.994,-3.17,meta-llama/Llama-3.2-1B-Instruct,"1769439162.994, 1769439163.006, 1769439163.049, 1769439163.113, 1769439163.177"
1.0,0,1769439161.7778,0.0367,27,32,59,6.0229,0.1226,0.4668,1.0,0.0,100.0,7.2437,5.0596,5.0596,58.8035,1769439169.0681894,10.0,1,13,0.0,0,0,0,6.29,15.0,0,207,1769439162.994,-3.17,meta-llama/Llama-3.2-1B-Instruct,"1769439162.994, 1769439163.006, 1769439163.049, 1769439163.113, 1769439163.177"
1.0,0,1769439161.6459,0.045,27,32,59,6.1315,0.1019,0.5933,1.0,0.0,100.0,7.3762,5.1766,5.1766,64.2288,1769439169.077492,7.69,1,14,0.0,0,0,0,6.29,15.0,0,207,1769439162.994,-3.17,meta-llama/Llama-3.2-1B-Instruct,"1769439162.994, 1769439163.006, 1769439163.049, 1769439163.113, 1769439163.177"
1.0,0,1769439161.2641,0.0804,27,32,59,6.4836,0.0815,0.5852,1.0,0.0,100.0,7.7041,5.5641,5.5641,64.2288,1769439169.0823193,11.11,1,14,0.0,0,0,0,6.29,15.0,0,207,1769439162.994,-3.17,meta-llama/Llama-3.2-1B-Instruct,"1769439162.994, 1769439163.006, 1769439163.049, 1769439163.113, 1769439163.177"
1.0,0,1769439161.6228,0.0432,27,32,59,6.1709,0.0717,0.5107,1.0,0.0,100.0,7.3716,5.214,5.214,64.2288,1769439169.0870461,14.29,1,14,0.0,0,0,0,6.29,15.0,0,207,1769439162.994,-3.17,meta-llama/Llama-3.2-1B-Instruct,"1769439162.994, 1769439163.006, 1769439163.049, 1769439163.113, 1769439163.177"
1.0,0,1769439161.9819,0.3995,27,32,59,5.4517,0.1799,0.5025,1.0,0.0,100.0,6.6831,4.8512,4.8512,64.2288,1769439169.0879178,9.09,1,14,0.0,0,0,0,6.29,15.0,0,207,1769439162.994,-3.17,meta-llama/Llama-3.2-1B-Instruct,"1769439162.994, 1769439163.006, 1769439163.049, 1769439163.113, 1769439163.177"
1.0,0,1769439161.3946,0.0336,27,32,59,6.3917,0.0563,0.6469,1.0,0.0,100.0,7.6462,5.4252,5.4252,69.445,1769439169.0936875,7.14,1,15,0.0,0,0,0,6.29,15.0,0,207,1769439162.994,-3.17,meta-llama/Llama-3.2-1B-Instruct,"1769439162.994, 1769439163.006, 1769439163.049, 1769439163.113, 1769439163.177"
1.0,0,1769439161.198,0.0677,27,32,59,1.5002,0.5599,5.055,1.0,4.055,91.67,7.7409,0.5679,0.5679,79.6812,1769439169.1070492,50.0,1,17,0.0,0,0,0,6.29,15.0,0,207,1769439162.994,-3.17,meta-llama/Llama-3.2-1B-Instruct,"1769439162.994, 1769439163.006, 1769439163.049, 1769439163.113, 1769439163.177"
