file,chunked,mb,out_dir,hol_corr
timsort_hol_sleep_0.0001_pushint_0.0001_mb100_chunked_0_20260130_145137.csv,0,100,per_file_plots/chunked_0/timsort_hol_sleep_0.0001_pushint_0.0001_mb100_chunked_0_20260130_145137,
timsort_hol_sleep_0.0001_pushint_0.0001_mb100_chunked_1_20260130_121036.csv,1,100,per_file_plots/chunked_1/timsort_hol_sleep_0.0001_pushint_0.0001_mb100_chunked_1_20260130_121036,0.38946640525935766
timsort_hol_sleep_0.0001_pushint_0.0001_mb20_chunked_0_20260131_094833.csv,0,20,per_file_plots/chunked_0/timsort_hol_sleep_0.0001_pushint_0.0001_mb20_chunked_0_20260131_094833,0.7984218954408159
timsort_hol_sleep_0.0001_pushint_0.0001_mb20_chunked_1_20260131_072801.csv,1,20,per_file_plots/chunked_1/timsort_hol_sleep_0.0001_pushint_0.0001_mb20_chunked_1_20260131_072801,0.7397939085038275
timsort_hol_sleep_0.0001_pushint_0.0001_mb40_chunked_0_20260131_051108.csv,0,40,per_file_plots/chunked_0/timsort_hol_sleep_0.0001_pushint_0.0001_mb40_chunked_0_20260131_051108,0.33980569666486377
timsort_hol_sleep_0.0001_pushint_0.0001_mb40_chunked_1_20260131_024547.csv,1,40,per_file_plots/chunked_1/timsort_hol_sleep_0.0001_pushint_0.0001_mb40_chunked_1_20260131_024547,0.8010393764447156
timsort_hol_sleep_0.0001_pushint_0.0001_mb60_chunked_0_20260131_002900.csv,0,60,per_file_plots/chunked_0/timsort_hol_sleep_0.0001_pushint_0.0001_mb60_chunked_0_20260131_002900,0.09055134183832227
timsort_hol_sleep_0.0001_pushint_0.0001_mb60_chunked_1_20260130_215846.csv,1,60,per_file_plots/chunked_1/timsort_hol_sleep_0.0001_pushint_0.0001_mb60_chunked_1_20260130_215846,0.4916579689571193
timsort_hol_sleep_0.0001_pushint_0.0001_mb80_chunked_0_20260130_194153.csv,0,80,per_file_plots/chunked_0/timsort_hol_sleep_0.0001_pushint_0.0001_mb80_chunked_0_20260130_194153,
timsort_hol_sleep_0.0001_pushint_0.0001_mb80_chunked_1_20260130_170824.csv,1,80,per_file_plots/chunked_1/timsort_hol_sleep_0.0001_pushint_0.0001_mb80_chunked_1_20260130_170824,0.7292981905949815
timsort_hol_sleep_0.0001_pushint_0.001_mb100_chunked_0_20260130_150649.csv,0,100,per_file_plots/chunked_0/timsort_hol_sleep_0.0001_pushint_0.001_mb100_chunked_0_20260130_150649,0.06584027810546006
timsort_hol_sleep_0.0001_pushint_0.001_mb100_chunked_1_20260130_122859.csv,1,100,per_file_plots/chunked_1/timsort_hol_sleep_0.0001_pushint_0.001_mb100_chunked_1_20260130_122859,0.3156978847719935
timsort_hol_sleep_0.0001_pushint_0.001_mb20_chunked_0_20260131_100413.csv,0,20,per_file_plots/chunked_0/timsort_hol_sleep_0.0001_pushint_0.001_mb20_chunked_0_20260131_100413,0.7254862657940017
timsort_hol_sleep_0.0001_pushint_0.001_mb20_chunked_1_20260131_074335.csv,1,20,per_file_plots/chunked_1/timsort_hol_sleep_0.0001_pushint_0.001_mb20_chunked_1_20260131_074335,0.6622258140119266
timsort_hol_sleep_0.0001_pushint_0.001_mb40_chunked_0_20260131_052621.csv,0,40,per_file_plots/chunked_0/timsort_hol_sleep_0.0001_pushint_0.001_mb40_chunked_0_20260131_052621,0.3059456832265745
timsort_hol_sleep_0.0001_pushint_0.001_mb40_chunked_1_20260131_030158.csv,1,40,per_file_plots/chunked_1/timsort_hol_sleep_0.0001_pushint_0.001_mb40_chunked_1_20260131_030158,0.724289024010045
timsort_hol_sleep_0.0001_pushint_0.001_mb60_chunked_0_20260131_004412.csv,0,60,per_file_plots/chunked_0/timsort_hol_sleep_0.0001_pushint_0.001_mb60_chunked_0_20260131_004412,0.41703044865251415
timsort_hol_sleep_0.0001_pushint_0.001_mb60_chunked_1_20260130_221511.csv,1,60,per_file_plots/chunked_1/timsort_hol_sleep_0.0001_pushint_0.001_mb60_chunked_1_20260130_221511,-0.32069941173658
timsort_hol_sleep_0.0001_pushint_0.001_mb80_chunked_0_20260130_195705.csv,0,80,per_file_plots/chunked_0/timsort_hol_sleep_0.0001_pushint_0.001_mb80_chunked_0_20260130_195705,0.04586627913143702
timsort_hol_sleep_0.0001_pushint_0.001_mb80_chunked_1_20260130_172514.csv,1,80,per_file_plots/chunked_1/timsort_hol_sleep_0.0001_pushint_0.001_mb80_chunked_1_20260130_172514,0.37686093470285953
timsort_hol_sleep_0.0001_pushint_0.01_mb100_chunked_0_20260130_152200.csv,0,100,per_file_plots/chunked_0/timsort_hol_sleep_0.0001_pushint_0.01_mb100_chunked_0_20260130_152200,
timsort_hol_sleep_0.0001_pushint_0.01_mb100_chunked_1_20260130_124704.csv,1,100,per_file_plots/chunked_1/timsort_hol_sleep_0.0001_pushint_0.01_mb100_chunked_1_20260130_124704,0.37544610462288347
timsort_hol_sleep_0.0001_pushint_0.01_mb20_chunked_0_20260131_101948.csv,0,20,per_file_plots/chunked_0/timsort_hol_sleep_0.0001_pushint_0.01_mb20_chunked_0_20260131_101948,0.7436250893832934
timsort_hol_sleep_0.0001_pushint_0.01_mb20_chunked_1_20260131_075915.csv,1,20,per_file_plots/chunked_1/timsort_hol_sleep_0.0001_pushint_0.01_mb20_chunked_1_20260131_075915,0.8186322462146847
timsort_hol_sleep_0.0001_pushint_0.01_mb40_chunked_0_20260131_054133.csv,0,40,per_file_plots/chunked_0/timsort_hol_sleep_0.0001_pushint_0.01_mb40_chunked_0_20260131_054133,0.31961506229520825
timsort_hol_sleep_0.0001_pushint_0.01_mb40_chunked_1_20260131_031759.csv,1,40,per_file_plots/chunked_1/timsort_hol_sleep_0.0001_pushint_0.01_mb40_chunked_1_20260131_031759,0.8150295206172934
timsort_hol_sleep_0.0001_pushint_0.01_mb60_chunked_0_20260131_005924.csv,0,60,per_file_plots/chunked_0/timsort_hol_sleep_0.0001_pushint_0.01_mb60_chunked_0_20260131_005924,-0.07968207776723056
timsort_hol_sleep_0.0001_pushint_0.01_mb60_chunked_1_20260130_223133.csv,1,60,per_file_plots/chunked_1/timsort_hol_sleep_0.0001_pushint_0.01_mb60_chunked_1_20260130_223133,0.08640540233636534
timsort_hol_sleep_0.0001_pushint_0.01_mb80_chunked_0_20260130_201218.csv,0,80,per_file_plots/chunked_0/timsort_hol_sleep_0.0001_pushint_0.01_mb80_chunked_0_20260130_201218,0.4649453418776063
