line_idx,algo,calls,avg_ms,max_ms,vq_id,vq_groups,head_deadline,slack,model,deadlines
27,timsort,1,0.053,0.053,0,159,1769852222.225,-3.382,meta-llama/Llama-3.2-1B-Instruct,
30,timsort,171,0.123,0.614,0,159,1769852222.225,-3.382,meta-llama/Llama-3.2-1B-Instruct,"1769852222.225, 1769852222.251, 1769852222.345, 1769852222.401, 1769852222.549"
44,timsort,182,0.132,0.614,0,182,1769852222.251,-11.687,meta-llama/Llama-3.2-1B-Instruct,
97,timsort,240,0.166,0.614,0,182,1769852225.193,-13.817,meta-llama/Llama-3.2-1B-Instruct,
163,timsort,300,0.197,0.655,0,182,1769852240.508,-3.533,meta-llama/Llama-3.2-1B-Instruct,
238,timsort,368,0.22,0.655,0,182,1769852421.33,172.239,meta-llama/Llama-3.2-1B-Instruct,
266,timsort,467,0.238,0.655,0,248,1769852252.115,-2.017,meta-llama/Llama-3.2-1B-Instruct,
323,timsort,530,0.257,0.655,0,253,1769852259.952,0.815,meta-llama/Llama-3.2-1B-Instruct,
360,timsort,600,0.282,1.915,0,290,1769852264.482,0.271,meta-llama/Llama-3.2-1B-Instruct,
397,timsort,676,0.309,1.915,0,332,1769852269.241,-0.019,meta-llama/Llama-3.2-1B-Instruct,
434,timsort,743,0.333,1.915,0,365,1769852274.583,0.272,meta-llama/Llama-3.2-1B-Instruct,
472,timsort,818,0.362,1.915,0,404,1769852279.657,0.294,meta-llama/Llama-3.2-1B-Instruct,
509,timsort,893,0.392,1.915,0,445,1769852284.78,0.381,meta-llama/Llama-3.2-1B-Instruct,
549,timsort,981,0.422,1.915,0,496,1769852288.6,-0.85,meta-llama/Llama-3.2-1B-Instruct,
595,timsort,1046,0.452,1.915,0,519,1769852293.172,-1.295,meta-llama/Llama-3.2-1B-Instruct,
637,timsort,1116,0.476,1.915,0,550,1769852299.195,-0.329,meta-llama/Llama-3.2-1B-Instruct,
677,timsort,1181,0.503,1.915,0,577,1769852305.157,0.599,meta-llama/Llama-3.2-1B-Instruct,
716,timsort,1250,0.533,1.915,0,610,1769852309.28,-0.347,meta-llama/Llama-3.2-1B-Instruct,
755,timsort,1322,0.564,2.582,0,649,1769852314.066,-0.589,meta-llama/Llama-3.2-1B-Instruct,
791,timsort,1393,0.593,2.582,0,685,1769852318.573,-1.12,meta-llama/Llama-3.2-1B-Instruct,
844,timsort,1461,0.621,2.582,0,708,1769852325.342,0.568,meta-llama/Llama-3.2-1B-Instruct,
887,timsort,1538,0.647,2.776,0,741,1769852330.703,0.886,meta-llama/Llama-3.2-1B-Instruct,
926,timsort,1614,0.671,2.776,0,779,1769852335.544,0.697,meta-llama/Llama-3.2-1B-Instruct,
964,timsort,1689,0.703,5.853,0,819,1769852339.745,-0.143,meta-llama/Llama-3.2-1B-Instruct,
1009,timsort,1759,0.729,5.853,0,847,1769852345.171,0.275,meta-llama/Llama-3.2-1B-Instruct,
1032,timsort,1839,0.758,5.853,0,908,1769852347.799,-2.136,meta-llama/Llama-3.2-1B-Instruct,
1060,timsort,1913,0.791,5.853,0,957,1769852351.634,-3.313,meta-llama/Llama-3.2-1B-Instruct,
1087,timsort,1978,0.819,5.853,0,997,1769852354.966,-5.015,meta-llama/Llama-3.2-1B-Instruct,
1128,timsort,2049,0.853,5.853,0,1033,1769852360.808,-4.198,meta-llama/Llama-3.2-1B-Instruct,
1186,timsort,2104,0.878,5.853,0,1035,1769852368.256,-1.82,meta-llama/Llama-3.2-1B-Instruct,
1226,timsort,2188,0.903,5.853,0,1077,1769852374.424,-0.666,meta-llama/Llama-3.2-1B-Instruct,
1283,timsort,2253,0.931,5.853,0,1095,1769852379.901,-0.2,meta-llama/Llama-3.2-1B-Instruct,
1320,timsort,2340,0.96,5.853,0,1141,1769852384.218,-0.981,meta-llama/Llama-3.2-1B-Instruct,
1372,timsort,2403,0.986,5.853,0,1158,1769852390.425,0.172,meta-llama/Llama-3.2-1B-Instruct,
1412,timsort,2471,1.011,5.853,0,1187,1769852395.452,0.145,meta-llama/Llama-3.2-1B-Instruct,
1447,timsort,2541,1.037,5.853,0,1224,1769852401.074,0.757,meta-llama/Llama-3.2-1B-Instruct,
1483,timsort,2614,1.066,5.853,0,1264,1769852405.676,0.355,meta-llama/Llama-3.2-1B-Instruct,
1523,timsort,2690,1.095,5.853,0,1305,1769852410.3,-0.031,meta-llama/Llama-3.2-1B-Instruct,
1568,timsort,2755,1.123,5.853,0,1327,1769852415.501,0.159,meta-llama/Llama-3.2-1B-Instruct,
1611,timsort,2823,1.16,31.032,0,1356,1769852421.033,0.679,meta-llama/Llama-3.2-1B-Instruct,
1646,timsort,2901,1.188,31.032,0,1400,1769852424.886,-0.521,meta-llama/Llama-3.2-1B-Instruct,
1659,timsort,2997,1.219,31.032,0,1486,1769852425.129,-5.279,meta-llama/Llama-3.2-1B-Instruct,
1676,timsort,3092,1.254,31.032,0,1568,1769852425.695,-9.741,meta-llama/Llama-3.2-1B-Instruct,
1681,timsort,3191,1.294,31.032,0,1665,1769852425.776,-14.662,meta-llama/Llama-3.2-1B-Instruct,
1684,timsort,3286,1.338,31.032,0,1760,1769852425.776,-19.678,meta-llama/Llama-3.2-1B-Instruct,
1687,timsort,3374,1.38,31.032,0,1848,1769852425.776,-24.713,meta-llama/Llama-3.2-1B-Instruct,
1692,timsort,3465,1.423,31.032,0,1937,1769852426.024,-29.466,meta-llama/Llama-3.2-1B-Instruct,
1698,timsort,3563,1.471,31.032,0,2032,1769852426.164,-34.336,meta-llama/Llama-3.2-1B-Instruct,
1704,timsort,3656,1.527,31.032,0,2122,1769852426.368,-39.146,meta-llama/Llama-3.2-1B-Instruct,
1709,timsort,3745,1.58,31.032,0,2210,1769852426.394,-44.127,meta-llama/Llama-3.2-1B-Instruct,
1715,timsort,3839,1.636,31.032,0,2300,1769852426.572,-48.951,meta-llama/Llama-3.2-1B-Instruct,
1721,timsort,3932,1.693,31.032,0,2390,1769852426.686,-53.848,meta-llama/Llama-3.2-1B-Instruct,
1729,timsort,4026,1.76,31.032,0,2480,1769852426.931,-58.656,meta-llama/Llama-3.2-1B-Instruct,
1753,timsort,4085,1.812,31.032,0,2517,1769852428.866,-61.752,meta-llama/Llama-3.2-1B-Instruct,
1782,timsort,4158,1.874,31.032,0,2565,1769852431.488,-64.17,meta-llama/Llama-3.2-1B-Instruct,
