line_idx,algo,calls,avg_ms,max_ms,vq_id,vq_groups,head_deadline,slack,model,deadlines
29,timsort,1,0.027,0.027,0,171,1769820500.946,-2.387,meta-llama/Llama-3.2-1B-Instruct,
32,timsort,213,0.128,1.223,0,171,1769820500.946,-2.387,meta-llama/Llama-3.2-1B-Instruct,"1769820500.946, 1769820500.991, 1769820501.034, 1769820501.094, 1769820501.105"
98,timsort,321,0.191,1.223,0,292,1769820501.105,-7.284,meta-llama/Llama-3.2-1B-Instruct,"1769820501.105, 1769820501.145, 1769820501.265, 1769820501.294, 1769820501.328"
143,timsort,393,0.252,2.479,0,317,1769820502.935,-10.5,meta-llama/Llama-3.2-1B-Instruct,"1769820502.935, 1769820503.068, 1769820503.109, 1769820503.146, 1769820503.157"
210,timsort,468,0.296,2.479,0,329,1769820507.194,-11.269,meta-llama/Llama-3.2-1B-Instruct,"1769820507.194, 1769820507.217, 1769820507.239, 1769820507.333, 1769820507.397"
265,timsort,539,0.343,6.934,0,343,1769820511.978,-11.577,meta-llama/Llama-3.2-1B-Instruct,"1769820511.978, 1769820512.008, 1769820512.083, 1769820512.112, 1769820512.233"
323,timsort,598,0.37,6.934,0,350,1769820518.821,-9.814,meta-llama/Llama-3.2-1B-Instruct,"1769820518.821, 1769820518.851, 1769820519.081, 1769820519.109, 1769820519.274"
380,timsort,672,0.395,6.934,0,366,1769820529.668,-4.036,meta-llama/Llama-3.2-1B-Instruct,"1769820529.668, 1769820529.784, 1769820529.813, 1769820529.843, 1769820530.011"
442,timsort,746,0.417,6.934,0,387,1769820536.457,-2.313,meta-llama/Llama-3.2-1B-Instruct,"1769820536.457, 1769820536.491, 1769820536.757, 1769820536.876, 1769820537.089"
489,timsort,842,0.462,21.131,0,402,1769820544.709,0.92,meta-llama/Llama-3.2-1B-Instruct,"1769820544.709, 1769820699.971, 1769820700.018, 1769820700.056, 1769820700.081"
616,timsort,1226,0.48,21.131,0,1162,1769820546.156,-7.657,meta-llama/Llama-3.2-1B-Instruct,
619,timsort,1786,0.586,21.131,0,1779,1769820546.156,-12.658,meta-llama/Llama-3.2-1B-Instruct,
622,timsort,2444,0.755,21.131,0,2390,1769820546.156,-17.658,meta-llama/Llama-3.2-1B-Instruct,
625,timsort,3020,0.955,21.131,0,2838,1769820546.156,-22.662,meta-llama/Llama-3.2-1B-Instruct,
