orig_slo,slo_type,insertion_time,wait_time,prompt_tok,out_tok,total_tok,ttft,tbt_p95,tbt_p99,tbt_slo,tbt_violation,tbt_success_rate_pct,ttlt,diff,violation,total_violation,finished_time,success_rate_pct,success_count,processed_count,kv,run_cnt,wait_cnt,swap_cnt,vram_used_gib,vram_total_gib,vq_id,vq_groups,head_deadline,slack,model,deadlines
1.0,0,1769830712.7977,0.0349,27,32,59,8.4032,0.0685,0.4829,1.0,0.0,100.0,10.0977,7.4381,7.4381,44.5104,1769830722.9562402,0.0,0,6,0.0,0,0,0,6.29,15.0,0,219,1769830714.529,-2.916,meta-llama/Llama-3.2-1B-Instruct,"1769830714.529, 1769830714.531, 1769830714.543, 1769830714.544, 1769830714.555"
1.0,0,1769830713.0315,0.1172,27,32,59,8.0862,0.0668,0.4896,1.0,0.0,100.0,9.7786,7.2034,7.2034,44.5104,1769830722.9580784,0.0,0,6,0.0,0,0,0,6.29,15.0,0,219,1769830714.529,-2.916,meta-llama/Llama-3.2-1B-Instruct,"1769830714.529, 1769830714.531, 1769830714.543, 1769830714.544, 1769830714.555"
1.0,0,1769830712.8484,0.035,27,19,46,8.3708,0.0607,0.0607,1.0,0.0,100.0,9.2755,7.4058,7.4058,58.785,1769830722.9854858,0.0,0,8,0.0,0,0,0,6.29,15.0,0,219,1769830714.529,-2.916,meta-llama/Llama-3.2-1B-Instruct,"1769830714.529, 1769830714.531, 1769830714.543, 1769830714.544, 1769830714.555"
1.0,0,1769830713.2868,0.0359,27,32,59,7.9411,0.0705,0.491,1.0,0.0,100.0,9.6608,6.977,6.977,66.1121,1769830722.9977448,0.0,0,9,0.0,0,0,0,6.29,15.0,0,219,1769830714.529,-2.916,meta-llama/Llama-3.2-1B-Instruct,"1769830714.529, 1769830714.531, 1769830714.543, 1769830714.544, 1769830714.555"
1.0,0,1769830712.9412,0.0355,27,32,59,8.2622,0.0655,0.5394,1.0,0.0,100.0,9.997,7.2977,7.2977,66.1121,1769830722.997906,0.0,0,9,0.0,0,0,0,6.29,15.0,0,219,1769830714.529,-2.916,meta-llama/Llama-3.2-1B-Instruct,"1769830714.529, 1769830714.531, 1769830714.543, 1769830714.544, 1769830714.555"
1.0,0,1769830713.2682,0.0367,27,32,59,7.9348,0.0705,0.4893,1.0,0.0,100.0,9.6099,6.9715,6.9715,80.391,1769830723.010614,0.0,0,11,0.0,0,0,0,6.29,15.0,0,219,1769830714.529,-2.916,meta-llama/Llama-3.2-1B-Instruct,"1769830714.529, 1769830714.531, 1769830714.543, 1769830714.544, 1769830714.555"
1.0,0,1769830713.339,0.0313,27,32,59,7.8665,0.0721,0.5748,1.0,0.0,100.0,9.6324,6.8979,6.8979,95.3612,1769830723.0280514,0.0,0,13,0.0,0,0,0,6.29,15.0,0,219,1769830714.529,-2.916,meta-llama/Llama-3.2-1B-Instruct,"1769830714.529, 1769830714.531, 1769830714.543, 1769830714.544, 1769830714.555"
1.0,0,1769830712.9212,0.0367,27,32,59,8.2904,0.0707,0.4658,1.0,0.0,100.0,10.0309,7.3271,7.3271,102.7355,1769830723.0480373,0.0,0,15,0.0,0,0,0,6.29,15.0,0,219,1769830714.529,-2.916,meta-llama/Llama-3.2-1B-Instruct,"1769830714.529, 1769830714.531, 1769830714.543, 1769830714.544, 1769830714.555"
1.0,0,1769830712.4408,0.0927,27,32,59,8.7071,0.0701,0.588,1.0,0.0,100.0,10.4875,7.7998,7.7998,117.7877,1769830723.082415,0.0,0,17,0.0,0,0,0,6.29,15.0,0,219,1769830714.529,-2.916,meta-llama/Llama-3.2-1B-Instruct,"1769830714.529, 1769830714.531, 1769830714.543, 1769830714.544, 1769830714.555"
1.0,0,1769830712.8628,0.0336,27,32,59,8.3474,0.0665,0.5761,1.0,0.0,100.0,10.1101,7.381,7.381,117.7877,1769830723.082691,0.0,0,17,0.0,0,0,0,6.29,15.0,0,219,1769830714.529,-2.916,meta-llama/Llama-3.2-1B-Instruct,"1769830714.529, 1769830714.531, 1769830714.543, 1769830714.544, 1769830714.555"
1.0,0,1769830712.5433,0.0914,27,32,59,8.6078,0.0762,0.5571,1.0,0.0,100.0,10.4298,7.6992,7.6992,117.7877,1769830723.0852094,0.0,0,17,0.0,0,0,0,6.29,15.0,0,219,1769830714.529,-2.916,meta-llama/Llama-3.2-1B-Instruct,"1769830714.529, 1769830714.531, 1769830714.543, 1769830714.544, 1769830714.555"
1.0,0,1769830712.8998,0.0382,27,32,59,8.3148,0.1366,0.4868,1.0,0.0,100.0,10.1203,7.353,7.353,117.7877,1769830723.094055,0.0,0,17,0.0,0,0,0,6.29,15.0,0,219,1769830714.529,-2.916,meta-llama/Llama-3.2-1B-Instruct,"1769830714.529, 1769830714.531, 1769830714.543, 1769830714.544, 1769830714.555"
1.0,0,1769830713.0744,0.0841,27,32,59,8.0863,0.0659,0.5687,1.0,0.0,100.0,9.8579,7.1705,7.1705,140.1483,1769830723.112536,0.0,0,20,0.0,0,0,0,6.29,15.0,0,497,1769830714.529,-8.574,meta-llama/Llama-3.2-1B-Instruct,"1769830714.529, 1769830714.531, 1769830714.543, 1769830714.544, 1769830714.555"
1.0,0,1769830712.4372,0.099,27,32,59,1.4992,0.603,7.2021,1.0,6.2021,93.75,10.5011,0.5981,0.5981,154.3766,1769830723.1368332,0.0,0,22,0.0,0,0,0,6.29,15.0,0,497,1769830714.529,-8.574,meta-llama/Llama-3.2-1B-Instruct,"1769830714.529, 1769830714.531, 1769830714.543, 1769830714.544, 1769830714.555"
1.0,0,1769830713.4074,0.0366,27,32,59,7.811,0.1296,0.5526,1.0,0.0,94.12,9.6794,6.8475,6.8475,154.3766,1769830723.1402483,0.0,0,22,0.0,0,0,0,6.29,15.0,0,497,1769830714.529,-8.574,meta-llama/Llama-3.2-1B-Instruct,"1769830714.529, 1769830714.531, 1769830714.543, 1769830714.544, 1769830714.555"
1.0,0,1769830712.4951,0.0426,27,32,59,8.7038,0.071,0.5052,1.0,0.0,94.44,10.4118,7.7464,7.7464,154.3766,1769830723.1482465,0.0,0,22,0.0,0,0,0,6.29,15.0,0,497,1769830714.529,-8.574,meta-llama/Llama-3.2-1B-Instruct,"1769830714.529, 1769830714.531, 1769830714.543, 1769830714.544, 1769830714.555"
1.0,0,1769830712.6448,0.0378,27,32,59,8.5744,0.0605,0.6291,1.0,0.0,94.74,10.4137,7.6122,7.6122,154.3766,1769830723.1504173,0.0,0,22,0.0,0,0,0,6.29,15.0,0,497,1769830714.529,-8.574,meta-llama/Llama-3.2-1B-Instruct,"1769830714.529, 1769830714.531, 1769830714.543, 1769830714.544, 1769830714.555"
1.0,0,1769830712.8808,0.0363,27,32,59,8.3445,0.0592,0.657,1.0,0.0,95.0,10.2149,7.3808,7.3808,154.3766,1769830723.1686623,0.0,0,22,0.0,0,0,0,6.29,15.0,0,497,1769830714.529,-8.574,meta-llama/Llama-3.2-1B-Instruct,"1769830714.529, 1769830714.531, 1769830714.543, 1769830714.544, 1769830714.555"
