line_idx,algo,calls,avg_ms,max_ms,vq_id,vq_groups,head_deadline,slack,model,deadlines
29,timsort,1,0.042,0.042,0,149,1769546387.283,-1.943,meta-llama/Llama-3.2-1B-Instruct,
32,timsort,238,0.128,1.101,0,394,1769546387.283,-6.956,meta-llama/Llama-3.2-1B-Instruct,
36,timsort,464,0.215,1.101,0,394,1769546387.283,-6.956,meta-llama/Llama-3.2-1B-Instruct,"1769546387.283, 1769546387.296, 1769546387.337, 1769546387.374, 1769546387.385"
62,timsort,546,0.273,1.25,0,556,1769546388.821,-15.485,meta-llama/Llama-3.2-1B-Instruct,
65,timsort,631,0.345,1.25,0,648,1769546388.821,-20.49,meta-llama/Llama-3.2-1B-Instruct,
68,timsort,731,0.416,1.426,0,747,1769546388.821,-25.538,meta-llama/Llama-3.2-1B-Instruct,
71,timsort,829,0.485,1.606,0,849,1769546388.821,-30.539,meta-llama/Llama-3.2-1B-Instruct,
74,timsort,934,0.557,1.84,0,954,1769546388.821,-35.567,meta-llama/Llama-3.2-1B-Instruct,
77,timsort,1031,0.623,2.032,0,1046,1769546388.821,-40.578,meta-llama/Llama-3.2-1B-Instruct,
80,timsort,1120,0.689,2.254,0,1140,1769546388.821,-45.662,meta-llama/Llama-3.2-1B-Instruct,
83,timsort,1222,0.763,2.47,0,1140,1769546388.821,-45.662,meta-llama/Llama-3.2-1B-Instruct,"1769546388.821, 1769546388.882, 1769546388.894, 1769546388.906, 1769546388.917"
87,timsort,1322,0.834,2.686,0,1338,1769546388.882,-55.621,meta-llama/Llama-3.2-1B-Instruct,
90,timsort,1421,0.904,2.918,0,1440,1769546388.882,-60.666,meta-llama/Llama-3.2-1B-Instruct,
93,timsort,1518,0.971,3.244,0,1536,1769546388.882,-65.679,meta-llama/Llama-3.2-1B-Instruct,
96,timsort,1620,1.042,3.244,0,1536,1769546388.882,-65.679,meta-llama/Llama-3.2-1B-Instruct,"1769546388.882, 1769546388.894, 1769546388.906, 1769546388.917, 1769546389.044"
100,timsort,1720,1.111,3.366,0,1738,1769546388.894,-75.678,meta-llama/Llama-3.2-1B-Instruct,
126,timsort,1818,1.175,3.55,0,1738,1769546388.894,-75.678,meta-llama/Llama-3.2-1B-Instruct,"1769546388.894, 1769546388.906, 1769546388.917, 1769546389.044, 1769546389.081"
230,timsort,1898,1.226,29.513,0,1825,1769546390.032,-80.723,meta-llama/Llama-3.2-1B-Instruct,"1769546390.032, 1769546390.114, 1769546390.177, 1769546390.315, 1769546390.328"
319,timsort,1954,1.278,29.513,0,1825,1769546392.462,-83.363,meta-llama/Llama-3.2-1B-Instruct,"1769546392.462, 1769546392.504, 1769546392.644, 1769546392.657, 1769546392.693"
384,timsort,2013,1.33,29.513,0,1825,1769546394.371,-86.473,meta-llama/Llama-3.2-1B-Instruct,"1769546394.371, 1769546394.409, 1769546394.420, 1769546394.432, 1769546394.470"
451,timsort,2075,1.381,29.513,0,1825,1769546394.371,-86.473,meta-llama/Llama-3.2-1B-Instruct,"1769546394.371, 1769546394.409, 1769546394.420, 1769546394.432, 1769546394.470"
525,timsort,2144,1.43,29.513,0,1825,1769546406.228,-84.645,meta-llama/Llama-3.2-1B-Instruct,"1769546406.228, 1769546406.277, 1769546406.300, 1769546406.414, 1769546406.456"
600,timsort,2215,1.481,29.513,0,1825,1769546414.264,-81.639,meta-llama/Llama-3.2-1B-Instruct,"1769546414.264, 1769546414.307, 1769546414.386, 1769546414.532, 1769546414.582"
675,timsort,2288,1.529,29.513,0,1825,1769546421.438,-79.489,meta-llama/Llama-3.2-1B-Instruct,"1769546421.438, 1769546421.486, 1769546421.533, 1769546421.558, 1769546421.606"
750,timsort,2361,1.574,29.513,0,1825,1769546429.165,-76.793,meta-llama/Llama-3.2-1B-Instruct,"1769546429.165, 1769546429.213, 1769546429.304, 1769546429.540, 1769546429.585"
826,timsort,2433,1.613,29.513,0,1825,1769546436.042,-74.944,meta-llama/Llama-3.2-1B-Instruct,"1769546436.042, 1769546436.220, 1769546436.269, 1769546436.345, 1769546436.388"
900,timsort,2505,1.654,29.513,0,1825,1769546443.657,-72.365,meta-llama/Llama-3.2-1B-Instruct,"1769546443.657, 1769546443.837, 1769546443.865, 1769546444.048, 1769546444.149"
975,timsort,2577,1.691,29.513,0,1825,1769546450.588,-70.484,meta-llama/Llama-3.2-1B-Instruct,"1769546450.588, 1769546450.632, 1769546450.739, 1769546451.344, 1769546451.395"
1054,timsort,2652,1.729,29.513,0,1825,1769546458.453,-67.635,meta-llama/Llama-3.2-1B-Instruct,"1769546458.453, 1769546458.483, 1769546458.522, 1769546458.614, 1769546458.793"
