orig_slo,slo_type,insertion_time,wait_time,prompt_tok,out_tok,total_tok,ttft,tbt_p95,tbt_p99,tbt_slo,tbt_violation,tbt_success_rate_pct,ttlt,diff,violation,total_violation,finished_time,success_rate_pct,success_count,processed_count,kv,run_cnt,wait_cnt,swap_cnt,vram_used_gib,vram_total_gib,vq_id,vq_groups,head_deadline,slack,model,deadlines
1.0,0,1769549549.5673,0.0984,27,0,27,,,,1.0,,,1.6108,0.7092,0.7092,0.7092,1769549552.145014,0.0,0,1,0.0,0,0,0,6.29,15.0,0,1,1769549749.549,200.0,meta-llama/Llama-3.2-1B-Instruct,1769549749.549
1.0,0,1769549549.9712,0.0343,27,0,27,,,,1.0,,,11.0365,10.0709,10.0709,10.78,1769549561.0583403,0.0,2,4,0.0,0,0,0,6.29,15.0,0,289,1769549553.33,-6.249,meta-llama/Llama-3.2-1B-Instruct,"1769549553.330, 1769549553.373, 1769549553.374, 1769549553.438, 1769549553.475"
200.0,1,1769549550.2221,0.0897,3025,0,3025,,,,200.0,,,10.7348,-189.1755,0.0,10.78,1769549561.0588732,50.0,2,4,0.0,0,0,0,6.29,15.0,0,289,1769549553.33,-6.249,meta-llama/Llama-3.2-1B-Instruct,"1769549553.330, 1769549553.373, 1769549553.374, 1769549553.438, 1769549553.475"
200.0,1,1769549550.5583,0.068,2906,0,2906,,,,200.0,,,10.4197,-189.5123,0.0,10.78,1769549561.0597293,33.33,2,4,0.0,0,0,0,6.29,15.0,0,289,1769549553.33,-6.249,meta-llama/Llama-3.2-1B-Instruct,"1769549553.330, 1769549553.373, 1769549553.374, 1769549553.438, 1769549553.475"
200.0,1,1769549551.4094,0.1188,3365,0,3365,,,,200.0,,,12.1853,-187.6959,0.0,10.78,1769549563.745634,60.0,3,5,0.768,61,4,0,11.69,15.0,0,289,1769549553.33,-6.249,meta-llama/Llama-3.2-1B-Instruct,"1769549553.330, 1769549553.373, 1769549553.374, 1769549553.438, 1769549553.475"
1.0,0,1769549551.2339,0.0348,27,0,27,,,,1.0,,,12.4788,11.5136,11.5136,22.2936,1769549563.7500048,50.0,3,6,0.0,0,0,0,11.69,15.0,0,289,1769549553.33,-6.249,meta-llama/Llama-3.2-1B-Instruct,"1769549553.330, 1769549553.373, 1769549553.374, 1769549553.438, 1769549553.475"
1.0,0,1769549551.678,0.5086,27,0,27,,,,1.0,,,12.5479,12.0565,12.0565,34.3501,1769549564.7456794,42.86,3,7,0.768,61,4,0,11.69,15.0,0,466,1769549553.477,-11.149,meta-llama/Llama-3.2-1B-Instruct,"1769549553.477, 1769549553.499, 1769549553.500, 1769549553.602, 1769549553.604"
1.0,0,1769549551.3199,0.1447,27,11,38,12.266,0.6803,0.6803,1.0,0.0,100.0,13.9355,11.4107,11.4107,45.7608,1769549565.402341,37.5,3,8,0.768,61,4,0,11.69,15.0,0,466,1769549553.477,-11.149,meta-llama/Llama-3.2-1B-Instruct,"1769549553.477, 1769549553.499, 1769549553.500, 1769549553.602, 1769549553.604"
1.0,0,1769549550.9592,0.0366,27,13,40,10.0446,2.6946,2.6946,1.0,1.6946,50.0,14.4703,9.0812,9.0812,54.842,1769549565.4702375,33.33,3,9,0.0,0,0,0,6.29,15.0,0,466,1769549553.477,-11.149,meta-llama/Llama-3.2-1B-Instruct,"1769549553.477, 1769549553.499, 1769549553.500, 1769549553.602, 1769549553.604"
1.0,0,1769549550.7333,0.0411,27,16,43,10.2621,2.6759,2.6759,1.0,1.6759,33.33,14.883,9.3031,9.3031,64.1451,1769549565.672286,30.0,3,10,0.0,0,0,0,6.29,15.0,0,466,1769549553.477,-11.149,meta-llama/Llama-3.2-1B-Instruct,"1769549553.477, 1769549553.499, 1769549553.500, 1769549553.602, 1769549553.604"
