orig_slo,slo_type,insertion_time,wait_time,prompt_tok,out_tok,total_tok,ttft,tbt_p95,tbt_p99,tbt_slo,tbt_violation,tbt_success_rate_pct,ttlt,diff,violation,total_violation,finished_time,success_rate_pct,success_count,processed_count,kv,run_cnt,wait_cnt,swap_cnt,vram_used_gib,vram_total_gib,lmcache,vq_id,vq_groups,head_deadline,slack,model,deadlines,lmcache:active_memory_objs_count,lmcache:local_cache_usage(MiB),lmcache:local_storage_usage(MiB),lmcache:lookup_hit_rate,lmcache:pinned_memory_objs_count,lmcache:remote_cache_usage(MiB),lmcache:remote_ping_error_code,lmcache:remote_ping_latency,lmcache:request_cache_hit_rate_count,lmcache:request_cache_hit_rate_sum,lmcache:request_cache_lifespan_count,lmcache:request_cache_lifespan_sum,lmcache:retrieve_hit_rate,lmcache:retrieve_process_tokens_time_count,lmcache:retrieve_process_tokens_time_sum,lmcache:retrieve_speed_count,lmcache:retrieve_speed_sum,lmcache:retrieve_to_gpu_time_count,lmcache:retrieve_to_gpu_time_sum,lmcache:storage_events_done_count,lmcache:storage_events_not_found_count,lmcache:storage_events_ongoing_count,lmcache:store_from_gpu_time_count,lmcache:store_from_gpu_time_sum,lmcache:store_process_tokens_time_count,lmcache:store_process_tokens_time_sum,lmcache:store_put_time_count,lmcache:store_put_time_sum,lmcache:store_speed_count,lmcache:store_speed_sum,lmcache:time_to_lookup_count,lmcache:time_to_lookup_sum,lmcache:time_to_retrieve_count,lmcache:time_to_retrieve_sum,lmcache:time_to_store_count,lmcache:time_to_store_sum
200.0,1,1770086122.9826,0.2168,1683,0,1683,,,,200.0,,,8.5113,-191.2719,0.0,542.4863,1770086170.8103135,66.67,5,61,0.813,39,0,,9.54,15.0,lmcache:active_memory_objs_count=279 lmcache:local_cache_usage=2232.0MiB lmcache:local_storage_usage=0.0MiB lmcache:lookup_hit_rate=0.0000 lmcache:pinned_memory_objs_count=0 lmcache:remote_cache_usage=0.0MiB lmcache:remote_ping_error_code=0 lmcache:remote_ping_latency=0 lmcache:request_cache_hit_rate_count=1 lmcache:request_cache_hit_rate_sum=1.0000 lmcache:request_cache_lifespan_count=7 lmcache:request_cache_lifespan_sum=0.00259691 lmcache:retrieve_hit_rate=1.0000 lmcache:storage_events_done_count=0 lmcache:storage_events_not_found_count=0 lmcache:storage_events_ongoing_count=0 lmcache:store_from_gpu_time_count=43 lmcache:store_from_gpu_time_sum=0.22257 lmcache:store_process_tokens_time_count=43 lmcache:store_process_tokens_time_sum=0.0185182 lmcache:store_put_time_count=43 lmcache:store_put_time_sum=0.00248836 lmcache:store_speed_count=43 lmcache:store_speed_sum=1.23399e+07 lmcache:time_to_lookup_count=44 lmcache:time_to_lookup_sum=0.00371333 lmcache:time_to_store_count=43 lmcache:time_to_store_sum=0.249471,0,132,1770086124.48,-42.914,meta-llama/Llama-3.2-1B-Instruct,"1770086124.480, 1770086124.601, 1770086124.717, 1770086125.058, 1770086125.256",279,2232.0,0.0,0.0,0,0.0,0,0,1,1.0,7,0.00259691,1.0,,,,,,,0,0,0,43,0.22257,43,0.0185182,43,0.00248836,43,12339900.0,44,0.00371333,,,43,0.249471
200.0,1,1770086122.2664,0.2142,1638,1,1639,9.1498,,,200.0,,,9.2885,-190.4972,0.0,542.4863,1770086170.8534386,75.0,5,61,0.813,39,0,,9.54,15.0,lmcache:active_memory_objs_count=279 lmcache:local_cache_usage=2232.0MiB lmcache:local_storage_usage=0.0MiB lmcache:lookup_hit_rate=0.0000 lmcache:pinned_memory_objs_count=0 lmcache:remote_cache_usage=0.0MiB lmcache:remote_ping_error_code=0 lmcache:remote_ping_latency=0 lmcache:request_cache_hit_rate_count=1 lmcache:request_cache_hit_rate_sum=1.0000 lmcache:request_cache_lifespan_count=7 lmcache:request_cache_lifespan_sum=0.00259691 lmcache:retrieve_hit_rate=1.0000 lmcache:storage_events_done_count=0 lmcache:storage_events_not_found_count=0 lmcache:storage_events_ongoing_count=0 lmcache:store_from_gpu_time_count=43 lmcache:store_from_gpu_time_sum=0.22257 lmcache:store_process_tokens_time_count=43 lmcache:store_process_tokens_time_sum=0.0185182 lmcache:store_put_time_count=43 lmcache:store_put_time_sum=0.00248836 lmcache:store_speed_count=43 lmcache:store_speed_sum=1.23399e+07 lmcache:time_to_lookup_count=44 lmcache:time_to_lookup_sum=0.00371333 lmcache:time_to_store_count=43 lmcache:time_to_store_sum=0.249471,0,132,1770086124.48,-42.914,meta-llama/Llama-3.2-1B-Instruct,"1770086124.480, 1770086124.601, 1770086124.717, 1770086125.058, 1770086125.256",279,2232.0,0.0,0.0,0,0.0,0,0,1,1.0,7,0.00259691,1.0,,,,,,,0,0,0,43,0.22257,43,0.0185182,43,0.00248836,43,12339900.0,44,0.00371333,,,43,0.249471
1.0,0,1770086119.5241,0.1999,27,5,32,11.9048,0.1102,0.1102,1.0,0.0,100.0,12.3352,11.1047,11.1047,542.4863,1770086171.5044827,60.0,5,61,0.816,39,0,,9.54,15.0,lmcache:active_memory_objs_count=279 lmcache:local_cache_usage=2232.0MiB lmcache:local_storage_usage=0.0MiB lmcache:lookup_hit_rate=0.0000 lmcache:pinned_memory_objs_count=0 lmcache:remote_cache_usage=0.0MiB lmcache:remote_ping_error_code=0 lmcache:remote_ping_latency=0 lmcache:request_cache_hit_rate_count=1 lmcache:request_cache_hit_rate_sum=1.0000 lmcache:request_cache_lifespan_count=7 lmcache:request_cache_lifespan_sum=0.00259691 lmcache:retrieve_hit_rate=1.0000 lmcache:storage_events_done_count=0 lmcache:storage_events_not_found_count=0 lmcache:storage_events_ongoing_count=0 lmcache:store_from_gpu_time_count=43 lmcache:store_from_gpu_time_sum=0.22257 lmcache:store_process_tokens_time_count=43 lmcache:store_process_tokens_time_sum=0.0185182 lmcache:store_put_time_count=43 lmcache:store_put_time_sum=0.00248836 lmcache:store_speed_count=43 lmcache:store_speed_sum=1.23399e+07 lmcache:time_to_lookup_count=44 lmcache:time_to_lookup_sum=0.00371333 lmcache:time_to_store_count=43 lmcache:time_to_store_sum=0.249471,0,132,1770086124.48,-42.914,meta-llama/Llama-3.2-1B-Instruct,"1770086124.480, 1770086124.601, 1770086124.717, 1770086125.058, 1770086125.256",279,2232.0,0.0,0.0,0,0.0,0,0,1,1.0,7,0.00259691,1.0,,,,,,,0,0,0,43,0.22257,43,0.0185182,43,0.00248836,43,12339900.0,44,0.00371333,,,43,0.249471
200.0,1,1770086118.8167,0.2064,1790,0,1790,,,,200.0,,,12.612,-187.1815,0.0,542.4863,1770086171.5367703,100.0,5,61,0.815,39,0,,9.54,15.0,lmcache:active_memory_objs_count=279 lmcache:local_cache_usage=2232.0MiB lmcache:local_storage_usage=0.0MiB lmcache:lookup_hit_rate=0.0000 lmcache:pinned_memory_objs_count=0 lmcache:remote_cache_usage=0.0MiB lmcache:remote_ping_error_code=0 lmcache:remote_ping_latency=0 lmcache:request_cache_hit_rate_count=1 lmcache:request_cache_hit_rate_sum=1.0000 lmcache:request_cache_lifespan_count=7 lmcache:request_cache_lifespan_sum=0.00259691 lmcache:retrieve_hit_rate=1.0000 lmcache:storage_events_done_count=0 lmcache:storage_events_not_found_count=0 lmcache:storage_events_ongoing_count=0 lmcache:store_from_gpu_time_count=43 lmcache:store_from_gpu_time_sum=0.22257 lmcache:store_process_tokens_time_count=43 lmcache:store_process_tokens_time_sum=0.0185182 lmcache:store_put_time_count=43 lmcache:store_put_time_sum=0.00248836 lmcache:store_speed_count=43 lmcache:store_speed_sum=1.23399e+07 lmcache:time_to_lookup_count=44 lmcache:time_to_lookup_sum=0.00371333 lmcache:time_to_store_count=43 lmcache:time_to_store_sum=0.249471,0,132,1770086124.48,-42.914,meta-llama/Llama-3.2-1B-Instruct,"1770086124.480, 1770086124.601, 1770086124.717, 1770086125.058, 1770086125.256",279,2232.0,0.0,0.0,0,0.0,0,0,1,1.0,7,0.00259691,1.0,,,,,,,0,0,0,43,0.22257,43,0.0185182,43,0.00248836,43,12339900.0,44,0.00371333,,,43,0.249471
1.0,0,1770086116.9183,0.1875,27,0,27,,,,1.0,,,14.5672,13.7547,13.7547,542.4863,1770086171.6860173,50.0,5,61,0.816,39,0,,9.54,15.0,lmcache:active_memory_objs_count=279 lmcache:local_cache_usage=2232.0MiB lmcache:local_storage_usage=0.0MiB lmcache:lookup_hit_rate=0.0000 lmcache:pinned_memory_objs_count=0 lmcache:remote_cache_usage=0.0MiB lmcache:remote_ping_error_code=0 lmcache:remote_ping_latency=0 lmcache:request_cache_hit_rate_count=1 lmcache:request_cache_hit_rate_sum=1.0000 lmcache:request_cache_lifespan_count=7 lmcache:request_cache_lifespan_sum=0.00259691 lmcache:retrieve_hit_rate=1.0000 lmcache:storage_events_done_count=0 lmcache:storage_events_not_found_count=0 lmcache:storage_events_ongoing_count=0 lmcache:store_from_gpu_time_count=43 lmcache:store_from_gpu_time_sum=0.22257 lmcache:store_process_tokens_time_count=43 lmcache:store_process_tokens_time_sum=0.0185182 lmcache:store_put_time_count=43 lmcache:store_put_time_sum=0.00248836 lmcache:store_speed_count=43 lmcache:store_speed_sum=1.23399e+07 lmcache:time_to_lookup_count=44 lmcache:time_to_lookup_sum=0.00371333 lmcache:time_to_store_count=43 lmcache:time_to_store_sum=0.249471,0,132,1770086124.48,-42.914,meta-llama/Llama-3.2-1B-Instruct,"1770086124.480, 1770086124.601, 1770086124.717, 1770086125.058, 1770086125.256",279,2232.0,0.0,0.0,0,0.0,0,0,1,1.0,7,0.00259691,1.0,,,,,,,0,0,0,43,0.22257,43,0.0185182,43,0.00248836,43,12339900.0,44,0.00371333,,,43,0.249471
1.0,0,1770086122.745,0.2023,27,32,59,8.6877,0.2938,1.5909,1.0,0.5909,50.0,11.6802,7.89,7.89,542.4863,1770086171.7822394,19.05,5,61,0.815,39,0,,9.54,15.0,lmcache:active_memory_objs_count=279 lmcache:local_cache_usage=2232.0MiB lmcache:local_storage_usage=0.0MiB lmcache:lookup_hit_rate=0.0000 lmcache:pinned_memory_objs_count=0 lmcache:remote_cache_usage=0.0MiB lmcache:remote_ping_error_code=0 lmcache:remote_ping_latency=0 lmcache:request_cache_hit_rate_count=1 lmcache:request_cache_hit_rate_sum=1.0000 lmcache:request_cache_lifespan_count=7 lmcache:request_cache_lifespan_sum=0.00259691 lmcache:retrieve_hit_rate=1.0000 lmcache:storage_events_done_count=0 lmcache:storage_events_not_found_count=0 lmcache:storage_events_ongoing_count=0 lmcache:store_from_gpu_time_count=43 lmcache:store_from_gpu_time_sum=0.22257 lmcache:store_process_tokens_time_count=43 lmcache:store_process_tokens_time_sum=0.0185182 lmcache:store_put_time_count=43 lmcache:store_put_time_sum=0.00248836 lmcache:store_speed_count=43 lmcache:store_speed_sum=1.23399e+07 lmcache:time_to_lookup_count=44 lmcache:time_to_lookup_sum=0.00371333 lmcache:time_to_store_count=43 lmcache:time_to_store_sum=0.249471,0,132,1770086124.48,-42.914,meta-llama/Llama-3.2-1B-Instruct,"1770086124.480, 1770086124.601, 1770086124.717, 1770086125.058, 1770086125.256",279,2232.0,0.0,0.0,0,0.0,0,0,1,1.0,7,0.00259691,1.0,,,,,,,0,0,0,43,0.22257,43,0.0185182,43,0.00248836,43,12339900.0,44,0.00371333,,,43,0.249471
1.0,0,1770086117.0222,0.2133,27,32,59,14.4239,0.5393,0.6771,1.0,0.0,66.67,17.6765,13.6372,13.6372,542.4863,1770086172.3495762,7.84,5,61,0.819,39,0,,9.54,15.0,lmcache:active_memory_objs_count=279 lmcache:local_cache_usage=2232.0MiB lmcache:local_storage_usage=0.0MiB lmcache:lookup_hit_rate=0.0000 lmcache:pinned_memory_objs_count=0 lmcache:remote_cache_usage=0.0MiB lmcache:remote_ping_error_code=0 lmcache:remote_ping_latency=0 lmcache:request_cache_hit_rate_count=1 lmcache:request_cache_hit_rate_sum=1.0000 lmcache:request_cache_lifespan_count=7 lmcache:request_cache_lifespan_sum=0.00259691 lmcache:retrieve_hit_rate=1.0000 lmcache:storage_events_done_count=0 lmcache:storage_events_not_found_count=0 lmcache:storage_events_ongoing_count=0 lmcache:store_from_gpu_time_count=43 lmcache:store_from_gpu_time_sum=0.22257 lmcache:store_process_tokens_time_count=43 lmcache:store_process_tokens_time_sum=0.0185182 lmcache:store_put_time_count=43 lmcache:store_put_time_sum=0.00248836 lmcache:store_speed_count=43 lmcache:store_speed_sum=1.23399e+07 lmcache:time_to_lookup_count=44 lmcache:time_to_lookup_sum=0.00371333 lmcache:time_to_store_count=43 lmcache:time_to_store_sum=0.249471,0,132,1770086124.48,-42.914,meta-llama/Llama-3.2-1B-Instruct,"1770086124.480, 1770086124.601, 1770086124.717, 1770086125.058, 1770086125.256",279,2232.0,0.0,0.0,0,0.0,0,0,1,1.0,7,0.00259691,1.0,,,,,,,0,0,0,43,0.22257,43,0.0185182,43,0.00248836,43,12339900.0,44,0.00371333,,,43,0.249471
1.0,0,1770086113.5413,0.2052,27,32,59,7.3752,3.056,7.4422,1.0,6.4422,33.33,21.0592,6.5804,6.5804,542.4863,1770086173.1134586,9.52,5,61,0.821,39,0,,9.54,15.0,lmcache:active_memory_objs_count=279 lmcache:local_cache_usage=2232.0MiB lmcache:local_storage_usage=0.0MiB lmcache:lookup_hit_rate=0.0000 lmcache:pinned_memory_objs_count=0 lmcache:remote_cache_usage=0.0MiB lmcache:remote_ping_error_code=0 lmcache:remote_ping_latency=0 lmcache:request_cache_hit_rate_count=1 lmcache:request_cache_hit_rate_sum=1.0000 lmcache:request_cache_lifespan_count=7 lmcache:request_cache_lifespan_sum=0.00259691 lmcache:retrieve_hit_rate=1.0000 lmcache:storage_events_done_count=0 lmcache:storage_events_not_found_count=0 lmcache:storage_events_ongoing_count=0 lmcache:store_from_gpu_time_count=43 lmcache:store_from_gpu_time_sum=0.22257 lmcache:store_process_tokens_time_count=43 lmcache:store_process_tokens_time_sum=0.0185182 lmcache:store_put_time_count=43 lmcache:store_put_time_sum=0.00248836 lmcache:store_speed_count=43 lmcache:store_speed_sum=1.23399e+07 lmcache:time_to_lookup_count=44 lmcache:time_to_lookup_sum=0.00371333 lmcache:time_to_store_count=43 lmcache:time_to_store_sum=0.249471,0,149,1770086124.48,-48.264,meta-llama/Llama-3.2-1B-Instruct,"1770086124.480, 1770086124.601, 1770086124.717, 1770086125.058, 1770086125.256",279,2232.0,0.0,0.0,0,0.0,0,0,1,1.0,7,0.00259691,1.0,,,,,,,0,0,0,43,0.22257,43,0.0185182,43,0.00248836,43,12339900.0,44,0.00371333,,,43,0.249471
1.0,0,1770086113.3137,0.1971,27,32,59,7.6211,3.0485,7.4401,1.0,6.4401,50.0,20.9972,6.8182,6.8182,542.4863,1770086173.3942616,26.67,5,61,0.82,39,0,,9.54,15.0,lmcache:active_memory_objs_count=279 lmcache:local_cache_usage=2232.0MiB lmcache:local_storage_usage=0.0MiB lmcache:lookup_hit_rate=0.0000 lmcache:pinned_memory_objs_count=0 lmcache:remote_cache_usage=0.0MiB lmcache:remote_ping_error_code=0 lmcache:remote_ping_latency=0 lmcache:request_cache_hit_rate_count=1 lmcache:request_cache_hit_rate_sum=1.0000 lmcache:request_cache_lifespan_count=7 lmcache:request_cache_lifespan_sum=0.00259691 lmcache:retrieve_hit_rate=1.0000 lmcache:storage_events_done_count=0 lmcache:storage_events_not_found_count=0 lmcache:storage_events_ongoing_count=0 lmcache:store_from_gpu_time_count=43 lmcache:store_from_gpu_time_sum=0.22257 lmcache:store_process_tokens_time_count=43 lmcache:store_process_tokens_time_sum=0.0185182 lmcache:store_put_time_count=43 lmcache:store_put_time_sum=0.00248836 lmcache:store_speed_count=43 lmcache:store_speed_sum=1.23399e+07 lmcache:time_to_lookup_count=44 lmcache:time_to_lookup_sum=0.00371333 lmcache:time_to_store_count=43 lmcache:time_to_store_sum=0.249471,0,149,1770086124.48,-48.264,meta-llama/Llama-3.2-1B-Instruct,"1770086124.480, 1770086124.601, 1770086124.717, 1770086125.058, 1770086125.256",279,2232.0,0.0,0.0,0,0.0,0,0,1,1.0,7,0.00259691,1.0,,,,,,,0,0,0,43,0.22257,43,0.0185182,43,0.00248836,43,12339900.0,44,0.00371333,,,43,0.249471
1.0,0,1770086122.3898,0.2056,27,32,59,9.0655,0.5419,1.0604,1.0,0.0604,40.0,11.9706,8.2711,8.2711,542.4863,1770086173.4834337,22.22,5,61,0.82,39,0,,9.54,15.0,lmcache:active_memory_objs_count=279 lmcache:local_cache_usage=2232.0MiB lmcache:local_storage_usage=0.0MiB lmcache:lookup_hit_rate=0.0000 lmcache:pinned_memory_objs_count=0 lmcache:remote_cache_usage=0.0MiB lmcache:remote_ping_error_code=0 lmcache:remote_ping_latency=0 lmcache:request_cache_hit_rate_count=1 lmcache:request_cache_hit_rate_sum=1.0000 lmcache:request_cache_lifespan_count=7 lmcache:request_cache_lifespan_sum=0.00259691 lmcache:retrieve_hit_rate=1.0000 lmcache:storage_events_done_count=0 lmcache:storage_events_not_found_count=0 lmcache:storage_events_ongoing_count=0 lmcache:store_from_gpu_time_count=43 lmcache:store_from_gpu_time_sum=0.22257 lmcache:store_process_tokens_time_count=43 lmcache:store_process_tokens_time_sum=0.0185182 lmcache:store_put_time_count=43 lmcache:store_put_time_sum=0.00248836 lmcache:store_speed_count=43 lmcache:store_speed_sum=1.23399e+07 lmcache:time_to_lookup_count=44 lmcache:time_to_lookup_sum=0.00371333 lmcache:time_to_store_count=43 lmcache:time_to_store_sum=0.249471,0,149,1770086124.48,-48.264,meta-llama/Llama-3.2-1B-Instruct,"1770086124.480, 1770086124.601, 1770086124.717, 1770086125.058, 1770086125.256",279,2232.0,0.0,0.0,0,0.0,0,0,1,1.0,7,0.00259691,1.0,,,,,,,0,0,0,43,0.22257,43,0.0185182,43,0.00248836,43,12339900.0,44,0.00371333,,,43,0.249471
