line_idx,algo,calls,avg_ms,max_ms,vq_id,vq_groups,head_deadline,slack,model,deadlines
33,timsort,1,0.036,0.036,0,50,1770086124.48,-2.233,meta-llama/Llama-3.2-1B-Instruct,
36,timsort,78,0.066,0.201,0,125,1770086124.48,-7.401,meta-llama/Llama-3.2-1B-Instruct,
39,timsort,128,0.105,0.262,0,130,1770086124.48,-12.567,meta-llama/Llama-3.2-1B-Instruct,
42,timsort,130,0.106,0.262,0,131,1770086124.48,-28.237,meta-llama/Llama-3.2-1B-Instruct,
45,timsort,131,0.107,0.262,0,132,1770086124.48,-42.914,meta-llama/Llama-3.2-1B-Instruct,
55,timsort,148,0.126,0.69,0,149,1770086124.48,-48.264,meta-llama/Llama-3.2-1B-Instruct,
79,timsort,149,0.129,0.69,0,149,1770086124.601,-53.609,meta-llama/Llama-3.2-1B-Instruct,
112,timsort,151,0.131,0.69,0,149,1770086125.058,-59.816,meta-llama/Llama-3.2-1B-Instruct,
126,timsort,167,0.152,0.717,0,149,1770086126.988,-63.005,meta-llama/Llama-3.2-1B-Instruct,
145,timsort,184,0.17,0.717,0,149,1770086129.463,-65.629,meta-llama/Llama-3.2-1B-Instruct,
165,timsort,200,0.184,0.717,0,149,1770086131.686,-68.508,meta-llama/Llama-3.2-1B-Instruct,
184,timsort,217,0.199,0.717,0,149,1770086187.526,-17.898,meta-llama/Llama-3.2-1B-Instruct,
203,timsort,235,0.209,0.717,0,149,1770086199.843,-10.661,meta-llama/Llama-3.2-1B-Instruct,
226,timsort,251,0.222,0.717,0,149,1770086207.581,-8.16,meta-llama/Llama-3.2-1B-Instruct,
248,timsort,267,0.229,0.717,0,149,1770086216.068,-4.865,meta-llama/Llama-3.2-1B-Instruct,
335,timsort,274,0.232,0.717,0,149,1770086219.946,-8.035,meta-llama/Llama-3.2-1B-Instruct,
358,timsort,298,0.24,0.717,0,149,1770086234.032,0.999,meta-llama/Llama-3.2-1B-Instruct,
376,timsort,322,0.244,0.717,0,149,1770086325.241,87.145,meta-llama/Llama-3.2-1B-Instruct,
379,timsort,358,0.249,0.717,0,149,1770086244.692,0.999,meta-llama/Llama-3.2-1B-Instruct,
383,timsort,391,0.251,0.717,0,149,1770086329.586,80.827,meta-llama/Llama-3.2-1B-Instruct,
389,timsort,439,0.249,0.717,0,180,1770086252.326,-1.513,meta-llama/Llama-3.2-1B-Instruct,
