orig_slo,slo_type,insertion_time,wait_time,prompt_tok,out_tok,total_tok,ttft,tbt_p95,tbt_p99,tbt_slo,tbt_violation,tbt_success_rate_pct,ttlt,diff,violation,total_violation,finished_time,success_rate_pct,success_count,processed_count,kv,run_cnt,wait_cnt,swap_cnt,vram_used_gib,vram_total_gib,vq_id,vq_groups,head_deadline,slack,model,deadlines
1.0,0,1770087157.652,0.1214,27,0,27,,,,1.0,,,3.5816,2.7031,2.7031,2.7031,1770087163.1724505,0.0,0,1,0.214,27,0,,8.11,15.0,0,1,1770087355.158,200.0,meta-llama/Llama-3.2-1B-Instruct,1770087355.158
1.0,0,1770087166.0274,0.1571,27,0,27,,,,1.0,,,6.7604,5.9174,5.9174,8.6205,1770087173.0671754,0.0,1,3,0.64,82,0,,8.55,15.0,0,1,1770087171.373,0.999,meta-llama/Llama-3.2-1B-Instruct,1770087171.373
200.0,1,1770087164.9025,0.1629,1790,0,1790,,,,200.0,,,7.9135,-191.9236,0.0,8.6205,1770087173.128821,33.33,1,3,0.64,82,0,,8.55,15.0,0,1,1770087171.373,0.999,meta-llama/Llama-3.2-1B-Instruct,1770087171.373
1.0,0,1770087172.428,0.9728,27,0,27,,,,1.0,,,1.8695,1.8422,1.8422,15.7605,1770087175.5063624,25.0,1,5,0.729,99,0,,8.55,15.0,0,1,1770087171.373,0.999,meta-llama/Llama-3.2-1B-Instruct,1770087171.373
1.0,0,1770087162.9666,0.1214,27,5,32,6.1764,3.7201,3.7201,1.0,2.7201,0.0,12.2627,5.2978,5.2978,22.4829,1770087175.769709,20.0,1,6,0.731,98,0,,8.55,15.0,0,23,1770087174.143,-1.626,meta-llama/Llama-3.2-1B-Instruct,"1770087174.143, 1770087174.571, 1770087174.961, 1770087175.078, 1770087175.198"
1.0,0,1770087161.5474,0.1188,27,7,34,7.6036,3.7012,3.7012,1.0,2.7012,0.0,13.8893,6.7223,6.7223,22.4829,1770087175.948457,16.67,1,6,0.733,97,0,,8.55,15.0,0,23,1770087174.143,-1.626,meta-llama/Llama-3.2-1B-Instruct,"1770087174.143, 1770087174.571, 1770087174.961, 1770087175.078, 1770087175.198"
1.0,0,1770087155.8849,0.1124,27,18,45,1.1907,3.7021,3.7021,1.0,2.7021,0.0,20.0063,0.3031,0.3031,22.786,1770087176.2605057,14.29,1,7,0.734,96,0,,8.55,15.0,0,23,1770087174.143,-1.626,meta-llama/Llama-3.2-1B-Instruct,"1770087174.143, 1770087174.571, 1770087174.961, 1770087175.078, 1770087175.198"
1.0,0,1770087165.4647,0.1549,27,20,47,7.3621,2.1937,2.1937,1.0,1.1937,0.0,11.2338,6.517,6.517,33.9795,1770087177.1215777,12.5,1,9,0.744,96,0,,8.55,15.0,0,23,1770087174.143,-1.626,meta-llama/Llama-3.2-1B-Instruct,"1770087174.143, 1770087174.571, 1770087174.961, 1770087175.078, 1770087175.198"
1.0,0,1770087169.4388,0.1592,27,20,47,5.5173,0.1449,0.1449,1.0,0.0,20.0,7.4843,4.6765,4.6765,240.085,1770087178.6926234,11.11,1,55,0.746,96,0,,8.55,15.0,0,23,1770087174.143,-1.626,meta-llama/Llama-3.2-1B-Instruct,"1770087174.143, 1770087174.571, 1770087174.961, 1770087175.078, 1770087175.198"
1.0,0,1770087156.0186,0.12,27,32,59,1.0551,3.1326,3.6933,1.0,2.6933,12.5,21.1528,0.1751,0.1751,259.4845,1770087179.492415,7.69,1,60,0.743,89,0,,8.55,15.0,0,23,1770087174.143,-1.626,meta-llama/Llama-3.2-1B-Instruct,"1770087174.143, 1770087174.571, 1770087174.961, 1770087175.078, 1770087175.198"
