orig_slo,slo_type,insertion_time,wait_time,prompt_tok,out_tok,total_tok,ttft,tbt_p95,tbt_p99,tbt_slo,tbt_violation,tbt_success_rate_pct,ttlt,diff,violation,total_violation,finished_time,success_rate_pct,success_count,processed_count,kv,run_cnt,wait_cnt,swap_cnt,vram_used_gib,vram_total_gib,vq_id,vq_groups,head_deadline,slack,model,deadlines
1.0,0,1770090413.6533,0.1633,27,0,27,,,,1.0,,,13.4961,12.6594,12.6594,678.6115,1770090432.3084059,0.0,0,56,0.744,44,0,,10.05,15.0,0,160,1770090417.885,-9.174,meta-llama/Llama-3.2-1B-Instruct,"1770090417.885, 1770090417.977, 1770090418.066, 1770090418.346, 1770090418.541"
1.0,0,1770090415.4759,0.1703,27,1,28,11.6805,,,1.0,,,11.803,10.8507,10.8507,678.6115,1770090440.2553673,0.0,0,56,0.744,44,0,,10.05,15.0,0,173,1770090417.885,-14.472,meta-llama/Llama-3.2-1B-Instruct,"1770090417.885, 1770090417.977, 1770090418.066, 1770090418.346, 1770090418.541"
200.0,1,1770090415.6771,0.1787,1652,151,1803,11.4683,0.5044,1.4808,200.0,0.0,100.0,26.7066,-173.1146,0.0,678.6115,1770090461.7453544,1.75,7,63,0.816,43,0,,10.05,15.0,0,174,1770090417.885,-29.24,meta-llama/Llama-3.2-1B-Instruct,"1770090417.885, 1770090417.977, 1770090418.066, 1770090418.346, 1770090418.541"
200.0,1,1770090415.8883,0.1701,1638,379,2017,11.2863,0.4755,2.5633,200.0,0.0,100.0,44.8052,-155.0247,0.0,678.6115,1770090463.0042796,9.68,7,63,0.742,37,0,,10.05,15.0,0,174,1770090417.977,-44.249,meta-llama/Llama-3.2-1B-Instruct,"1770090417.977, 1770090418.066, 1770090418.346, 1770090418.541, 1770090418.737"
200.0,1,1770090415.1924,0.1797,1859,285,2144,11.9862,0.5495,2.6986,200.0,0.0,100.0,41.3122,-158.5082,0.0,678.6115,1770090463.1960273,3.45,7,63,0.737,37,0,,10.05,15.0,0,174,1770090417.977,-44.249,meta-llama/Llama-3.2-1B-Instruct,"1770090417.977, 1770090418.066, 1770090418.346, 1770090418.541, 1770090418.737"
200.0,1,1770090408.4726,0.1521,1937,373,2310,14.2039,0.5552,1.4904,200.0,0.0,100.0,52.2327,-147.6152,0.0,678.6115,1770090463.2375977,8.2,7,63,0.742,37,0,,10.05,15.0,0,174,1770090417.977,-44.249,meta-llama/Llama-3.2-1B-Instruct,"1770090417.977, 1770090418.066, 1770090418.346, 1770090418.541, 1770090418.737"
200.0,1,1770090414.2468,0.1942,1912,343,2255,12.8656,0.5519,1.8395,200.0,0.0,100.0,46.3391,-153.4667,0.0,678.6115,1770090463.4202058,6.67,7,63,0.742,37,0,,10.05,15.0,0,174,1770090417.977,-44.249,meta-llama/Llama-3.2-1B-Instruct,"1770090417.977, 1770090418.066, 1770090418.346, 1770090418.541, 1770090418.737"
200.0,1,1770090414.1436,0.1697,1901,367,2268,13.034,0.5446,1.6133,200.0,0.0,100.0,44.8445,-154.9858,0.0,678.6115,1770090463.52698,5.08,7,63,0.738,37,0,,10.05,15.0,0,174,1770090417.977,-44.249,meta-llama/Llama-3.2-1B-Instruct,"1770090417.977, 1770090418.066, 1770090418.346, 1770090418.541, 1770090418.737"
200.0,1,1770090409.1973,0.1712,1928,371,2299,13.4649,0.5472,2.6248,200.0,0.0,100.0,52.3686,-147.4602,0.0,678.6115,1770090463.5326474,11.11,7,63,0.743,37,0,,10.05,15.0,0,174,1770090417.977,-44.249,meta-llama/Llama-3.2-1B-Instruct,"1770090417.977, 1770090418.066, 1770090418.346, 1770090418.541, 1770090418.737"
1.0,0,1770090417.0663,47.0739,27,0,27,,,,1.0,,,0.2991,46.3729,46.3729,724.9844,1770090464.746284,10.94,7,64,0.754,40,0,,10.05,15.0,0,174,1770090417.977,-44.249,meta-llama/Llama-3.2-1B-Instruct,"1770090417.977, 1770090418.066, 1770090418.346, 1770090418.541, 1770090418.737"
