line_idx,algo,calls,avg_ms,max_ms,vq_id,vq_groups,head_deadline,slack,model,deadlines
38,timsort,1,0.032,0.032,0,1,1770092790.977,1.0,meta-llama/Llama-3.2-1B-Instruct,1770092790.977
46,timsort,45,0.052,0.127,0,40,1770092793.28,-1.703,meta-llama/Llama-3.2-1B-Instruct,"1770092793.280, 1770092793.497, 1770092793.712, 1770092793.778, 1770092793.841"
133,timsort,46,0.054,0.151,0,45,1770092793.497,-12.505,meta-llama/Llama-3.2-1B-Instruct,
205,timsort,60,0.065,0.173,0,45,1770092795.392,-15.658,meta-llama/Llama-3.2-1B-Instruct,
224,timsort,72,0.08,0.328,0,45,1770092813.785,-2.421,meta-llama/Llama-3.2-1B-Instruct,
243,timsort,85,0.085,0.328,0,45,1770092822.369,0.999,meta-llama/Llama-3.2-1B-Instruct,
249,timsort,112,0.085,0.328,0,45,1770092993.724,167.248,meta-llama/Llama-3.2-1B-Instruct,
261,timsort,134,0.104,2.424,0,45,1770093009.42,177.727,meta-llama/Llama-3.2-1B-Instruct,
275,timsort,148,0.106,2.424,0,45,1770093016.206,179.347,meta-llama/Llama-3.2-1B-Instruct,
278,timsort,179,0.108,2.424,0,65,1770092840.526,-1.389,meta-llama/Llama-3.2-1B-Instruct,
281,timsort,226,0.129,2.424,0,112,1770092840.526,-6.424,meta-llama/Llama-3.2-1B-Instruct,
284,timsort,275,0.156,2.424,0,161,1770092840.526,-11.446,meta-llama/Llama-3.2-1B-Instruct,
287,timsort,328,0.181,2.424,0,214,1770092840.526,-16.469,meta-llama/Llama-3.2-1B-Instruct,
291,timsort,382,0.208,2.424,0,267,1770092840.842,-21.183,meta-llama/Llama-3.2-1B-Instruct,
296,timsort,433,0.244,2.424,0,316,1770092841.558,-25.532,meta-llama/Llama-3.2-1B-Instruct,
299,timsort,486,0.282,2.424,0,369,1770092841.558,-30.612,meta-llama/Llama-3.2-1B-Instruct,
304,timsort,537,0.314,2.424,0,418,1770092841.887,-35.375,meta-llama/Llama-3.2-1B-Instruct,
308,timsort,590,0.354,2.424,0,470,1770092842.219,-40.14,meta-llama/Llama-3.2-1B-Instruct,
313,timsort,642,0.39,2.424,0,520,1770092842.801,-44.622,meta-llama/Llama-3.2-1B-Instruct,
317,timsort,693,0.428,2.424,0,570,1770092843.01,-49.462,meta-llama/Llama-3.2-1B-Instruct,
320,timsort,749,0.471,2.424,0,626,1770092843.01,-54.538,meta-llama/Llama-3.2-1B-Instruct,
324,timsort,802,0.511,2.424,0,678,1770092843.746,-58.903,meta-llama/Llama-3.2-1B-Instruct,
333,timsort,851,0.548,2.424,0,724,1770092844.409,-63.333,meta-llama/Llama-3.2-1B-Instruct,
345,timsort,897,0.576,2.424,0,759,1770092846.065,-66.723,meta-llama/Llama-3.2-1B-Instruct,
354,timsort,946,0.606,2.424,0,801,1770092847.233,-70.567,meta-llama/Llama-3.2-1B-Instruct,
431,timsort,991,0.624,2.424,0,842,1770092847.826,-85.478,meta-llama/Llama-3.2-1B-Instruct,
442,timsort,1008,0.64,2.424,0,842,1770092851.195,-87.273,meta-llama/Llama-3.2-1B-Instruct,
464,timsort,1021,0.653,2.595,0,842,1770092852.971,-91.196,meta-llama/Llama-3.2-1B-Instruct,
481,timsort,1034,0.672,10.281,0,842,1770092855.615,-93.895,meta-llama/Llama-3.2-1B-Instruct,
499,timsort,1048,0.683,10.281,0,842,1770092857.793,-96.879,meta-llama/Llama-3.2-1B-Instruct,
520,timsort,1062,0.696,10.281,0,842,1770092860.37,-99.814,meta-llama/Llama-3.2-1B-Instruct,
540,timsort,1077,0.707,10.281,0,842,1770092863.268,-102.295,meta-llama/Llama-3.2-1B-Instruct,
559,timsort,1092,0.718,10.281,0,842,1770092866.02,-104.598,meta-llama/Llama-3.2-1B-Instruct,
579,timsort,1109,0.73,10.281,0,842,1770092870.198,-105.783,meta-llama/Llama-3.2-1B-Instruct,
599,timsort,1125,0.742,10.281,0,842,1770092872.899,-108.306,meta-llama/Llama-3.2-1B-Instruct,
616,timsort,1141,0.754,10.281,0,842,1770092876.481,-109.743,meta-llama/Llama-3.2-1B-Instruct,
639,timsort,1155,0.764,10.281,0,842,1770092879.565,-111.767,meta-llama/Llama-3.2-1B-Instruct,
657,timsort,1171,0.774,10.281,0,842,1770092882.165,-114.287,meta-llama/Llama-3.2-1B-Instruct,
725,timsort,1177,0.777,10.281,0,842,1770092883.561,-117.929,meta-llama/Llama-3.2-1B-Instruct,
769,timsort,1197,0.789,10.281,0,842,1770092887.765,-118.85,meta-llama/Llama-3.2-1B-Instruct,
792,timsort,1217,0.802,10.281,0,842,1770092891.676,-119.944,meta-llama/Llama-3.2-1B-Instruct,
816,timsort,1238,0.813,10.281,0,842,1770092895.578,-121.247,meta-llama/Llama-3.2-1B-Instruct,
840,timsort,1259,0.824,10.281,0,842,1770092901.006,-120.912,meta-llama/Llama-3.2-1B-Instruct,
863,timsort,1279,0.835,10.281,0,842,1770092904.067,-122.906,meta-llama/Llama-3.2-1B-Instruct,
887,timsort,1300,0.846,10.281,0,842,1770092907.986,-124.161,meta-llama/Llama-3.2-1B-Instruct,
911,timsort,1321,0.857,10.281,0,842,1770092912.029,-125.348,meta-llama/Llama-3.2-1B-Instruct,
936,timsort,1342,0.866,10.281,0,842,1770092916.059,-126.56,meta-llama/Llama-3.2-1B-Instruct,
959,timsort,1363,0.876,10.281,0,842,1770092920.095,-127.619,meta-llama/Llama-3.2-1B-Instruct,
983,timsort,1384,0.884,10.281,0,842,1770092942.108,-110.74,meta-llama/Llama-3.2-1B-Instruct,
1005,timsort,1404,0.893,10.281,0,842,1770092959.203,-98.648,meta-llama/Llama-3.2-1B-Instruct,
1029,timsort,1424,0.902,10.281,0,842,1770092972.806,-90.076,meta-llama/Llama-3.2-1B-Instruct,
1052,timsort,1444,0.91,10.281,0,842,1770092985.039,-82.864,meta-llama/Llama-3.2-1B-Instruct,
1075,timsort,1464,0.917,10.281,0,842,1770092995.822,-77.088,meta-llama/Llama-3.2-1B-Instruct,
1098,timsort,1484,0.924,10.281,0,842,1770093009.802,-68.149,meta-llama/Llama-3.2-1B-Instruct,
1122,timsort,1505,0.929,10.281,0,842,1770093018.813,-64.357,meta-llama/Llama-3.2-1B-Instruct,
1137,timsort,1531,0.937,10.281,0,842,1770093025.778,-62.456,meta-llama/Llama-3.2-1B-Instruct,
1141,timsort,1564,0.946,10.281,0,842,1770093032.656,-60.618,meta-llama/Llama-3.2-1B-Instruct,
1145,timsort,1597,0.956,10.281,0,842,1770093040.97,-57.352,meta-llama/Llama-3.2-1B-Instruct,
1148,timsort,1642,0.971,10.281,0,868,1770093043.616,-59.713,meta-llama/Llama-3.2-1B-Instruct,
1153,timsort,1703,0.983,10.281,0,927,1770093043.723,-64.61,meta-llama/Llama-3.2-1B-Instruct,
1158,timsort,1760,0.995,10.281,0,982,1770093043.993,-69.356,meta-llama/Llama-3.2-1B-Instruct,
1186,timsort,1773,1.031,53.958,0,994,1770093044.408,-77.174,meta-llama/Llama-3.2-1B-Instruct,
1243,timsort,1789,1.038,53.958,0,994,1770093047.172,-79.587,meta-llama/Llama-3.2-1B-Instruct,
1247,timsort,1810,1.05,53.958,0,994,1770093050.294,-81.618,meta-llama/Llama-3.2-1B-Instruct,
1250,timsort,1849,1.062,53.958,0,1030,1770093051.062,-85.881,meta-llama/Llama-3.2-1B-Instruct,
1255,timsort,1891,1.075,53.958,0,1070,1770093051.772,-90.199,meta-llama/Llama-3.2-1B-Instruct,
