tag,mode,slo_type,metric,p50,p90,p95,p99,mean,count
sleep_0.001_pushint_0.01_mb100_chunked_1,CPU-only,0,ttft,0.28995,13.20596,57.82336499999951,110.47955199999997,6.9694564606741585,712
sleep_0.001_pushint_0.01_mb100_chunked_1,CPU-only,0,tbt_p99,0.1416,1.8096900000000011,6.2214599999999995,7.4436,0.9157281073446326,708
sleep_0.001_pushint_0.01_mb100_chunked_1,CPU-only,0,ttlt,3.2372,20.676479999999994,61.32402999999967,119.98298199999999,10.075878714859439,747
sleep_0.001_pushint_0.01_mb100_chunked_1,CPU+storage,0,ttft,0.3208,15.645069999999999,54.232044999999964,109.045373,8.247208567415731,712
sleep_0.001_pushint_0.01_mb100_chunked_1,CPU+storage,0,tbt_p99,0.15055000000000002,2.69475,5.4935,6.9410750000000005,0.8632240793201132,706
sleep_0.001_pushint_0.01_mb100_chunked_1,CPU+storage,0,ttlt,3.1983,22.447699999999994,61.42998999999998,122.46031399999998,12.04776265060241,747
sleep_0.001_pushint_0.01_mb100_chunked_1,CPU-only,1,ttft,12.3725,111.0346,122.6812,130.73474000000002,38.637809958506224,241
sleep_0.001_pushint_0.01_mb100_chunked_1,CPU-only,1,tbt_p99,0.6145,1.06335,1.3818549999999998,4.492825999999994,0.7116908333333334,240
sleep_0.001_pushint_0.01_mb100_chunked_1,CPU-only,1,ttlt,131.53695,225.09876,227.258535,240.637614,137.67542653846155,260
sleep_0.001_pushint_0.01_mb100_chunked_1,CPU+storage,1,ttft,14.2426,108.80064999999999,122.223075,125.968105,38.393617832167834,286
sleep_0.001_pushint_0.01_mb100_chunked_1,CPU+storage,1,tbt_p99,0.6387,1.12385,1.757825,5.559224999999983,0.8746919580419582,286
sleep_0.001_pushint_0.01_mb100_chunked_1,CPU+storage,1,ttlt,128.13,235.4242,237.82218,248.539572,135.742398679868,303
