tag,mode,slo_type,slo_name,metric,p50,p90,p95,p99,mean,count
sleep_0.001_pushint_0.1_mb100_chunked_1,CPU-only,0,Interactive request,ttft,0.2324,94.3867,109.26025,114.96650000000001,14.833361489698891,631
sleep_0.001_pushint_0.1_mb100_chunked_1,CPU-only,0,Interactive request,tbt_p99,0.1059,2.34126,3.69372,8.570048,0.9458623211446737,629
sleep_0.001_pushint_0.1_mb100_chunked_1,CPU-only,0,Interactive request,ttlt,2.2840499999999997,97.63131999999999,117.08447999999999,122.06076,18.115922392638037,652
sleep_0.001_pushint_0.1_mb100_chunked_1,CPU+storage,0,Interactive request,ttft,0.26795,86.52271000000006,106.07679999999999,122.67482199999999,16.50836640127389,628
sleep_0.001_pushint_0.1_mb100_chunked_1,CPU+storage,0,Interactive request,tbt_p99,0.12275,2.7649600000000003,4.13863,9.341857000000001,1.7215874598070742,622
sleep_0.001_pushint_0.1_mb100_chunked_1,CPU+storage,0,Interactive request,ttlt,2.6187,92.77052000000005,110.74637999999999,126.539148,20.119057427258802,653
sleep_0.001_pushint_0.1_mb100_chunked_1,CPU-only,1,batch request,ttft,11.6478,111.87874,114.34742,116.482064,36.79545914893617,235
sleep_0.001_pushint_0.1_mb100_chunked_1,CPU-only,1,batch request,tbt_p99,0.5973,0.8283,0.95951,2.1895759999999997,0.6095221276595745,235
sleep_0.001_pushint_0.1_mb100_chunked_1,CPU-only,1,batch request,ttlt,138.6633,228.31634,231.55187999999998,233.950326,154.51210246913578,243
sleep_0.001_pushint_0.1_mb100_chunked_1,CPU+storage,1,batch request,ttft,15.6146,108.23546,120.93835999999999,128.41570800000005,40.39486223175965,233
sleep_0.001_pushint_0.1_mb100_chunked_1,CPU+storage,1,batch request,tbt_p99,0.4993,0.9629200000000002,0.9978199999999999,2.6482680000000087,0.5519841201716739,233
sleep_0.001_pushint_0.1_mb100_chunked_1,CPU+storage,1,batch request,ttlt,156.6244,236.14714,239.09987999999998,258.93173999999993,161.5925628691983,237
