orig_slo,slo_type,insertion_time,wait_time,prompt_tok,out_tok,total_tok,ttft,tbt_p95,tbt_p99,tbt_slo,tbt_violation,tbt_success_rate_pct,ttlt,diff,violation,total_violation,finished_time,success_rate_pct,success_count,processed_count,kv,run_cnt,wait_cnt,swap_cnt,vram_used_gib,vram_total_gib,lmcache,vq_id,vq_groups,head_deadline,slack,model,deadlines,lmcache:active_memory_objs_count,lmcache:local_cache_usage(MiB),lmcache:local_storage_usage(MiB),lmcache:lookup_hit_rate,lmcache:pinned_memory_objs_count,lmcache:remote_cache_usage(MiB),lmcache:remote_ping_error_code,lmcache:remote_ping_latency,lmcache:request_cache_lifespan_count,lmcache:request_cache_lifespan_sum,lmcache:retrieve_hit_rate,lmcache:retrieve_process_tokens_time_count,lmcache:retrieve_process_tokens_time_sum,lmcache:retrieve_speed_count,lmcache:retrieve_speed_sum,lmcache:retrieve_to_gpu_time_count,lmcache:retrieve_to_gpu_time_sum,lmcache:storage_events_done_count,lmcache:storage_events_not_found_count,lmcache:storage_events_ongoing_count,lmcache:store_from_gpu_time_count,lmcache:store_from_gpu_time_sum,lmcache:store_process_tokens_time_count,lmcache:store_process_tokens_time_sum,lmcache:store_put_time_count,lmcache:store_put_time_sum,lmcache:store_speed_count,lmcache:store_speed_sum,lmcache:time_to_retrieve_count,lmcache:time_to_retrieve_sum,lmcache:time_to_store_count,lmcache:time_to_store_sum
1.0,0,1770861341.3492,0.2181,27,0,27,,,,1.0,,,3.8131,3.0313,3.0313,3.0313,1770861348.2544734,0.0,1,2,0.123,15,13,,8.06,15.0,lmcache:active_memory_objs_count=19 lmcache:local_cache_usage=152.0MiB lmcache:local_storage_usage=152.0MiB lmcache:lookup_hit_rate=0.0000 lmcache:pinned_memory_objs_count=0 lmcache:remote_cache_usage=0.0MiB lmcache:remote_ping_error_code=0 lmcache:remote_ping_latency=0 lmcache:retrieve_hit_rate=1.0000 lmcache:storage_events_done_count=0 lmcache:storage_events_not_found_count=0 lmcache:storage_events_ongoing_count=0 lmcache:store_from_gpu_time_count=3 lmcache:store_from_gpu_time_sum=0.0168213 lmcache:store_process_tokens_time_count=3 lmcache:store_process_tokens_time_sum=0.00499604 lmcache:store_put_time_count=3 lmcache:store_put_time_sum=0.00587692 lmcache:store_speed_count=3 lmcache:store_speed_sum=498828 lmcache:time_to_store_count=3 lmcache:time_to_store_sum=0.0293961,0,1,1770861347.164,0.999,meta-llama/Llama-3.2-1B-Instruct,1770861347.164,19,152.0,152.0,0.0,0,0.0,0,0,,,1.0,,,,,,,0,0,0,3,0.0168213,3,0.00499604,3,0.00587692,3,498828,,,3,0.0293961
200.0,1,1770861342.2642,0.1136,1783,0,1783,,,,200.0,,,3.006,-196.8804,0.0,3.0313,1770861348.4915836,50.0,1,2,0.123,15,13,,8.06,15.0,lmcache:active_memory_objs_count=19 lmcache:local_cache_usage=152.0MiB lmcache:local_storage_usage=152.0MiB lmcache:lookup_hit_rate=0.0000 lmcache:pinned_memory_objs_count=0 lmcache:remote_cache_usage=0.0MiB lmcache:remote_ping_error_code=0 lmcache:remote_ping_latency=0 lmcache:retrieve_hit_rate=1.0000 lmcache:storage_events_done_count=0 lmcache:storage_events_not_found_count=0 lmcache:storage_events_ongoing_count=0 lmcache:store_from_gpu_time_count=3 lmcache:store_from_gpu_time_sum=0.0168213 lmcache:store_process_tokens_time_count=3 lmcache:store_process_tokens_time_sum=0.00499604 lmcache:store_put_time_count=3 lmcache:store_put_time_sum=0.00587692 lmcache:store_speed_count=3 lmcache:store_speed_sum=498828 lmcache:time_to_store_count=3 lmcache:time_to_store_sum=0.0293961,0,1,1770861347.164,0.999,meta-llama/Llama-3.2-1B-Instruct,1770861347.164,19,152.0,152.0,0.0,0,0.0,0,0,,,1.0,,,,,,,0,0,0,3,0.0168213,3,0.00499604,3,0.00587692,3,498828,,,3,0.0293961
200.0,1,1770861345.1873,0.106,1823,0,1823,,,,200.0,,,3.9097,-195.9843,0.0,3.0313,1770861349.3830004,66.67,2,3,0.216,31,14,,8.06,15.0,lmcache:active_memory_objs_count=19 lmcache:local_cache_usage=152.0MiB lmcache:local_storage_usage=152.0MiB lmcache:lookup_hit_rate=0.0000 lmcache:pinned_memory_objs_count=0 lmcache:remote_cache_usage=0.0MiB lmcache:remote_ping_error_code=0 lmcache:remote_ping_latency=0 lmcache:retrieve_hit_rate=1.0000 lmcache:storage_events_done_count=0 lmcache:storage_events_not_found_count=0 lmcache:storage_events_ongoing_count=0 lmcache:store_from_gpu_time_count=3 lmcache:store_from_gpu_time_sum=0.0168213 lmcache:store_process_tokens_time_count=3 lmcache:store_process_tokens_time_sum=0.00499604 lmcache:store_put_time_count=3 lmcache:store_put_time_sum=0.00587692 lmcache:store_speed_count=3 lmcache:store_speed_sum=498828 lmcache:time_to_store_count=3 lmcache:time_to_store_sum=0.0293961,0,1,1770861347.164,0.999,meta-llama/Llama-3.2-1B-Instruct,1770861347.164,19,152.0,152.0,0.0,0,0.0,0,0,,,1.0,,,,,,,0,0,0,3,0.0168213,3,0.00499604,3,0.00587692,3,498828,,,3,0.0293961
1.0,0,1770861351.3457,0.1985,27,0,27,,,,1.0,,,6.6195,5.8179,5.8179,8.8492,1770861358.2622764,50.0,2,4,0.539,71,28,,9.15,15.0,lmcache:active_memory_objs_count=139 lmcache:local_cache_usage=1112.0MiB lmcache:local_storage_usage=1112.0MiB lmcache:lookup_hit_rate=0.0000 lmcache:pinned_memory_objs_count=7 lmcache:remote_cache_usage=0.0MiB lmcache:remote_ping_error_code=0 lmcache:remote_ping_latency=0 lmcache:retrieve_hit_rate=1.0000 lmcache:storage_events_done_count=0 lmcache:storage_events_not_found_count=0 lmcache:storage_events_ongoing_count=0 lmcache:store_from_gpu_time_count=21 lmcache:store_from_gpu_time_sum=0.119335 lmcache:store_process_tokens_time_count=21 lmcache:store_process_tokens_time_sum=0.0435236 lmcache:store_put_time_count=21 lmcache:store_put_time_sum=0.0305692 lmcache:store_speed_count=21 lmcache:store_speed_sum=3.73464e+06 lmcache:time_to_store_count=21 lmcache:time_to_store_sum=0.202567,0,3,1770861356.949,0.704,meta-llama/Llama-3.2-1B-Instruct,"1770861356.949, 1770861556.076, 1770861556.194",139,1112.0,1112.0,0.0,7,0.0,0,0,,,1.0,,,,,,,0,0,0,21,0.119335,21,0.0435236,21,0.0305692,21,3734640.0,,,21,0.202567
1.0,0,1770861344.4379,0.115,27,6,33,4.6499,4.9764,4.9764,1.0,3.9764,0.0,18.6581,3.7649,3.7649,19.0083,1770861363.5193527,40.0,3,7,0.728,99,0,,9.15,15.0,lmcache:active_memory_objs_count=139 lmcache:local_cache_usage=1112.0MiB lmcache:local_storage_usage=1112.0MiB lmcache:lookup_hit_rate=0.0000 lmcache:pinned_memory_objs_count=7 lmcache:remote_cache_usage=0.0MiB lmcache:remote_ping_error_code=0 lmcache:remote_ping_latency=0 lmcache:retrieve_hit_rate=1.0000 lmcache:storage_events_done_count=0 lmcache:storage_events_not_found_count=0 lmcache:storage_events_ongoing_count=0 lmcache:store_from_gpu_time_count=21 lmcache:store_from_gpu_time_sum=0.119335 lmcache:store_process_tokens_time_count=21 lmcache:store_process_tokens_time_sum=0.0435236 lmcache:store_put_time_count=21 lmcache:store_put_time_sum=0.0305692 lmcache:store_speed_count=21 lmcache:store_speed_sum=3.73464e+06 lmcache:time_to_store_count=21 lmcache:time_to_store_sum=0.202567,0,45,1770861357.574,-3.721,meta-llama/Llama-3.2-1B-Instruct,"1770861357.574, 1770861357.937, 1770861358.285, 1770861358.393, 1770861358.515",139,1112.0,1112.0,0.0,7,0.0,0,0,,,1.0,,,,,,,0,0,0,21,0.119335,21,0.0435236,21,0.0305692,21,3734640.0,,,21,0.202567
1.0,0,1770861355.9486,2.4753,27,0,27,,,,1.0,,,4.9188,6.3941,6.3941,19.0083,1770861363.8377972,33.33,3,7,0.713,97,0,,9.15,15.0,lmcache:active_memory_objs_count=139 lmcache:local_cache_usage=1112.0MiB lmcache:local_storage_usage=1112.0MiB lmcache:lookup_hit_rate=0.0000 lmcache:pinned_memory_objs_count=7 lmcache:remote_cache_usage=0.0MiB lmcache:remote_ping_error_code=0 lmcache:remote_ping_latency=0 lmcache:retrieve_hit_rate=1.0000 lmcache:storage_events_done_count=0 lmcache:storage_events_not_found_count=0 lmcache:storage_events_ongoing_count=0 lmcache:store_from_gpu_time_count=21 lmcache:store_from_gpu_time_sum=0.119335 lmcache:store_process_tokens_time_count=21 lmcache:store_process_tokens_time_sum=0.0435236 lmcache:store_put_time_count=21 lmcache:store_put_time_sum=0.0305692 lmcache:store_speed_count=21 lmcache:store_speed_sum=3.73464e+06 lmcache:time_to_store_count=21 lmcache:time_to_store_sum=0.202567,0,45,1770861357.574,-3.721,meta-llama/Llama-3.2-1B-Instruct,"1770861357.574, 1770861357.937, 1770861358.285, 1770861358.393, 1770861358.515",139,1112.0,1112.0,0.0,7,0.0,0,0,,,1.0,,,,,,,0,0,0,21,0.119335,21,0.0435236,21,0.0305692,21,3734640.0,,,21,0.202567
200.0,1,1770861342.6904,0.1133,1779,10,1789,3.2045,4.9937,4.9937,200.0,0.0,50.0,20.6013,-179.2853,0.0,19.0083,1770861363.9714913,42.86,4,8,0.717,97,0,,9.15,15.0,lmcache:active_memory_objs_count=139 lmcache:local_cache_usage=1112.0MiB lmcache:local_storage_usage=1112.0MiB lmcache:lookup_hit_rate=0.0000 lmcache:pinned_memory_objs_count=7 lmcache:remote_cache_usage=0.0MiB lmcache:remote_ping_error_code=0 lmcache:remote_ping_latency=0 lmcache:retrieve_hit_rate=1.0000 lmcache:storage_events_done_count=0 lmcache:storage_events_not_found_count=0 lmcache:storage_events_ongoing_count=0 lmcache:store_from_gpu_time_count=21 lmcache:store_from_gpu_time_sum=0.119335 lmcache:store_process_tokens_time_count=21 lmcache:store_process_tokens_time_sum=0.0435236 lmcache:store_put_time_count=21 lmcache:store_put_time_sum=0.0305692 lmcache:store_speed_count=21 lmcache:store_speed_sum=3.73464e+06 lmcache:time_to_store_count=21 lmcache:time_to_store_sum=0.202567,0,45,1770861357.574,-3.721,meta-llama/Llama-3.2-1B-Instruct,"1770861357.574, 1770861357.937, 1770861358.285, 1770861358.393, 1770861358.515",139,1112.0,1112.0,0.0,7,0.0,0,0,,,1.0,,,,,,,0,0,0,21,0.119335,21,0.0435236,21,0.0305692,21,3734640.0,,,21,0.202567
200.0,1,1770861352.2423,0.2701,1620,8,1628,10.6765,0.2955,0.2955,200.0,0.0,66.67,11.4207,-188.3092,0.0,19.0083,1770861364.222434,50.0,4,8,0.703,96,0,,9.15,15.0,lmcache:active_memory_objs_count=139 lmcache:local_cache_usage=1112.0MiB lmcache:local_storage_usage=1112.0MiB lmcache:lookup_hit_rate=0.0000 lmcache:pinned_memory_objs_count=7 lmcache:remote_cache_usage=0.0MiB lmcache:remote_ping_error_code=0 lmcache:remote_ping_latency=0 lmcache:retrieve_hit_rate=1.0000 lmcache:storage_events_done_count=0 lmcache:storage_events_not_found_count=0 lmcache:storage_events_ongoing_count=0 lmcache:store_from_gpu_time_count=21 lmcache:store_from_gpu_time_sum=0.119335 lmcache:store_process_tokens_time_count=21 lmcache:store_process_tokens_time_sum=0.0435236 lmcache:store_put_time_count=21 lmcache:store_put_time_sum=0.0305692 lmcache:store_speed_count=21 lmcache:store_speed_sum=3.73464e+06 lmcache:time_to_store_count=21 lmcache:time_to_store_sum=0.202567,0,45,1770861357.574,-3.721,meta-llama/Llama-3.2-1B-Instruct,"1770861357.574, 1770861357.937, 1770861358.285, 1770861358.393, 1770861358.515",139,1112.0,1112.0,0.0,7,0.0,0,0,,,1.0,,,,,,,0,0,0,21,0.119335,21,0.0435236,21,0.0305692,21,3734640.0,,,21,0.202567
1.0,0,1770861353.5688,0.1876,27,15,42,9.4106,0.1396,0.1396,1.0,0.0,75.0,10.8031,8.5982,8.5982,36.5822,1770861365.2373638,44.44,4,13,0.708,95,0,,9.15,15.0,lmcache:active_memory_objs_count=139 lmcache:local_cache_usage=1112.0MiB lmcache:local_storage_usage=1112.0MiB lmcache:lookup_hit_rate=0.0000 lmcache:pinned_memory_objs_count=7 lmcache:remote_cache_usage=0.0MiB lmcache:remote_ping_error_code=0 lmcache:remote_ping_latency=0 lmcache:retrieve_hit_rate=1.0000 lmcache:storage_events_done_count=0 lmcache:storage_events_not_found_count=0 lmcache:storage_events_ongoing_count=0 lmcache:store_from_gpu_time_count=21 lmcache:store_from_gpu_time_sum=0.119335 lmcache:store_process_tokens_time_count=21 lmcache:store_process_tokens_time_sum=0.0435236 lmcache:store_put_time_count=21 lmcache:store_put_time_sum=0.0305692 lmcache:store_speed_count=21 lmcache:store_speed_sum=3.73464e+06 lmcache:time_to_store_count=21 lmcache:time_to_store_sum=0.202567,0,45,1770861357.574,-3.721,meta-llama/Llama-3.2-1B-Instruct,"1770861357.574, 1770861357.937, 1770861358.285, 1770861358.393, 1770861358.515",139,1112.0,1112.0,0.0,7,0.0,0,0,,,1.0,,,,,,,0,0,0,21,0.119335,21,0.0435236,21,0.0305692,21,3734640.0,,,21,0.202567
1.0,0,1770861341.8052,0.1331,27,25,52,3.4378,4.0521,4.9851,1.0,3.9851,60.0,22.7191,2.5709,2.5709,45.6243,1770861365.4490592,40.0,4,16,0.709,94,1,,9.15,15.0,lmcache:active_memory_objs_count=139 lmcache:local_cache_usage=1112.0MiB lmcache:local_storage_usage=1112.0MiB lmcache:lookup_hit_rate=0.0000 lmcache:pinned_memory_objs_count=7 lmcache:remote_cache_usage=0.0MiB lmcache:remote_ping_error_code=0 lmcache:remote_ping_latency=0 lmcache:retrieve_hit_rate=1.0000 lmcache:storage_events_done_count=0 lmcache:storage_events_not_found_count=0 lmcache:storage_events_ongoing_count=0 lmcache:store_from_gpu_time_count=21 lmcache:store_from_gpu_time_sum=0.119335 lmcache:store_process_tokens_time_count=21 lmcache:store_process_tokens_time_sum=0.0435236 lmcache:store_put_time_count=21 lmcache:store_put_time_sum=0.0305692 lmcache:store_speed_count=21 lmcache:store_speed_sum=3.73464e+06 lmcache:time_to_store_count=21 lmcache:time_to_store_sum=0.202567,0,45,1770861357.574,-3.721,meta-llama/Llama-3.2-1B-Instruct,"1770861357.574, 1770861357.937, 1770861358.285, 1770861358.393, 1770861358.515",139,1112.0,1112.0,0.0,7,0.0,0,0,,,1.0,,,,,,,0,0,0,21,0.119335,21,0.0435236,21,0.0305692,21,3734640.0,,,21,0.202567
