mode,ts,vram_gb,t
native,1772596619.609395,6.2581,9.512901306152344e-05
native,1772596619.709874,6.2581,0.10057401657104492
native,1772596619.811203,6.2581,0.2019031047821045
native,1772596619.91173,6.2581,0.3024301528930664
native,1772596620.014627,6.2581,0.40532708168029785
native,1772596620.11504,6.26,0.5057401657104492
native,1772596620.215503,6.3635,0.6062030792236328
native,1772596620.31621,6.3635,0.7069101333618164
native,1772596620.42798,6.3538,0.8186800479888916
native,1772596620.538617,6.3538,0.9293169975280762
native,1772596620.646123,6.3538,1.036823034286499
native,1772596620.751679,6.3538,1.1423790454864502
native,1772596620.864981,6.3538,1.255681037902832
native,1772596620.974592,6.3538,1.3652920722961426
native,1772596621.082024,6.3538,1.472724199295044
native,1772596621.196026,6.3538,1.586726188659668
native,1772596621.310507,6.3538,1.701207160949707
native,1772596621.416374,6.3538,1.8070740699768066
native,1772596621.523669,6.3538,1.9143691062927246
native,1772596621.631248,6.3538,2.0219480991363525
native,1772596621.744153,6.3538,2.1348531246185303
native,1772596621.854127,6.3538,2.2448270320892334
native,1772596621.963253,6.3538,2.3539531230926514
native,1772596622.077295,6.3538,2.4679951667785645
native,1772596622.193348,6.3538,2.58404803276062
native,1772596622.306334,6.3538,2.6970341205596924
native,1772596622.414431,6.3538,2.805131196975708
native,1772596622.765692,6.3637,3.1563920974731445
native,1772596622.872021,6.3637,3.262721061706543
native,1772596622.979578,6.3637,3.3702781200408936
native,1772596623.11677,6.3539,3.50747013092041
native,1772596623.232343,6.3539,3.6230430603027344
native,1772596623.34233,6.3637,3.733030080795288
native,1772596623.762712,6.3637,4.153412103652954
native,1772596625.546827,6.3654,5.937527179718018
native,1772596625.804037,6.3752,6.194737195968628
native,1772596625.907593,6.3654,6.298293113708496
native,1772596626.016716,6.3654,6.407416105270386
native,1772596626.177885,6.3654,6.568585157394409
native,1772596626.365947,6.3752,6.756647109985352
native,1772596626.474268,6.3654,6.8649680614471436
native,1772596626.584745,6.3654,6.975445032119751
native,1772596626.697371,6.3654,7.08807110786438
native,1772596626.807026,6.3654,7.197726011276245
native,1772596626.917344,6.3654,7.308044195175171
native,1772596627.027768,6.3654,7.418467998504639
native,1772596627.140932,6.3752,7.5316321849823
native,1772596627.251622,6.3654,7.642322063446045
native,1772596627.360684,6.3752,7.751384019851685
native,1772596627.471534,6.3654,7.862234115600586
native,1772596627.58106,6.3752,7.971760034561157
native,1772596627.692999,6.3654,8.083698987960815
native,1772596627.804796,6.3752,8.195496082305908
native,1772596627.912375,6.3654,8.303075075149536
native,1772596628.026578,6.3752,8.417278051376343
native,1772596628.135237,6.3654,8.5259370803833
native,1772596628.252097,6.3654,8.642796993255615
native,1772596628.361377,6.3752,8.752077102661133
native,1772596628.47203,6.3654,8.862730026245117
native,1772596628.581348,6.3752,8.972048044204712
native,1772596628.692311,6.3654,9.083011150360107
native,1772596628.804509,6.3752,9.19520902633667
native,1772596628.913723,6.3654,9.304423093795776
native,1772596629.024105,6.3752,9.414805173873901
native,1772596629.140842,6.3654,9.5315420627594
native,1772596629.249959,6.3752,9.640659093856812
