mode,insertion_ts,finished_ts,TTFT,TBT_p95,TBT_p99,TTLT,out_tok,t_finish,t_insert
native,1772596619.6093,1772596623.069222,0.4816,0.2658,0.2658,1.8191,,3.4599220752716064,0.0
native,1772596620.7044,1772596623.0916698,0.8307,0.2548,0.2548,2.2013,,3.482369899749756,1.0951001644134521
native,1772596620.804,1772596623.1060386,0.7196,0.2647,0.2647,2.0928,,3.4967386722564697,1.194700002670288
native,1772596620.1039,1772596623.2237182,,,,0.6159,,3.6144182682037354,0.4946000576019287
native,1772596621.0044,1772596623.3024247,0.7256,0.2617,0.2617,2.0835,,3.693124771118164,1.3951001167297363
native,1772596620.9038,1772596623.3169742,0.8344,0.2621,0.2621,2.1908,,3.707674264907837,1.2945001125335693
native,1772596621.104,1772596623.5500793,0.7408,0.2566,0.2566,2.1879,,3.940779447555542,1.4947001934051514
native,1772596621.2042,1772596623.5503166,0.6332,0.2597,0.2597,2.071,,3.941016674041748,1.594900131225586
native,1772596622.7632,1772596623.7277038,,,,0.5676,,4.118403911590576,3.153900146484375
native,1772596621.3104,1772596623.7436638,0.5298,0.2577,0.2577,2.1823,,4.134363889694214,1.7011001110076904
native,1772596621.8039,1772596624.4284449,0.6557,0.2607,0.2607,1.9957,,4.81914496421814,2.1946001052856445
native,1772596619.7057,1772596624.6899233,0.6827,0.2664,0.2664,2.398,,5.080623388290405,0.09640002250671387
native,1772596621.7028,1772596624.742291,0.771,0.2604,0.2604,2.1157,,5.132991075515747,2.0935001373291016
native,1772596622.2036,1772596624.8463554,0.705,0.2123,0.2123,1.2997,,5.237055540084839,2.5943000316619873
native,1772596622.765,1772596624.855053,0.449,0.3116,0.3116,0.9954,,5.245753049850464,3.155700206756592
native,1772596621.404,1772596624.8634615,0.9415,0.257,0.257,2.6045,,5.254161596298218,1.7947001457214355
native,1772596619.805,1772596624.9168742,0.5883,0.2624,0.2624,2.302,,5.307574272155762,0.19570016860961914
native,1772596621.9033,1772596624.9339445,0.8728,0.214,0.214,1.8752,,5.324644565582275,2.2940001487731934
native,1772596622.1028,1772596625.1227956,0.8635,0.2117,0.2117,1.6633,,5.513495683670044,2.493499994277954
native,1772596622.3063,1772596625.1463828,0.6029,0.2208,0.2208,1.1954,,5.53708291053772,2.697000026702881
native,1772596622.9662,1772596625.1516728,0.1632,0.1645,0.1645,0.4854,,5.542372941970825,3.356900215148926
native,1772596621.513,1772596625.1572127,0.9961,0.2521,0.2521,2.3343,,5.547912836074829,1.9037001132965088
native,1772596622.4142,1772596625.1705763,0.7001,0.2113,0.2113,1.2475,,5.561276435852051,2.8049001693725586
native,1772596622.8718,1772596625.193741,0.3957,0.1691,0.1691,0.9091,,5.584441184997559,3.262500047683716
native,1772596622.0063,1772596625.2178917,0.7652,0.2176,0.2176,1.777,,5.608591794967651,2.3970000743865967
native,1772596623.0721,1772596625.7319217,0.1782,0.1649,0.1649,0.3454,,6.122621774673462,3.4628000259399414
native,1772596620.2083,1772596626.168332,0.5087,0.2649,0.2649,2.2639,,6.559032201766968,0.5990002155303955
native,1772596620.3162,1772596626.194428,0.6382,0.2661,0.2661,2.3176,,6.58512806892395,0.7069001197814941
native,1772596621.603,1772596626.1984253,,,,0.891,,6.589125394821167,1.9937000274658203
native,1772596620.0044,1772596626.2526062,0.7268,0.2626,0.2626,2.4795,,6.643306255340576,0.39510011672973633
native,1772596620.5042,1772596626.2951598,0.5618,0.2623,0.2623,2.0919,,6.68585991859436,0.8949000835418701
native,1772596620.6049,1772596626.2991543,0.7149,0.2584,0.2584,2.2417,,6.689854383468628,0.9955999851226807
native,1772596619.9065,1772596626.3342907,0.7185,0.2656,0.2656,2.3298,,6.7249908447265625,0.29720020294189453
native,1772596620.412,1772596626.3595014,0.6698,0.2636,0.2636,2.2,,6.750201463699341,0.8027000427246094
native,1772596623.1673,1772596627.3012128,0.2043,0.1335,0.1335,1.5474,,7.691912889480591,3.558000087738037
native,1772596623.2661,1772596627.4872017,0.3729,0.1586,0.1586,1.6432,,7.877901792526245,3.6568000316619873
native,1772596623.5062,1772596627.7096272,0.2606,0.2254,0.2254,1.76,,8.100327253341675,3.896900177001953
native,1772596626.0976,1772596627.7506206,,,,0.338,,8.141320705413818,6.488300085067749
native,1772596623.5505,1772596627.9710321,0.3093,0.2273,0.2273,1.9137,,8.361732244491577,3.941200017929077
native,1772596623.7466,1772596628.269261,0.253,0.2657,0.2657,2.0143,,8.659960985183716,4.13730001449585
native,1772596623.7626,1772596628.516279,0.2491,0.2573,0.2573,2.1155,,8.906979084014893,4.153300046920776
native,1772596624.8338,1772596628.7444034,0.3753,0.2589,0.2589,2.2294,,9.135103464126587,5.2245001792907715
native,1772596625.1232,1772596628.7836642,0.3933,0.2596,0.2596,2.1556,,9.1743643283844,5.5139000415802
native,1772596625.1351,1772596628.9711013,0.4235,0.2614,0.2614,2.2372,,9.361801385879517,5.525799989700317
native,1772596625.6936,1772596629.1276572,0.4414,0.2593,0.2593,2.277,,9.518357276916504,6.0843000411987305
native,1772596625.7348,1772596629.1639864,0.3425,0.2581,0.2581,2.2011,,9.554686546325684,6.125500202178955
native,1772596627.5062,1772596629.3491583,,,,0.3878,,9.739858388900757,7.896900177001953
native,1772596625.8981,1772596629.3588543,0.3029,0.2601,0.2601,2.1636,,9.74955439567566,6.288800001144409
native,1772596625.9976,1772596629.5543253,0.4413,0.2597,0.2597,2.2528,,9.945025444030762,6.388300180435181
native,1772596626.3659,1772596629.6779585,0.3874,0.2573,0.2573,2.0299,,10.068658590316772,6.7566001415252686
native,1772596626.2356,1772596629.6784897,0.4834,0.2602,0.2602,2.129,,10.06918978691101,6.626300096511841
native,1772596626.4964,1772596629.900555,0.4512,0.2215,0.2215,2.056,,10.291254997253418,6.8871002197265625
native,1772596626.3969,1772596629.9160285,0.5438,0.2191,0.2191,2.147,,10.306728601455688,6.787600040435791
native,1772596626.6094,1772596630.0824902,0.5582,0.2065,0.2065,2.1064,,10.473190307617188,7.000100135803223
native,1772596626.6973,1772596630.245184,0.4758,0.2024,0.2024,2.1695,,10.635884046554565,7.088000059127808
native,1772596626.7978,1772596630.2546265,0.3682,0.2015,0.2015,2.0597,,10.645326614379883,7.188500165939331
native,1772596626.8977,1772596630.458024,0.4754,0.1979,0.1979,2.1421,,10.848724126815796,7.288400173187256
native,1772596626.9969,1772596630.4690485,0.3817,0.1999,0.1999,2.0498,,10.859748601913452,7.3876001834869385
native,1772596627.0958,1772596630.6563215,0.6089,0.2037,0.2037,2.1419,,11.047021627426147,7.486500024795532
