mode,insertion_ts,finished_ts,TTFT,TBT_p95,TBT_p99,TTLT,out_tok,t_finish,t_insert
native_dram,1772585287.5552,1772585290.6591618,,,,0.7647,,3.5921618938446045,0.48820018768310547
native_dram,1772585287.8557,1772585290.6753583,0.6639,0.3429,0.3429,2.6041,,3.608358383178711,0.7887001037597656
native_dram,1772585288.0561,1772585290.860591,0.5995,0.3444,0.3444,2.5859,,3.793591022491455,0.9890999794006348
native_dram,1772585289.6669,1772585290.8772793,,,,0.6887,,3.810279369354248,2.599900007247925
native_dram,1772585288.2558,1772585290.981263,0.7435,0.345,0.345,2.4909,,3.9142630100250244,1.1888000965118408
native_dram,1772585288.3583,1772585290.9993222,0.6365,0.3485,0.3485,2.3839,,3.9323222637176514,1.2913000583648682
native_dram,1772585288.4703,1772585291.024633,0.7795,0.3394,0.3394,2.2954,,3.9576330184936523,1.4033000469207764
native_dram,1772585288.6558,1772585291.113474,0.6579,0.343,0.343,2.185,,4.046473979949951,1.5888001918792725
native_dram,1772585288.5588,1772585291.1277895,0.766,0.3401,0.3401,2.2939,,4.060789585113525,1.49180006980896
native_dram,1772585288.7553,1772585291.1498322,0.6459,0.3494,0.3494,2.0989,,4.082832336425781,1.6883001327514648
native_dram,1772585288.8549,1772585291.300431,0.534,0.3431,0.3431,2.1232,,4.233431100845337,1.7878999710083008
native_dram,1772585288.1564,1772585291.3281531,,,,0.7443,,4.261153221130371,1.089400053024292
native_dram,1772585287.956,1772585291.3536825,,,,0.7084,,4.286682605743408,0.8890001773834229
native_dram,1772585289.5715,1772585291.92842,0.9229,0.1616,0.1616,1.8167,,4.861420154571533,2.504500150680542
native_dram,1772585289.1541,1772585291.9559774,1.1787,0.1975,0.1975,2.2721,,4.888977527618408,2.087100028991699
native_dram,1772585290.2163,1772585292.3123274,0.2344,0.1639,0.1639,0.8486,,5.245327472686768,3.1493000984191895
native_dram,1772585290.416,1772585292.3307087,0.4186,0.1573,0.1573,0.5912,,5.263708829879761,3.3489999771118164
native_dram,1772585290.3168,1772585292.39146,0.2341,0.1652,0.1652,0.7218,,5.324460029602051,3.249800205230713
native_dram,1772585289.8544,1772585292.4392192,0.613,0.1607,0.1607,1.5274,,5.3722193241119385,2.787400007247925
native_dram,1772585290.112,1772585292.4552896,0.5057,0.1639,0.1639,1.421,,5.3882896900177,3.0450000762939453
native_dram,1772585289.2551,1772585292.6698368,1.0671,0.1913,0.1913,2.3235,,5.602836847305298,2.1881000995635986
native_dram,1772585289.756,1772585292.701157,0.5741,0.1619,0.1619,1.469,,5.634157180786133,2.689000129699707
native_dram,1772585289.3548,1772585292.718903,0.9506,0.1849,0.1849,2.0318,,5.65190315246582,2.2878000736236572
native_dram,1772585290.1189,1772585292.7547765,0.2101,0.168,0.168,1.0031,,5.687776565551758,3.0519001483917236
native_dram,1772585289.4595,1772585292.918953,1.035,0.1632,0.1632,1.9343,,5.851953029632568,2.392500162124634
native_dram,1772585290.6431,1772585292.9195247,0.334,0.1601,0.1601,0.5053,,5.852524757385254,3.5761001110076904
native_dram,1772585290.6587,1772585293.3947794,,,,0.1299,,6.327779531478882,3.5917000770568848
