mode,ts,vram_gb,t
native_dram,1772585287.067066,6.3296,6.604194641113281e-05
native_dram,1772585287.169058,6.3296,0.10205817222595215
native_dram,1772585287.274137,6.3296,0.2071371078491211
native_dram,1772585287.375988,6.3296,0.308988094329834
native_dram,1772585287.482758,6.3296,0.4157581329345703
native_dram,1772585287.591504,6.3296,0.5245041847229004
native_dram,1772585287.70017,6.3315,0.6331701278686523
native_dram,1772585287.806119,6.4272,0.7391190528869629
native_dram,1772585287.906335,6.4272,0.8393352031707764
native_dram,1772585288.011288,6.4272,0.9442880153656006
native_dram,1772585288.120427,6.437,1.05342698097229
native_dram,1772585288.228749,6.437,1.1617491245269775
native_dram,1772585288.337965,6.4272,1.2709650993347168
native_dram,1772585288.447501,6.4272,1.3805010318756104
native_dram,1772585288.558877,6.4272,1.4918770790100098
native_dram,1772585288.665883,6.4272,1.5988831520080566
native_dram,1772585288.775652,6.4272,1.7086520195007324
native_dram,1772585288.884518,6.4272,1.8175179958343506
native_dram,1772585288.995058,6.4272,1.92805814743042
native_dram,1772585289.110777,6.4272,2.0437769889831543
native_dram,1772585289.220281,6.4272,2.1532809734344482
native_dram,1772585289.329937,6.4272,2.262937068939209
native_dram,1772585289.439337,6.4272,2.3723371028900146
native_dram,1772585289.548048,6.437,2.481048107147217
native_dram,1772585289.666953,6.4272,2.5999531745910645
native_dram,1772585289.775425,6.4272,2.7084250450134277
native_dram,1772585289.884509,6.4272,2.817509174346924
native_dram,1772585290.128578,6.4272,3.0615780353546143
native_dram,1772585290.237196,6.4272,3.170196056365967
native_dram,1772585290.347129,6.4272,3.2801291942596436
native_dram,1772585290.455782,6.4272,3.388782024383545
native_dram,1772585290.893929,6.4272,3.8269290924072266
native_dram,1772585291.025021,6.437,3.9580211639404297
native_dram,1772585291.149679,6.437,4.082679033279419
native_dram,1772585291.259474,6.437,4.192474126815796
native_dram,1772585291.368712,6.437,4.3017120361328125
native_dram,1772585293.240973,6.4272,6.173973083496094
native_dram,1772585293.353695,6.4272,6.2866950035095215
native_dram,1772585293.460339,6.437,6.393339157104492
native_dram,1772585293.569887,6.437,6.502887010574341
native_dram,1772585293.679183,6.437,6.612183094024658
native_dram,1772585293.933859,6.437,6.866859197616577
native_dram,1772585294.043151,6.4272,6.976150989532471
native_dram,1772585294.156079,6.4272,7.089079141616821
native_dram,1772585294.265607,6.4272,7.1986072063446045
native_dram,1772585294.377541,6.4272,7.310541152954102
native_dram,1772585294.488492,6.437,7.421492099761963
native_dram,1772585294.59818,6.4272,7.531180143356323
native_dram,1772585294.707958,6.4272,7.640958070755005
native_dram,1772585294.82093,6.4272,7.75393009185791
native_dram,1772585294.928852,6.4272,7.861852169036865
native_dram,1772585295.038783,6.4272,7.97178316116333
native_dram,1772585295.147964,6.4272,8.080964088439941
native_dram,1772585295.274383,6.4272,8.207383155822754
native_dram,1772585295.40191,6.4272,8.334910154342651
native_dram,1772585295.525446,6.4272,8.458446025848389
native_dram,1772585295.63349,6.4272,8.566490173339844
native_dram,1772585295.742577,6.4272,8.675577163696289
