mode,ts,retrieved_tokens,hit,t
native_dram,1772727996.562169,0,0,0.1641690731048584
native_dram,1772727996.953443,0,0,0.5554430484771729
native_dram,1772727996.963558,0,0,0.5655579566955566
native_dram,1772727996.97373,0,0,0.5757300853729248
native_dram,1772727996.984209,0,0,0.5862090587615967
native_dram,1772727997.357239,0,0,0.9592390060424805
native_dram,1772727997.367633,0,0,0.9696331024169922
native_dram,1772727997.377999,0,0,0.9799990653991699
native_dram,1772727997.40415,0,0,1.0061500072479248
native_dram,1772727997.657083,0,0,1.2590830326080322
native_dram,1772727997.667059,0,0,1.2690589427947998
native_dram,1772727997.817132,0,0,1.4191319942474365
native_dram,1772727997.826816,0,0,1.4288160800933838
native_dram,1772727998.055979,0,0,1.6579790115356445
native_dram,1772727998.065952,0,0,1.667952060699463
native_dram,1772727998.314191,0,0,1.9161911010742188
native_dram,1772727998.324279,0,0,1.926279067993164
native_dram,1772727998.533891,0,0,2.1358909606933594
native_dram,1772727998.543995,0,0,2.1459949016571045
native_dram,1772727999.097704,0,0,2.6997039318084717
native_dram,1772727999.107806,0,0,2.709805965423584
native_dram,1772727999.117822,0,0,2.7198219299316406
native_dram,1772727999.128121,0,0,2.730120897293091
native_dram,1772727999.420206,0,0,3.0222060680389404
native_dram,1772727999.430517,0,0,3.0325169563293457
native_dram,1772727999.535954,0,0,3.137953996658325
native_dram,1772727999.766842,0,0,3.3688418865203857
native_dram,1772727999.776906,0,0,3.378906011581421
native_dram,1772727999.867282,0,0,3.4692819118499756
native_dram,1772728000.063222,0,0,3.665221929550171
native_dram,1772728000.164016,0,0,3.7660160064697266
native_dram,1772728000.40864,0,0,4.010639905929565
native_dram,1772728000.574667,0,0,4.176666975021362
native_dram,1772728000.584874,0,0,4.186873912811279
native_dram,1772728001.933785,0,0,5.535784959793091
native_dram,1772728002.084558,0,0,5.68655800819397
native_dram,1772728002.199518,0,0,5.801517963409424
native_dram,1772728002.340772,0,0,5.942771911621094
native_dram,1772728002.484411,0,0,6.086410999298096
native_dram,1772728002.625054,0,0,6.227053880691528
native_dram,1772728002.640786,0,0,6.242785930633545
native_dram,1772728002.766876,0,0,6.368875980377197
native_dram,1772728002.871564,0,0,6.47356390953064
native_dram,1772728002.997782,0,0,6.5997819900512695
native_dram,1772728003.123978,0,0,6.725977897644043
native_dram,1772728003.25012,0,0,6.8521199226379395
native_dram,1772728003.3788,0,0,6.980799913406372
native_dram,1772728003.529597,0,0,7.13159704208374
native_dram,1772728003.539799,0,0,7.141798973083496
native_dram,1772728003.689979,0,0,7.291979074478149
native_dram,1772728003.898238,0,0,7.500237941741943
native_dram,1772728003.908292,0,0,7.510292053222656
native_dram,1772728004.035049,0,0,7.637048959732056
native_dram,1772728004.355366,0,0,7.957365989685059
native_dram,1772728004.365194,0,0,7.967194080352783
