mode,insertion_ts,finished_ts,TTFT,TBT_p95,TBT_p99,TTLT,out_tok,t_finish,t_insert
native_dram,1772727996.4292,1772727999.434449,,,,0.6193,,3.0364489555358887,0.031199932098388672
native_dram,1772727996.4816,1772727999.4535518,0.576,0.2747,0.2747,2.1827,,3.055551767349243,0.08360004425048828
native_dram,1772727996.4608,1772727999.4675431,0.6846,0.2848,0.2848,2.3025,,3.0695431232452393,0.06279993057250977
native_dram,1772727996.4852,1772727999.5666542,0.7067,0.2704,0.2704,2.1874,,3.168654203414917,0.08719992637634277
native_dram,1772727996.6071,1772727999.5750172,,,,0.8635,,3.1770172119140625,0.20910000801086426
native_dram,1772727996.459,1772727999.784294,,,,0.7918,,3.386293888092041,0.06100010871887207
native_dram,1772727996.5055,1772727999.803463,0.7417,0.2737,0.2737,2.2071,,3.4054629802703857,0.10750007629394531
native_dram,1772727996.5538,1772727999.8279662,0.8883,0.2704,0.2704,1.6559,,3.4299662113189697,0.15580010414123535
native_dram,1772727996.4957,1772727999.8310888,0.853,0.273,0.273,2.3174,,3.433088779449463,0.09769988059997559
native_dram,1772727996.5284,1772727999.8968992,0.7363,0.2747,0.2747,2.0718,,3.498899221420288,0.1303999423980713
native_dram,1772727996.5148,1772727999.9076169,0.8504,0.2802,0.2802,2.1843,,3.5096168518066406,0.11680006980895996
native_dram,1772727996.5345,1772728000.112635,0.8518,0.2731,0.2731,2.1617,,3.714634895324707,0.13649988174438477
native_dram,1772727996.552,1772728000.117815,0.7424,0.2703,0.2703,2.0519,,3.7198150157928467,0.15400004386901855
native_dram,1772727996.6774,1772728000.289859,,,,0.639,,3.8918590545654297,0.279400110244751
native_dram,1772727996.5716,1772728000.3035157,0.7847,0.2726,0.2726,2.0312,,3.905515670776367,0.1735999584197998
native_dram,1772727996.5872,1772728000.3516912,0.56,0.2692,0.2692,1.8618,,3.953691244125366,0.18919992446899414
native_dram,1772727996.5848,1772728000.365165,0.6801,0.2841,0.2841,1.9851,,3.967164993286133,0.1868000030517578
native_dram,1772727996.398,1772728001.167873,0.5599,0.3394,0.3394,2.0777,,4.7698729038238525,0.0
native_dram,1772727996.6167,1772728001.1739774,0.75,0.2438,0.2438,2.3236,,4.775977373123169,0.21869993209838867
native_dram,1772727996.5986,1772728001.5524476,0.9737,0.2424,0.2424,2.3934,,5.154447555541992,0.20059990882873535
native_dram,1772727996.6372,1772728001.60881,0.6977,0.1976,0.1976,1.7787,,5.210809946060181,0.23920011520385742
native_dram,1772727996.6485,1772728001.627981,0.461,0.2006,0.2006,1.5525,,5.229980945587158,0.250499963760376
native_dram,1772727996.7302,1772728001.727073,0.3469,0.1579,0.1579,0.6774,,5.329072952270508,0.3322000503540039
native_dram,1772727996.6897,1772728001.8359063,0.4712,0.1874,0.1874,1.0981,,5.437906265258789,0.2916998863220215
native_dram,1772727996.7398,1772728001.842005,0.2411,0.1559,0.1559,0.563,,5.444005012512207,0.3417999744415283
native_dram,1772727996.7203,1772728001.8584938,0.2721,0.3105,0.3105,0.7795,,5.460493803024292,0.3222999572753906
native_dram,1772727996.6807,1772728001.8586578,0.5282,0.1692,0.1692,1.2273,,5.460657835006714,0.2827000617980957
native_dram,1772727996.6291,1772728001.858692,0.7143,0.205,0.205,1.8908,,5.460691928863525,0.23110008239746094
native_dram,1772727996.7097,1772728001.86041,0.3275,0.1877,0.1877,1.0125,,5.462409973144531,0.31170010566711426
native_dram,1772727996.7008,1772728001.890129,0.4397,0.1692,0.1692,0.9928,,5.49212908744812,0.30279994010925293
native_dram,1772727996.6623,1772728001.8917258,0.5456,0.2033,0.2033,1.4412,,5.493725776672363,0.2643001079559326
native_dram,1772727996.4033,1772728002.3143127,0.8371,0.2665,0.2665,2.5328,,5.9163126945495605,0.005300045013427734
native_dram,1772727996.4401,1772728002.3455856,0.5066,0.2678,0.2678,2.2035,,5.947585582733154,0.042099952697753906
native_dram,1772727996.426,1772728002.3549,0.7298,0.2584,0.2584,2.4257,,5.956899881362915,0.0280001163482666
native_dram,1772727996.7709,1772728002.3866675,,,,0.2213,,5.9886674880981445,0.37290000915527344
native_dram,1772727996.7504,1772728003.5591207,0.1728,0.1537,0.1537,1.6054,,7.161120653152466,0.3524000644683838
native_dram,1772727996.7593,1772728003.922043,0.1809,0.2093,0.2093,1.8658,,7.524043083190918,0.361299991607666
native_dram,1772727996.9133,1772728004.3777828,,,,0.626,,7.979782819747925,0.5153000354766846
native_dram,1772727996.788,1772728004.435337,0.2453,0.228,0.228,2.1493,,8.037337064743042,0.3900001049041748
native_dram,1772727996.7897,1772728004.621769,0.2327,0.2803,0.2803,2.1857,,8.223768949508667,0.39170002937316895
native_dram,1772727996.8007,1772728004.7551908,0.3547,0.2275,0.2275,2.2164,,8.35719084739685,0.40269994735717773
native_dram,1772727996.811,1772728004.7985318,0.3706,0.2294,0.2294,2.148,,8.400531768798828,0.41300010681152344
native_dram,1772727996.8203,1772728004.9891665,0.3861,0.2268,0.2268,2.2275,,8.591166496276855,0.4223001003265381
native_dram,1772727996.8306,1772728005.0727947,0.4058,0.2283,0.2283,2.2005,,8.674794673919678,0.4326000213623047
native_dram,1772727996.8411,1772728005.1234767,0.4227,0.2259,0.2259,2.1316,,8.725476741790771,0.4430999755859375
