orig_slo,insertion_time,wait_time,prompt_tok,out_tok,total_tok,ttft,execution_time,diff,violation,total_violation,finished_time,success_rate_pct,success_count,processed_count
17.0,1768473296.3204,0.7444,27,1,28,6.5687,7.3308,-8.9248,0.0,0.0,1768473304.3980534,100.0,2,2
13.0,1768473294.8631,1.8829,27,11,38,1.4487,7.928,-3.1891,0.0,0.0,1768473304.6756399,100.0,3,3
14.0,1768473296.0416,0.8104,27,32,59,3.1408,8.3683,-4.8213,0.0,0.4147,1768473305.226964,100.0,6,7
14.0,1768473294.7665,2.0248,27,32,59,1.4044,8.4293,-3.546,0.0,0.4147,1768473305.2270756,100.0,6,7
16.0,1768473296.5393,0.4648,27,32,59,5.668,8.2173,-7.3179,0.0,0.4147,1768473305.2281866,100.0,6,7
18.0,1768473296.1649,0.9612,27,32,59,6.5069,8.1026,-8.9362,0.0,0.4147,1768473305.2315147,87.5,9,10
10.0,1768473294.8074,1.8618,27,32,59,0.0481,8.5529,0.4147,0.4147,0.4147,1768473305.2315633,85.71,9,10
18.0,1768473295.7801,1.3149,27,32,59,6.5404,8.1347,-8.5504,0.0,0.4147,1768473305.2318213,88.89,9,10
11.0,1768473295.1357,1.58,27,32,59,1.4795,8.5158,-0.9043,0.0,0.4147,1768473305.2322555,90.0,10,11
16.0,1768473295.5565,1.3861,27,32,59,3.919,8.2895,-6.3243,0.0,0.4147,1768473305.2332838,90.91,12,13
13.0,1768473295.3732,1.4029,27,32,59,1.4193,8.4564,-3.1407,0.0,0.4147,1768473305.2333777,91.67,12,13
16.0,1768473295.4006,1.5269,27,31,58,3.9338,8.3056,-6.1675,0.0,0.4147,1768473305.234196,92.31,13,14
10.0,1768473296.082,0.6189,27,32,59,0.4573,8.5331,-0.8481,0.0,0.4147,1768473305.234329,92.86,13,14
15.0,1768473294.7583,2.0635,27,32,59,3.1699,8.4136,-4.5229,0.0,0.4147,1768473305.2362714,93.33,16,17
14.0,1768473296.1014,0.7657,27,32,59,3.1252,8.3686,-4.8657,0.0,0.4147,1768473305.2363708,93.75,16,17
16.0,1768473294.8515,2.0306,27,32,59,3.1104,8.354,-5.6154,0.0,0.4147,1768473305.2367315,94.12,17,18
14.0,1768473295.8785,0.9583,27,32,59,3.1544,8.3999,-4.6418,0.0,0.4147,1768473305.2379577,94.44,18,19
18.0,1768473295.7437,1.3362,27,32,59,6.555,8.158,-8.5058,0.0,0.4147,1768473305.2388346,94.74,20,21
18.0,1768473296.0319,1.0787,27,32,59,6.5246,8.1277,-8.7936,0.0,0.4147,1768473305.2389705,95.0,20,21
18.0,1768473296.1815,0.96,27,32,59,6.4946,8.0973,-8.9427,0.0,0.4147,1768473305.2390444,95.24,20,21
15.0,1768473296.3435,0.5688,3372,1025,4397,3.9487,34.9379,20.5066,20.5066,253.621,1768473331.8537717,76.92,20,33
11.0,1768473296.6326,0.0983,4513,1024,5537,1.4636,35.1192,24.2174,24.2174,253.621,1768473331.854506,80.0,20,33
18.0,1768473295.1784,1.8562,3490,1024,4514,6.5986,34.8163,18.6724,18.6724,253.621,1768473331.8556652,66.67,20,33
13.0,1768473295.0021,1.7589,3680,1024,4704,1.434,35.0895,23.8484,23.8484,253.621,1768473331.8572395,71.43,20,33
17.0,1768473294.6866,2.2715,3073,1029,4102,3.9027,34.8922,20.1637,20.1637,253.621,1768473331.8574994,74.07,20,33
16.0,1768473295.0674,1.8298,2955,1020,3975,3.0942,34.9535,20.7834,20.7834,253.621,1768473331.8577387,68.97,20,33
10.0,1768473294.9247,1.7613,3283,1025,4308,0.4723,35.1635,26.9248,26.9248,253.621,1768473331.8582768,86.96,20,33
19.0,1768473295.2661,7.9522,5587,1023,6610,1.1438,28.6309,17.5832,17.5832,253.621,1768473331.8583727,90.91,20,33
16.0,1768473296.3039,0.6848,3516,1027,4543,5.6836,34.8624,19.5472,19.5472,253.621,1768473331.8613985,64.52,20,33
