n_total,n_short,hol_corr,p95_short_q,p99_short_q,hol_frac,success_rate_pct_end,sleep,pushint,file
659,336,-0.03901128421271654,816.29705,861.3978099999997,0.9761904761904762,3.42,0.01,0.01,timsort_hol_sleep_0.01_pushint_0.01_20260116_005209.csv
668,341,0.03273595462097769,781.7314,852.8657800000003,0.9706744868035191,2.49,0.01,0.05,timsort_hol_sleep_0.01_pushint_0.05_20260116_003312.csv
632,316,0.016992582562818513,798.32905,865.5835549999999,0.9715189873417721,4.22,0.01,0.1,timsort_hol_sleep_0.01_pushint_0.1_20260116_001416.csv
567,285,0.043656465396552886,501.32912,521.8986920000001,0.9122807017543859,16.47,0.01,0.5,timsort_hol_sleep_0.01_pushint_0.5_20260115_235659.csv
287,145,0.08647488984480418,170.0001,181.478312,0.6827586206896552,92.34,0.01,1.0,timsort_hol_sleep_0.01_pushint_1.0_20260115_234607.csv
30,16,-0.8231555804796605,0.027225,0.027285,0.0,100.0,0.01,10.0,timsort_hol_sleep_0.01_pushint_10.0_20260115_232836.csv
59,30,-0.24142748534918687,0.021574999999999987,0.026298000000000002,0.0,100.0,0.01,5.0,timsort_hol_sleep_0.01_pushint_5.0_20260115_233716.csv
661,344,-0.1325013145836904,836.7719799999999,871.66953,0.9709302325581395,2.13,0.05,0.01,timsort_hol_sleep_0.05_pushint_0.01_20260116_023443.csv
636,319,0.042275620953750544,768.64507,832.532252,0.9623824451410659,2.77,0.05,0.05,timsort_hol_sleep_0.05_pushint_0.05_20260116_021549.csv
642,323,0.026691766716216918,810.16126,854.4058339999998,0.978328173374613,3.16,0.05,0.1,timsort_hol_sleep_0.05_pushint_0.1_20260116_015649.csv
575,289,0.0423854043532667,492.2416799999999,514.0698040000001,0.9411764705882353,14.19,0.05,0.5,timsort_hol_sleep_0.05_pushint_0.5_20260116_013944.csv
290,145,0.12280494885310657,183.52583999999987,195.442572,0.6689655172413793,83.87,0.05,1.0,timsort_hol_sleep_0.05_pushint_1.0_20260116_012844.csv
30,15,-0.699978349058541,0.08197,0.082474,0.0,100.0,0.05,10.0,timsort_hol_sleep_0.05_pushint_10.0_20260116_011115.csv
58,29,-0.2988985084891902,0.05848,0.07587999999999998,0.0,100.0,0.05,5.0,timsort_hol_sleep_0.05_pushint_5.0_20260116_011954.csv
650,334,-0.10457339754560793,824.7443399999997,862.752829,0.9550898203592815,3.52,0.1,0.01,timsort_hol_sleep_0.1_pushint_0.01_20260116_041743.csv
650,332,0.041194460036408566,790.58016,845.317533,0.9759036144578314,2.08,0.1,0.05,timsort_hol_sleep_0.1_pushint_0.05_20260116_035845.csv
634,317,-0.011868286276987942,794.6199599999999,850.2532519999999,0.9716088328075709,4.22,0.1,0.1,timsort_hol_sleep_0.1_pushint_0.1_20260116_033945.csv
571,289,0.03499455802436338,507.27284,529.1911000000001,0.9238754325259516,23.8,0.1,0.5,timsort_hol_sleep_0.1_pushint_0.5_20260116_032215.csv
289,145,0.14587901872743222,181.79059999999993,193.899476,0.7379310344827587,83.06,0.1,1.0,timsort_hol_sleep_0.1_pushint_1.0_20260116_031115.csv
30,15,-0.4242836035035851,0.10969999999999996,0.12313999999999999,0.0,100.0,0.1,10.0,timsort_hol_sleep_0.1_pushint_10.0_20260116_025346.csv
58,29,-0.3636064753322168,0.11901999999999997,0.129212,0.0,100.0,0.1,5.0,timsort_hol_sleep_0.1_pushint_5.0_20260116_030226.csv
639,320,-0.04195459305760124,814.1417150000001,865.452155,0.95625,2.53,0.5,0.01,timsort_hol_sleep_0.5_pushint_0.01_20260116_060107.csv
652,334,0.03144269305818057,797.2751899999998,844.061059,0.9730538922155688,2.27,0.5,0.05,timsort_hol_sleep_0.5_pushint_0.05_20260116_054208.csv
633,319,0.003747204398272794,789.8673699999998,855.449212,0.9749216300940439,3.27,0.5,0.1,timsort_hol_sleep_0.5_pushint_0.1_20260116_052306.csv
573,287,0.015781619803527117,517.48747,539.801262,0.9581881533101045,14.2,0.5,0.5,timsort_hol_sleep_0.5_pushint_0.5_20260116_050526.csv
294,147,0.29988346235994806,194.07019999999997,205.301742,0.6802721088435374,76.61,0.5,1.0,timsort_hol_sleep_0.5_pushint_1.0_20260116_045411.csv
26,13,0.8718900185587328,0.39931999999999995,0.413144,0.0,100.0,0.5,10.0,timsort_hol_sleep_0.5_pushint_10.0_20260116_043642.csv
57,29,0.09912550869987427,0.4676999999999999,0.49876400000000004,0.0,100.0,0.5,5.0,timsort_hol_sleep_0.5_pushint_5.0_20260116_044522.csv
631,324,0.18559330301410115,830.2611049999996,861.0756259999999,0.9814814814814815,2.94,1.0,0.01,timsort_hol_sleep_1.0_pushint_0.01_20260116_074440.csv
626,316,0.015566939249546156,797.5524,863.0692150000001,0.9778481012658228,1.87,1.0,0.05,timsort_hol_sleep_1.0_pushint_0.05_20260116_072540.csv
589,295,0.11055303981989993,801.40947,829.572738,0.9728813559322034,2.9,1.0,0.1,timsort_hol_sleep_1.0_pushint_0.1_20260116_070642.csv
573,294,-0.04183665023041563,532.7631349999999,553.858841,0.9183673469387755,13.82,1.0,0.5,timsort_hol_sleep_1.0_pushint_0.5_20260116_064852.csv
282,141,0.20702086522050847,191.9902,209.03963999999996,0.6453900709219859,76.33,1.0,1.0,timsort_hol_sleep_1.0_pushint_1.0_20260116_063737.csv
28,14,-0.15388458138213917,0.8740149999999999,0.9753629999999998,0.0,100.0,1.0,10.0,timsort_hol_sleep_1.0_pushint_10.0_20260116_062008.csv
58,29,-0.009003597989548839,0.9485199999999999,0.970488,0.0,100.0,1.0,5.0,timsort_hol_sleep_1.0_pushint_5.0_20260116_062848.csv
