orig_slo,insertion_time,wait_time,prompt_tok,out_tok,total_tok,ttft,execution_time,diff,violation,total_violation,finished_time,success_rate_pct,success_count,processed_count
40.0,1768512720.5964,0.0586,27,32,59,0.0276,0.5057,-39.4356,0.0,0.0,1768512721.5420127,100.0,1,1
158.0,1768512725.5983,0.1039,27,33,60,0.0309,0.5118,-157.3844,0.0,0.0,1768512726.2144828,100.0,2,2
34.0,1768512710.586,0.0051,3840,1022,4862,0.5561,15.8848,-18.1101,0.0,0.0,1768512726.4796941,100.0,3,3
70.0,1768512715.5937,0.0287,3405,1026,4431,0.4448,15.7731,-54.1982,0.0,0.0,1768512731.4001577,100.0,4,4
30.0,1768512740.615,0.2314,27,32,59,0.0242,0.506,-29.2626,0.0,0.0,1768512741.3528354,100.0,5,5
121.0,1768512745.6167,0.2784,27,32,59,0.0229,0.5094,-120.2122,0.0,0.0,1768512746.4048655,100.0,6,6
129.0,1768512730.605,0.1454,3087,1029,4116,0.403,15.8718,-112.9827,0.0,0.0,1768512746.6266103,100.0,7,7
133.0,1768512750.6182,0.3252,27,32,59,0.0175,0.4743,-132.2005,0.0,0.0,1768512751.417827,100.0,8,8
102.0,1768512735.6133,0.1869,4513,1026,5539,0.6047,15.6455,-86.1676,0.0,0.0,1768512751.450001,100.0,9,9
139.0,1768512765.643,0.5352,27,32,59,0.0302,0.5208,-137.9439,0.0,0.0,1768512766.6996634,100.0,10,10
152.0,1768512755.6302,0.4503,3526,1026,4552,0.4705,16.7433,-134.8063,0.0,0.0,1768512772.828141,100.0,11,11
102.0,1768512760.641,0.4885,5583,1031,6614,0.745,17.7993,-83.7123,0.0,0.0,1768512778.9350362,100.0,12,12
44.0,1768512785.6645,0.7328,27,32,59,0.0331,0.5568,-42.7104,0.0,0.0,1768512786.9542935,100.0,13,13
201.0,1768512770.6494,0.5806,3271,1028,4299,0.4152,17.9634,-182.456,0.0,0.0,1768512789.1972482,100.0,14,14
187.0,1768512775.657,0.6225,3365,1025,4390,0.4339,17.9534,-168.4241,0.0,0.0,1768512794.2377152,100.0,15,15
30.0,1768512795.6736,0.8346,27,32,59,0.0182,0.4955,-28.6699,0.0,0.0,1768512797.0039647,100.0,16,16
102.0,1768512780.6637,0.6754,3559,1031,4590,0.4633,17.2819,-84.0427,0.0,0.0,1768512798.6247218,100.0,17,17
88.0,1768512800.6748,0.8822,27,32,59,0.0225,0.4696,-86.6483,0.0,0.0,1768512802.0267847,100.0,18,18
177.0,1768512790.6711,0.7848,2980,956,3936,0.3921,14.0518,-162.1633,0.0,0.0,1768512805.5118625,100.0,19,19
142.0,1768512805.676,0.9648,27,32,59,0.0211,0.4054,-140.6297,0.0,0.0,1768512807.0464911,100.0,20,20
