orig_slo,insertion_time,wait_time,prompt_tok,out_tok,total_tok,ttft,execution_time,diff,violation,total_violation,finished_time,success_rate_pct,success_count,processed_count
10.0,1768830571.8719,0.1502,27,32,59,0.0239,0.0239,-9.8259,0.0,0.0,1768830572.4959307,100.0,2,2
10.0,1768830573.2071,0.8349,27,32,59,0.0317,0.0317,-9.1334,0.0,0.0,1768830574.5494018,100.0,3,3
11.0,1768830577.6003,0.481,27,32,59,0.0346,0.0346,-10.4844,0.0,0.0,1768830578.742078,100.0,5,5
16.0,1768830574.217,7.9118,27,32,59,0.0235,0.0235,-8.0647,0.0,0.0,1768830582.8479602,100.0,6,6
20.0,1768830570.3324,12.8067,27,32,59,0.0338,0.0338,-7.1595,0.0,0.0,1768830583.872444,100.0,7,7
11.0,1768830579.8292,4.326,27,32,59,0.0204,0.0204,-6.6537,0.0,0.0,1768830584.8782268,100.0,8,8
11.0,1768830579.8741,5.2857,27,32,59,0.022,0.022,-5.6923,0.0,0.0,1768830585.8842714,100.0,9,9
15.0,1768830576.0628,10.1072,27,32,59,0.041,0.041,-4.8518,0.0,0.0,1768830586.9146955,100.0,10,10
16.0,1768830573.084,6.0091,3015,329,3344,0.3912,0.3912,-9.5997,0.0,0.0,1768830587.8847373,100.0,11,11
18.0,1768830573.1185,14.0641,27,32,59,0.0371,0.0371,-3.8988,0.0,0.0,1768830587.9253888,100.0,12,12
14.0,1768830577.576,10.6174,27,32,59,0.0302,0.0302,-3.3524,0.0,0.0,1768830588.9130428,100.0,13,13
19.0,1768830572.6906,16.5194,27,32,59,0.0251,0.0251,-2.4556,0.0,0.0,1768830589.9280536,100.0,14,14
19.0,1768830573.1968,18.0318,27,32,59,0.0369,0.0369,-0.9313,0.0,0.0,1768830591.9623916,100.0,16,16
16.0,1768830576.4734,16.777,27,32,59,0.0325,0.0325,0.8095,0.8095,0.8095,1768830593.9980748,94.12,16,17
22.0,1768830571.0931,25.1896,27,32,59,0.0434,0.0434,3.233,3.233,4.0425,1768830597.0848422,88.89,16,18
34.0,1768830569.9954,0.0054,3840,1025,4865,0.5522,0.5522,-33.4424,0.0,4.0425,1768830597.2091913,89.47,17,19
15.0,1768830578.1586,19.1347,27,32,59,0.0427,0.0427,4.1774,4.1774,8.2199,1768830598.0792987,85.0,17,20
13.0,1768830571.6429,1.3895,3194,1028,4222,0.4077,0.4077,-11.2028,0.0,8.2199,1768830601.8994248,85.71,18,21
15.0,1768830578.7169,23.6329,3151,51,3202,0.4207,0.4207,9.0536,9.0536,17.2735,1768830604.0516052,81.82,18,22
14.0,1768830571.0547,3.9976,12339,1034,13373,1.9267,1.9267,-8.0757,0.0,17.2735,1768830605.3351183,82.61,19,23
13.0,1768830575.1495,1.922,3299,1033,4332,0.427,0.427,-10.651,0.0,17.2735,1768830605.8156416,83.33,20,24
19.0,1768830570.2464,9.8571,3276,1028,4304,0.428,0.428,-8.7149,0.0,17.2735,1768830608.9600415,84.0,21,25
18.0,1768830572.147,8.9713,4378,1016,5394,0.5959,0.5959,-8.4328,0.0,17.2735,1768830610.3339455,84.62,22,26
24.0,1768830571.2805,39.1602,27,32,59,0.0315,0.0315,15.1917,15.1917,32.4652,1768830611.1503236,81.48,22,27
21.0,1768830574.3395,37.1173,27,32,59,0.0304,0.0304,16.1477,16.1477,48.613,1768830612.1668985,78.57,22,28
20.0,1768830575.3937,37.0703,27,32,59,0.0398,0.0398,17.1101,17.1101,65.7231,1768830613.1842685,75.86,22,29
18.0,1768830574.4671,17.7715,3750,1023,4773,0.4877,0.4877,0.2591,0.2591,65.9822,1768830621.5592263,73.33,22,30
22.0,1768830570.5214,23.7434,3326,1024,4350,0.4402,0.4402,2.1836,2.1836,68.1658,1768830623.6990128,70.97,22,31
14.0,1768830578.5513,16.7211,2948,1018,3966,0.4094,0.4094,3.1305,3.1305,71.2963,1768830624.259015,68.75,22,32
22.0,1768830571.9731,33.4104,2955,698,3653,0.4053,0.4053,11.8156,11.8156,83.1119,1768830624.3050616,66.67,22,33
25.0,1768830571.3113,54.329,27,32,59,0.0256,0.0256,29.3546,29.3546,112.4665,1768830626.3432486,64.71,22,34
16.0,1768830577.2624,21.0419,3069,1029,4098,0.3905,0.3905,5.4325,5.4325,117.899,1768830627.0085921,62.86,22,35
11.0,1768830585.6907,40.9648,27,32,59,0.0208,0.0208,29.9856,29.9856,147.8846,1768830627.3371084,61.11,22,36
22.0,1768830571.3252,27.9903,3898,1025,4923,0.5098,0.5098,6.5002,6.5002,154.3847,1768830627.5483139,59.46,22,37
19.0,1768830578.2462,49.4271,27,32,59,0.0223,0.0223,30.4494,30.4494,184.8341,1768830628.3176003,57.89,22,38
22.0,1768830571.8616,32.5143,3069,1023,4092,0.3947,0.3947,10.909,10.909,195.7431,1768830632.2483368,56.41,22,39
24.0,1768830574.0204,57.7076,27,32,59,0.0239,0.0239,33.7315,33.7315,229.4746,1768830632.4391525,55.0,22,40
13.0,1768830585.5672,47.1751,27,32,59,0.0253,0.0253,34.2004,34.2004,263.6751,1768830633.4434118,53.66,22,41
17.0,1768830577.1666,29.2276,5661,1023,6684,0.7641,0.7641,12.9917,12.9917,276.6668,1768830633.467213,52.38,22,42
26.0,1768830572.6263,61.1357,27,32,59,0.0383,0.0383,35.174,35.174,311.8408,1768830634.4294312,51.16,22,43
14.0,1768830584.6293,50.1409,27,32,59,0.0347,0.0347,36.1756,36.1756,348.0164,1768830635.4366045,50.0,22,44
11.0,1768830584.0157,25.4124,5703,1028,6731,0.7629,0.7629,15.1753,15.1753,363.1917,1768830635.581766,48.89,22,45
11.0,1768830587.794,49.0029,27,32,59,0.0214,0.0214,38.0242,38.0242,401.2159,1768830637.4277277,47.83,22,46
19.0,1768830579.8087,58.1352,27,32,59,0.0259,0.0259,39.1611,39.1611,440.377,1768830638.584908,46.81,22,47
14.0,1768830581.9734,31.502,5198,1027,6225,0.687,0.687,18.189,18.189,458.566,1768830639.0567956,45.83,22,48
28.0,1768830571.1163,67.8423,27,32,59,0.0317,0.0317,39.874,39.874,498.44,1768830639.5795481,44.9,22,49
18.0,1768830581.6525,60.3447,27,9,36,0.0367,0.0367,42.3814,42.3814,581.7009,1768830642.2099037,43.14,22,51
21.0,1768830578.7629,65.2603,27,32,59,0.0374,0.0374,44.2978,44.2978,625.9987,1768830644.7026289,42.31,22,52
30.0,1768830570.0745,74.9642,27,32,59,0.0194,0.0194,44.9836,44.9836,670.9823,1768830645.7040513,41.51,22,53
30.0,1768830570.2119,75.8408,27,31,58,0.0279,0.0279,45.8687,45.8687,716.851,1768830646.7262459,40.74,22,54
24.0,1768830572.0923,49.4951,4376,1032,5408,0.5704,0.5704,26.0655,26.0655,742.9165,1768830646.8337693,40.0,22,55
18.0,1768830582.2495,64.8172,27,32,59,0.0219,0.0219,46.8391,46.8391,789.7556,1768830647.68311,39.29,22,56
10.0,1768830586.2373,38.3885,3260,1030,4290,0.4304,0.4304,28.8188,28.8188,818.5744,1768830649.4673195,38.6,22,57
16.0,1768830584.6061,64.4888,27,32,59,0.0318,0.0318,48.5205,48.5205,867.0949,1768830649.7496912,37.93,22,58
12.0,1768830588.7257,61.3853,27,32,59,0.0316,0.0316,49.417,49.417,916.5119,1768830650.7382762,37.29,22,59
13.0,1768830587.8422,63.2803,27,32,59,0.0304,0.0304,50.3107,50.3107,966.8226,1768830651.756558,36.67,22,60
25.0,1768830575.9192,76.2168,27,32,59,0.037,0.037,51.2539,51.2539,1018.0765,1768830652.7751667,36.07,22,61
25.0,1768830572.2509,56.4352,3022,1027,4049,0.3856,0.3856,31.8209,31.8209,1049.8973,1768830652.8149152,35.48,22,62
21.0,1768830576.4259,53.2735,3365,1028,4393,0.4506,0.4506,32.7241,32.7241,1082.6214,1768830653.4416296,34.92,22,63
27.0,1768830573.9497,79.2054,27,32,59,0.0329,0.0329,52.2382,52.2382,1134.8596,1768830653.7599268,34.38,22,64
26.0,1768830571.586,59.132,3044,1030,4074,0.4011,0.4011,33.5331,33.5331,1168.3927,1768830653.9397335,33.85,22,65
19.0,1768830582.0821,73.102,27,32,59,0.0301,0.0301,54.1322,54.1322,1222.5249,1768830655.7885544,33.33,22,66
13.0,1768830588.2328,67.9634,27,32,59,0.031,0.031,54.9944,54.9944,1277.5192,1768830656.8005555,32.84,22,67
