orig_slo,insertion_time,wait_time,prompt_tok,out_tok,total_tok,ttft,execution_time,diff,violation,total_violation,finished_time,success_rate_pct,success_count,processed_count
40.0,1768994881.4766,0.0283,27,32,59,0.0779,0.0779,-39.8938,0.0,0.0,1768994882.9267855,100.0,1,1
34.0,1768994871.4278,0.0188,3840,1025,4865,0.5876,0.5876,-33.3936,0.0,0.0,1768994886.0648968,100.0,2,2
158.0,1768994886.4882,0.0417,27,32,59,0.0467,0.0467,-157.9116,0.0,0.0,1768994886.9840899,100.0,3,3
70.0,1768994876.457,0.0168,3405,1024,4429,0.3825,0.3825,-69.6006,0.0,0.0,1768994890.6419475,100.0,4,4
30.0,1768994901.5379,0.0415,27,32,59,0.0612,0.0612,-29.8973,0.0,0.0,1768994902.0757573,100.0,5,5
129.0,1768994891.5061,0.0291,3087,1033,4120,0.3449,0.3449,-128.626,0.0,0.0,1768994906.1169581,100.0,6,6
102.0,1768994896.5372,0.0277,4513,1021,5534,0.5425,0.5425,-101.4298,0.0,0.0,1768994911.1165822,100.0,8,8
133.0,1768994911.5617,0.0374,27,32,59,0.0623,0.0623,-132.9003,0.0,0.0,1768994912.0258696,100.0,9,9
139.0,1768994926.6398,0.0416,27,32,59,0.0605,0.0605,-138.8979,0.0,0.0,1768994927.1878912,100.0,10,10
152.0,1768994916.595,0.0324,3526,1024,4550,0.4335,0.4335,-151.5341,0.0,0.0,1768994931.780458,100.0,11,11
102.0,1768994921.6321,0.0306,5583,1033,6616,0.728,0.728,-101.2414,0.0,0.0,1768994938.1587656,100.0,12,12
44.0,1768994946.7408,0.0475,27,32,59,0.0797,0.0797,-43.8727,0.0,0.0,1768994947.3266492,100.0,13,13
201.0,1768994931.6553,0.0274,3271,1031,4302,0.3813,0.3813,-200.5913,0.0,0.0,1768994947.831227,100.0,14,14
187.0,1768994936.6788,0.0346,3365,925,4290,0.3883,0.3883,-186.5771,0.0,0.0,1768994950.6982086,100.0,15,15
102.0,1768994941.706,0.0321,3559,1033,4592,0.3818,0.3818,-101.5861,0.0,0.0,1768994956.860126,100.0,16,16
30.0,1768994956.8044,0.0433,27,32,59,0.061,0.061,-29.8956,0.0,0.0,1768994957.3212857,100.0,17,17
88.0,1768994961.8144,0.0395,27,32,59,0.0638,0.0638,-87.8966,0.0,0.0,1768994962.3206108,100.0,18,18
177.0,1768994951.7754,0.0301,2980,1026,4006,0.3416,0.3416,-176.6282,0.0,0.0,1768994965.5220206,100.0,19,19
142.0,1768994966.8374,0.0421,27,32,59,0.0543,0.0543,-141.9036,0.0,0.0,1768994967.308373,100.0,20,20
127.0,1768994976.895,0.0392,27,32,59,0.0607,0.0607,-126.9001,0.0,0.0,1768994977.4005694,100.0,21,21
19.0,1768994971.8646,0.0325,3276,1031,4307,0.4392,0.4392,-18.5283,0.0,0.0,1768994985.85798,100.0,22,22
131.0,1768994986.9388,0.0391,27,32,59,0.068,0.068,-130.8929,0.0,0.0,1768994987.4470491,100.0,23,23
212.0,1768994981.9188,0.0269,2945,750,3695,0.3564,0.3564,-211.6167,0.0,0.0,1768994992.4317093,100.0,24,24
148.0,1768994991.9758,0.0321,3202,1028,4230,0.3738,0.3738,-147.594,0.0,0.0,1768995007.3054578,100.0,25,25
20.0,1768995007.0341,0.0424,27,32,59,0.047,0.047,-19.9106,0.0,0.0,1768995007.5860193,100.0,26,26
180.0,1768995012.0408,0.0403,27,32,59,0.0655,0.0655,-179.8942,0.0,0.0,1768995012.59747,100.0,27,27
199.0,1768994997.0027,0.0303,3096,1016,4112,0.3703,0.3703,-198.5994,0.0,0.0,1768995012.6704066,100.0,28,28
52.0,1768995002.0233,0.0307,4788,1028,5816,0.576,0.576,-51.3933,0.0,0.0,1768995017.1989925,100.0,29,29
198.0,1768995017.0564,0.0398,27,32,59,0.0594,0.0594,-197.9008,0.0,0.0,1768995017.5315838,100.0,30,30
32.0,1768995022.0985,0.0304,3151,140,3291,0.3884,0.3884,-31.5812,0.0,0.0,1768995024.2862287,100.0,31,31
109.0,1768995027.0993,0.039,27,32,59,0.0598,0.0598,-108.9012,0.0,0.0,1768995027.5992773,100.0,32,32
88.0,1768995037.1379,0.0426,27,32,59,0.0623,0.0623,-87.8951,0.0,0.0,1768995037.6474326,100.0,33,33
