orig_slo,slo_type,insertion_time,wait_time,prompt_tok,out_tok,total_tok,ttft,tbt_p95,tbt_p99,tbt_slo,tbt_violation,tbt_success_rate_pct,ttlt,diff,violation,total_violation,finished_time,success_rate_pct,success_count,processed_count,kv,run_cnt,wait_cnt,swap_cnt,vram_used_gib,vram_total_gib,vq_id,vq_groups,head_deadline,slack,model,deadlines
1,0,1769172827.4685,0.5596,27,22,49,0.0867,0.0465,0.0471,1,0,100,0.5083,-0.3537,0,0,1769172829.73554,100,9,9,0,0,0,0,13.46,15,0,1,1769173027.376,200,meta-llama/Llama-3.2-1B-Instruct,1769173027.376
1,0,1769172827.5351,0.7622,27,32,59,0.0695,0.0423,0.0466,1,0,100,0.5796,-0.1683,0,0,1769172830.25721,100,9,9,0.013,7,0,0,13.52,15,0,1,1769173027.376,200,meta-llama/Llama-3.2-1B-Instruct,1769173027.376
1,0,1769172827.4071,0.2728,27,32,59,0.4311,0.0454,0.0474,1,0,100,1.0219,-0.2961,0,0,1769172830.78029,100,9,9,0,0,0,0,13.46,15,0,1,1769173027.376,200,meta-llama/Llama-3.2-1B-Instruct,1769173027.376
1,0,1769172827.4579,0.4461,27,32,59,0.208,0.0449,0.0468,1,0,100,0.7962,-0.3459,0,0,1769172831.30597,100,9,9,0,0,0,0,13.46,15,0,1,1769173027.376,200,meta-llama/Llama-3.2-1B-Instruct,1769173027.376
1,0,1769172827.3966,0.154,27,33,60,0.5632,0.0446,0.0465,1,0,100,1.1529,-0.2828,0,0,1769172831.80064,100,9,9,0,0,0,0,12.58,15,0,1,1769173027.376,200,meta-llama/Llama-3.2-1B-Instruct,1769173027.376
1,0,1769172827.4792,0.6983,27,32,59,0.0732,0.0432,0.0445,1,0,100,0.6182,-0.2285,0,0,1769172832.80968,100,9,9,0.013,6,0,0,13.52,15,0,1,1769173027.376,200,meta-llama/Llama-3.2-1B-Instruct,1769173027.376
1,0,1769172827.4476,0.3372,27,32,59,0.3252,0.047,0.0485,1,0,100,0.9182,-0.3375,0,0,1769172832.81131,100,9,9,0,0,0,0,13.46,15,0,1,1769173027.376,200,meta-llama/Llama-3.2-1B-Instruct,1769173027.376
1,0,1769172827.6589,0.7758,27,32,59,0.066,0.0214,0.0473,1,0,100,0.5378,-0.1582,0,0,1769172833.35894,100,9,9,0.014,8,0,0,13.52,15,0,1,1769173027.376,200,meta-llama/Llama-3.2-1B-Instruct,1769173027.376
1,0,1769172827.6977,0.8705,27,32,59,0.0702,0.0179,0.0194,1,0,100,0.4907,-0.0593,0,0,1769172833.83782,100,9,9,0.014,8,0,0,13.52,15,0,78,1769172828.719,-5.103,meta-llama/Llama-3.2-1B-Instruct,"1769172828.719, 1769172828.730, 1769172828.740, 1769172828.751, 1769172828.844"
1,0,1769172827.7084,6.1836,27,32,59,0.1001,0.0443,0.0451,1,0,100,0.6454,5.2836,5.2836,10.5609,1769172834.53859,90,9,11,0.014,1,0,0,13.52,15,0,78,1769172828.719,-5.103,meta-llama/Llama-3.2-1B-Instruct,"1769172828.719, 1769172828.730, 1769172828.740, 1769172828.751, 1769172828.844"
1,0,1769172827.719,6.2156,27,32,59,0.0618,0.0427,0.0464,1,0,100,0.6033,5.2773,5.2773,10.5609,1769172834.5388,81.82,9,11,0.014,1,0,0,13.52,15,0,78,1769172828.719,-5.103,meta-llama/Llama-3.2-1B-Instruct,"1769172828.719, 1769172828.730, 1769172828.740, 1769172828.751, 1769172828.844"
1,0,1769172827.7297,6.3557,27,32,59,0.0557,0.0456,0.0472,1,0,100,0.598,5.4114,5.4114,15.9723,1769172834.68433,75,9,12,0.014,3,0,0,13.52,15,0,78,1769172828.719,-5.103,meta-llama/Llama-3.2-1B-Instruct,"1769172828.719, 1769172828.730, 1769172828.740, 1769172828.751, 1769172828.844"
1,0,1769172827.7404,6.5044,27,33,60,0.0555,0.0441,0.0443,1,0,100,0.5978,5.5599,5.5599,21.5322,1769172834.84357,69.23,9,13,0.014,4,0,0,13.52,15,0,78,1769172828.719,-5.103,meta-llama/Llama-3.2-1B-Instruct,"1769172828.719, 1769172828.730, 1769172828.740, 1769172828.751, 1769172828.844"
1,0,1769172827.751,6.6335,27,32,59,0.0641,0.046,0.047,1,0,100,0.6349,5.6975,5.6975,27.2297,1769172835.02077,64.29,9,14,0.015,5,0,0,13.52,15,0,78,1769172828.719,-5.103,meta-llama/Llama-3.2-1B-Instruct,"1769172828.719, 1769172828.730, 1769172828.740, 1769172828.751, 1769172828.844"
