orig_slo,slo_type,insertion_time,wait_time,prompt_tok,out_tok,total_tok,ttft,tbt_p95,tbt_p99,tbt_slo,tbt_violation,tbt_success_rate_pct,ttlt,diff,violation,total_violation,finished_time,success_rate_pct,success_count,processed_count,kv,run_cnt,wait_cnt,swap_cnt,vram_used_gib,vram_total_gib,vq_id,vq_groups,head_deadline,slack,model,deadlines
44.0,0,1769211801.7566,0.1325,27,4,31,1.7441,0.0265,0.0265,1.0,0.0,100.0,1.8281,-42.1234,0.0,0.0,1769211804.649625,100.0,2,2,0.038,6,0,0,13.86,15.0,0,1,1769211834.788,34.0,meta-llama/Llama-3.2-1B-Instruct,1769211834.788
40.0,0,1769211800.9321,0.142,27,32,59,1.2476,0.4694,1.3387,1.0,0.3387,50.0,3.5449,-38.6104,0.0,0.0,1769211804.676206,100.0,3,3,0.0,0,0,0,13.46,15.0,0,1,1769211834.788,34.0,meta-llama/Llama-3.2-1B-Instruct,1769211834.788
121.0,0,1769211801.2364,0.1827,27,32,59,0.9008,0.4635,1.3386,1.0,0.3386,33.33,3.2469,-119.9165,0.0,0.0,1769211804.7097456,100.0,4,4,0.0,0,0,0,13.46,15.0,0,1,1769211834.788,34.0,meta-llama/Llama-3.2-1B-Instruct,1769211834.788
30.0,0,1769211801.1856,0.1118,27,32,59,1.0217,0.5411,1.3356,1.0,0.3356,25.0,3.4026,-28.8665,0.0,0.0,1769211804.7215688,100.0,4,4,0.0,0,0,0,13.46,15.0,0,1,1769211834.788,34.0,meta-llama/Llama-3.2-1B-Instruct,1769211834.788
17.0,1,1769211803.4576,1.4741,3245,0,3245,,,,200.0,,,0.41,-15.1159,0.0,0.0,1769211805.3534756,100.0,5,5,0.079,6,0,0,14.23,15.0,0,1,1769211834.788,34.0,meta-llama/Llama-3.2-1B-Instruct,1769211834.788
30.0,0,1769211801.8754,3.5942,27,32,59,0.5046,0.0246,0.0297,1.0,0.0,40.0,1.1135,-25.9012,0.0,0.0,1769211806.5850332,100.0,7,7,0.089,8,0,0,14.24,15.0,0,56,1769211834.638,28.828,meta-llama/Llama-3.2-1B-Instruct,"1769211834.638, 1769211839.056, 1769211844.915, 1769211848.087, 1769211850.125"
20.0,0,1769211802.4769,2.7319,27,32,59,0.4519,0.0316,0.3357,1.0,0.0,50.0,1.3754,-16.8162,0.0,0.0,1769211806.5852203,100.0,7,7,0.089,7,0,0,14.23,15.0,0,56,1769211834.638,28.828,meta-llama/Llama-3.2-1B-Instruct,"1769211834.638, 1769211839.056, 1769211844.915, 1769211848.087, 1769211850.125"
102.0,1,1769211801.6926,0.0818,3559,1025,4584,1.8603,0.0283,0.037,200.0,0.0,57.14,25.3339,-76.5843,0.0,0.0,1769211827.123631,100.0,13,13,0.038,6,0,0,13.86,15.0,0,320,1769211820.808,-5.266,meta-llama/Llama-3.2-1B-Instruct,"1769211820.808, 1769211820.898, 1769211823.425, 1769211828.874, 1769211828.987"
129.0,1,1769211801.0646,0.5957,3087,1039,4126,1.9714,0.0278,0.0333,200.0,0.0,62.5,25.4522,-102.9521,0.0,0.0,1769211827.1282053,100.0,13,13,0.038,6,0,0,13.86,15.0,0,320,1769211820.808,-5.266,meta-llama/Llama-3.2-1B-Instruct,"1769211820.808, 1769211820.898, 1769211823.425, 1769211828.874, 1769211828.987"
102.0,1,1769211801.1336,0.0524,4513,1030,5543,1.1347,0.0275,0.0364,200.0,0.0,66.67,25.9236,-76.0239,0.0,0.0,1769211827.1287313,100.0,13,13,0.0,0,0,0,13.46,15.0,0,320,1769211820.808,-5.266,meta-llama/Llama-3.2-1B-Instruct,"1769211820.808, 1769211820.898, 1769211823.425, 1769211828.874, 1769211828.987"
