n_total,n_short,hol_corr,p95_short_q,p99_short_q,hol_frac,success_rate_pct_end,sleep,pushint,file
2224,1935,0.567244551345028,464.45005999999995,622.1650400000001,0.21343669250645994,10.74,0.001,0.001,timsort_hol_sleep_0.001_pushint_0.001_20260124_024800.csv
2254,1953,0.5554154317883098,446.2800999999999,630.476468,0.15463389656938045,15.86,0.001,0.005,timsort_hol_sleep_0.001_pushint_0.005_20260124_022755.csv
2272,1967,0.48137231371349254,446.3451299999993,641.636006,0.22318251143873918,12.09,0.001,0.01,timsort_hol_sleep_0.001_pushint_0.01_20260124_020749.csv
1827,1511,0.5633853421371344,480.3016,622.5474900000002,0.18927862342819324,18.79,0.001,0.05,timsort_hol_sleep_0.001_pushint_0.05_20260124_014748.csv
1393,1069,0.3888930484669119,515.7352399999997,606.3425319999998,0.2684752104770814,18.49,0.001,0.1,timsort_hol_sleep_0.001_pushint_0.1_20260124_012745.csv
560,289,0.05816099975702131,10.632559999999998,259.22866000000016,0.08304498269896193,42.14,0.001,0.5,timsort_hol_sleep_0.001_pushint_0.5_20260124_011055.csv
290,147,0.2059363141430075,7.333729999999998,41.72187399999986,0.04081632653061224,71.82,0.001,1.0,timsort_hol_sleep_0.001_pushint_1.0_20260124_005930.csv
2927,2643,-0.06699002303910459,318.79678,594.465034,0.9152478244419221,0.34,0.005,0.001,timsort_hol_sleep_0.005_pushint_0.001_20260124_045722.csv
2155,1849,0.3632137642044216,429.68459999999993,634.175888,0.15792320173066524,28.11,0.005,0.005,timsort_hol_sleep_0.005_pushint_0.005_20260124_043718.csv
2169,1856,0.35642504340965403,454.9075,642.30668,0.19342672413793102,11.23,0.005,0.01,timsort_hol_sleep_0.005_pushint_0.01_20260124_041717.csv
1854,1544,0.5727301851864773,468.19651499999986,620.065214,0.18588082901554404,27.09,0.005,0.05,timsort_hol_sleep_0.005_pushint_0.05_20260124_035714.csv
1405,1071,0.6384598514585087,512.4295,605.2096,0.24089635854341737,31.38,0.005,0.1,timsort_hol_sleep_0.005_pushint_0.1_20260124_033715.csv
562,285,0.039334916214943526,8.86192,333.7133360000004,0.07368421052631578,38.43,0.005,0.5,timsort_hol_sleep_0.005_pushint_0.5_20260124_031952.csv
289,145,0.1655987670654333,7.265199999999966,59.56539600000015,0.05517241379310345,72.36,0.005,1.0,timsort_hol_sleep_0.005_pushint_1.0_20260124_030806.csv
3114,2827,-0.07658698332616115,300.0886399999999,592.5061259999998,0.9437566324725858,0.32,0.01,0.001,timsort_hol_sleep_0.01_pushint_0.001_20260124_070616.csv
2628,2326,0.6475973830350753,447.109875,625.1677,0.4931212381771281,0.61,0.01,0.005,timsort_hol_sleep_0.01_pushint_0.005_20260124_064613.csv
2083,1782,0.4658634407828107,441.93292999999994,643.344671,0.1531986531986532,10.85,0.01,0.01,timsort_hol_sleep_0.01_pushint_0.01_20260124_062611.csv
1918,1601,0.5559103467403722,448.5464,623.2181,0.16864459712679575,25.31,0.01,0.05,timsort_hol_sleep_0.01_pushint_0.05_20260124_060607.csv
1411,1081,0.5305160527467528,506.2522,591.9403400000002,0.24699352451433856,23.97,0.01,0.1,timsort_hol_sleep_0.01_pushint_0.1_20260124_054605.csv
563,298,-0.05787850141987093,49.497454999999995,324.26913099999916,0.14093959731543623,56.78,0.01,0.5,timsort_hol_sleep_0.01_pushint_0.5_20260124_052901.csv
291,148,0.025097311718649918,9.720985000000008,26.363370000000018,0.08108108108108109,70.4,0.01,1.0,timsort_hol_sleep_0.01_pushint_1.0_20260124_051726.csv
5240,5032,-0.31560014547248416,402.584995,571.941612,0.9974165341812401,0.19,0.05,0.001,timsort_hol_sleep_0.05_pushint_0.001_20260124_091523.csv
3971,3717,-0.20063073511694324,293.96299999999997,602.703604,0.9897767016411084,0.25,0.05,0.005,timsort_hol_sleep_0.05_pushint_0.005_20260124_085521.csv
3327,3048,-0.11022080751287194,275.0718400000005,621.8763710000004,0.9586614173228346,0.3,0.05,0.01,timsort_hol_sleep_0.05_pushint_0.01_20260124_083518.csv
1649,1332,0.45271668336113025,486.29734,631.0960650000001,0.19444444444444445,27.16,0.05,0.05,timsort_hol_sleep_0.05_pushint_0.05_20260124_081518.csv
1459,1141,0.47129011025531103,527.3202,613.5960399999999,0.2331288343558282,28.6,0.05,0.1,timsort_hol_sleep_0.05_pushint_0.1_20260124_075515.csv
574,303,0.026485556402763313,13.00880999999999,333.717422,0.18151815181518152,35.89,0.05,0.5,timsort_hol_sleep_0.05_pushint_0.5_20260124_073756.csv
292,148,0.16915117057556633,9.371490000000003,75.10511000000002,0.08108108108108109,65.57,0.05,1.0,timsort_hol_sleep_0.05_pushint_1.0_20260124_072616.csv
4714,4620,-0.4321507554911238,734.509265,766.4945780000002,0.9980519480519481,0.17,0.1,0.001,timsort_hol_sleep_0.1_pushint_0.001_20260124_112437.csv
4818,4710,-0.3352110980951754,584.176195,608.315572,0.9980891719745223,0.21,0.1,0.005,timsort_hol_sleep_0.1_pushint_0.005_20260124_110429.csv
3881,3704,-0.27702559076504224,377.369395,558.8643179999998,0.9970302375809935,0.26,0.1,0.01,timsort_hol_sleep_0.1_pushint_0.01_20260124_104422.csv
1918,1627,0.7077307582077389,473.53166999999985,632.80292,0.17516902274124155,18.89,0.1,0.05,timsort_hol_sleep_0.1_pushint_0.05_20260124_102419.csv
1302,969,0.44431053550152133,491.56483999999995,587.2792959999999,0.29411764705882354,36.69,0.1,0.1,timsort_hol_sleep_0.1_pushint_0.1_20260124_100415.csv
572,294,0.07792491969049421,13.580239999999993,317.9840829999996,0.17346938775510204,34.49,0.1,0.5,timsort_hol_sleep_0.1_pushint_0.5_20260124_094712.csv
294,147,0.10813657255604464,11.043439999999993,72.82078999999973,0.14285714285714285,70.07,0.1,1.0,timsort_hol_sleep_0.1_pushint_1.0_20260124_093527.csv
