line_idx,algo,calls,avg_ms,max_ms,vq_id,vq_groups,head_deadline,slack,model,deadlines
27,timsort,1,0.029,0.029,0,1,1769234010.903,200.0,meta-llama/Llama-3.2-1B-Instruct,1769234010.903
37,timsort,36,0.028,0.046,0,13,1769233813.722,-3.336,meta-llama/Llama-3.2-1B-Instruct,"1769233813.722, 1769233813.846, 1769233813.947, 1769233814.076, 1769233814.212"
66,timsort,124,0.039,0.074,0,22,1769234012.24,190.137,meta-llama/Llama-3.2-1B-Instruct,"1769234012.240, 1769234012.370, 1769234012.619, 1769234014.981, 1769234017.058"
84,timsort,217,0.049,0.147,0,47,1769233826.749,-0.417,meta-llama/Llama-3.2-1B-Instruct,"1769233826.749, 1769233826.858, 1769233827.319, 1769233827.436, 1769233827.578"
105,timsort,293,0.066,0.172,0,66,1769233831.552,-0.655,meta-llama/Llama-3.2-1B-Instruct,"1769233831.552, 1769233831.800, 1769233832.076, 1769233832.183, 1769233832.315"
132,timsort,382,0.082,0.245,0,81,1769233837.663,0.416,meta-llama/Llama-3.2-1B-Instruct,"1769233837.663, 1769233837.789, 1769233838.038, 1769234014.981, 1769234017.058"
156,timsort,474,0.097,0.273,0,103,1769233841.983,-0.309,meta-llama/Llama-3.2-1B-Instruct,"1769233841.983, 1769233842.103, 1769233842.782, 1769234017.058, 1769234017.298"
175,timsort,564,0.114,0.385,0,123,1769233847.868,0.525,meta-llama/Llama-3.2-1B-Instruct,"1769233847.868, 1769233847.982, 1769234017.548, 1769234017.702, 1769234017.836"
197,timsort,662,0.13,0.418,0,145,1769233852.091,-0.287,meta-llama/Llama-3.2-1B-Instruct,"1769233852.091, 1769233852.328, 1769233852.445, 1769233852.799, 1769233852.915"
220,timsort,741,0.147,0.458,0,162,1769233856.375,-1.025,meta-llama/Llama-3.2-1B-Instruct,"1769233856.375, 1769233856.648, 1769233856.760, 1769233857.015, 1769233857.142"
240,timsort,825,0.164,0.458,0,186,1769233860.012,-2.43,meta-llama/Llama-3.2-1B-Instruct,"1769233860.012, 1769233860.387, 1769233860.867, 1769233860.968, 1769233861.087"
266,timsort,906,0.182,0.604,0,204,1769233865.128,-2.363,meta-llama/Llama-3.2-1B-Instruct,"1769233865.128, 1769233865.628, 1769233865.763, 1769233865.897, 1769233866.009"
303,timsort,989,0.198,0.642,0,209,1769233873.063,0.533,meta-llama/Llama-3.2-1B-Instruct,"1769233873.063, 1769233873.454, 1769234018.715, 1769234018.842, 1769234019.072"
329,timsort,1080,0.212,0.642,0,222,1769233878.318,0.786,meta-llama/Llama-3.2-1B-Instruct,"1769233878.318, 1769233878.438, 1769234020.156, 1769234020.278, 1769234021.139"
352,timsort,1172,0.225,0.642,0,241,1769233882.999,0.422,meta-llama/Llama-3.2-1B-Instruct,"1769233882.999, 1769233883.371, 1769233883.492, 1769234021.402, 1769234021.643"
368,timsort,1251,0.24,0.642,0,268,1769233886.15,-1.449,meta-llama/Llama-3.2-1B-Instruct,"1769233886.150, 1769233886.685, 1769233886.812, 1769233887.069, 1769233887.312"
383,timsort,1332,0.256,0.764,0,294,1769233889.172,-3.477,meta-llama/Llama-3.2-1B-Instruct,"1769233889.172, 1769233889.300, 1769233889.410, 1769233890.072, 1769233890.338"
395,timsort,1409,0.273,1.119,0,322,1769233891.598,-6.17,meta-llama/Llama-3.2-1B-Instruct,
439,timsort,1488,0.288,1.119,0,323,1769233902.41,-0.408,meta-llama/Llama-3.2-1B-Instruct,
463,timsort,1586,0.302,1.119,0,336,1769233907.194,-0.636,meta-llama/Llama-3.2-1B-Instruct,
486,timsort,1671,0.316,1.119,0,356,1769233913.093,0.198,meta-llama/Llama-3.2-1B-Instruct,
508,timsort,1750,0.332,1.197,0,376,1769233918.489,0.552,meta-llama/Llama-3.2-1B-Instruct,
532,timsort,1829,0.346,1.309,0,393,1769233923.731,0.725,meta-llama/Llama-3.2-1B-Instruct,
550,timsort,1912,0.362,1.309,0,417,1769233928.591,0.538,meta-llama/Llama-3.2-1B-Instruct,
581,timsort,1993,0.379,1.309,0,430,1769233933.981,0.874,meta-llama/Llama-3.2-1B-Instruct,
602,timsort,2104,0.385,1.309,0,453,1769233938.316,0.182,meta-llama/Llama-3.2-1B-Instruct,
627,timsort,2180,0.401,1.309,0,468,1769233942.803,-0.342,meta-llama/Llama-3.2-1B-Instruct,
654,timsort,2261,0.416,1.309,0,484,1769233948.22,0.074,meta-llama/Llama-3.2-1B-Instruct,
679,timsort,2346,0.431,1.309,0,499,1769233954.127,0.951,meta-llama/Llama-3.2-1B-Instruct,
695,timsort,2427,0.447,1.558,0,524,1769233957.956,-0.277,meta-llama/Llama-3.2-1B-Instruct,
719,timsort,2517,0.462,1.558,0,542,1769233963.583,0.326,meta-llama/Llama-3.2-1B-Instruct,
741,timsort,2601,0.476,1.558,0,559,1769233967.821,-0.454,meta-llama/Llama-3.2-1B-Instruct,
761,timsort,2679,0.492,1.797,0,581,1769233971.459,-1.86,meta-llama/Llama-3.2-1B-Instruct,
783,timsort,2759,0.508,1.797,0,601,1769233975.659,-2.669,meta-llama/Llama-3.2-1B-Instruct,
813,timsort,2838,0.524,1.797,0,613,1769233981.94,-1.445,meta-llama/Llama-3.2-1B-Instruct,
