orig_slo,slo_type,insertion_time,wait_time,prompt_tok,out_tok,total_tok,ttft,tbt_p95,tbt_p99,tbt_slo,tbt_violation,tbt_success_rate_pct,ttlt,diff,violation,total_violation,finished_time,success_rate_pct,success_count,processed_count,kv,run_cnt,wait_cnt,swap_cnt,vram_used_gib,vram_total_gib,vq_id,vq_groups,head_deadline,slack,model,deadlines
1.0,0,1769221920.61,0.0403,27,32,59,1.1339,0.0242,0.0249,1.0,0.0,100.0,1.6398,0.1742,0.1742,0.5582,1769221923.2234108,50.0,2,7,0.0,0,0,0,12.65,15.0,0,1,1769222120.352,200.0,meta-llama/Llama-3.2-1B-Instruct,1769222120.352
1.0,0,1769221920.3993,0.0633,27,32,59,0.2689,0.022,1.0746,1.0,0.0746,50.0,1.8351,-0.6678,0.0,0.5582,1769221923.7612255,28.57,2,7,0.0,0,0,0,12.58,15.0,0,1,1769222120.352,200.0,meta-llama/Llama-3.2-1B-Instruct,1769222120.352
1.0,0,1769221920.5608,0.0613,27,32,59,0.8564,0.0235,0.326,1.0,0.0,66.67,1.6672,-0.0824,0.0,0.5582,1769221924.3162992,100.0,2,7,0.0,0,0,0,12.59,15.0,0,1,1769222120.352,200.0,meta-llama/Llama-3.2-1B-Instruct,1769222120.352
1.0,0,1769221920.4731,0.1474,27,32,59,0.8589,0.0227,0.3311,1.0,0.0,75.0,1.6745,0.0063,0.0063,0.5582,1769221924.8564205,25.0,2,7,0.0,0,0,0,12.59,15.0,0,1,1769222120.352,200.0,meta-llama/Llama-3.2-1B-Instruct,1769222120.352
1.0,0,1769221920.4514,0.0476,27,32,59,0.9774,0.0241,0.3305,1.0,0.0,80.0,1.7964,0.025,0.025,0.5582,1769221925.3883746,20.0,2,7,0.0,0,0,0,12.58,15.0,0,1,1769222120.352,200.0,meta-llama/Llama-3.2-1B-Instruct,1769222120.352
1.0,0,1769221920.3727,0.0886,27,32,59,1.0141,0.027,0.328,1.0,0.0,83.33,1.8348,0.1027,0.1027,0.5582,1769221925.9078343,16.67,2,7,0.0,0,0,0,12.58,15.0,0,1,1769222120.352,200.0,meta-llama/Llama-3.2-1B-Instruct,1769222120.352
1.0,0,1769221920.5352,0.0845,27,32,59,1.1655,0.0246,0.0254,1.0,0.0,85.71,1.6711,0.25,0.25,0.5582,1769221926.4807565,33.33,2,7,0.0,0,0,0,12.59,15.0,0,80,1769221921.814,-4.142,meta-llama/Llama-3.2-1B-Instruct,"1769221921.814, 1769221921.826, 1769221921.839, 1769221921.851, 1769221921.863"
1.0,0,1769221920.8758,5.9088,27,0,27,,,,1.0,,,0.0713,4.9801,4.9801,5.5382,1769221926.8564637,25.0,2,8,0.038,6,0,0,13.75,15.0,0,80,1769221921.814,-4.142,meta-llama/Llama-3.2-1B-Instruct,"1769221921.814, 1769221921.826, 1769221921.839, 1769221921.851, 1769221921.863"
1.0,0,1769221920.8141,5.729,27,11,38,0.0783,0.0516,0.0516,1.0,0.0,87.5,0.3354,4.8073,4.8073,10.3455,1769221926.8795047,22.22,2,9,0.037,3,0,0,13.75,15.0,0,80,1769221921.814,-4.142,meta-llama/Llama-3.2-1B-Instruct,"1769221921.814, 1769221921.826, 1769221921.839, 1769221921.851, 1769221921.863"
1.0,0,1769221920.7736,5.7205,27,32,59,0.0969,0.0545,0.062,1.0,0.0,88.89,0.7698,4.8174,4.8174,19.9614,1769221927.2651582,20.0,2,11,0.037,3,0,0,13.75,15.0,0,80,1769221921.814,-4.142,meta-llama/Llama-3.2-1B-Instruct,"1769221921.814, 1769221921.826, 1769221921.839, 1769221921.851, 1769221921.863"
1.0,0,1769221920.8264,5.7424,27,32,59,0.0561,0.0474,0.0596,1.0,0.0,90.0,0.6956,4.7985,4.7985,19.9614,1769221927.265458,18.18,2,11,0.038,4,1,0,13.75,15.0,0,80,1769221921.814,-4.142,meta-llama/Llama-3.2-1B-Instruct,"1769221921.814, 1769221921.826, 1769221921.839, 1769221921.851, 1769221921.863"
