orig_slo,slo_type,insertion_time,wait_time,prompt_tok,out_tok,total_tok,ttft,tbt_p95,tbt_p99,tbt_slo,tbt_violation,tbt_success_rate_pct,ttlt,diff,violation,total_violation,finished_time,success_rate_pct,success_count,processed_count,kv,run_cnt,wait_cnt,swap_cnt,vram_used_gib,vram_total_gib,vq_id,vq_groups,head_deadline,slack,model,deadlines
1.0,0,1769372061.4552,0.0341,27,0,27,,,,1.0,,,3.0713,2.1054,2.1054,2.1054,1769372065.7236905,0.0,0,1,0.101,18,1,0,14.4,15.0,0,1,1769372259.122,200.0,meta-llama/Llama-3.2-1B-Instruct,1769372259.122
1.0,0,1769372060.9226,0.0339,27,12,39,1.7464,4.1953,4.1953,1.0,3.1953,0.0,6.2895,0.7803,0.7803,2.8857,1769372067.281489,0.0,0,2,0.058,12,0,0,13.79,15.0,0,1,1769372259.122,200.0,meta-llama/Llama-3.2-1B-Instruct,1769372259.122
1.0,0,1769372062.7568,2.991,27,21,48,1.1124,0.0504,0.0598,1.0,0.0,50.0,1.825,3.1034,3.1034,5.9892,1769372067.5761015,0.0,0,3,0.195,29,2,0,14.49,15.0,0,1,1769372259.122,200.0,meta-llama/Llama-3.2-1B-Instruct,1769372259.122
1.0,0,1769372062.6558,0.0379,27,30,57,4.1685,0.0668,0.4983,1.0,0.0,66.67,5.6387,3.2064,3.2064,9.1955,1769372068.338497,0.0,0,4,0.101,18,1,0,14.81,15.0,0,1,1769372259.122,200.0,meta-llama/Llama-3.2-1B-Instruct,1769372259.122
1.0,0,1769372059.2236,0.0741,27,32,59,0.5306,0.4963,7.0624,1.0,6.0624,50.0,9.06,-0.3953,0.0,14.1289,1769372068.358146,22.22,2,9,0.0,0,0,0,12.58,15.0,0,1,1769372259.122,200.0,meta-llama/Llama-3.2-1B-Instruct,1769372259.122
1.0,0,1769372061.8257,0.0329,27,32,59,2.6971,0.5002,2.3452,1.0,1.3452,40.0,6.4949,1.73,1.73,16.4367,1769372068.3677664,14.29,4,12,0.101,18,1,0,14.4,15.0,0,1,1769372259.122,200.0,meta-llama/Llama-3.2-1B-Instruct,1769372259.122
1.0,0,1769372059.8702,0.0271,27,32,59,0.5917,0.4987,6.4088,1.0,5.4088,33.33,8.4548,-0.3812,0.0,18.8551,1769372068.3716972,16.67,5,14,0.024,6,1,0,13.46,15.0,0,1,1769372259.122,200.0,meta-llama/Llama-3.2-1B-Instruct,1769372259.122
1.0,0,1769372061.2489,0.0316,27,32,59,3.2762,0.5046,2.3525,1.0,1.3525,28.57,7.0862,2.3078,2.3078,22.0652,1769372068.374098,33.33,5,16,0.101,18,1,0,14.4,15.0,0,1,1769372259.122,200.0,meta-llama/Llama-3.2-1B-Instruct,1769372259.122
1.0,0,1769372059.7652,0.0291,27,32,59,0.6936,0.5037,6.4241,1.0,5.4241,25.0,8.5768,-0.2772,0.0,22.0652,1769372068.3742676,35.71,5,16,0.0,0,0,0,13.46,15.0,0,1,1769372259.122,200.0,meta-llama/Llama-3.2-1B-Instruct,1769372259.122
1.0,0,1769372060.7014,0.0371,27,32,59,1.962,0.5016,4.1943,1.0,3.1943,22.22,7.6172,0.999,0.999,22.0652,1769372068.3753166,12.5,5,16,0.058,12,0,0,13.79,15.0,0,1,1769372259.122,200.0,meta-llama/Llama-3.2-1B-Instruct,1769372259.122
1.0,0,1769372061.3533,0.0324,27,32,59,3.1719,0.48,2.3386,1.0,1.3386,20.0,6.9645,2.2043,2.2043,22.0652,1769372068.3755653,0.0,5,16,0.101,18,1,0,14.4,15.0,0,1,1769372259.122,200.0,meta-llama/Llama-3.2-1B-Instruct,1769372259.122
1.0,0,1769372061.1404,0.0368,27,32,59,3.3816,0.4997,2.3401,1.0,1.3401,18.18,7.1912,2.4184,2.4184,22.0652,1769372068.3764908,30.77,5,16,0.058,12,0,0,14.4,15.0,0,1,1769372259.122,200.0,meta-llama/Llama-3.2-1B-Instruct,1769372259.122
1.0,0,1769372059.3302,0.0239,27,32,59,0.8029,0.4946,6.7528,1.0,5.7528,16.67,9.0114,-0.1732,0.0,22.0652,1769372068.3836975,36.36,5,16,0.0,0,0,0,13.45,15.0,0,1,1769372259.122,200.0,meta-llama/Llama-3.2-1B-Instruct,1769372259.122
1.0,0,1769372059.6546,0.0323,27,32,59,0.4684,0.4959,6.7516,1.0,5.7516,15.38,8.6744,-0.4994,0.0,22.0652,1769372068.3862872,30.0,6,17,0.0,0,0,0,13.46,15.0,0,1,1769372259.122,200.0,meta-llama/Llama-3.2-1B-Instruct,1769372259.122
1.0,0,1769372062.0706,0.0374,27,32,59,4.0677,0.5038,0.7267,1.0,0.0,21.43,6.2649,3.1051,3.1051,22.0652,1769372068.3865225,33.33,6,17,0.101,18,1,0,14.4,15.0,0,1,1769372259.122,200.0,meta-llama/Llama-3.2-1B-Instruct,1769372259.122
1.0,0,1769372060.1018,0.0322,27,32,59,1.0727,0.4983,5.7045,1.0,4.7045,20.0,8.2396,0.105,0.105,22.0652,1769372068.3868399,31.25,6,17,0.024,6,1,0,13.46,15.0,0,1,1769372259.122,200.0,meta-llama/Llama-3.2-1B-Instruct,1769372259.122
