line_idx,algo,calls,avg_ms,max_ms,vq_id,vq_groups,head_deadline,slack,model,deadlines
27,timsort,1,0.051,0.051,0,173,1769425515.953,-2.843,meta-llama/Llama-3.2-1B-Instruct,
30,timsort,206,0.133,1.143,0,383,1769425515.953,-7.858,meta-llama/Llama-3.2-1B-Instruct,
33,timsort,420,0.207,1.143,0,383,1769425515.953,-7.858,meta-llama/Llama-3.2-1B-Instruct,"1769425515.953, 1769425515.993, 1769425516.006, 1769425516.019, 1769425516.031"
45,timsort,431,0.218,1.143,0,383,1769425515.953,-7.858,meta-llama/Llama-3.2-1B-Instruct,"1769425515.953, 1769425515.993, 1769425516.006, 1769425516.019, 1769425516.031"
57,timsort,447,0.23,1.143,0,432,1769425516.398,-21.742,meta-llama/Llama-3.2-1B-Instruct,
110,timsort,497,0.273,1.143,0,440,1769425518.345,-24.911,meta-llama/Llama-3.2-1B-Instruct,
158,timsort,543,0.308,1.143,0,440,1769425521.225,-27.122,meta-llama/Llama-3.2-1B-Instruct,
213,timsort,595,0.342,1.143,0,440,1769425523.288,-30.114,meta-llama/Llama-3.2-1B-Instruct,
268,timsort,646,0.372,1.143,0,440,1769425525.341,-33.183,meta-llama/Llama-3.2-1B-Instruct,
352,timsort,711,0.402,1.143,0,440,1769425548.521,-15.098,meta-llama/Llama-3.2-1B-Instruct,
429,timsort,782,0.432,1.639,0,440,1769425562.766,-5.863,meta-llama/Llama-3.2-1B-Instruct,
502,timsort,852,0.452,1.639,0,440,1769425574.019,0.342,meta-llama/Llama-3.2-1B-Instruct,
527,timsort,971,0.47,1.639,0,505,1769425577.575,-1.128,meta-llama/Llama-3.2-1B-Instruct,
552,timsort,1075,0.488,1.639,0,598,1769425578.372,-5.379,meta-llama/Llama-3.2-1B-Instruct,
614,timsort,1131,0.512,1.639,0,598,1769425582.324,-6.437,meta-llama/Llama-3.2-1B-Instruct,
671,timsort,1186,0.536,1.639,0,598,1769425592.141,-1.666,meta-llama/Llama-3.2-1B-Instruct,
718,timsort,1252,0.556,1.866,0,608,1769425599.225,0.403,meta-llama/Llama-3.2-1B-Instruct,
751,timsort,1342,0.583,1.866,0,671,1769425601.929,-1.959,meta-llama/Llama-3.2-1B-Instruct,
796,timsort,1396,0.61,11.326,0,681,1769425609.273,0.351,meta-llama/Llama-3.2-1B-Instruct,
832,timsort,1469,0.636,11.326,0,718,1769425613.876,-0.056,meta-llama/Llama-3.2-1B-Instruct,
871,timsort,1533,0.659,11.326,0,750,1769425618.513,-0.473,meta-llama/Llama-3.2-1B-Instruct,
905,timsort,1603,0.686,11.326,0,786,1769425624.15,0.131,meta-llama/Llama-3.2-1B-Instruct,
940,timsort,1673,0.716,11.326,0,824,1769425628.765,-0.293,meta-llama/Llama-3.2-1B-Instruct,
984,timsort,1742,0.744,11.326,0,855,1769425633.438,-0.625,meta-llama/Llama-3.2-1B-Instruct,
1013,timsort,1848,0.767,11.326,0,933,1769425637.009,-2.08,meta-llama/Llama-3.2-1B-Instruct,
1052,timsort,1926,0.793,11.326,0,974,1769425640.544,-3.595,meta-llama/Llama-3.2-1B-Instruct,
