line_idx,algo,calls,avg_ms,max_ms,vq_id,vq_groups,head_deadline,slack,model,deadlines
27,timsort,1,0.045,0.045,0,165,1769400513.072,-2.551,meta-llama/Llama-3.2-1B-Instruct,
30,timsort,226,0.136,0.631,0,165,1769400513.072,-2.551,meta-llama/Llama-3.2-1B-Instruct,"1769400513.072, 1769400513.114, 1769400513.164, 1769400513.228, 1769400513.241"
53,timsort,314,0.782,189.202,0,315,1769400513.072,-17.877,meta-llama/Llama-3.2-1B-Instruct,
67,timsort,425,0.684,189.202,0,395,1769400514.348,-21.635,meta-llama/Llama-3.2-1B-Instruct,
92,timsort,514,0.672,189.202,0,463,1769400515.293,-25.75,meta-llama/Llama-3.2-1B-Instruct,
114,timsort,604,0.683,189.202,0,533,1769400516.236,-29.829,meta-llama/Llama-3.2-1B-Instruct,
135,timsort,689,0.701,189.202,0,598,1769400517.412,-33.656,meta-llama/Llama-3.2-1B-Instruct,
169,timsort,778,0.728,189.202,0,666,1769400518.431,-37.638,meta-llama/Llama-3.2-1B-Instruct,
195,timsort,868,0.76,189.202,0,725,1769400519.93,-41.149,meta-llama/Llama-3.2-1B-Instruct,
225,timsort,957,0.797,189.202,0,790,1769400533.118,-32.975,meta-llama/Llama-3.2-1B-Instruct,
249,timsort,1044,0.838,189.202,0,855,1769400534.6,-36.495,meta-llama/Llama-3.2-1B-Instruct,
322,timsort,1104,0.872,189.202,0,871,1769400539.477,-36.654,meta-llama/Llama-3.2-1B-Instruct,
381,timsort,1169,0.904,189.202,0,871,1769400547.112,-34.1,meta-llama/Llama-3.2-1B-Instruct,
452,timsort,1235,0.935,189.202,0,871,1769400555.054,-31.213,meta-llama/Llama-3.2-1B-Instruct,
519,timsort,1299,0.96,189.202,0,871,1769400562.004,-29.272,meta-llama/Llama-3.2-1B-Instruct,
582,timsort,1362,0.984,189.202,0,871,1769400568.709,-27.688,meta-llama/Llama-3.2-1B-Instruct,
678,timsort,1430,1.009,189.202,0,871,1769400579.592,-21.816,meta-llama/Llama-3.2-1B-Instruct,
755,timsort,1506,1.031,189.202,0,871,1769400590.612,-15.84,meta-llama/Llama-3.2-1B-Instruct,
824,timsort,1581,1.047,189.202,0,871,1769400601.94,-9.535,meta-llama/Llama-3.2-1B-Instruct,
910,timsort,1653,1.064,189.202,0,871,1769400612.228,-4.297,meta-llama/Llama-3.2-1B-Instruct,
987,timsort,1727,1.08,189.202,0,871,1769400622.48,0.909,meta-llama/Llama-3.2-1B-Instruct,
996,timsort,1855,1.081,189.202,0,947,1769400624.856,-1.742,meta-llama/Llama-3.2-1B-Instruct,
1018,timsort,1971,1.093,189.202,0,1044,1769400626.397,-5.234,meta-llama/Llama-3.2-1B-Instruct,
1028,timsort,2088,1.109,189.202,0,1154,1769400627.038,-9.593,meta-llama/Llama-3.2-1B-Instruct,
1040,timsort,2184,1.141,189.202,0,1241,1769400627.528,-14.125,meta-llama/Llama-3.2-1B-Instruct,
1052,timsort,2280,1.175,189.202,0,1328,1769400628.352,-18.315,meta-llama/Llama-3.2-1B-Instruct,
1064,timsort,2371,1.209,189.202,0,1411,1769400628.903,-22.797,meta-llama/Llama-3.2-1B-Instruct,
1075,timsort,2460,1.243,189.202,0,1491,1769400629.473,-27.265,meta-llama/Llama-3.2-1B-Instruct,
1086,timsort,2547,1.278,189.202,0,1570,1769400630.368,-31.386,meta-llama/Llama-3.2-1B-Instruct,
1097,timsort,2642,1.318,189.202,0,1657,1769400631.421,-35.363,meta-llama/Llama-3.2-1B-Instruct,
