line_idx,algo,calls,avg_ms,max_ms,vq_id,vq_groups,head_deadline,slack,model,deadlines
29,timsort,1,0.032,0.032,0,150,1769449872.756,-2.072,meta-llama/Llama-3.2-1B-Instruct,
32,timsort,228,0.129,1.083,0,386,1769449872.756,-7.08,meta-llama/Llama-3.2-1B-Instruct,
35,timsort,471,0.215,1.432,0,622,1769449872.756,-12.092,meta-llama/Llama-3.2-1B-Instruct,
38,timsort,637,0.287,1.432,0,622,1769449872.756,-12.092,meta-llama/Llama-3.2-1B-Instruct,"1769449872.756, 1769449872.768, 1769449872.816, 1769449872.855, 1769449872.868"
73,timsort,708,0.352,1.51,0,725,1769449874.286,-20.574,meta-llama/Llama-3.2-1B-Instruct,
76,timsort,798,0.418,1.572,0,816,1769449874.286,-25.577,meta-llama/Llama-3.2-1B-Instruct,
79,timsort,899,0.488,1.765,0,925,1769449874.286,-30.582,meta-llama/Llama-3.2-1B-Instruct,
82,timsort,1005,0.555,1.956,0,925,1769449874.286,-30.582,meta-llama/Llama-3.2-1B-Instruct,"1769449874.286, 1769449874.336, 1769449874.386, 1769449874.397, 1769449874.408"
86,timsort,1098,0.631,10.956,0,1111,1769449874.336,-40.552,meta-llama/Llama-3.2-1B-Instruct,
89,timsort,1197,0.705,10.956,0,1207,1769449874.336,-45.592,meta-llama/Llama-3.2-1B-Instruct,
92,timsort,1294,0.776,10.956,0,1307,1769449874.336,-50.615,meta-llama/Llama-3.2-1B-Instruct,
95,timsort,1393,0.846,10.956,0,1407,1769449874.336,-55.639,meta-llama/Llama-3.2-1B-Instruct,
98,timsort,1488,0.91,10.956,0,1496,1769449874.336,-60.679,meta-llama/Llama-3.2-1B-Instruct,
104,timsort,1582,0.981,10.956,0,1496,1769449874.336,-60.679,meta-llama/Llama-3.2-1B-Instruct,"1769449874.336, 1769449874.386, 1769449874.397, 1769449874.408, 1769449874.419"
108,timsort,1688,1.056,10.956,0,1701,1769449874.397,-70.677,meta-llama/Llama-3.2-1B-Instruct,
111,timsort,1791,1.125,10.956,0,1800,1769449874.397,-75.721,meta-llama/Llama-3.2-1B-Instruct,
114,timsort,1884,1.204,11.917,0,1800,1769449874.397,-75.721,meta-llama/Llama-3.2-1B-Instruct,"1769449874.397, 1769449874.408, 1769449874.419, 1769449874.548, 1769449874.588"
138,timsort,1992,1.265,11.917,0,1880,1769449874.639,-80.482,meta-llama/Llama-3.2-1B-Instruct,"1769449874.639, 1769449874.676, 1769449874.742, 1769449874.792, 1769449874.806"
260,timsort,2064,1.309,14.561,0,1974,1769449875.666,-85.104,meta-llama/Llama-3.2-1B-Instruct,"1769449875.666, 1769449875.732, 1769449875.879, 1769449875.893, 1769449875.906"
320,timsort,2120,1.356,14.561,0,1974,1769449878.409,-87.444,meta-llama/Llama-3.2-1B-Instruct,"1769449878.409, 1769449878.423, 1769449878.440, 1769449878.479, 1769449878.493"
388,timsort,2181,1.413,14.561,0,1974,1769449880.509,-90.359,meta-llama/Llama-3.2-1B-Instruct,"1769449880.509, 1769449880.522, 1769449880.562, 1769449880.626, 1769449880.640"
451,timsort,2239,1.463,14.561,0,1974,1769449883.139,-92.777,meta-llama/Llama-3.2-1B-Instruct,"1769449883.139, 1769449883.181, 1769449883.195, 1769449883.231, 1769449883.301"
519,timsort,2302,1.522,14.561,0,1974,1769449885.723,-95.25,meta-llama/Llama-3.2-1B-Instruct,"1769449885.723, 1769449885.736, 1769449885.777, 1769449885.790, 1769449885.969"
595,timsort,2369,1.57,14.561,0,1974,1769449894.987,-91.081,meta-llama/Llama-3.2-1B-Instruct,"1769449894.987, 1769449895.029, 1769449895.179, 1769449895.503, 1769449895.613"
669,timsort,2441,1.617,14.561,0,1974,1769449902.879,-88.208,meta-llama/Llama-3.2-1B-Instruct,"1769449902.879, 1769449902.992, 1769449903.178, 1769449903.207, 1769449903.331"
744,timsort,2513,1.665,14.561,0,1974,1769449910.323,-85.788,meta-llama/Llama-3.2-1B-Instruct,"1769449910.323, 1769449910.348, 1769449910.374, 1769449910.554, 1769449910.597"
818,timsort,2584,1.704,14.561,0,1974,1769449916.947,-84.189,meta-llama/Llama-3.2-1B-Instruct,"1769449916.947, 1769449917.096, 1769449917.467, 1769449917.563, 1769449917.673"
892,timsort,2655,1.75,14.561,0,1974,1769449923.887,-82.296,meta-llama/Llama-3.2-1B-Instruct,"1769449923.887, 1769449923.966, 1769449924.044, 1769449924.140, 1769449924.362"
965,timsort,2725,1.788,14.561,0,1974,1769449931.647,-79.542,meta-llama/Llama-3.2-1B-Instruct,"1769449931.647, 1769449931.696, 1769449931.726, 1769449931.770, 1769449931.856"
1040,timsort,2796,1.827,14.561,0,1974,1769449939.661,-76.54,meta-llama/Llama-3.2-1B-Instruct,"1769449939.661, 1769449939.707, 1769449939.736, 1769449939.788, 1769449939.830"
1117,timsort,2871,1.866,14.561,0,1974,1769449946.835,-74.383,meta-llama/Llama-3.2-1B-Instruct,"1769449946.835, 1769449947.019, 1769449947.108, 1769449947.159, 1769449947.236"
1189,timsort,2941,1.9,14.561,0,1974,1769449954.713,-71.512,meta-llama/Llama-3.2-1B-Instruct,"1769449954.713, 1769449954.797, 1769449954.983, 1769449955.015, 1769449955.127"
1269,timsort,3012,1.934,14.561,0,1974,1769449961.972,-69.306,meta-llama/Llama-3.2-1B-Instruct,"1769449961.972, 1769449962.055, 1769449962.116, 1769449962.294, 1769449962.373"
1343,timsort,3084,1.965,14.561,0,1974,1769449973.846,-62.454,meta-llama/Llama-3.2-1B-Instruct,"1769449973.846, 1769449973.923, 1769449973.976, 1769449974.048, 1769449974.125"
1419,timsort,3156,1.997,14.561,0,1974,1769449984.295,-57.045,meta-llama/Llama-3.2-1B-Instruct,"1769449984.295, 1769449984.856, 1769449985.198, 1769449985.820, 1769449986.130"
1496,timsort,3229,2.029,14.561,0,1974,1769449996.18,-50.217,meta-llama/Llama-3.2-1B-Instruct,"1769449996.180, 1769449996.241, 1769449996.304, 1769449996.344, 1769449996.427"
1567,timsort,3297,2.052,14.561,0,1974,1769450005.626,-45.778,meta-llama/Llama-3.2-1B-Instruct,"1769450005.626, 1769450005.692, 1769450005.759, 1769450005.795, 1769450005.863"
1644,timsort,3370,2.079,14.561,0,1974,1769450015.672,-40.769,meta-llama/Llama-3.2-1B-Instruct,"1769450015.672, 1769450015.747, 1769450015.832, 1769450015.959, 1769450016.112"
1716,timsort,3440,2.103,14.561,0,1974,1769450015.672,-40.769,meta-llama/Llama-3.2-1B-Instruct,"1769450024.720, 1769450024.884, 1769450024.933, 1769450024.981, 1769450025.120"
1790,timsort,3512,2.125,14.561,0,1974,1769450034.975,-31.564,meta-llama/Llama-3.2-1B-Instruct,"1769450034.975, 1769450035.033, 1769450035.346, 1769450035.394, 1769450035.529"
1861,timsort,3583,2.151,14.561,0,1974,1769450034.975,-31.564,meta-llama/Llama-3.2-1B-Instruct,"1769450044.782, 1769450045.311, 1769450045.375, 1769450045.523, 1769450045.671"
1959,timsort,3655,2.172,14.561,0,1974,1769450055.269,-21.343,meta-llama/Llama-3.2-1B-Instruct,"1769450055.269, 1769450055.329, 1769450055.402, 1769450055.540, 1769450055.614"
2038,timsort,3727,2.198,14.561,0,1974,1769450066.112,-15.527,meta-llama/Llama-3.2-1B-Instruct,"1769450066.112, 1769450066.331, 1769450066.535, 1769450066.978, 1769450067.201"
2054,timsort,3841,2.214,14.561,0,2099,1769450074.007,-17.672,meta-llama/Llama-3.2-1B-Instruct,
2057,timsort,3986,2.214,14.561,0,2213,1769450074.007,-22.687,meta-llama/Llama-3.2-1B-Instruct,
2062,timsort,4093,2.224,14.561,0,2213,1769450074.007,-22.687,meta-llama/Llama-3.2-1B-Instruct,"1769450074.007, 1769450074.046, 1769450074.058, 1769450074.070, 1769450074.111"
2090,timsort,4170,2.278,53.237,0,2358,1769450074.69,-32.068,meta-llama/Llama-3.2-1B-Instruct,
2093,timsort,4257,2.304,53.237,0,2452,1769450074.69,-37.084,meta-llama/Llama-3.2-1B-Instruct,
2096,timsort,4348,2.333,53.237,0,2540,1769450074.69,-42.098,meta-llama/Llama-3.2-1B-Instruct,
2099,timsort,4433,2.36,53.237,0,2540,1769450074.69,-42.098,meta-llama/Llama-3.2-1B-Instruct,"1769450074.690, 1769450074.718, 1769450074.756, 1769450074.783, 1769450074.827"
2102,timsort,4520,2.402,53.237,0,2540,1769450074.69,-42.098,meta-llama/Llama-3.2-1B-Instruct,"1769450074.690, 1769450074.718, 1769450074.756, 1769450074.783, 1769450074.827"
2106,timsort,4606,2.448,53.237,0,2714,1769450074.718,-52.085,meta-llama/Llama-3.2-1B-Instruct,"1769450074.718, 1769450074.756, 1769450074.783, 1769450074.827, 1769450074.864"
2110,timsort,4674,2.583,442.392,0,2859,1769450074.756,-62.106,meta-llama/Llama-3.2-1B-Instruct,
2113,timsort,4756,2.635,442.392,0,2941,1769450074.756,-67.135,meta-llama/Llama-3.2-1B-Instruct,
2116,timsort,4837,2.689,442.392,0,3029,1769450074.756,-72.148,meta-llama/Llama-3.2-1B-Instruct,
2119,timsort,4926,2.744,442.392,0,3029,1769450074.756,-72.148,meta-llama/Llama-3.2-1B-Instruct,"1769450074.756, 1769450074.783, 1769450074.827, 1769450074.864, 1769450074.936"
2123,timsort,5019,2.801,442.392,0,3208,1769450074.783,-82.176,meta-llama/Llama-3.2-1B-Instruct,
2126,timsort,5105,2.853,442.392,0,3292,1769450074.783,-87.182,meta-llama/Llama-3.2-1B-Instruct,
2129,timsort,5190,2.911,442.392,0,3373,1769450074.783,-92.21,meta-llama/Llama-3.2-1B-Instruct,
2133,timsort,5270,3.033,442.392,0,3373,1769450074.783,-92.21,meta-llama/Llama-3.2-1B-Instruct,"1769450074.783, 1769450074.827, 1769450074.864, 1769450074.936, 1769450074.978"
2162,timsort,5396,3.077,442.392,0,3593,1769450075.919,-101.125,meta-llama/Llama-3.2-1B-Instruct,
