orig_slo,slo_type,insertion_time,wait_time,prompt_tok,out_tok,total_tok,ttft,tbt_p95,tbt_p99,tbt_slo,tbt_violation,tbt_success_rate_pct,ttlt,diff,violation,total_violation,finished_time,success_rate_pct,success_count,processed_count,kv,run_cnt,wait_cnt,swap_cnt,vram_used_gib,vram_total_gib,vq_id,vq_groups,head_deadline,slack,model,deadlines
1.0,0,1769452848.8254,0.0757,27,32,59,1.473,0.0403,3.0245,1.0,2.0245,0.0,5.4064,0.5487,0.5487,37.2765,1769452855.1664214,0.0,0,12,0.0,0,0,0,6.29,15.0,0,214,1769452850.286,-3.539,meta-llama/Llama-3.2-1B-Instruct,"1769452850.286, 1769452850.307, 1769452850.387, 1769452850.429, 1769452850.552"
1.0,0,1769452848.8804,0.0581,27,32,59,4.4553,0.0372,0.039,1.0,0.0,50.0,5.3934,3.5134,3.5134,37.2765,1769452855.7993975,0.0,0,12,0.0,0,0,0,6.29,15.0,0,214,1769452850.286,-3.539,meta-llama/Llama-3.2-1B-Instruct,"1769452850.286, 1769452850.307, 1769452850.387, 1769452850.429, 1769452850.552"
1.0,0,1769452848.8011,0.0987,27,32,59,4.4858,0.0372,0.04,1.0,0.0,66.67,5.438,3.5845,3.5845,37.2765,1769452857.5194767,0.0,0,12,0.0,0,0,0,6.29,15.0,0,214,1769452850.286,-3.539,meta-llama/Llama-3.2-1B-Instruct,"1769452850.286, 1769452850.307, 1769452850.387, 1769452850.429, 1769452850.552"
1.0,0,1769452848.9481,0.0669,27,32,59,4.3771,0.0422,0.0451,1.0,0.0,75.0,5.324,3.4441,3.4441,37.2765,1769452857.5619557,0.0,0,12,0.0,0,0,0,6.29,15.0,0,214,1769452850.286,-3.539,meta-llama/Llama-3.2-1B-Instruct,"1769452850.286, 1769452850.307, 1769452850.387, 1769452850.429, 1769452850.552"
1.0,0,1769452848.869,0.0415,27,32,59,4.4857,0.0369,0.0382,1.0,0.0,80.0,5.4218,3.5272,3.5272,37.2765,1769452859.464483,0.0,0,12,0.0,0,0,0,6.29,15.0,0,214,1769452850.286,-3.539,meta-llama/Llama-3.2-1B-Instruct,"1769452850.286, 1769452850.307, 1769452850.387, 1769452850.429, 1769452850.552"
1.0,0,1769452849.2721,0.0334,27,32,59,4.0955,0.0368,0.038,1.0,0.0,83.33,5.0328,3.129,3.129,37.2765,1769452859.4914308,0.0,0,12,0.0,0,0,0,6.29,15.0,0,214,1769452850.286,-3.539,meta-llama/Llama-3.2-1B-Instruct,"1769452850.286, 1769452850.307, 1769452850.387, 1769452850.429, 1769452850.552"
1.0,0,1769452848.8936,0.0933,27,32,59,4.4027,0.0436,0.0461,1.0,0.0,85.71,5.358,3.496,3.496,37.2765,1769452859.621647,0.0,0,12,0.0,0,0,0,6.29,15.0,0,214,1769452850.286,-3.539,meta-llama/Llama-3.2-1B-Instruct,"1769452850.286, 1769452850.307, 1769452850.387, 1769452850.429, 1769452850.552"
1.0,0,1769452849.2536,0.0344,27,32,59,4.0966,0.0429,0.0512,1.0,0.0,87.5,5.0455,3.1311,3.1311,37.2765,1769452860.1988254,0.0,0,12,0.0,0,0,0,6.29,15.0,0,214,1769452850.286,-3.539,meta-llama/Llama-3.2-1B-Instruct,"1769452850.286, 1769452850.307, 1769452850.387, 1769452850.429, 1769452850.552"
1.0,0,1769452849.1745,0.0307,27,32,59,4.1823,0.0381,0.0421,1.0,0.0,88.89,5.1345,3.213,3.213,37.2765,1769452860.2265902,0.0,0,12,0.0,0,0,0,6.29,15.0,0,214,1769452850.286,-3.539,meta-llama/Llama-3.2-1B-Instruct,"1769452850.286, 1769452850.307, 1769452850.387, 1769452850.429, 1769452850.552"
1.0,0,1769452849.2209,0.036,27,32,59,4.1296,0.0408,0.0442,1.0,0.0,90.0,5.0772,3.1656,3.1656,37.2765,1769452860.3640084,0.0,0,12,0.0,0,0,0,6.29,15.0,0,214,1769452850.286,-3.539,meta-llama/Llama-3.2-1B-Instruct,"1769452850.286, 1769452850.307, 1769452850.387, 1769452850.429, 1769452850.552"
