line_idx,algo,calls,avg_ms,max_ms,vq_id,vq_groups,head_deadline,slack,model,deadlines
33,timsort,1,0.038,0.038,0,1,1769445844.257,200.0,meta-llama/Llama-3.2-1B-Instruct,1769445844.257
83,timsort,190,0.125,1.117,0,337,1769445647.447,-6.835,meta-llama/Llama-3.2-1B-Instruct,
86,timsort,443,0.215,1.117,0,337,1769445647.447,-6.835,meta-llama/Llama-3.2-1B-Instruct,"1769445647.447, 1769445647.497, 1769445647.548, 1769445647.562, 1769445647.575"
179,timsort,578,0.296,4.961,0,544,1769445647.605,-11.944,meta-llama/Llama-3.2-1B-Instruct,"1769445647.605, 1769445647.677, 1769445647.699, 1769445647.716, 1769445647.729"
325,timsort,651,0.357,4.961,0,544,1769445647.605,-11.944,meta-llama/Llama-3.2-1B-Instruct,"1769445651.910, 1769445651.949, 1769445652.034, 1769445652.048, 1769445652.060"
468,timsort,719,0.406,4.961,0,544,1769445654.354,-15.214,meta-llama/Llama-3.2-1B-Instruct,"1769445654.354, 1769445654.368, 1769445654.434, 1769445654.448, 1769445654.563"
585,timsort,775,0.444,4.961,0,544,1769445656.644,-18.006,meta-llama/Llama-3.2-1B-Instruct,"1769445656.644, 1769445656.725, 1769445656.739, 1769445656.752, 1769445656.823"
724,timsort,844,0.484,4.961,0,544,1769445659.975,-19.749,meta-llama/Llama-3.2-1B-Instruct,"1769445659.975, 1769445660.010, 1769445660.743, 1769445660.928, 1769445661.443"
859,timsort,910,0.518,4.961,0,544,1769445670.482,-14.29,meta-llama/Llama-3.2-1B-Instruct,"1769445670.482, 1769445670.869, 1769445670.942, 1769445671.003, 1769445671.037"
982,timsort,970,0.547,4.961,0,544,1769445681.01,-9.092,meta-llama/Llama-3.2-1B-Instruct,"1769445681.010, 1769445681.263, 1769445681.324, 1769445681.380, 1769445681.460"
1120,timsort,1038,0.575,4.961,0,544,1769445691.173,-3.936,meta-llama/Llama-3.2-1B-Instruct,"1769445691.173, 1769445691.308, 1769445691.442, 1769445691.500, 1769445691.568"
1235,timsort,1107,0.622,28.566,0,544,1769445846.769,146.659,meta-llama/Llama-3.2-1B-Instruct,"1769445846.769, 1769445846.809, 1769445846.833, 1769445846.859, 1769445846.886"
1306,timsort,1166,0.642,28.566,0,544,1769445848.605,142.684,meta-llama/Llama-3.2-1B-Instruct,"1769445848.605, 1769445848.635, 1769445848.673, 1769445848.699, 1769445848.734"
1386,timsort,1254,0.664,28.566,0,583,1769445711.347,0.407,meta-llama/Llama-3.2-1B-Instruct,"1769445711.347, 1769445711.394, 1769445711.482, 1769445711.531, 1769445711.681"
1466,timsort,1339,0.687,28.566,0,633,1769445715.183,-0.811,meta-llama/Llama-3.2-1B-Instruct,"1769445715.183, 1769445715.213, 1769445715.311, 1769445715.647, 1769445715.698"
1545,timsort,1425,0.715,28.566,0,679,1769445719.782,-1.232,meta-llama/Llama-3.2-1B-Instruct,"1769445719.782, 1769445719.983, 1769445720.164, 1769445720.429, 1769445720.502"
1630,timsort,1501,0.749,28.566,0,719,1769445724.714,-1.329,meta-llama/Llama-3.2-1B-Instruct,"1769445724.714, 1769445724.759, 1769445724.789, 1769445724.832, 1769445724.918"
1704,timsort,1761,0.784,28.566,0,1053,1769445730.458,-10.649,meta-llama/Llama-3.2-1B-Instruct,
1707,timsort,1898,0.809,28.566,0,1053,1769445730.458,-10.649,meta-llama/Llama-3.2-1B-Instruct,"1769445730.458, 1769445730.717, 1769445730.745, 1769445730.770, 1769445730.884"
1859,timsort,1961,0.841,28.566,0,1084,1769445734.365,-12.389,meta-llama/Llama-3.2-1B-Instruct,"1769445734.365, 1769445734.422, 1769445734.445, 1769445734.504, 1769445734.530"
1990,timsort,2028,0.873,28.566,0,1084,1769445739.492,-12.265,meta-llama/Llama-3.2-1B-Instruct,"1769445739.492, 1769445739.519, 1769445739.711, 1769445739.815, 1769445739.884"
2123,timsort,2093,0.907,28.566,0,1084,1769445745.394,-11.419,meta-llama/Llama-3.2-1B-Instruct,"1769445745.394, 1769445745.476, 1769445745.695, 1769445745.783, 1769445745.818"
2257,timsort,2160,0.939,28.566,0,1084,1769445755.482,-6.346,meta-llama/Llama-3.2-1B-Instruct,"1769445755.482, 1769445755.892, 1769445756.233, 1769445756.387, 1769445756.443"
2370,timsort,2216,0.965,28.566,0,1084,1769445764.114,-2.744,meta-llama/Llama-3.2-1B-Instruct,"1769445764.114, 1769445764.185, 1769445765.381, 1769445765.459, 1769445765.592"
2505,timsort,2285,0.993,28.566,0,1084,1769445773.005,0.997,meta-llama/Llama-3.2-1B-Instruct,"1769445773.005, 1769445849.343, 1769445849.368, 1769445849.391, 1769445849.429"
2559,timsort,2367,1.021,28.566,0,1110,1769445776.818,-0.224,meta-llama/Llama-3.2-1B-Instruct,"1769445776.818, 1769445776.847, 1769445776.951, 1769445777.046, 1769445777.136"
2596,timsort,2461,1.05,28.566,0,1189,1769445778.273,-3.8,meta-llama/Llama-3.2-1B-Instruct,"1769445778.273, 1769445778.316, 1769445778.654, 1769445778.681, 1769445778.888"
2638,timsort,2549,1.082,28.566,0,1257,1769445780.197,-6.901,meta-llama/Llama-3.2-1B-Instruct,"1769445780.197, 1769445780.298, 1769445780.379, 1769445780.437, 1769445780.557"
2690,timsort,2637,1.117,28.566,0,1321,1769445783.168,-8.944,meta-llama/Llama-3.2-1B-Instruct,"1769445783.168, 1769445783.352, 1769445783.477, 1769445784.029, 1769445784.262"
2736,timsort,2723,1.153,28.566,0,1378,1769445786.403,-10.743,meta-llama/Llama-3.2-1B-Instruct,"1769445786.403, 1769445786.461, 1769445786.883, 1769445787.005, 1769445787.060"
2803,timsort,2795,1.182,28.566,0,1428,1769445789.833,-12.324,meta-llama/Llama-3.2-1B-Instruct,"1769445789.833, 1769445789.951, 1769445790.093, 1769445790.437, 1769445790.487"
2883,timsort,2876,1.225,28.566,0,1469,1769445793.761,-13.469,meta-llama/Llama-3.2-1B-Instruct,"1769445793.761, 1769445793.790, 1769445793.841, 1769445793.959, 1769445794.319"
2961,timsort,2958,1.262,28.566,0,1515,1769445798.222,-14.027,meta-llama/Llama-3.2-1B-Instruct,"1769445798.222, 1769445798.299, 1769445798.328, 1769445798.362, 1769445798.521"
3024,timsort,3057,1.294,28.566,0,1695,1769445804.457,-17.827,meta-llama/Llama-3.2-1B-Instruct,
3027,timsort,3195,1.319,28.566,0,1695,1769445804.457,-17.827,meta-llama/Llama-3.2-1B-Instruct,"1769445804.457, 1769445804.617, 1769445804.734, 1769445804.791, 1769445804.845"
3060,timsort,3311,1.347,28.566,0,1814,1769445805.129,-22.186,meta-llama/Llama-3.2-1B-Instruct,"1769445805.129, 1769445805.179, 1769445805.344, 1769445805.410, 1769445805.540"
3194,timsort,3388,1.386,28.566,0,1843,1769445810.477,-21.898,meta-llama/Llama-3.2-1B-Instruct,"1769445810.477, 1769445810.521, 1769445810.617, 1769445810.974, 1769445811.029"
3318,timsort,3448,1.429,28.566,0,1843,1769445818.564,-19.907,meta-llama/Llama-3.2-1B-Instruct,
3453,timsort,3514,1.461,28.566,0,1843,1769445823.214,-20.261,meta-llama/Llama-3.2-1B-Instruct,
3591,timsort,3581,1.502,28.566,0,1843,1769445828.941,-19.597,meta-llama/Llama-3.2-1B-Instruct,
3725,timsort,3647,1.542,28.566,0,1843,1769445840.193,-13.376,meta-llama/Llama-3.2-1B-Instruct,
3834,timsort,3701,1.568,28.566,0,1843,1769445848.442,-10.178,meta-llama/Llama-3.2-1B-Instruct,
3901,timsort,3772,1.602,28.566,0,1855,1769445852.026,-11.64,meta-llama/Llama-3.2-1B-Instruct,
3908,timsort,3875,1.637,28.566,0,1954,1769445852.225,-16.472,meta-llama/Llama-3.2-1B-Instruct,
3912,timsort,3973,1.673,28.566,0,2051,1769445852.256,-21.443,meta-llama/Llama-3.2-1B-Instruct,
3916,timsort,4051,1.708,28.566,0,2128,1769445852.324,-26.404,meta-llama/Llama-3.2-1B-Instruct,
3919,timsort,4144,1.745,28.566,0,2221,1769445852.324,-31.433,meta-llama/Llama-3.2-1B-Instruct,
3923,timsort,4238,1.787,28.566,0,2314,1769445852.335,-36.454,meta-llama/Llama-3.2-1B-Instruct,
3929,timsort,4339,1.832,28.566,0,2413,1769445852.421,-41.382,meta-llama/Llama-3.2-1B-Instruct,
