orig_slo,slo_type,insertion_time,wait_time,prompt_tok,out_tok,total_tok,ttft,tbt_p95,tbt_p99,tbt_slo,tbt_violation,tbt_success_rate_pct,ttlt,diff,violation,total_violation,finished_time,success_rate_pct,success_count,processed_count,kv,run_cnt,wait_cnt,swap_cnt,vram_used_gib,vram_total_gib,vq_id,vq_groups,head_deadline,slack,model,deadlines
200.0,1,1769447782.9771,0.0297,2664,0,2664,,,,200.0,,,7.7866,-192.1837,0.0,0.0,1769447791.6429741,100.0,1,1,0.0,0,0,0,6.35,15.0,0,183,1769447784.161,-2.794,meta-llama/Llama-3.2-1B-Instruct,"1769447784.161, 1769447784.226, 1769447784.237, 1769447784.252, 1769447784.265"
200.0,1,1769447783.0261,0.0348,2906,24,2930,7.7386,0.0983,0.4665,200.0,0.0,100.0,8.7744,-191.1908,0.0,0.0,1769447791.8462613,100.0,2,2,0.0,0,0,0,6.35,15.0,0,183,1769447784.161,-2.794,meta-llama/Llama-3.2-1B-Instruct,"1769447784.161, 1769447784.226, 1769447784.237, 1769447784.252, 1769447784.265"
200.0,1,1769447782.7085,0.0447,3025,91,3116,8.0422,0.0487,0.6176,200.0,0.0,100.0,10.7652,-189.19,0.0,0.0,1769447793.545135,100.0,3,3,0.0,0,0,0,6.35,15.0,0,358,1769447784.401,-7.623,meta-llama/Llama-3.2-1B-Instruct,"1769447784.401, 1769447784.439, 1769447784.479, 1769447784.538, 1769447784.550"
200.0,1,1769447782.8203,0.0325,4467,442,4909,7.9364,0.0435,0.0737,200.0,0.0,100.0,19.3998,-180.5677,0.0,0.0,1769447802.2764454,100.0,4,4,0.0,0,0,0,6.35,15.0,0,358,1769447789.739,-12.337,meta-llama/Llama-3.2-1B-Instruct,"1769447789.739, 1769447789.753, 1769447789.826, 1769447789.839, 1769447789.852"
200.0,1,1769447782.0339,0.044,2934,1024,3958,1.8796,0.0434,0.0637,200.0,0.0,100.0,34.8628,-165.0933,0.0,0.0,1769447816.9624832,100.0,5,5,0.0,0,0,0,6.29,15.0,0,358,1769447801.735,-10.398,meta-llama/Llama-3.2-1B-Instruct,"1769447801.735, 1769447801.804, 1769447801.982, 1769447802.156, 1769447802.343"
200.0,1,1769447782.2031,0.0346,2944,1024,3968,8.5469,0.044,0.065,200.0,0.0,100.0,34.73,-165.2354,0.0,0.0,1769447816.9802675,100.0,18,18,0.0,0,0,0,6.35,15.0,0,358,1769447801.735,-10.398,meta-llama/Llama-3.2-1B-Instruct,"1769447801.735, 1769447801.804, 1769447801.982, 1769447802.156, 1769447802.343"
200.0,1,1769447781.9546,0.1228,3324,1028,4352,8.7058,0.0442,0.0658,200.0,0.0,100.0,34.8936,-164.9836,0.0,0.0,1769447816.9880722,100.0,18,18,0.0,0,0,0,6.29,15.0,0,358,1769447801.735,-10.398,meta-llama/Llama-3.2-1B-Instruct,"1769447801.735, 1769447801.804, 1769447801.982, 1769447802.156, 1769447802.343"
200.0,1,1769447782.5977,0.03,3556,1027,4583,8.1652,0.0456,0.0629,200.0,0.0,100.0,34.3423,-165.6278,0.0,0.0,1769447816.988459,100.0,18,18,0.0,0,0,0,6.35,15.0,0,358,1769447801.735,-10.398,meta-llama/Llama-3.2-1B-Instruct,"1769447801.735, 1769447801.804, 1769447801.982, 1769447802.156, 1769447802.343"
200.0,1,1769447782.9375,0.0422,2801,1027,3828,7.8117,0.0446,0.0643,200.0,0.0,100.0,33.9859,-165.9719,0.0,0.0,1769447816.989935,100.0,18,18,0.0,0,0,0,6.35,15.0,0,358,1769447801.735,-10.398,meta-llama/Llama-3.2-1B-Instruct,"1769447801.735, 1769447801.804, 1769447801.982, 1769447802.156, 1769447802.343"
200.0,1,1769447782.2797,0.0342,2938,1033,3971,8.4809,0.0428,0.0612,200.0,0.0,100.0,34.6587,-165.3071,0.0,0.0,1769447816.9908893,100.0,18,18,0.0,0,0,0,6.35,15.0,0,358,1769447801.735,-10.398,meta-llama/Llama-3.2-1B-Instruct,"1769447801.735, 1769447801.804, 1769447801.982, 1769447802.156, 1769447802.343"
200.0,1,1769447782.8945,0.0363,3653,1026,4679,7.8599,0.0446,0.0614,200.0,0.0,100.0,34.0407,-165.923,0.0,0.0,1769447816.9912164,100.0,18,18,0.0,0,0,0,6.35,15.0,0,358,1769447801.735,-10.398,meta-llama/Llama-3.2-1B-Instruct,"1769447801.735, 1769447801.804, 1769447801.982, 1769447802.156, 1769447802.343"
200.0,1,1769447782.2516,0.0347,3165,1017,4182,8.5099,0.0459,0.0605,200.0,0.0,100.0,34.6833,-165.282,0.0,0.0,1769447816.9918945,100.0,18,18,0.0,0,0,0,6.35,15.0,0,358,1769447801.735,-10.398,meta-llama/Llama-3.2-1B-Instruct,"1769447801.735, 1769447801.804, 1769447801.982, 1769447802.156, 1769447802.343"
200.0,1,1769447782.7846,0.0297,3069,1025,4094,7.9843,0.0681,0.1252,200.0,0.0,100.0,34.1594,-165.8109,0.0,0.0,1769447816.9922993,100.0,18,18,0.0,0,0,0,6.35,15.0,0,358,1769447801.735,-10.398,meta-llama/Llama-3.2-1B-Instruct,"1769447801.735, 1769447801.804, 1769447801.982, 1769447802.156, 1769447802.343"
200.0,1,1769447782.3916,0.0852,3648,1022,4670,8.31,0.0436,0.0586,200.0,0.0,100.0,34.4894,-165.4254,0.0,0.0,1769447816.992835,100.0,18,18,0.0,0,0,0,6.35,15.0,0,358,1769447801.735,-10.398,meta-llama/Llama-3.2-1B-Instruct,"1769447801.735, 1769447801.804, 1769447801.982, 1769447802.156, 1769447802.343"
200.0,1,1769447782.343,0.1314,4467,1025,5492,8.3156,0.0454,0.0714,200.0,0.0,100.0,34.4949,-165.3738,0.0,0.0,1769447816.9936073,100.0,18,18,0.0,0,0,0,6.35,15.0,0,358,1769447801.735,-10.398,meta-llama/Llama-3.2-1B-Instruct,"1769447801.735, 1769447801.804, 1769447801.982, 1769447802.156, 1769447802.343"
200.0,1,1769447782.7514,0.0319,3283,1030,4313,8.0021,0.0449,0.0666,200.0,0.0,100.0,34.1853,-165.7828,0.0,0.0,1769447816.9971848,100.0,18,18,0.0,0,0,0,6.35,15.0,0,358,1769447801.735,-10.398,meta-llama/Llama-3.2-1B-Instruct,"1769447801.735, 1769447801.804, 1769447801.982, 1769447802.156, 1769447802.343"
200.0,1,1769447782.3051,0.0469,2597,1029,3626,8.4342,0.0446,0.0612,200.0,0.0,100.0,34.623,-165.3301,0.0,0.0,1769447817.0011706,100.0,18,18,0.0,0,0,0,6.35,15.0,0,358,1769447801.735,-10.398,meta-llama/Llama-3.2-1B-Instruct,"1769447801.735, 1769447801.804, 1769447801.982, 1769447802.156, 1769447802.343"
200.0,1,1769447782.6528,0.0378,3966,1024,4990,8.1015,0.0453,0.062,200.0,0.0,100.0,34.2836,-165.6786,0.0,0.0,1769447817.0052977,100.0,18,18,0.0,0,0,0,6.35,15.0,0,358,1769447801.735,-10.398,meta-llama/Llama-3.2-1B-Instruct,"1769447801.735, 1769447801.804, 1769447801.982, 1769447802.156, 1769447802.343"
