orig_slo,slo_type,insertion_time,wait_time,prompt_tok,out_tok,total_tok,ttft,tbt_p95,tbt_p99,tbt_slo,tbt_violation,tbt_success_rate_pct,ttlt,diff,violation,total_violation,finished_time,success_rate_pct,success_count,processed_count,kv,run_cnt,wait_cnt,swap_cnt,vram_used_gib,vram_total_gib,vq_id,vq_groups,head_deadline,slack,model,deadlines
1.0,0,1769444401.9733,0.033,27,8,35,13.4402,0.0849,0.0849,1.0,0.0,100.0,13.9296,12.4732,12.4732,12.4732,1769444416.796009,0.0,0,1,0.0,0,0,0,6.49,15.0,0,588,1769444403.824,-11.581,meta-llama/Llama-3.2-1B-Instruct,"1769444403.824, 1769444403.866, 1769444403.970, 1769444404.040, 1769444404.116"
1.0,0,1769444400.37,0.07,27,32,59,1.9513,0.5928,13.0395,1.0,12.0395,50.0,17.0599,1.0213,1.0213,14.4741,1769444417.518423,0.0,0,3,0.0,0,0,0,6.29,15.0,0,588,1769444403.824,-11.581,meta-llama/Llama-3.2-1B-Instruct,"1769444403.824, 1769444403.866, 1769444403.970, 1769444404.040, 1769444404.116"
1.0,0,1769444400.4127,0.0323,27,32,59,1.9473,0.7805,13.0162,1.0,12.0162,33.33,17.0617,0.9796,0.9796,14.4741,1769444417.518681,0.0,0,3,0.0,0,0,0,6.29,15.0,0,588,1769444403.824,-11.581,meta-llama/Llama-3.2-1B-Instruct,"1769444403.824, 1769444403.866, 1769444403.970, 1769444404.040, 1769444404.116"
1.0,0,1769444400.8648,0.0416,27,32,59,14.5128,0.228,0.7184,1.0,0.0,50.0,16.6441,13.5544,13.5544,132.8597,1769444417.5589583,0.0,0,12,0.0,0,0,0,6.35,15.0,0,588,1769444403.824,-11.581,meta-llama/Llama-3.2-1B-Instruct,"1769444403.824, 1769444403.866, 1769444403.970, 1769444404.040, 1769444404.116"
1.0,0,1769444401.3549,0.0354,27,32,59,14.0618,0.1724,0.5352,1.0,0.0,60.0,16.1588,13.0972,13.0972,146.3232,1769444417.563117,0.0,0,13,0.0,0,0,0,6.35,15.0,0,588,1769444403.824,-11.581,meta-llama/Llama-3.2-1B-Instruct,"1769444403.824, 1769444403.866, 1769444403.970, 1769444404.040, 1769444404.116"
1.0,0,1769444400.7491,0.0389,27,32,59,14.5685,0.2436,0.6699,1.0,0.0,66.67,16.7651,13.6074,13.6074,146.3232,1769444417.563297,0.0,0,13,0.0,0,0,0,6.35,15.0,0,588,1769444403.824,-11.581,meta-llama/Llama-3.2-1B-Instruct,"1769444403.824, 1769444403.866, 1769444403.970, 1769444404.040, 1769444404.116"
1.0,0,1769444401.1761,0.0603,27,32,59,14.1273,0.1765,0.6155,1.0,0.0,71.43,16.3211,13.1876,13.1876,185.0391,1769444417.567929,0.0,0,16,0.0,0,0,0,6.35,15.0,0,588,1769444403.824,-11.581,meta-llama/Llama-3.2-1B-Instruct,"1769444403.824, 1769444403.866, 1769444403.970, 1769444404.040, 1769444404.116"
1.0,0,1769444400.8296,0.0375,27,32,59,14.498,0.2623,0.5701,1.0,0.0,75.0,16.6824,13.5355,13.5355,185.0391,1769444417.5680985,0.0,0,16,0.0,0,0,0,6.35,15.0,0,588,1769444403.824,-11.581,meta-llama/Llama-3.2-1B-Instruct,"1769444403.824, 1769444403.866, 1769444403.970, 1769444404.040, 1769444404.116"
1.0,0,1769444400.4247,0.0684,27,32,59,14.868,0.2367,0.6219,1.0,0.0,77.78,17.0569,13.9364,13.9364,185.0391,1769444417.5683064,0.0,0,16,0.0,0,0,0,6.29,15.0,0,588,1769444403.824,-11.581,meta-llama/Llama-3.2-1B-Instruct,"1769444403.824, 1769444403.866, 1769444403.970, 1769444404.040, 1769444404.116"
1.0,0,1769444401.2173,0.0374,27,32,59,14.118,0.3084,0.642,1.0,0.0,80.0,16.3098,13.1554,13.1554,302.4818,1769444417.5929203,0.0,0,25,0.0,0,0,0,6.35,15.0,0,588,1769444403.824,-11.581,meta-llama/Llama-3.2-1B-Instruct,"1769444403.824, 1769444403.866, 1769444403.970, 1769444404.040, 1769444404.116"
