line_idx,algo,calls,avg_ms,max_ms,vq_id,vq_groups,head_deadline,slack,model,deadlines
33,timsort,1,0.033,0.033,0,1,1769458664.856,200.0,meta-llama/Llama-3.2-1B-Instruct,1769458664.856
83,timsort,193,0.124,1.122,0,339,1769458468.07,-6.803,meta-llama/Llama-3.2-1B-Instruct,
86,timsort,447,0.217,1.122,0,339,1769458468.07,-6.803,meta-llama/Llama-3.2-1B-Instruct,"1769458468.070, 1769458468.122, 1769458468.159, 1769458468.174, 1769458468.187"
222,timsort,584,0.307,1.667,0,523,1769458469.349,-10.526,meta-llama/Llama-3.2-1B-Instruct,"1769458469.349, 1769458469.470, 1769458469.509, 1769458469.594, 1769458469.607"
407,timsort,675,0.377,1.687,0,523,1769458473.865,-11.069,meta-llama/Llama-3.2-1B-Instruct,"1769458473.865, 1769458473.900, 1769458473.941, 1769458473.955, 1769458474.003"
556,timsort,747,0.426,1.687,0,523,1769458476.974,-13.571,meta-llama/Llama-3.2-1B-Instruct,"1769458476.974, 1769458477.041, 1769458477.055, 1769458477.068, 1769458477.081"
704,timsort,819,0.463,1.687,0,523,1769458481.433,-14.246,meta-llama/Llama-3.2-1B-Instruct,"1769458481.433, 1769458481.592, 1769458481.977, 1769458482.000, 1769458482.051"
846,timsort,889,0.499,1.687,0,523,1769458488.83,-11.919,meta-llama/Llama-3.2-1B-Instruct,"1769458488.830, 1769458488.890, 1769458489.224, 1769458489.266, 1769458489.291"
966,timsort,947,0.528,1.908,0,523,1769458498.962,-6.819,meta-llama/Llama-3.2-1B-Instruct,"1769458498.962, 1769458499.069, 1769458499.104, 1769458499.170, 1769458499.292"
1111,timsort,1018,0.556,2.369,0,523,1769458508.31,-2.502,meta-llama/Llama-3.2-1B-Instruct,"1769458508.310, 1769458508.444, 1769458508.580, 1769458508.641, 1769458508.704"
1205,timsort,1087,0.594,14.456,0,523,1769458668.426,152.597,meta-llama/Llama-3.2-1B-Instruct,"1769458668.426, 1769458668.454, 1769458668.495, 1769458668.532, 1769458668.556"
