orig_slo,slo_type,insertion_time,wait_time,prompt_tok,out_tok,total_tok,ttft,tbt_p95,tbt_p99,tbt_slo,tbt_violation,tbt_success_rate_pct,ttlt,diff,violation,total_violation,finished_time,success_rate_pct,success_count,processed_count,kv,run_cnt,wait_cnt,swap_cnt,vram_used_gib,vram_total_gib,vq_id,vq_groups,head_deadline,slack,model,deadlines
200.0,1,1769457329.0732,0.1037,2664,0,2664,,,,200.0,,,13.1382,-186.7581,0.0,0.0,1769457343.0640547,100.0,1,1,0.0,0,0,0,6.36,15.0,0,333,1769457332.256,-5.852,meta-llama/Llama-3.2-1B-Instruct,"1769457332.256, 1769457332.326, 1769457332.458, 1769457332.536, 1769457332.618"
200.0,1,1769457328.4001,0.0353,2938,50,2988,13.8673,0.0841,0.7616,200.0,0.0,100.0,17.4409,-182.5238,0.0,0.0,1769457345.8921971,100.0,2,2,0.0,0,0,0,6.36,15.0,0,531,1769457332.658,-10.735,meta-llama/Llama-3.2-1B-Instruct,"1769457332.658, 1769457332.671, 1769457332.799, 1769457332.842, 1769457332.931"
200.0,1,1769457329.5152,0.034,2706,94,2800,12.749,0.0812,0.7704,200.0,0.0,100.0,19.192,-180.774,0.0,0.0,1769457348.7527802,100.0,3,3,0.0,0,0,0,6.36,15.0,0,531,1769457336.062,-12.339,meta-llama/Llama-3.2-1B-Instruct,"1769457336.062, 1769457336.072, 1769457336.106, 1769457336.164, 1769457336.180"
200.0,1,1769457328.8076,0.0299,3025,150,3175,13.4675,0.0909,0.3327,200.0,0.0,100.0,23.8045,-176.1657,0.0,0.0,1769457352.6550438,100.0,4,4,0.0,0,0,0,6.36,15.0,0,531,1769457336.062,-12.339,meta-llama/Llama-3.2-1B-Instruct,"1769457336.062, 1769457336.072, 1769457336.106, 1769457336.164, 1769457336.180"
200.0,1,1769457328.7537,0.0421,3966,172,4138,13.4886,0.0855,0.2847,200.0,0.0,100.0,25.2603,-174.6976,0.0,0.0,1769457354.0733962,100.0,5,5,0.0,0,0,0,6.36,15.0,0,531,1769457338.374,-15.042,meta-llama/Llama-3.2-1B-Instruct,"1769457338.374, 1769457338.388, 1769457338.401, 1769457338.414, 1769457338.427"
200.0,1,1769457329.978,0.0441,2608,138,2746,19.078,0.0969,0.3098,200.0,0.0,100.0,28.2913,-171.6645,0.0,0.0,1769457358.329061,100.0,6,6,0.0,0,0,0,6.52,15.0,0,531,1769457338.374,-15.042,meta-llama/Llama-3.2-1B-Instruct,"1769457338.374, 1769457338.388, 1769457338.401, 1769457338.414, 1769457338.427"
200.0,1,1769457328.9055,0.0373,4467,819,5286,13.3534,0.0861,0.3037,200.0,0.0,100.0,67.7861,-132.1766,0.0,0.0,1769457396.75171,100.0,7,7,0.0,0,0,0,6.36,15.0,0,551,1769457394.217,0.46,meta-llama/Llama-3.2-1B-Instruct,"1769457394.217, 1769457394.268, 1769457394.294, 1769457394.490, 1769457533.614"
200.0,1,1769457328.37,0.0315,3165,948,4113,13.9063,0.0864,0.2921,200.0,0.0,100.0,77.7875,-122.181,0.0,0.0,1769457406.2070818,100.0,8,8,0.0,0,0,0,6.36,15.0,0,652,1769457402.601,-1.256,meta-llama/Llama-3.2-1B-Instruct,"1769457402.601, 1769457402.634, 1769457402.753, 1769457402.882, 1769457402.933"
200.0,1,1769457329.8417,0.0326,4212,981,5193,12.4208,0.086,0.2829,200.0,0.0,100.0,78.8275,-121.1399,0.0,0.0,1769457408.7215283,100.0,9,9,0.0,0,0,0,6.52,15.0,0,652,1769457402.601,-1.256,meta-llama/Llama-3.2-1B-Instruct,"1769457402.601, 1769457402.634, 1769457402.753, 1769457402.882, 1769457402.933"
200.0,1,1769457328.0876,0.1166,3324,1024,4348,1.9659,0.086,0.3104,200.0,0.0,100.0,83.7611,-116.1223,0.0,0.0,1769457411.9782174,100.0,10,10,0.0,0,0,0,6.29,15.0,0,691,1769457408.091,-0.772,meta-llama/Llama-3.2-1B-Instruct,"1769457408.091, 1769457408.175, 1769457408.227, 1769457408.275, 1769457408.408"
200.0,1,1769457329.1081,0.071,2906,1023,3929,13.1279,0.0886,0.3203,200.0,0.0,100.0,82.8654,-117.0636,0.0,0.0,1769457412.0728998,100.0,18,18,0.0,0,0,0,6.36,15.0,0,691,1769457408.091,-0.772,meta-llama/Llama-3.2-1B-Instruct,"1769457408.091, 1769457408.175, 1769457408.227, 1769457408.275, 1769457408.408"
200.0,1,1769457328.3063,0.045,2944,1024,3968,13.9341,0.088,0.3141,200.0,0.0,100.0,83.7118,-116.2433,0.0,0.0,1769457412.0922003,100.0,29,29,0.0,0,0,0,6.36,15.0,0,691,1769457408.091,-0.772,meta-llama/Llama-3.2-1B-Instruct,"1769457408.091, 1769457408.175, 1769457408.227, 1769457408.275, 1769457408.408"
200.0,1,1769457329.037,0.139,2801,1030,3831,13.1231,0.0869,0.296,200.0,0.0,100.0,82.8956,-116.9654,0.0,0.0,1769457412.0955126,100.0,30,30,0.0,0,0,0,6.36,15.0,0,691,1769457408.091,-0.772,meta-llama/Llama-3.2-1B-Instruct,"1769457408.091, 1769457408.175, 1769457408.227, 1769457408.275, 1769457408.408"
200.0,1,1769457329.132,0.0478,2808,1034,3842,13.1346,0.0863,0.2863,200.0,0.0,100.0,82.8663,-117.0859,0.0,0.0,1769457412.0980375,100.0,30,30,0.0,0,0,0,6.36,15.0,0,691,1769457408.091,-0.772,meta-llama/Llama-3.2-1B-Instruct,"1769457408.091, 1769457408.175, 1769457408.227, 1769457408.275, 1769457408.408"
200.0,1,1769457329.7538,0.031,2402,1024,3426,12.5061,0.087,0.287,200.0,0.0,100.0,82.281,-117.688,0.0,0.0,1769457412.098692,100.0,30,30,0.0,0,0,0,6.52,15.0,0,691,1769457408.091,-0.772,meta-llama/Llama-3.2-1B-Instruct,"1769457408.091, 1769457408.175, 1769457408.227, 1769457408.275, 1769457408.408"
200.0,1,1769457328.998,0.0326,3653,1018,4671,13.2668,0.0879,0.2952,200.0,0.0,100.0,83.0397,-116.9277,0.0,0.0,1769457412.1002612,100.0,31,31,0.0,0,0,0,6.36,15.0,0,691,1769457408.091,-0.772,meta-llama/Llama-3.2-1B-Instruct,"1769457408.091, 1769457408.175, 1769457408.227, 1769457408.275, 1769457408.408"
200.0,1,1769457329.3641,0.0322,2899,1025,3924,12.8939,0.0884,0.2864,200.0,0.0,100.0,82.6686,-117.2993,0.0,0.0,1769457412.10096,100.0,31,31,0.0,0,0,0,6.36,15.0,0,691,1769457408.091,-0.772,meta-llama/Llama-3.2-1B-Instruct,"1769457408.091, 1769457408.175, 1769457408.227, 1769457408.275, 1769457408.408"
200.0,1,1769457329.6108,0.0362,2808,1029,3837,12.6595,0.0874,0.3022,200.0,0.0,100.0,82.4336,-117.5302,0.0,0.0,1769457412.102151,100.0,31,31,0.0,0,0,0,6.52,15.0,0,691,1769457408.091,-0.772,meta-llama/Llama-3.2-1B-Instruct,"1769457408.091, 1769457408.175, 1769457408.227, 1769457408.275, 1769457408.408"
200.0,1,1769457328.5211,0.0343,3648,1022,4670,13.7331,0.0873,0.2914,200.0,0.0,100.0,83.4905,-116.4753,0.0,0.0,1769457412.1027832,100.0,31,31,0.0,0,0,0,6.36,15.0,0,691,1769457408.091,-0.772,meta-llama/Llama-3.2-1B-Instruct,"1769457408.091, 1769457408.175, 1769457408.227, 1769457408.275, 1769457408.408"
200.0,1,1769457328.164,0.0381,2934,1032,3966,14.0872,0.0868,0.2846,200.0,0.0,100.0,83.872,-116.0899,0.0,0.0,1769457412.105072,100.0,31,31,0.0,0,0,0,6.29,15.0,0,691,1769457408.091,-0.772,meta-llama/Llama-3.2-1B-Instruct,"1769457408.091, 1769457408.175, 1769457408.227, 1769457408.275, 1769457408.408"
200.0,1,1769457328.4323,0.0426,2597,1030,3627,13.8364,0.0866,0.2983,200.0,0.0,100.0,83.6069,-116.3506,0.0,0.0,1769457412.1070805,100.0,31,31,0.0,0,0,0,6.36,15.0,0,691,1769457408.091,-0.772,meta-llama/Llama-3.2-1B-Instruct,"1769457408.091, 1769457408.175, 1769457408.227, 1769457408.275, 1769457408.408"
