line_idx,algo,calls,avg_ms,max_ms,vq_id,vq_groups,head_deadline,slack,model,deadlines
29,timsort,1,0.028,0.028,0,167,1769465599.924,-2.45,meta-llama/Llama-3.2-1B-Instruct,
32,timsort,225,0.127,1.06,0,402,1769465599.924,-7.451,meta-llama/Llama-3.2-1B-Instruct,
35,timsort,458,0.212,1.06,0,402,1769465599.924,-7.451,meta-llama/Llama-3.2-1B-Instruct,"1769465599.924, 1769465599.971, 1769465600.016, 1769465600.080, 1769465600.094"
116,timsort,509,0.264,1.592,0,473,1769465600.663,-11.927,meta-llama/Llama-3.2-1B-Instruct,"1769465600.663, 1769465600.676, 1769465600.689, 1769465600.702, 1769465600.742"
177,timsort,559,0.305,1.592,0,473,1769465603.002,-14.643,meta-llama/Llama-3.2-1B-Instruct,"1769465603.002, 1769465603.015, 1769465603.128, 1769465603.241, 1769465603.319"
232,timsort,615,0.347,1.669,0,473,1769465605.701,-17.006,meta-llama/Llama-3.2-1B-Instruct,"1769465605.701, 1769465605.715, 1769465605.752, 1769465605.767, 1769465605.810"
291,timsort,672,0.386,1.669,0,473,1769465607.586,-20.131,meta-llama/Llama-3.2-1B-Instruct,"1769465607.586, 1769465607.599, 1769465607.612, 1769465607.649, 1769465607.743"
348,timsort,725,0.414,1.669,0,473,1769465611.591,-21.178,meta-llama/Llama-3.2-1B-Instruct,"1769465611.591, 1769465611.684, 1769465611.764, 1769465611.972, 1769465612.168"
407,timsort,781,0.442,1.669,0,473,1769465623.153,-14.622,meta-llama/Llama-3.2-1B-Instruct,"1769465623.153, 1769465623.292, 1769465623.339, 1769465623.404, 1769465623.706"
462,timsort,830,0.49,24.393,0,473,1769465633.102,-9.72,meta-llama/Llama-3.2-1B-Instruct,"1769465633.102, 1769465633.494, 1769465633.768, 1769465633.798, 1769465633.931"
516,timsort,886,0.515,24.393,0,473,1769465643.558,-4.32,meta-llama/Llama-3.2-1B-Instruct,"1769465643.558, 1769465643.720, 1769465644.019, 1769465644.098, 1769465644.170"
575,timsort,944,0.539,24.393,0,473,1769465653.786,0.825,meta-llama/Llama-3.2-1B-Instruct,"1769465653.786, 1769465653.868, 1769465798.959, 1769465799.000, 1769465799.041"
599,timsort,1045,0.557,24.393,0,520,1769465656.924,-1.075,meta-llama/Llama-3.2-1B-Instruct,"1769465656.924, 1769465657.023, 1769465657.048, 1769465657.298, 1769465657.402"
629,timsort,1151,0.579,24.393,0,587,1769465661.077,-2.068,meta-llama/Llama-3.2-1B-Instruct,"1769465661.077, 1769465661.103, 1769465661.409, 1769465661.736, 1769465661.761"
716,timsort,1204,0.599,24.393,0,619,1769465664.677,-3.539,meta-llama/Llama-3.2-1B-Instruct,"1769465664.677, 1769465664.702, 1769465664.727, 1769465664.752, 1769465664.819"
774,timsort,1275,0.624,24.393,0,619,1769465673.567,0.294,meta-llama/Llama-3.2-1B-Instruct,"1769465673.567, 1769465673.941, 1769465674.197, 1769465674.272, 1769465799.349"
778,timsort,1410,0.641,24.393,0,685,1769465677.094,-1.21,meta-llama/Llama-3.2-1B-Instruct,"1769465677.094, 1769465677.120, 1769465677.146, 1769465677.221, 1769465677.291"
824,timsort,1505,0.662,24.393,0,802,1769465677.448,-5.907,meta-llama/Llama-3.2-1B-Instruct,"1769465677.448, 1769465677.473, 1769465677.498, 1769465677.563, 1769465677.796"
872,timsort,1555,0.686,24.393,0,807,1769465680.695,-7.69,meta-llama/Llama-3.2-1B-Instruct,"1769465680.695, 1769465680.723, 1769465680.749, 1769465680.775, 1769465680.882"
927,timsort,1612,0.712,24.393,0,807,1769465687.066,-6.405,meta-llama/Llama-3.2-1B-Instruct,"1769465687.066, 1769465687.135, 1769465687.230, 1769465687.587, 1769465687.691"
991,timsort,1664,0.738,24.393,0,807,1769465697.905,-0.631,meta-llama/Llama-3.2-1B-Instruct,"1769465697.905, 1769465698.061, 1769465698.159, 1769465698.190, 1769465698.473"
1025,timsort,1752,0.765,24.393,0,835,1769465703.39,-0.152,meta-llama/Llama-3.2-1B-Instruct,"1769465703.390, 1769465703.886, 1769465704.288, 1769465704.400, 1769465704.514"
1029,timsort,1850,0.794,24.393,0,1009,1769465705.734,-7.825,meta-llama/Llama-3.2-1B-Instruct,
1033,timsort,1943,0.827,24.393,0,1105,1769465705.858,-12.708,meta-llama/Llama-3.2-1B-Instruct,
1036,timsort,2039,0.865,24.393,0,1105,1769465705.858,-12.708,meta-llama/Llama-3.2-1B-Instruct,"1769465705.858, 1769465705.927, 1769465706.073, 1769465706.198, 1769465706.241"
1072,timsort,2130,0.902,24.393,0,1203,1769465706.241,-17.366,meta-llama/Llama-3.2-1B-Instruct,"1769465706.241, 1769465706.331, 1769465706.363, 1769465706.476, 1769465706.524"
1118,timsort,2182,0.93,24.393,0,1203,1769465706.241,-17.366,meta-llama/Llama-3.2-1B-Instruct,"1769465706.241, 1769465706.331, 1769465706.363, 1769465706.476, 1769465706.524"
1177,timsort,2238,0.962,24.393,0,1216,1769465716.779,-16.927,meta-llama/Llama-3.2-1B-Instruct,"1769465716.779, 1769465716.805, 1769465716.854, 1769465716.901, 1769465717.045"
1233,timsort,2289,0.99,24.393,0,1216,1769465722.161,-16.68,meta-llama/Llama-3.2-1B-Instruct,"1769465722.161, 1769465722.204, 1769465722.296, 1769465722.333, 1769465722.413"
1289,timsort,2343,1.019,24.393,0,1216,1769465730.067,-13.792,meta-llama/Llama-3.2-1B-Instruct,"1769465730.067, 1769465730.129, 1769465730.231, 1769465730.294, 1769465730.324"
1377,timsort,2402,1.046,24.393,0,1216,1769465738.464,-10.443,meta-llama/Llama-3.2-1B-Instruct,"1769465738.464, 1769465738.621, 1769465738.841, 1769465739.090, 1769465739.121"
1449,timsort,2464,1.072,24.393,0,1216,1769465749.966,-3.993,meta-llama/Llama-3.2-1B-Instruct,"1769465749.966, 1769465750.033, 1769465750.660, 1769465750.718, 1769465751.134"
1487,timsort,2557,1.1,24.393,0,1322,1769465761.299,-2.717,meta-llama/Llama-3.2-1B-Instruct,
1490,timsort,2699,1.118,24.393,0,1463,1769465761.299,-7.726,meta-llama/Llama-3.2-1B-Instruct,
1498,timsort,2827,1.14,24.393,0,1463,1769465761.299,-7.726,meta-llama/Llama-3.2-1B-Instruct,"1769465761.299, 1769465761.378, 1769465761.449, 1769465761.600, 1769465761.628"
1562,timsort,2882,1.176,24.393,0,1499,1769465763.849,-10.208,meta-llama/Llama-3.2-1B-Instruct,"1769465763.849, 1769465763.923, 1769465763.990, 1769465764.018, 1769465764.044"
1619,timsort,2931,1.204,24.393,0,1499,1769465766.871,-12.244,meta-llama/Llama-3.2-1B-Instruct,"1769465766.871, 1769465766.897, 1769465767.011, 1769465767.129, 1769465767.161"
1672,timsort,2984,1.232,24.393,0,1499,1769465770.417,-13.733,meta-llama/Llama-3.2-1B-Instruct,"1769465770.417, 1769465770.523, 1769465770.550, 1769465770.618, 1769465770.837"
1731,timsort,3038,1.264,24.393,0,1499,1769465779.035,-10.141,meta-llama/Llama-3.2-1B-Instruct,"1769465779.035, 1769465779.218, 1769465779.321, 1769465779.491, 1769465779.628"
1784,timsort,3089,1.288,24.393,0,1499,1769465789.009,-5.213,meta-llama/Llama-3.2-1B-Instruct,"1769465789.009, 1769465789.283, 1769465789.389, 1769465790.051, 1769465790.379"
1825,timsort,3166,1.312,24.393,0,1499,1769465800.288,0.996,meta-llama/Llama-3.2-1B-Instruct,"1769465800.288, 1769465801.737, 1769465801.776, 1769465801.800, 1769465801.829"
1852,timsort,3252,1.344,24.393,0,1640,1769465802.338,-7.022,meta-llama/Llama-3.2-1B-Instruct,
1855,timsort,3341,1.377,24.393,0,1729,1769465802.338,-12.211,meta-llama/Llama-3.2-1B-Instruct,
1858,timsort,3429,1.41,24.393,0,1828,1769465802.338,-17.266,meta-llama/Llama-3.2-1B-Instruct,
1861,timsort,3525,1.444,24.393,0,1928,1769465802.338,-22.285,meta-llama/Llama-3.2-1B-Instruct,
1864,timsort,3624,1.481,24.393,0,2019,1769465802.338,-27.33,meta-llama/Llama-3.2-1B-Instruct,
1867,timsort,3716,1.524,24.393,0,2019,1769465802.338,-27.33,meta-llama/Llama-3.2-1B-Instruct,"1769465802.338, 1769465802.360, 1769465802.398, 1769465802.425, 1769465802.475"
1894,timsort,3818,1.561,24.393,0,2097,1769465802.688,-32.005,meta-llama/Llama-3.2-1B-Instruct,"1769465802.688, 1769465802.720, 1769465802.747, 1769465802.788, 1769465802.805"
1900,timsort,3955,1.592,24.393,0,2340,1769465803.285,-41.44,meta-llama/Llama-3.2-1B-Instruct,
1903,timsort,4075,1.621,24.393,0,2340,1769465803.285,-41.44,meta-llama/Llama-3.2-1B-Instruct,"1769465803.285, 1769465803.287, 1769465803.354, 1769465803.360, 1769465803.389"
1938,timsort,4149,1.679,24.393,0,2403,1769465804.034,-45.713,meta-llama/Llama-3.2-1B-Instruct,"1769465804.034, 1769465804.037, 1769465804.075, 1769465804.127, 1769465804.156"
1943,timsort,4229,1.723,24.393,0,2477,1769465804.243,-50.51,meta-llama/Llama-3.2-1B-Instruct,"1769465804.243, 1769465804.288, 1769465804.334, 1769465804.364, 1769465804.370"
1947,timsort,4314,1.771,24.393,0,2649,1769465804.288,-60.492,meta-llama/Llama-3.2-1B-Instruct,
1950,timsort,4401,1.82,24.393,0,2731,1769465804.288,-65.516,meta-llama/Llama-3.2-1B-Instruct,
1953,timsort,4484,1.872,24.393,0,2817,1769465804.288,-70.548,meta-llama/Llama-3.2-1B-Instruct,
1957,timsort,4570,1.94,24.393,0,2897,1769465804.334,-75.514,meta-llama/Llama-3.2-1B-Instruct,
1960,timsort,4654,2.0,24.393,0,2897,1769465804.334,-75.514,meta-llama/Llama-3.2-1B-Instruct,"1769465804.334, 1769465804.364, 1769465804.370, 1769465804.390, 1769465804.430"
1965,timsort,4727,2.055,24.393,0,2976,1769465804.37,-80.532,meta-llama/Llama-3.2-1B-Instruct,"1769465804.370, 1769465804.390, 1769465804.430, 1769465804.495, 1769465804.500"
1969,timsort,4814,2.12,24.393,0,3139,1769465804.39,-90.619,meta-llama/Llama-3.2-1B-Instruct,
1972,timsort,4889,2.267,404.939,0,3139,1769465804.39,-90.619,meta-llama/Llama-3.2-1B-Instruct,"1769465804.390, 1769465804.430, 1769465804.495, 1769465804.500, 1769465804.524"
1976,timsort,4979,2.339,404.939,0,3309,1769465804.43,-100.641,meta-llama/Llama-3.2-1B-Instruct,
1980,timsort,5069,2.41,404.939,0,3397,1769465804.495,-105.604,meta-llama/Llama-3.2-1B-Instruct,
1983,timsort,5156,2.477,404.939,0,3485,1769465804.495,-110.64,meta-llama/Llama-3.2-1B-Instruct,
1987,timsort,5246,2.543,404.939,0,3485,1769465804.495,-110.64,meta-llama/Llama-3.2-1B-Instruct,"1769465804.495, 1769465804.500, 1769465804.524, 1769465804.587, 1769465804.625"
2010,timsort,5333,2.67,404.939,0,3667,1769465805.198,-119.994,meta-llama/Llama-3.2-1B-Instruct,
2014,timsort,5460,2.717,404.939,0,3791,1769465805.226,-125.0,meta-llama/Llama-3.2-1B-Instruct,
2018,timsort,5584,2.763,404.939,0,3791,1769465805.226,-125.0,meta-llama/Llama-3.2-1B-Instruct,"1769465805.226, 1769465805.232, 1769465805.263, 1769465805.282, 1769465805.292"
2042,timsort,5660,2.885,404.939,0,3949,1769465805.534,-134.81,meta-llama/Llama-3.2-1B-Instruct,
2045,timsort,5741,2.943,404.939,0,4032,1769465805.534,-139.81,meta-llama/Llama-3.2-1B-Instruct,
2048,timsort,5827,3.012,404.939,0,4032,1769465805.534,-139.81,meta-llama/Llama-3.2-1B-Instruct,"1769465805.534, 1769465805.620, 1769465805.650, 1769465805.673, 1769465805.720"
2052,timsort,5905,3.119,404.939,0,4115,1769465805.62,-144.849,meta-llama/Llama-3.2-1B-Instruct,"1769465805.620, 1769465805.650, 1769465805.673, 1769465805.720, 1769465805.747"
2056,timsort,5988,3.185,404.939,0,4271,1769465805.65,-154.883,meta-llama/Llama-3.2-1B-Instruct,
2059,timsort,6066,3.305,404.939,0,4356,1769465805.65,-159.929,meta-llama/Llama-3.2-1B-Instruct,
2062,timsort,6145,3.376,404.939,0,4434,1769465805.65,-164.991,meta-llama/Llama-3.2-1B-Instruct,
2065,timsort,6227,3.431,404.939,0,4515,1769465805.65,-170.011,meta-llama/Llama-3.2-1B-Instruct,
2068,timsort,6308,3.544,404.939,0,4515,1769465805.65,-170.011,meta-llama/Llama-3.2-1B-Instruct,"1769465805.650, 1769465805.673, 1769465805.720, 1769465805.747, 1769465805.771"
