orig_slo,slo_type,insertion_time,wait_time,prompt_tok,out_tok,total_tok,ttft,tbt_p95,tbt_p99,tbt_slo,tbt_violation,tbt_success_rate_pct,ttlt,diff,violation,total_violation,finished_time,success_rate_pct,success_count,processed_count,kv,run_cnt,wait_cnt,swap_cnt,vram_used_gib,vram_total_gib,vq_id,vq_groups,head_deadline,slack,model,deadlines
200.0,1,1769464565.5539,0.0309,2899,0,2899,,,,200.0,,,10.3579,-189.6112,0.0,0.0,1769464576.674718,100.0,1,1,0.0,0,0,0,6.29,15.0,0,384,1769464567.348,-6.96,meta-llama/Llama-3.2-1B-Instruct,"1769464567.348, 1769464567.360, 1769464567.409, 1769464567.449, 1769464567.462"
1.0,0,1769464565.3666,0.0488,27,3,30,10.5446,3.0917,3.0917,1.0,2.0917,0.0,13.7857,9.5934,9.5934,9.5934,1769464579.2116225,50.0,1,2,0.0,0,0,0,6.29,15.0,0,384,1769464567.348,-6.96,meta-llama/Llama-3.2-1B-Instruct,"1769464567.348, 1769464567.360, 1769464567.409, 1769464567.449, 1769464567.462"
1.0,0,1769464565.908,0.0642,27,20,47,13.0928,0.1144,0.1144,1.0,0.0,50.0,14.5324,12.157,12.157,21.7504,1769464580.5114155,33.33,1,3,0.0,0,0,0,6.59,15.0,0,534,1769464567.409,-11.989,meta-llama/Llama-3.2-1B-Instruct,"1769464567.409, 1769464567.449, 1769464567.462, 1769464567.498, 1769464567.533"
1.0,0,1769464564.3816,0.0422,27,31,58,1.5722,3.0778,9.9515,1.0,8.9515,33.33,16.7084,0.6144,0.6144,22.3648,1769464581.1511765,25.0,1,4,0.0,0,0,0,6.29,15.0,0,534,1769464567.409,-11.989,meta-llama/Llama-3.2-1B-Instruct,"1769464567.409, 1769464567.449, 1769464567.462, 1769464567.498, 1769464567.533"
1.0,0,1769464565.1719,0.0353,27,32,59,10.7344,0.1281,3.072,1.0,2.072,25.0,15.9777,9.7696,9.7696,90.6266,1769464581.1982274,20.0,1,11,0.0,0,0,0,6.29,15.0,0,534,1769464567.409,-11.989,meta-llama/Llama-3.2-1B-Instruct,"1769464567.409, 1769464567.449, 1769464567.462, 1769464567.498, 1769464567.533"
1.0,0,1769464564.7627,0.0582,27,32,59,11.1175,0.1234,3.1062,1.0,2.1062,20.0,16.3672,10.1757,10.1757,90.6266,1769464581.198447,14.29,1,11,0.0,0,0,0,6.29,15.0,0,534,1769464567.409,-11.989,meta-llama/Llama-3.2-1B-Instruct,"1769464567.409, 1769464567.449, 1769464567.462, 1769464567.498, 1769464567.533"
1.0,0,1769464565.7619,0.0257,27,33,60,10.156,0.1166,3.0824,1.0,2.0824,16.67,15.408,9.1817,9.1817,130.9083,1769464581.2037919,9.09,1,15,0.0,0,0,0,6.29,15.0,0,534,1769464567.409,-11.989,meta-llama/Llama-3.2-1B-Instruct,"1769464567.409, 1769464567.449, 1769464567.462, 1769464567.498, 1769464567.533"
1.0,0,1769464564.4153,0.0945,27,32,59,11.4352,0.1178,3.0819,1.0,2.0819,14.29,16.6899,10.5297,10.5297,130.9083,1769464581.2039664,7.69,1,15,0.0,0,0,0,6.29,15.0,0,534,1769464567.409,-11.989,meta-llama/Llama-3.2-1B-Instruct,"1769464567.409, 1769464567.449, 1769464567.462, 1769464567.498, 1769464567.533"
1.0,0,1769464564.8458,0.0296,27,32,59,11.084,0.0927,3.0917,1.0,2.0917,12.5,16.3174,10.1135,10.1135,169.8335,1769464581.218012,11.11,1,19,0.0,0,0,0,6.29,15.0,0,534,1769464567.409,-11.989,meta-llama/Llama-3.2-1B-Instruct,"1769464567.409, 1769464567.449, 1769464567.462, 1769464567.498, 1769464567.533"
1.0,0,1769464565.6324,0.0485,27,32,59,10.2583,0.1112,3.0821,1.0,2.0821,11.11,15.5079,9.3068,9.3068,190.7021,1769464581.2232807,12.5,1,21,0.0,0,0,0,6.29,15.0,0,534,1769464567.409,-11.989,meta-llama/Llama-3.2-1B-Instruct,"1769464567.409, 1769464567.449, 1769464567.462, 1769464567.498, 1769464567.533"
