line_idx,algo,calls,avg_ms,max_ms,vq_id,vq_groups,head_deadline,slack,model,deadlines
28,timsort,1,0.035,0.035,0,1,1769438315.985,200.0,meta-llama/Llama-3.2-1B-Instruct,1769438315.985
32,timsort,241,0.126,1.24,0,216,1769438117.807,-3.514,meta-llama/Llama-3.2-1B-Instruct,"1769438117.807, 1769438117.820, 1769438117.860, 1769438117.918, 1769438117.981"
75,timsort,326,0.187,1.24,0,289,1769438118.902,-7.529,meta-llama/Llama-3.2-1B-Instruct,"1769438118.902, 1769438118.914, 1769438118.927, 1769438118.940, 1769438119.003"
139,timsort,388,0.233,1.24,0,289,1769438121.464,-10.035,meta-llama/Llama-3.2-1B-Instruct,"1769438121.464, 1769438121.540, 1769438121.593, 1769438121.713, 1769438121.724"
201,timsort,447,0.267,1.24,0,289,1769438126.706,-9.853,meta-llama/Llama-3.2-1B-Instruct,"1769438126.706, 1769438126.766, 1769438126.843, 1769438126.964, 1769438127.094"
266,timsort,508,0.295,1.24,0,289,1769438135.549,-6.048,meta-llama/Llama-3.2-1B-Instruct,"1769438135.549, 1769438135.723, 1769438136.008, 1769438136.073, 1769438136.144"
329,timsort,568,0.32,1.24,0,289,1769438145.734,-0.87,meta-llama/Llama-3.2-1B-Instruct,"1769438145.734, 1769438145.803, 1769438145.969, 1769438146.198, 1769438146.353"
365,timsort,670,0.337,1.24,0,352,1769438150.577,-1.035,meta-llama/Llama-3.2-1B-Instruct,"1769438150.577, 1769438150.603, 1769438150.711, 1769438150.736, 1769438150.803"
418,timsort,733,0.358,1.24,0,366,1769438156.797,0.136,meta-llama/Llama-3.2-1B-Instruct,"1769438156.797, 1769438156.864, 1769438156.921, 1769438157.079, 1769438157.242"
469,timsort,818,0.382,1.24,0,411,1769438161.072,-0.622,meta-llama/Llama-3.2-1B-Instruct,"1769438161.072, 1769438161.128, 1769438161.178, 1769438161.473, 1769438161.671"
495,timsort,934,0.401,1.24,0,483,1769438165.466,-1.242,meta-llama/Llama-3.2-1B-Instruct,"1769438165.466, 1769438165.493, 1769438165.518, 1769438165.583, 1769438165.692"
522,timsort,1031,0.435,1.285,0,565,1769438166.505,-5.225,meta-llama/Llama-3.2-1B-Instruct,"1769438166.505, 1769438166.534, 1769438166.559, 1769438166.583, 1769438166.608"
557,timsort,1097,0.464,1.42,0,600,1769438168.665,-8.109,meta-llama/Llama-3.2-1B-Instruct,"1769438168.665, 1769438168.733, 1769438168.890, 1769438168.915, 1769438168.985"
594,timsort,1165,0.501,1.523,0,634,1769438171.527,-10.283,meta-llama/Llama-3.2-1B-Instruct,"1769438171.527, 1769438171.576, 1769438171.627, 1769438171.734, 1769438171.903"
631,timsort,1243,0.543,2.758,0,680,1769438176.621,-10.234,meta-llama/Llama-3.2-1B-Instruct,"1769438176.621, 1769438176.763, 1769438176.994, 1769438177.133, 1769438177.208"
666,timsort,1320,0.583,2.758,0,722,1769438181.656,-10.255,meta-llama/Llama-3.2-1B-Instruct,"1769438181.656, 1769438182.219, 1769438182.398, 1769438182.808, 1769438182.920"
703,timsort,1396,0.618,2.758,0,762,1769438186.399,-10.551,meta-llama/Llama-3.2-1B-Instruct,"1769438186.399, 1769438186.466, 1769438186.512, 1769438186.708, 1769438186.765"
751,timsort,1469,0.655,4.125,0,802,1769438191.223,-10.771,meta-llama/Llama-3.2-1B-Instruct,"1769438191.223, 1769438191.420, 1769438191.706, 1769438191.941, 1769438192.073"
798,timsort,1537,0.688,4.372,0,814,1769438197.183,-9.849,meta-llama/Llama-3.2-1B-Instruct,"1769438197.183, 1769438197.286, 1769438197.318, 1769438197.413, 1769438197.949"
870,timsort,1597,0.714,4.372,0,821,1769438205.131,-6.958,meta-llama/Llama-3.2-1B-Instruct,"1769438205.131, 1769438205.380, 1769438205.452, 1769438205.582, 1769438205.790"
960,timsort,1669,0.741,4.372,0,821,1769438217.162,0.019,meta-llama/Llama-3.2-1B-Instruct,"1769438217.162, 1769438217.229, 1769438217.277, 1769438217.619, 1769438217.700"
980,timsort,1792,0.76,4.372,0,885,1769438220.835,-1.325,meta-llama/Llama-3.2-1B-Instruct,"1769438220.835, 1769438220.969, 1769438221.038, 1769438221.064, 1769438221.134"
1038,timsort,1855,0.785,4.372,0,920,1769438223.989,-3.203,meta-llama/Llama-3.2-1B-Instruct,"1769438223.989, 1769438224.232, 1769438224.379, 1769438224.445, 1769438224.858"
1080,timsort,1930,0.809,4.372,0,928,1769438232.69,0.483,meta-llama/Llama-3.2-1B-Instruct,"1769438232.690, 1769438232.762, 1769438232.855, 1769438318.462, 1769438318.490"
1120,timsort,2013,0.84,12.839,0,998,1769438234.809,-2.583,meta-llama/Llama-3.2-1B-Instruct,"1769438234.809, 1769438234.959, 1769438235.034, 1769438235.143, 1769438235.169"
1166,timsort,2078,0.868,12.839,0,1018,1769438240.9,-1.53,meta-llama/Llama-3.2-1B-Instruct,"1769438240.900, 1769438240.965, 1769438241.142, 1769438241.208, 1769438241.271"
1211,timsort,2151,0.893,12.839,0,1035,1769438248.323,0.875,meta-llama/Llama-3.2-1B-Instruct,"1769438248.323, 1769438248.393, 1769438248.419, 1769438248.445, 1769438318.518"
1255,timsort,2224,0.92,12.839,0,1072,1769438253.515,0.997,meta-llama/Llama-3.2-1B-Instruct,"1769438253.515, 1769438318.518, 1769438318.559, 1769438318.596, 1769438318.622"
1299,timsort,2299,0.953,12.839,0,1118,1769438256.249,-1.297,meta-llama/Llama-3.2-1B-Instruct,"1769438256.249, 1769438256.280, 1769438256.349, 1769438256.564, 1769438256.666"
1344,timsort,2367,0.982,12.839,0,1142,1769438262.192,-0.355,meta-llama/Llama-3.2-1B-Instruct,"1769438262.192, 1769438262.263, 1769438262.759, 1769438262.826, 1769438262.886"
1386,timsort,2441,1.01,12.839,0,1175,1769438268.278,0.65,meta-llama/Llama-3.2-1B-Instruct,"1769438268.278, 1769438268.370, 1769438268.525, 1769438318.596, 1769438318.622"
1432,timsort,2532,1.042,13.596,0,1227,1769438271.802,-0.866,meta-llama/Llama-3.2-1B-Instruct,"1769438271.802, 1769438271.998, 1769438272.026, 1769438272.179, 1769438272.207"
1473,timsort,2606,1.064,13.596,0,1262,1769438277.121,-0.578,meta-llama/Llama-3.2-1B-Instruct,"1769438277.121, 1769438277.256, 1769438277.321, 1769438277.393, 1769438277.626"
1518,timsort,2679,1.097,13.596,0,1284,1769438283.637,0.921,meta-llama/Llama-3.2-1B-Instruct,"1769438283.637, 1769438283.713, 1769438318.983, 1769438319.031, 1769438319.068"
1572,timsort,2754,1.122,13.596,0,1326,1769438287.399,-0.322,meta-llama/Llama-3.2-1B-Instruct,"1769438287.399, 1769438287.433, 1769438287.536, 1769438287.720, 1769438287.788"
1615,timsort,2823,1.152,13.596,0,1352,1769438293.471,0.731,meta-llama/Llama-3.2-1B-Instruct,"1769438293.471, 1769438293.609, 1769438293.736, 1769438319.121, 1769438319.212"
1651,timsort,2897,1.18,13.596,0,1395,1769438297.338,-0.473,meta-llama/Llama-3.2-1B-Instruct,"1769438297.338, 1769438297.413, 1769438297.586, 1769438297.632, 1769438297.754"
1700,timsort,2962,1.208,13.596,0,1414,1769438303.679,0.849,meta-llama/Llama-3.2-1B-Instruct,"1769438303.679, 1769438303.753, 1769438319.242, 1769438319.273, 1769438319.312"
1736,timsort,3045,1.235,13.596,0,1447,1769438319.312,11.468,meta-llama/Llama-3.2-1B-Instruct,"1769438319.312, 1769438319.338, 1769438319.373, 1769438319.401, 1769438319.494"
1773,timsort,3120,1.266,13.596,0,1497,1769438313.176,0.286,meta-llama/Llama-3.2-1B-Instruct,"1769438313.176, 1769438313.356, 1769438313.384, 1769438313.633, 1769438313.823"
1810,timsort,3189,1.297,13.596,0,1534,1769438318.079,-0.008,meta-llama/Llama-3.2-1B-Instruct,"1769438318.079, 1769438318.156, 1769438318.203, 1769438318.289, 1769438318.348"
1836,timsort,3300,1.326,16.042,0,1613,1769438319.772,-3.332,meta-llama/Llama-3.2-1B-Instruct,"1769438319.772, 1769438319.832, 1769438319.869, 1769438319.880, 1769438319.901"
1850,timsort,3412,1.354,16.042,0,1716,1769438320.054,-8.079,meta-llama/Llama-3.2-1B-Instruct,"1769438320.054, 1769438320.076, 1769438320.104, 1769438320.129, 1769438320.162"
1858,timsort,3514,1.39,16.042,0,1814,1769438320.221,-12.964,meta-llama/Llama-3.2-1B-Instruct,"1769438320.221, 1769438320.285, 1769438320.307, 1769438320.329, 1769438320.353"
1866,timsort,3611,1.426,16.042,0,1998,1769438320.384,-22.87,meta-llama/Llama-3.2-1B-Instruct,
1869,timsort,3703,1.465,16.042,0,1998,1769438320.384,-22.87,meta-llama/Llama-3.2-1B-Instruct,"1769438320.384, 1769438320.394, 1769438320.426, 1769438320.451, 1769438320.502"
1876,timsort,3792,1.504,16.042,0,2085,1769438320.426,-27.839,meta-llama/Llama-3.2-1B-Instruct,"1769438320.426, 1769438320.451, 1769438320.502, 1769438320.526, 1769438320.560"
1885,timsort,3888,1.545,16.042,0,2264,1769438320.613,-37.744,meta-llama/Llama-3.2-1B-Instruct,
