line_idx,algo,calls,avg_ms,max_ms,vq_id,vq_groups,head_deadline,slack,model,deadlines
28,timsort,1,0.029,0.029,0,1,1769439361.152,200.0,meta-llama/Llama-3.2-1B-Instruct,1769439361.152
32,timsort,232,0.13,1.225,0,207,1769439162.994,-3.17,meta-llama/Llama-3.2-1B-Instruct,"1769439162.994, 1769439163.006, 1769439163.049, 1769439163.113, 1769439163.177"
84,timsort,319,0.186,1.225,0,283,1769439163.925,-7.36,meta-llama/Llama-3.2-1B-Instruct,"1769439163.925, 1769439163.938, 1769439163.977, 1769439164.016, 1769439164.029"
151,timsort,380,0.233,1.225,0,283,1769439166.5,-9.847,meta-llama/Llama-3.2-1B-Instruct,"1769439166.500, 1769439166.513, 1769439166.526, 1769439166.539, 1769439166.552"
214,timsort,438,0.264,1.225,0,283,1769439171.236,-10.192,meta-llama/Llama-3.2-1B-Instruct,"1769439171.236, 1769439171.404, 1769439171.999, 1769439172.058, 1769439172.285"
278,timsort,499,0.291,1.225,0,283,1769439180.917,-5.563,meta-llama/Llama-3.2-1B-Instruct,"1769439180.917, 1769439180.976, 1769439181.216, 1769439181.375, 1769439181.440"
342,timsort,560,0.311,1.225,0,283,1769439190.99,-0.555,meta-llama/Llama-3.2-1B-Instruct,"1769439190.990, 1769439191.068, 1769439191.170, 1769439191.380, 1769439191.446"
389,timsort,650,0.33,1.225,0,326,1769439196.178,-0.404,meta-llama/Llama-3.2-1B-Instruct,"1769439196.178, 1769439196.452, 1769439196.487, 1769439196.635, 1769439196.974"
432,timsort,732,0.35,1.225,0,366,1769439200.987,-0.596,meta-llama/Llama-3.2-1B-Instruct,"1769439200.987, 1769439201.012, 1769439201.249, 1769439201.363, 1769439201.632"
477,timsort,816,0.373,1.225,0,410,1769439206.335,-0.318,meta-llama/Llama-3.2-1B-Instruct,"1769439206.335, 1769439206.362, 1769439206.386, 1769439206.411, 1769439206.443"
