line_idx,algo,calls,avg_ms,max_ms,vq_id,vq_groups,head_deadline,slack,model,deadlines
28,timsort,1,0.028,0.028,0,99,1769407248.256,-2.251,meta-llama/Llama-3.2-1B-Instruct,
31,timsort,148,0.11,0.606,0,99,1769407248.256,-2.251,meta-llama/Llama-3.2-1B-Instruct,"1769407248.256, 1769407248.322, 1769407248.346, 1769407248.371, 1769407248.396"
55,timsort,246,0.154,0.72,0,195,1769407248.931,-6.586,meta-llama/Llama-3.2-1B-Instruct,"1769407248.931, 1769407249.004, 1769407249.114, 1769407249.139, 1769407249.219"
114,timsort,301,0.198,0.72,0,233,1769407251.443,-9.159,meta-llama/Llama-3.2-1B-Instruct,"1769407251.443, 1769407251.467, 1769407251.710, 1769407251.735, 1769407251.867"
170,timsort,364,0.231,0.72,0,242,1769407256.44,-9.241,meta-llama/Llama-3.2-1B-Instruct,"1769407256.440, 1769407256.516, 1769407256.678, 1769407256.704, 1769407256.732"
227,timsort,417,0.29,15.419,0,245,1769407263.864,-6.831,meta-llama/Llama-3.2-1B-Instruct,"1769407263.864, 1769407264.137, 1769407264.522, 1769407264.574, 1769407264.624"
281,timsort,480,0.306,15.419,0,250,1769407272.829,-2.921,meta-llama/Llama-3.2-1B-Instruct,"1769407272.829, 1769407272.915, 1769407273.069, 1769407273.323, 1769407273.461"
363,timsort,538,0.318,15.419,0,257,1769407281.513,0.658,meta-llama/Llama-3.2-1B-Instruct,"1769407281.513, 1769407281.831, 1769407447.295, 1769407447.462, 1769407447.505"
416,timsort,626,0.333,15.419,0,310,1769407284.959,-0.915,meta-llama/Llama-3.2-1B-Instruct,"1769407284.959, 1769407285.030, 1769407285.056, 1769407285.266, 1769407285.423"
464,timsort,685,0.353,15.419,0,331,1769407290.972,-0.018,meta-llama/Llama-3.2-1B-Instruct,"1769407290.972, 1769407291.051, 1769407291.189, 1769407291.289, 1769407291.351"
488,timsort,760,0.375,15.419,0,441,1769407296.684,-4.347,meta-llama/Llama-3.2-1B-Instruct,
502,timsort,854,0.404,15.419,0,441,1769407296.684,-4.347,meta-llama/Llama-3.2-1B-Instruct,"1769407296.684, 1769407296.731, 1769407296.911, 1769407296.950, 1769407296.985"
547,timsort,934,0.434,15.419,0,512,1769407299.505,-6.561,meta-llama/Llama-3.2-1B-Instruct,"1769407299.505, 1769407299.751, 1769407299.797, 1769407299.835, 1769407300.088"
596,timsort,1007,0.465,15.419,0,530,1769407304.97,-6.216,meta-llama/Llama-3.2-1B-Instruct,"1769407304.970, 1769407305.038, 1769407305.096, 1769407305.219, 1769407305.283"
663,timsort,1069,0.489,15.419,0,539,1769407313.01,-3.192,meta-llama/Llama-3.2-1B-Instruct,"1769407313.010, 1769407313.052, 1769407313.109, 1769407313.139, 1769407313.289"
704,timsort,1143,0.513,15.419,0,552,1769407321.991,0.739,meta-llama/Llama-3.2-1B-Instruct,"1769407321.991, 1769407322.061, 1769407322.097, 1769407322.153, 1769407322.239"
768,timsort,1218,0.543,15.419,0,589,1769407326.176,-0.109,meta-llama/Llama-3.2-1B-Instruct,"1769407326.176, 1769407326.393, 1769407326.423, 1769407326.453, 1769407326.921"
808,timsort,1289,0.57,15.419,0,627,1769407330.597,-0.817,meta-llama/Llama-3.2-1B-Instruct,"1769407330.597, 1769407330.858, 1769407331.081, 1769407331.150, 1769407331.201"
858,timsort,1366,0.598,15.419,0,656,1769407336.947,0.48,meta-llama/Llama-3.2-1B-Instruct,"1769407336.947, 1769407336.997, 1769407337.050, 1769407337.119, 1769407337.238"
