orig_slo,insertion_time,wait_time,prompt_tok,out_tok,total_tok,ttft,execution_time,diff,violation,total_violation,finished_time,success_rate_pct,success_count,processed_count
10.0,1768468693.2444,0.9948,27,32,59,0.2366,3.4093,-5.5959,0.0,0.0,1768468697.6521,100.0,4,4
10.0,1768468691.9797,1.8477,27,32,59,0.0444,3.4203,-4.732,0.0,0.0,1768468697.6521337,100.0,4,4
13.0,1768468692.0352,2.8208,27,32,59,0.8562,2.9392,-7.2401,0.0,0.0,1768468697.7957394,100.0,6,6
14.0,1768468691.9391,3.5329,27,30,57,1.6736,2.3236,-8.1434,0.0,0.0,1768468697.7959025,100.0,6,6
13.0,1768468692.5341,2.7327,27,17,44,1.879,2.374,-7.8932,0.0,0.0,1768468698.2127364,100.0,6,6
11.0,1768468692.3043,2.1402,27,32,59,0.0314,3.1994,-5.6604,0.0,0.0,1768468698.2242007,100.0,7,7
15.0,1768468691.931,5.3931,27,32,59,0.0356,0.8971,-8.7098,0.0,0.0,1768468698.2356668,100.0,7,7
14.0,1768468693.042,4.6173,27,32,59,0.0348,0.6748,-8.7079,0.0,0.0,1768468698.3342624,100.0,8,8
14.0,1768468693.2044,4.6654,27,32,59,0.3454,0.6732,-8.6615,0.0,0.0,1768468698.5431828,100.0,9,9
14.0,1768468693.2636,4.9784,27,32,59,0.0316,1.8827,-7.139,0.0,0.0,1768468700.126645,100.0,10,10
16.0,1768468692.0238,6.4288,27,32,59,0.0298,1.8894,-7.6817,0.0,0.0,1768468700.343046,100.0,11,11
16.0,1768468692.5613,6.5223,27,32,59,0.4325,1.4983,-7.9793,0.0,0.0,1768468700.5832868,100.0,12,12
16.0,1768468692.7199,6.5723,27,32,59,0.2241,1.2915,-8.1361,0.0,0.0,1768468700.584759,100.0,13,13
17.0,1768468693.4762,8.329,27,1,28,1.541,1.5704,-7.1007,0.0,0.0,1768468703.3757856,100.0,14,14
18.0,1768468691.9758,9.2022,27,29,56,2.1694,2.9013,-5.8965,0.0,0.0,1768468704.0798194,100.0,15,15
16.0,1768468693.6958,7.2733,27,32,59,2.3778,3.1605,-5.5662,0.0,0.0,1768468704.129823,100.0,16,16
10.0,1768468692.0959,1.9375,3283,1031,4314,0.4298,32.5106,24.4481,24.4481,24.4481,1768468726.5487463,94.12,16,17
11.0,1768468693.7908,0.8588,4513,1023,5536,0.5971,32.2037,22.0625,22.0625,88.7467,1768468726.8579204,88.89,16,20
13.0,1768468692.173,2.8885,3680,1016,4696,0.6509,31.7941,21.6826,21.6826,88.7467,1768468726.860532,80.0,16,20
14.0,1768468692.301,3.3764,9835,1027,10862,1.4684,31.177,20.5534,20.5534,88.7467,1768468726.864803,84.21,16,20
18.0,1768468692.9063,34.0362,27,32,59,0.0383,0.7616,16.7978,16.7978,105.5445,1768468727.7060354,76.19,16,21
18.0,1768468692.9429,34.2087,27,32,59,0.0223,0.7473,16.9561,16.9561,122.5005,1768468727.9006832,72.73,16,22
18.0,1768468693.1948,34.1665,27,32,59,0.0281,0.7535,16.92,16.92,139.4206,1768468728.1160238,69.57,16,23
18.0,1768468693.3241,34.4571,27,32,59,0.0267,1.4815,17.9386,17.9386,157.3591,1768468729.2643142,66.67,16,24
15.0,1768468693.499,5.3756,3372,1023,4395,0.6263,30.4834,20.8591,20.8591,219.8377,1768468729.3623369,64.0,16,27
16.0,1768468692.2383,6.4274,2955,1026,3981,0.4102,30.6927,21.1202,21.1202,219.8377,1768468729.3624814,61.54,16,27
